t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739939,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739942,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739945,79,6.570441,0.000000,0.000000,0.000000,events/second
1606739948,79,5.270366,0.000000,0.000000,0.000000,events/second
1606739951,79,4.385709,0.000000,0.000000,0.000000,events/second
1606739954,11051,525.882791,0.000000,0.000000,0.000000,events/second
1606739957,11051,460.337153,0.000000,0.000000,0.000000,events/second
1606739960,11051,409.248589,0.000000,0.000000,0.000000,events/second
1606739963,11051,368.337394,0.000000,0.000000,0.000000,events/second
1606739966,11051,334.827820,0.000000,0.000000,0.000000,events/second
1606739969,11051,306.963291,0.000000,0.000000,0.000000,events/second
1606739972,11051,283.345006,0.000000,0.000000,0.000000,events/second
1606739975,11051,263.099978,0.000000,0.000000,0.000000,events/second
1606739978,11051,245.613353,0.000000,0.000000,0.000000,events/second
1606739981,11051,230.324046,0.000000,0.000000,0.000000,events/second
1606739984,11051,216.620218,0.000000,0.000000,0.000000,events/second
1606739987,11051,204.552377,0.000000,0.000000,0.000000,events/second
1606739990,11051,193.882663,0.000000,0.000000,0.000000,events/second
1606739993,11051,184.097204,0.000000,0.000000,0.000000,events/second
1606739996,11051,175.396083,0.000000,0.000000,0.000000,events/second
1606739999,11051,167.431118,0.000000,0.000000,0.000000,events/second
1606740002,11051,160.121806,0.000000,0.000000,0.000000,events/second
1606740005,11051,153.438299,0.000000,0.000000,0.000000,events/second
1606740008,11051,147.305547,0.000000,0.000000,0.000000,events/second
1606740011,11051,141.494760,0.000000,0.000000,0.000000,events/second
1606740014,11051,136.244732,0.000000,0.000000,0.000000,events/second
1606740017,11051,131.508755,0.000000,0.000000,0.000000,events/second
1606740020,11051,127.021757,0.000000,0.000000,0.000000,events/second
1606740023,11051,122.800372,0.000000,0.000000,0.000000,events/second
1606740026,11051,118.836848,0.000000,0.000000,0.000000,events/second
1606740029,11051,115.102577,0.000000,0.000000,0.000000,events/second
1606740032,12313,124.330787,0.000000,0.000000,0.000000,events/second
1606740035,12964,127.064040,0.000000,0.000000,0.000000,events/second
1606740038,15859,151.038557,0.000000,0.000000,0.000000,events/second
1606740041,15859,146.862870,0.000000,0.000000,0.000000,events/second
1606740044,15859,142.866479,0.000000,0.000000,0.000000,events/second
1606740047,15859,138.832649,0.000000,0.000000,0.000000,events/second
1606740050,15859,135.189376,0.000000,0.000000,0.000000,events/second
1606740053,15946,132.858992,0.000000,0.000000,0.000000,events/second
1606740056,15946,129.655239,0.000000,0.000000,0.000000,events/second
1606740059,15946,126.550569,0.000000,0.000000,0.000000,events/second
1606740062,15946,123.599110,0.000000,0.000000,0.000000,events/second
1606740065,15946,120.744585,0.000000,0.000000,0.000000,events/second
1606740068,15946,118.135570,0.000000,0.000000,0.000000,events/second
1606740071,16009,115.988186,0.000000,0.000000,0.000000,events/second
1606740074,16045,113.791641,0.000000,0.000000,0.000000,events/second
1606740077,16045,111.416656,0.000000,0.000000,0.000000,events/second
1606740080,16045,109.140186,0.000000,0.000000,0.000000,events/second
1606740083,16045,106.910017,0.000000,0.000000,0.000000,events/second
1606740086,16045,104.870161,0.000000,0.000000,0.000000,events/second
1606740089,16045,102.848631,0.000000,0.000000,0.000000,events/second
1606740092,16137,101.481331,0.000000,0.000000,0.000000,events/second
1606740095,16137,99.608559,0.000000,0.000000,0.000000,events/second
1606740098,16137,97.787159,0.000000,0.000000,0.000000,events/second
1606740101,16311,97.080975,0.000000,0.000000,0.000000,events/second
1606740104,16327,95.493028,0.000000,0.000000,0.000000,events/second
1606740107,16327,93.830220,0.000000,0.000000,0.000000,events/second
1606740110,16345,92.334754,0.000000,0.000000,0.000000,events/second
1606740113,16495,91.643909,0.000000,0.000000,0.000000,events/second
1606740116,16495,90.138957,0.000000,0.000000,0.000000,events/second
