t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739939,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739942,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739945,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739948,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739951,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739954,10035,477.513690,0.000000,0.000000,0.000000,events/second
1606739957,10035,417.985846,0.000000,0.000000,0.000000,events/second
1606739960,10035,371.610959,0.000000,0.000000,0.000000,events/second
1606739963,10035,334.462567,0.000000,0.000000,0.000000,events/second
1606739966,10035,304.036605,0.000000,0.000000,0.000000,events/second
1606739969,10035,278.735688,0.000000,0.000000,0.000000,events/second
1606739972,10035,257.289183,0.000000,0.000000,0.000000,events/second
1606739975,10035,238.906595,0.000000,0.000000,0.000000,events/second
1606739978,10035,223.028744,0.000000,0.000000,0.000000,events/second
1606739981,10035,209.145517,0.000000,0.000000,0.000000,events/second
1606739984,10035,196.701764,0.000000,0.000000,0.000000,events/second
1606739987,10035,185.743863,0.000000,0.000000,0.000000,events/second
1606739990,10035,176.055333,0.000000,0.000000,0.000000,events/second
1606739993,10035,167.169546,0.000000,0.000000,0.000000,events/second
1606739996,10035,159.268762,0.000000,0.000000,0.000000,events/second
1606739999,10035,152.036259,0.000000,0.000000,0.000000,events/second
1606740002,10035,145.399088,0.000000,0.000000,0.000000,events/second
1606740005,10035,139.329994,0.000000,0.000000,0.000000,events/second
1606740008,10035,133.760898,0.000000,0.000000,0.000000,events/second
1606740011,10035,128.484158,0.000000,0.000000,0.000000,events/second
1606740014,10035,123.717566,0.000000,0.000000,0.000000,events/second
1606740017,10035,119.416506,0.000000,0.000000,0.000000,events/second
1606740020,10035,115.342667,0.000000,0.000000,0.000000,events/second
1606740023,10035,111.509287,0.000000,0.000000,0.000000,events/second
1606740026,10035,107.910465,0.000000,0.000000,0.000000,events/second
1606740029,10035,104.519541,0.000000,0.000000,0.000000,events/second
1606740032,11282,113.919160,0.000000,0.000000,0.000000,events/second
1606740035,11915,116.781457,0.000000,0.000000,0.000000,events/second
1606740038,14596,139.009021,0.000000,0.000000,0.000000,events/second
1606740041,14596,135.165936,0.000000,0.000000,0.000000,events/second
1606740044,14596,131.487752,0.000000,0.000000,0.000000,events/second
1606740047,14596,127.775001,0.000000,0.000000,0.000000,events/second
1606740050,14596,124.422138,0.000000,0.000000,0.000000,events/second
1606740053,14608,121.710319,0.000000,0.000000,0.000000,events/second
1606740056,14608,118.775442,0.000000,0.000000,0.000000,events/second
1606740059,14608,115.931193,0.000000,0.000000,0.000000,events/second
1606740062,14608,113.227432,0.000000,0.000000,0.000000,events/second
1606740065,14608,110.611739,0.000000,0.000000,0.000000,events/second
1606740068,14608,108.222467,0.000000,0.000000,0.000000,events/second
1606740071,14636,106.039906,0.000000,0.000000,0.000000,events/second
1606740074,14668,104.025400,0.000000,0.000000,0.000000,events/second
1606740077,14668,101.854261,0.000000,0.000000,0.000000,events/second
1606740080,14668,99.773065,0.000000,0.000000,0.000000,events/second
1606740083,14668,97.734207,0.000000,0.000000,0.000000,events/second
1606740086,14668,95.869625,0.000000,0.000000,0.000000,events/second
1606740089,14668,94.021588,0.000000,0.000000,0.000000,events/second
1606740092,14699,92.437571,0.000000,0.000000,0.000000,events/second
1606740095,14699,90.731163,0.000000,0.000000,0.000000,events/second
1606740098,14699,89.072644,0.000000,0.000000,0.000000,events/second
1606740101,14873,88.521814,0.000000,0.000000,0.000000,events/second
1606740104,14889,87.082121,0.000000,0.000000,0.000000,events/second
1606740107,14889,85.565702,0.000000,0.000000,0.000000,events/second
1606740110,14908,84.216605,0.000000,0.000000,0.000000,events/second
1606740113,15001,83.343119,0.000000,0.000000,0.000000,events/second
1606740116,15001,81.974489,0.000000,0.000000,0.000000,events/second
