t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739939,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739942,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739945,1,0.083141,0.000000,0.000000,0.000000,events/second
1606739948,1,0.066696,0.000000,0.000000,0.000000,events/second
1606739951,1,0.055503,0.000000,0.000000,0.000000,events/second
1606739954,2,0.095157,0.000000,0.000000,0.000000,events/second
1606739957,2,0.083294,0.000000,0.000000,0.000000,events/second
1606739960,2,0.074055,0.000000,0.000000,0.000000,events/second
1606739963,2,0.066653,0.000000,0.000000,0.000000,events/second
1606739966,2,0.060590,0.000000,0.000000,0.000000,events/second
1606739969,2,0.055548,0.000000,0.000000,0.000000,events/second
1606739972,2,0.051275,0.000000,0.000000,0.000000,events/second
1606739975,2,0.047611,0.000000,0.000000,0.000000,events/second
1606739978,2,0.044447,0.000000,0.000000,0.000000,events/second
1606739981,2,0.041681,0.000000,0.000000,0.000000,events/second
1606739984,2,0.039201,0.000000,0.000000,0.000000,events/second
1606739987,2,0.037017,0.000000,0.000000,0.000000,events/second
1606739990,2,0.035087,0.000000,0.000000,0.000000,events/second
1606739993,2,0.033316,0.000000,0.000000,0.000000,events/second
1606739996,2,0.031741,0.000000,0.000000,0.000000,events/second
1606739999,2,0.030300,0.000000,0.000000,0.000000,events/second
1606740002,2,0.028977,0.000000,0.000000,0.000000,events/second
1606740005,2,0.027768,0.000000,0.000000,0.000000,events/second
1606740008,2,0.026658,0.000000,0.000000,0.000000,events/second
1606740011,2,0.025606,0.000000,0.000000,0.000000,events/second
1606740014,2,0.024656,0.000000,0.000000,0.000000,events/second
1606740017,2,0.023799,0.000000,0.000000,0.000000,events/second
1606740020,2,0.022987,0.000000,0.000000,0.000000,events/second
1606740023,2,0.022223,0.000000,0.000000,0.000000,events/second
1606740026,2,0.021506,0.000000,0.000000,0.000000,events/second
1606740029,3,0.031246,0.000000,0.000000,0.000000,events/second
1606740032,3,0.030291,0.000000,0.000000,0.000000,events/second
1606740035,12,0.117611,0.000000,0.000000,0.000000,events/second
1606740038,14,0.133329,0.000000,0.000000,0.000000,events/second
1606740041,14,0.129643,0.000000,0.000000,0.000000,events/second
1606740044,14,0.126115,0.000000,0.000000,0.000000,events/second
1606740047,14,0.122554,0.000000,0.000000,0.000000,events/second
1606740050,14,0.119339,0.000000,0.000000,0.000000,events/second
1606740053,17,0.141637,0.000000,0.000000,0.000000,events/second
1606740056,17,0.138221,0.000000,0.000000,0.000000,events/second
1606740059,17,0.134911,0.000000,0.000000,0.000000,events/second
1606740062,17,0.131765,0.000000,0.000000,0.000000,events/second
1606740065,17,0.128720,0.000000,0.000000,0.000000,events/second
1606740068,17,0.125941,0.000000,0.000000,0.000000,events/second
1606740071,18,0.130410,0.000000,0.000000,0.000000,events/second
1606740074,20,0.141837,0.000000,0.000000,0.000000,events/second
1606740077,20,0.138877,0.000000,0.000000,0.000000,events/second
1606740080,20,0.136039,0.000000,0.000000,0.000000,events/second
1606740083,20,0.133259,0.000000,0.000000,0.000000,events/second
1606740086,20,0.130717,0.000000,0.000000,0.000000,events/second
1606740089,20,0.128197,0.000000,0.000000,0.000000,events/second
1606740092,23,0.144637,0.000000,0.000000,0.000000,events/second
1606740095,23,0.141967,0.000000,0.000000,0.000000,events/second
1606740098,23,0.139372,0.000000,0.000000,0.000000,events/second
1606740101,23,0.136890,0.000000,0.000000,0.000000,events/second
1606740104,23,0.134519,0.000000,0.000000,0.000000,events/second
1606740107,23,0.132177,0.000000,0.000000,0.000000,events/second
1606740110,23,0.129927,0.000000,0.000000,0.000000,events/second
1606740113,26,0.144450,0.000000,0.000000,0.000000,events/second
1606740116,26,0.142078,0.000000,0.000000,0.000000,events/second
1606740119,26,0.139788,0.000000,0.000000,0.000000,events/second
