t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739939,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739942,1,0.111047,0.000000,0.000000,0.000000,events/second
1606739945,2,0.166268,0.000000,0.000000,0.000000,events/second
1606739948,2,0.133384,0.000000,0.000000,0.000000,events/second
1606739951,2,0.111001,0.000000,0.000000,0.000000,events/second
1606739954,2,0.095153,0.000000,0.000000,0.000000,events/second
1606739957,2,0.083289,0.000000,0.000000,0.000000,events/second
1606739960,2,0.074053,0.000000,0.000000,0.000000,events/second
1606739963,2,0.066651,0.000000,0.000000,0.000000,events/second
1606739966,2,0.060589,0.000000,0.000000,0.000000,events/second
1606739969,2,0.055547,0.000000,0.000000,0.000000,events/second
1606739972,2,0.051274,0.000000,0.000000,0.000000,events/second
1606739975,2,0.047611,0.000000,0.000000,0.000000,events/second
1606739978,2,0.044447,0.000000,0.000000,0.000000,events/second
1606739981,2,0.041680,0.000000,0.000000,0.000000,events/second
1606739984,2,0.039201,0.000000,0.000000,0.000000,events/second
1606739987,2,0.037017,0.000000,0.000000,0.000000,events/second
1606739990,2,0.035086,0.000000,0.000000,0.000000,events/second
1606739993,2,0.033315,0.000000,0.000000,0.000000,events/second
1606739996,2,0.031741,0.000000,0.000000,0.000000,events/second
1606739999,2,0.030300,0.000000,0.000000,0.000000,events/second
1606740002,2,0.028977,0.000000,0.000000,0.000000,events/second
1606740005,2,0.027767,0.000000,0.000000,0.000000,events/second
1606740008,2,0.026658,0.000000,0.000000,0.000000,events/second
1606740011,2,0.025606,0.000000,0.000000,0.000000,events/second
1606740014,2,0.024656,0.000000,0.000000,0.000000,events/second
1606740017,2,0.023799,0.000000,0.000000,0.000000,events/second
1606740020,2,0.022987,0.000000,0.000000,0.000000,events/second
1606740023,2,0.022223,0.000000,0.000000,0.000000,events/second
1606740026,2,0.021506,0.000000,0.000000,0.000000,events/second
1606740029,4,0.041661,0.000000,0.000000,0.000000,events/second
1606740032,4,0.040388,0.000000,0.000000,0.000000,events/second
1606740035,18,0.176416,0.000000,0.000000,0.000000,events/second
1606740038,20,0.190470,0.000000,0.000000,0.000000,events/second
1606740041,20,0.185204,0.000000,0.000000,0.000000,events/second
1606740044,20,0.180164,0.000000,0.000000,0.000000,events/second
1606740047,20,0.175076,0.000000,0.000000,0.000000,events/second
1606740050,20,0.170483,0.000000,0.000000,0.000000,events/second
1606740053,23,0.191625,0.000000,0.000000,0.000000,events/second
1606740056,23,0.187005,0.000000,0.000000,0.000000,events/second
1606740059,23,0.182526,0.000000,0.000000,0.000000,events/second
1606740062,23,0.178270,0.000000,0.000000,0.000000,events/second
1606740065,23,0.174149,0.000000,0.000000,0.000000,events/second
1606740068,23,0.170390,0.000000,0.000000,0.000000,events/second
1606740071,24,0.173879,0.000000,0.000000,0.000000,events/second
1606740074,26,0.184388,0.000000,0.000000,0.000000,events/second
1606740077,26,0.180539,0.000000,0.000000,0.000000,events/second
1606740080,26,0.176850,0.000000,0.000000,0.000000,events/second
1606740083,26,0.173236,0.000000,0.000000,0.000000,events/second
1606740086,26,0.169932,0.000000,0.000000,0.000000,events/second
1606740089,26,0.166656,0.000000,0.000000,0.000000,events/second
1606740092,29,0.182368,0.000000,0.000000,0.000000,events/second
1606740095,29,0.179001,0.000000,0.000000,0.000000,events/second
1606740098,29,0.175729,0.000000,0.000000,0.000000,events/second
1606740101,29,0.172600,0.000000,0.000000,0.000000,events/second
1606740104,29,0.169611,0.000000,0.000000,0.000000,events/second
1606740107,29,0.166657,0.000000,0.000000,0.000000,events/second
1606740110,29,0.163820,0.000000,0.000000,0.000000,events/second
1606740113,32,0.177784,0.000000,0.000000,0.000000,events/second
1606740116,32,0.174864,0.000000,0.000000,0.000000,events/second
1606740119,32,0.172046,0.000000,0.000000,0.000000,events/second
