t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739939,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739942,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739945,3,0.249428,0.000000,0.000000,0.000000,events/second
1606739948,3,0.200093,0.000000,0.000000,0.000000,events/second
1606739951,3,0.166515,0.000000,0.000000,0.000000,events/second
1606739954,21,0.999177,0.000000,0.000000,0.000000,events/second
1606739957,21,0.874576,0.000000,0.000000,0.000000,events/second
1606739960,21,0.777599,0.000000,0.000000,0.000000,events/second
1606739963,21,0.699865,0.000000,0.000000,0.000000,events/second
1606739966,21,0.636212,0.000000,0.000000,0.000000,events/second
1606739969,21,0.583273,0.000000,0.000000,0.000000,events/second
1606739972,21,0.538394,0.000000,0.000000,0.000000,events/second
1606739975,21,0.499930,0.000000,0.000000,0.000000,events/second
1606739978,21,0.466710,0.000000,0.000000,0.000000,events/second
1606739981,21,0.437658,0.000000,0.000000,0.000000,events/second
1606739984,21,0.411619,0.000000,0.000000,0.000000,events/second
1606739987,21,0.388689,0.000000,0.000000,0.000000,events/second
1606739990,21,0.368416,0.000000,0.000000,0.000000,events/second
1606739993,21,0.349820,0.000000,0.000000,0.000000,events/second
1606739996,21,0.333289,0.000000,0.000000,0.000000,events/second
1606739999,21,0.318154,0.000000,0.000000,0.000000,events/second
1606740002,21,0.304262,0.000000,0.000000,0.000000,events/second
1606740005,21,0.291564,0.000000,0.000000,0.000000,events/second
1606740008,21,0.279910,0.000000,0.000000,0.000000,events/second
1606740011,21,0.268865,0.000000,0.000000,0.000000,events/second
1606740014,21,0.258895,0.000000,0.000000,0.000000,events/second
1606740017,21,0.249892,0.000000,0.000000,0.000000,events/second
1606740020,21,0.241369,0.000000,0.000000,0.000000,events/second
1606740023,21,0.233347,0.000000,0.000000,0.000000,events/second
1606740026,21,0.225818,0.000000,0.000000,0.000000,events/second
1606740029,23,0.239552,0.000000,0.000000,0.000000,events/second
1606740032,27,0.272625,0.000000,0.000000,0.000000,events/second
1606740035,75,0.735076,0.000000,0.000000,0.000000,events/second
1606740038,97,0.923792,0.000000,0.000000,0.000000,events/second
1606740041,97,0.898253,0.000000,0.000000,0.000000,events/second
1606740044,97,0.873807,0.000000,0.000000,0.000000,events/second
1606740047,97,0.849131,0.000000,0.000000,0.000000,events/second
1606740050,97,0.826853,0.000000,0.000000,0.000000,events/second
1606740053,117,0.974802,0.000000,0.000000,0.000000,events/second
1606740056,117,0.951297,0.000000,0.000000,0.000000,events/second
1606740059,117,0.928515,0.000000,0.000000,0.000000,events/second
1606740062,117,0.906862,0.000000,0.000000,0.000000,events/second
1606740065,117,0.885891,0.000000,0.000000,0.000000,events/second
1606740068,117,0.866777,0.000000,0.000000,0.000000,events/second
1606740071,127,0.920122,0.000000,0.000000,0.000000,events/second
1606740074,137,0.971592,0.000000,0.000000,0.000000,events/second
1606740077,137,0.951314,0.000000,0.000000,0.000000,events/second
1606740080,137,0.931876,0.000000,0.000000,0.000000,events/second
1606740083,137,0.912827,0.000000,0.000000,0.000000,events/second
1606740086,137,0.895417,0.000000,0.000000,0.000000,events/second
1606740089,137,0.878157,0.000000,0.000000,0.000000,events/second
1606740092,157,0.987309,0.000000,0.000000,0.000000,events/second
1606740095,157,0.969084,0.000000,0.000000,0.000000,events/second
1606740098,157,0.951371,0.000000,0.000000,0.000000,events/second
1606740101,167,0.993949,0.000000,0.000000,0.000000,events/second
1606740104,172,1.005976,0.000000,0.000000,0.000000,events/second
1606740107,172,0.988456,0.000000,0.000000,0.000000,events/second
1606740110,177,0.999875,0.000000,0.000000,0.000000,events/second
1606740113,207,1.150048,0.000000,0.000000,0.000000,events/second
1606740116,207,1.131162,0.000000,0.000000,0.000000,events/second
1606740119,212,1.139816,0.000000,0.000000,0.000000,events/second
