t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739939,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739942,1,0.111037,0.000000,0.000000,0.000000,events/second
1606739945,6,0.498769,0.000000,0.000000,0.000000,events/second
1606739948,6,0.400131,0.000000,0.000000,0.000000,events/second
1606739951,6,0.332994,0.000000,0.000000,0.000000,events/second
1606739954,23,1.094243,0.000000,0.000000,0.000000,events/second
1606739957,23,0.957798,0.000000,0.000000,0.000000,events/second
1606739960,23,0.851569,0.000000,0.000000,0.000000,events/second
1606739963,23,0.766469,0.000000,0.000000,0.000000,events/second
1606739966,23,0.696767,0.000000,0.000000,0.000000,events/second
1606739969,23,0.638794,0.000000,0.000000,0.000000,events/second
1606739972,23,0.589643,0.000000,0.000000,0.000000,events/second
1606739975,23,0.547521,0.000000,0.000000,0.000000,events/second
1606739978,23,0.511142,0.000000,0.000000,0.000000,events/second
1606739981,23,0.479326,0.000000,0.000000,0.000000,events/second
1606739984,23,0.450807,0.000000,0.000000,0.000000,events/second
1606739987,23,0.425696,0.000000,0.000000,0.000000,events/second
1606739990,23,0.403493,0.000000,0.000000,0.000000,events/second
1606739993,23,0.383125,0.000000,0.000000,0.000000,events/second
1606739996,23,0.365022,0.000000,0.000000,0.000000,events/second
1606739999,23,0.348447,0.000000,0.000000,0.000000,events/second
1606740002,23,0.333229,0.000000,0.000000,0.000000,events/second
1606740005,23,0.319324,0.000000,0.000000,0.000000,events/second
1606740008,23,0.306561,0.000000,0.000000,0.000000,events/second
1606740011,23,0.294463,0.000000,0.000000,0.000000,events/second
1606740014,23,0.283546,0.000000,0.000000,0.000000,events/second
1606740017,23,0.273676,0.000000,0.000000,0.000000,events/second
1606740020,23,0.264348,0.000000,0.000000,0.000000,events/second
1606740023,23,0.255565,0.000000,0.000000,0.000000,events/second
1606740026,23,0.247320,0.000000,0.000000,0.000000,events/second
1606740029,28,0.291625,0.000000,0.000000,0.000000,events/second
1606740032,30,0.302911,0.000000,0.000000,0.000000,events/second
1606740035,93,0.911479,0.000000,0.000000,0.000000,events/second
1606740038,111,1.057108,0.000000,0.000000,0.000000,events/second
1606740041,111,1.027884,0.000000,0.000000,0.000000,events/second
1606740044,111,0.999909,0.000000,0.000000,0.000000,events/second
1606740047,111,0.971670,0.000000,0.000000,0.000000,events/second
1606740050,111,0.946180,0.000000,0.000000,0.000000,events/second
1606740053,134,1.116427,0.000000,0.000000,0.000000,events/second
1606740056,134,1.089507,0.000000,0.000000,0.000000,events/second
1606740059,134,1.063413,0.000000,0.000000,0.000000,events/second
1606740062,134,1.038614,0.000000,0.000000,0.000000,events/second
1606740065,134,1.014580,0.000000,0.000000,0.000000,events/second
1606740068,134,0.992708,0.000000,0.000000,0.000000,events/second
1606740071,145,1.050518,0.000000,0.000000,0.000000,events/second
1606740074,157,1.113419,0.000000,0.000000,0.000000,events/second
1606740077,157,1.090182,0.000000,0.000000,0.000000,events/second
1606740080,157,1.067905,0.000000,0.000000,0.000000,events/second
1606740083,157,1.046073,0.000000,0.000000,0.000000,events/second
1606740086,157,1.026125,0.000000,0.000000,0.000000,events/second
1606740089,157,1.006344,0.000000,0.000000,0.000000,events/second
1606740092,180,1.131933,0.000000,0.000000,0.000000,events/second
1606740095,180,1.111038,0.000000,0.000000,0.000000,events/second
1606740098,180,1.090733,0.000000,0.000000,0.000000,events/second
1606740101,190,1.130830,0.000000,0.000000,0.000000,events/second
1606740104,195,1.140485,0.000000,0.000000,0.000000,events/second
1606740107,195,1.120623,0.000000,0.000000,0.000000,events/second
1606740110,200,1.129793,0.000000,0.000000,0.000000,events/second
1606740113,233,1.294488,0.000000,0.000000,0.000000,events/second
1606740116,233,1.273230,0.000000,0.000000,0.000000,events/second
1606740119,238,1.279594,0.000000,0.000000,0.000000,events/second
