t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739939,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739942,1,0.111033,0.000000,0.000000,0.000000,events/second
1606739945,4,0.332505,0.000000,0.000000,0.000000,events/second
1606739948,4,0.266751,0.000000,0.000000,0.000000,events/second
1606739951,4,0.221994,0.000000,0.000000,0.000000,events/second
1606739954,21,0.999087,0.000000,0.000000,0.000000,events/second
1606739957,21,0.874498,0.000000,0.000000,0.000000,events/second
1606739960,21,0.777517,0.000000,0.000000,0.000000,events/second
1606739963,21,0.699815,0.000000,0.000000,0.000000,events/second
1606739966,21,0.636177,0.000000,0.000000,0.000000,events/second
1606739969,21,0.583247,0.000000,0.000000,0.000000,events/second
1606739972,21,0.538368,0.000000,0.000000,0.000000,events/second
1606739975,21,0.499910,0.000000,0.000000,0.000000,events/second
1606739978,21,0.466695,0.000000,0.000000,0.000000,events/second
1606739981,21,0.437646,0.000000,0.000000,0.000000,events/second
1606739984,21,0.411606,0.000000,0.000000,0.000000,events/second
1606739987,21,0.388679,0.000000,0.000000,0.000000,events/second
1606739990,21,0.368407,0.000000,0.000000,0.000000,events/second
1606739993,21,0.349810,0.000000,0.000000,0.000000,events/second
1606739996,21,0.333281,0.000000,0.000000,0.000000,events/second
1606739999,21,0.318148,0.000000,0.000000,0.000000,events/second
1606740002,21,0.304252,0.000000,0.000000,0.000000,events/second
1606740005,21,0.291557,0.000000,0.000000,0.000000,events/second
1606740008,21,0.279903,0.000000,0.000000,0.000000,events/second
1606740011,21,0.268856,0.000000,0.000000,0.000000,events/second
1606740014,21,0.258889,0.000000,0.000000,0.000000,events/second
1606740017,21,0.249874,0.000000,0.000000,0.000000,events/second
1606740020,21,0.241361,0.000000,0.000000,0.000000,events/second
1606740023,21,0.233342,0.000000,0.000000,0.000000,events/second
1606740026,21,0.225814,0.000000,0.000000,0.000000,events/second
1606740029,24,0.249964,0.000000,0.000000,0.000000,events/second
1606740032,27,0.272620,0.000000,0.000000,0.000000,events/second
1606740035,78,0.764466,0.000000,0.000000,0.000000,events/second
1606740038,97,0.923780,0.000000,0.000000,0.000000,events/second
1606740041,97,0.898242,0.000000,0.000000,0.000000,events/second
1606740044,97,0.873794,0.000000,0.000000,0.000000,events/second
1606740047,97,0.849116,0.000000,0.000000,0.000000,events/second
1606740050,97,0.826842,0.000000,0.000000,0.000000,events/second
1606740053,117,0.974792,0.000000,0.000000,0.000000,events/second
1606740056,117,0.951287,0.000000,0.000000,0.000000,events/second
1606740059,117,0.928502,0.000000,0.000000,0.000000,events/second
1606740062,117,0.906849,0.000000,0.000000,0.000000,events/second
1606740065,117,0.885858,0.000000,0.000000,0.000000,events/second
1606740068,117,0.866768,0.000000,0.000000,0.000000,events/second
1606740071,127,0.920109,0.000000,0.000000,0.000000,events/second
1606740074,137,0.971583,0.000000,0.000000,0.000000,events/second
1606740077,137,0.951305,0.000000,0.000000,0.000000,events/second
1606740080,137,0.931867,0.000000,0.000000,0.000000,events/second
1606740083,137,0.912813,0.000000,0.000000,0.000000,events/second
1606740086,137,0.895409,0.000000,0.000000,0.000000,events/second
1606740089,137,0.878147,0.000000,0.000000,0.000000,events/second
1606740092,157,0.987296,0.000000,0.000000,0.000000,events/second
1606740095,157,0.969071,0.000000,0.000000,0.000000,events/second
1606740098,157,0.951362,0.000000,0.000000,0.000000,events/second
1606740101,167,0.993941,0.000000,0.000000,0.000000,events/second
1606740104,172,1.005966,0.000000,0.000000,0.000000,events/second
1606740107,172,0.988446,0.000000,0.000000,0.000000,events/second
1606740110,177,0.999866,0.000000,0.000000,0.000000,events/second
1606740113,207,1.150039,0.000000,0.000000,0.000000,events/second
1606740116,207,1.131153,0.000000,0.000000,0.000000,events/second
1606740119,212,1.139806,0.000000,0.000000,0.000000,events/second
