t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,2,0.550956,0.000000,0.000000,0.000000,events/second
1606739939,2,0.331184,0.000000,0.000000,0.000000,events/second
1606739942,2,0.222021,0.000000,0.000000,0.000000,events/second
1606739945,2,0.166226,0.000000,0.000000,0.000000,events/second
1606739948,2,0.133353,0.000000,0.000000,0.000000,events/second
1606739951,2,0.110991,0.000000,0.000000,0.000000,events/second
1606739954,2,0.095148,0.000000,0.000000,0.000000,events/second
1606739957,2,0.083278,0.000000,0.000000,0.000000,events/second
1606739960,2,0.074044,0.000000,0.000000,0.000000,events/second
1606739963,2,0.066646,0.000000,0.000000,0.000000,events/second
1606739966,2,0.060587,0.000000,0.000000,0.000000,events/second
1606739969,2,0.055547,0.000000,0.000000,0.000000,events/second
1606739972,2,0.051272,0.000000,0.000000,0.000000,events/second
1606739975,2,0.047610,0.000000,0.000000,0.000000,events/second
1606739978,2,0.044447,0.000000,0.000000,0.000000,events/second
1606739981,2,0.041681,0.000000,0.000000,0.000000,events/second
1606739984,2,0.039200,0.000000,0.000000,0.000000,events/second
1606739987,2,0.037017,0.000000,0.000000,0.000000,events/second
1606739990,2,0.035086,0.000000,0.000000,0.000000,events/second
1606739993,2,0.033315,0.000000,0.000000,0.000000,events/second
1606739996,2,0.031741,0.000000,0.000000,0.000000,events/second
1606739999,2,0.030300,0.000000,0.000000,0.000000,events/second
1606740002,2,0.028976,0.000000,0.000000,0.000000,events/second
1606740005,2,0.027767,0.000000,0.000000,0.000000,events/second
1606740008,2,0.026657,0.000000,0.000000,0.000000,events/second
1606740011,2,0.025605,0.000000,0.000000,0.000000,events/second
1606740014,2,0.024656,0.000000,0.000000,0.000000,events/second
1606740017,2,0.023797,0.000000,0.000000,0.000000,events/second
1606740020,2,0.022987,0.000000,0.000000,0.000000,events/second
1606740023,2,0.022223,0.000000,0.000000,0.000000,events/second
1606740026,2,0.021506,0.000000,0.000000,0.000000,events/second
1606740029,2,0.020830,0.000000,0.000000,0.000000,events/second
1606740032,2,0.020194,0.000000,0.000000,0.000000,events/second
1606740035,2,0.019602,0.000000,0.000000,0.000000,events/second
1606740038,2,0.019047,0.000000,0.000000,0.000000,events/second
1606740041,2,0.018520,0.000000,0.000000,0.000000,events/second
1606740044,2,0.018016,0.000000,0.000000,0.000000,events/second
1606740047,2,0.017507,0.000000,0.000000,0.000000,events/second
1606740050,2,0.017048,0.000000,0.000000,0.000000,events/second
1606740053,2,0.016663,0.000000,0.000000,0.000000,events/second
1606740056,2,0.016261,0.000000,0.000000,0.000000,events/second
1606740059,2,0.015872,0.000000,0.000000,0.000000,events/second
1606740062,2,0.015502,0.000000,0.000000,0.000000,events/second
1606740065,2,0.015134,0.000000,0.000000,0.000000,events/second
1606740068,2,0.014817,0.000000,0.000000,0.000000,events/second
1606740071,2,0.014490,0.000000,0.000000,0.000000,events/second
1606740074,2,0.014184,0.000000,0.000000,0.000000,events/second
1606740077,2,0.013888,0.000000,0.000000,0.000000,events/second
1606740080,2,0.013604,0.000000,0.000000,0.000000,events/second
1606740083,2,0.013325,0.000000,0.000000,0.000000,events/second
1606740086,2,0.013072,0.000000,0.000000,0.000000,events/second
1606740089,2,0.012820,0.000000,0.000000,0.000000,events/second
1606740092,2,0.012577,0.000000,0.000000,0.000000,events/second
1606740095,2,0.012345,0.000000,0.000000,0.000000,events/second
1606740098,2,0.012119,0.000000,0.000000,0.000000,events/second
1606740101,2,0.011903,0.000000,0.000000,0.000000,events/second
1606740104,2,0.011697,0.000000,0.000000,0.000000,events/second
1606740107,2,0.011494,0.000000,0.000000,0.000000,events/second
1606740110,2,0.011298,0.000000,0.000000,0.000000,events/second
1606740113,2,0.011111,0.000000,0.000000,0.000000,events/second
1606740116,2,0.010929,0.000000,0.000000,0.000000,events/second
1606740119,2,0.010753,0.000000,0.000000,0.000000,events/second
1606740122,2,0.010582,0.000000,0.000000,0.000000,events/second
1606740125,2,0.010418,0.000000,0.000000,0.000000,events/second
1606740128,2,0.010255,0.000000,0.000000,0.000000,events/second
1606740131,2,0.010102,0.000000,0.000000,0.000000,events/second
1606740134,2,0.009942,0.000000,0.000000,0.000000,events/second
1606740137,2,0.009804,0.000000,0.000000,0.000000,events/second
1606740140,2,0.009661,0.000000,0.000000,0.000000,events/second
1606740143,2,0.009522,0.000000,0.000000,0.000000,events/second
1606740146,2,0.009390,0.000000,0.000000,0.000000,events/second
1606740149,2,0.009259,0.000000,0.000000,0.000000,events/second
1606740152,2,0.009132,0.000000,0.000000,0.000000,events/second
1606740155,2,0.008985,0.000000,0.000000,0.000000,events/second
1606740158,2,0.008889,0.000000,0.000000,0.000000,events/second
1606740161,2,0.008773,0.000000,0.000000,0.000000,events/second
1606740164,2,0.008658,0.000000,0.000000,0.000000,events/second
1606740167,2,0.008547,0.000000,0.000000,0.000000,events/second
1606740170,2,0.008433,0.000000,0.000000,0.000000,events/second
1606740173,2,0.008332,0.000000,0.000000,0.000000,events/second
1606740176,2,0.008231,0.000000,0.000000,0.000000,events/second
1606740179,2,0.008131,0.000000,0.000000,0.000000,events/second
1606740182,2,0.008032,0.000000,0.000000,0.000000,events/second
1606740185,2,0.007937,0.000000,0.000000,0.000000,events/second
1606740188,2,0.007843,0.000000,0.000000,0.000000,events/second
1606740191,2,0.007753,0.000000,0.000000,0.000000,events/second
1606740194,2,0.007659,0.000000,0.000000,0.000000,events/second
1606740197,2,0.007576,0.000000,0.000000,0.000000,events/second
1606740200,2,0.007490,0.000000,0.000000,0.000000,events/second
1606740203,2,0.007407,0.000000,0.000000,0.000000,events/second
1606740206,2,0.007326,0.000000,0.000000,0.000000,events/second
1606740209,2,0.007246,0.000000,0.000000,0.000000,events/second
1606740212,2,0.007169,0.000000,0.000000,0.000000,events/second
1606740215,2,0.007092,0.000000,0.000000,0.000000,events/second
1606740218,2,0.007018,0.000000,0.000000,0.000000,events/second
1606740221,2,0.006944,0.000000,0.000000,0.000000,events/second
1606740224,2,0.006873,0.000000,0.000000,0.000000,events/second
1606740227,2,0.006802,0.000000,0.000000,0.000000,events/second
1606740230,2,0.006734,0.000000,0.000000,0.000000,events/second
1606740233,2,0.006666,0.000000,0.000000,0.000000,events/second
1606740236,2,0.006601,0.000000,0.000000,0.000000,events/second
1606740239,2,0.006536,0.000000,0.000000,0.000000,events/second
1606740242,2,0.006473,0.000000,0.000000,0.000000,events/second
1606740245,2,0.006410,0.000000,0.000000,0.000000,events/second
1606740248,2,0.006347,0.000000,0.000000,0.000000,events/second
1606740251,2,0.006289,0.000000,0.000000,0.000000,events/second
1606740254,2,0.006231,0.000000,0.000000,0.000000,events/second
1606740257,2,0.006173,0.000000,0.000000,0.000000,events/second
1606740260,2,0.006117,0.000000,0.000000,0.000000,events/second
1606740263,2,0.006061,0.000000,0.000000,0.000000,events/second
1606740266,2,0.006006,0.000000,0.000000,0.000000,events/second
1606740269,2,0.005952,0.000000,0.000000,0.000000,events/second
1606740272,2,0.005900,0.000000,0.000000,0.000000,events/second
1606740275,2,0.005848,0.000000,0.000000,0.000000,events/second
1606740278,2,0.005797,0.000000,0.000000,0.000000,events/second
1606740281,2,0.005747,0.000000,0.000000,0.000000,events/second
1606740284,2,0.005699,0.000000,0.000000,0.000000,events/second
1606740287,2,0.005650,0.000000,0.000000,0.000000,events/second
1606740290,2,0.005603,0.000000,0.000000,0.000000,events/second
1606740293,2,0.005555,0.000000,0.000000,0.000000,events/second
1606740296,2,0.005510,0.000000,0.000000,0.000000,events/second
1606740299,2,0.005464,0.000000,0.000000,0.000000,events/second
1606740302,2,0.005420,0.000000,0.000000,0.000000,events/second
1606740305,2,0.005376,0.000000,0.000000,0.000000,events/second
1606740308,2,0.005334,0.000000,0.000000,0.000000,events/second
1606740311,2,0.005290,0.000000,0.000000,0.000000,events/second
1606740314,2,0.005249,0.000000,0.000000,0.000000,events/second
1606740317,2,0.005208,0.000000,0.000000,0.000000,events/second
1606740320,2,0.005168,0.000000,0.000000,0.000000,events/second
1606740323,2,0.005128,0.000000,0.000000,0.000000,events/second
1606740326,2,0.005089,0.000000,0.000000,0.000000,events/second
1606740329,2,0.005050,0.000000,0.000000,0.000000,events/second
1606740332,2,0.005013,0.000000,0.000000,0.000000,events/second
1606740335,2,0.004975,0.000000,0.000000,0.000000,events/second
1606740338,2,0.004938,0.000000,0.000000,0.000000,events/second
1606740341,2,0.004902,0.000000,0.000000,0.000000,events/second
1606740344,2,0.004866,0.000000,0.000000,0.000000,events/second
1606740347,2,0.004831,0.000000,0.000000,0.000000,events/second
1606740350,2,0.004796,0.000000,0.000000,0.000000,events/second
1606740353,2,0.004762,0.000000,0.000000,0.000000,events/second
1606740356,2,0.004728,0.000000,0.000000,0.000000,events/second
1606740359,2,0.004695,0.000000,0.000000,0.000000,events/second
1606740362,2,0.004662,0.000000,0.000000,0.000000,events/second
1606740365,2,0.004630,0.000000,0.000000,0.000000,events/second
1606740368,2,0.004598,0.000000,0.000000,0.000000,events/second
1606740371,2,0.004566,0.000000,0.000000,0.000000,events/second
1606740374,2,0.004535,0.000000,0.000000,0.000000,events/second
1606740377,2,0.004505,0.000000,0.000000,0.000000,events/second
1606740380,2,0.004474,0.000000,0.000000,0.000000,events/second
1606740383,2,0.004445,0.000000,0.000000,0.000000,events/second
1606740386,2,0.004415,0.000000,0.000000,0.000000,events/second
1606740389,2,0.004386,0.000000,0.000000,0.000000,events/second
1606740392,2,0.004357,0.000000,0.000000,0.000000,events/second
1606740395,2,0.004329,0.000000,0.000000,0.000000,events/second
1606740398,2,0.004301,0.000000,0.000000,0.000000,events/second
1606740401,2,0.004273,0.000000,0.000000,0.000000,events/second
