t,value
1606739936,16777216
1606739939,33554432
1606739942,67108864
1606739945,100663296
1606739948,100663296
1606739951,100663296
1606739954,100663296
1606739957,100663296
1606739960,100663296
1606739963,100663296
1606739966,100663296
1606739969,100663296
1606739972,100663296
1606739975,100663296
1606739978,100663296
1606739981,100663296
1606739984,100663296
1606739987,100663296
1606739990,100663296
1606739993,100663296
1606739996,100663296
1606739999,100663296
1606740002,100663296
1606740005,100663296
1606740008,100663296
1606740011,100663296
1606740014,100663296
1606740017,100663296
1606740020,100663296
1606740023,100663296
1606740026,100663296
1606740029,134217728
1606740032,134217728
1606740035,134217728
1606740038,134217728
1606740041,134217728
1606740044,134217728
1606740047,134217728
1606740050,134217728
1606740053,134217728
1606740056,134217728
1606740059,134217728
1606740062,134217728
1606740065,134217728
1606740068,134217728
1606740071,134217728
1606740074,134217728
1606740077,134217728
1606740080,134217728
1606740083,134217728
1606740086,134217728
1606740089,134217728
1606740092,134217728
1606740095,134217728
1606740098,134217728
1606740101,134217728
1606740104,134217728
1606740107,134217728
1606740110,134217728
1606740113,134217728
1606740116,134217728
1606740119,134217728
1606740122,134217728
1606740125,134217728
1606740128,134217728
1606740131,134217728
1606740134,134217728
1606740137,134217728
1606740140,134217728
1606740143,134217728
1606740146,134217728
1606740149,134217728
1606740152,134217728
1606740155,134217728
1606740158,134217728
1606740161,134217728
1606740164,134217728
1606740167,134217728
1606740170,134217728
1606740173,134217728
1606740176,134217728
1606740179,134217728
1606740182,134217728
1606740185,134217728
1606740188,134217728
1606740191,134217728
1606740194,134217728
1606740197,134217728
1606740200,134217728
1606740203,134217728
1606740206,134217728
1606740209,134217728
1606740212,134217728
1606740215,134217728
1606740218,134217728
1606740221,134217728
1606740224,134217728
1606740227,134217728
1606740230,134217728
1606740233,134217728
1606740236,134217728
1606740239,134217728
1606740242,134217728
1606740245,134217728
1606740248,134217728
1606740251,134217728
1606740254,134217728
1606740257,134217728
1606740260,134217728
1606740263,134217728
1606740266,134217728
1606740269,134217728
1606740272,134217728
1606740275,134217728
1606740278,134217728
1606740281,134217728
1606740284,134217728
1606740287,134217728
1606740290,134217728
1606740293,134217728
1606740296,134217728
1606740299,134217728
1606740302,134217728
1606740305,134217728
1606740308,134217728
1606740311,134217728
1606740314,134217728
1606740317,134217728
1606740320,134217728
1606740323,134217728
1606740326,134217728
1606740329,134217728
1606740332,134217728
1606740335,134217728
1606740338,134217728
1606740341,134217728
1606740344,134217728
