t,value
1606739936,2097152
1606739939,2097152
1606739942,2097152
1606739945,2097152
1606739948,2097152
1606739951,2097152
1606739954,2097152
1606739957,2097152
1606739960,2097152
1606739963,2097152
1606739966,2097152
1606739969,2097152
1606739972,2097152
1606739975,2097152
1606739978,2097152
1606739981,2097152
1606739984,2097152
1606739987,2097152
1606739990,2097152
1606739993,2097152
1606739996,2097152
1606739999,2097152
1606740002,2097152
1606740005,2097152
1606740008,2097152
1606740011,2097152
1606740014,2097152
1606740017,2097152
1606740020,2097152
1606740023,2097152
1606740026,2097152
1606740029,2097152
1606740032,2097152
1606740035,2097152
1606740038,2097152
1606740041,2097152
1606740044,2097152
1606740047,2097152
1606740050,2097152
1606740053,2097152
1606740056,2097152
1606740059,2097152
1606740062,2097152
1606740065,2097152
1606740068,2097152
1606740071,2097152
1606740074,2097152
1606740077,2097152
1606740080,2097152
1606740083,2097152
1606740086,2097152
1606740089,2097152
1606740092,2097152
1606740095,2097152
1606740098,2097152
1606740101,2097152
1606740104,2097152
1606740107,2097152
1606740110,2097152
1606740113,2097152
1606740116,2097152
1606740119,2097152
1606740122,2097152
1606740125,2097152
1606740128,2097152
1606740131,2097152
1606740134,2097152
1606740137,2097152
1606740140,2097152
1606740143,2097152
1606740146,2097152
1606740149,2097152
1606740152,2097152
1606740155,2097152
1606740158,2097152
1606740161,2097152
1606740164,2097152
1606740167,2097152
1606740170,2097152
1606740173,2097152
1606740176,2097152
1606740179,2097152
1606740182,2097152
1606740185,2097152
1606740188,2097152
1606740191,2097152
1606740194,2097152
1606740197,2097152
1606740200,2097152
1606740203,2097152
1606740206,2097152
1606740209,2097152
1606740212,2097152
1606740215,2097152
1606740218,2097152
1606740221,2097152
1606740224,2097152
1606740227,2097152
1606740230,2097152
1606740233,2097152
1606740236,2097152
1606740239,2097152
1606740242,2097152
1606740245,2097152
1606740248,2097152
1606740251,2097152
1606740254,2097152
1606740257,2097152
1606740260,2097152
1606740263,2097152
1606740266,2097152
1606740269,2097152
1606740272,2097152
1606740275,2097152
1606740278,2097152
1606740281,2097152
1606740284,2097152
1606740287,2097152
1606740290,2097152
1606740293,2097152
1606740296,2097152
1606740299,2097152
1606740302,2097152
1606740305,2097152
1606740308,2097152
1606740311,2097152
1606740314,2097152
1606740317,2097152
1606740320,2097152
1606740323,2097152
1606740326,2097152
1606740329,2097152
1606740332,2097152
1606740335,2097152
1606740338,2097152
1606740341,2097152
1606740344,2097152
1606740347,2097152
1606740350,2097152
