t,value
1606739936,532676608
1606739939,532676608
1606739942,532676608
1606739945,532676608
1606739948,532676608
1606739951,532676608
1606739954,532676608
1606739957,532676608
1606739960,532676608
1606739963,532676608
1606739966,532676608
1606739969,532676608
1606739972,532676608
1606739975,532676608
1606739978,532676608
1606739981,532676608
1606739984,532676608
1606739987,532676608
1606739990,532676608
1606739993,532676608
1606739996,532676608
1606739999,532676608
1606740002,532676608
1606740005,532676608
1606740008,532676608
1606740011,532676608
1606740014,532676608
1606740017,532676608
1606740020,532676608
1606740023,532676608
1606740026,532676608
1606740029,532676608
1606740032,532676608
1606740035,532676608
1606740038,532676608
1606740041,532676608
1606740044,532676608
1606740047,532676608
1606740050,532676608
1606740053,532676608
1606740056,532676608
1606740059,532676608
1606740062,532676608
1606740065,532676608
1606740068,532676608
1606740071,532676608
1606740074,532676608
1606740077,532676608
1606740080,532676608
1606740083,532676608
1606740086,532676608
1606740089,532676608
1606740092,532676608
1606740095,532676608
1606740098,532676608
1606740101,532676608
1606740104,532676608
1606740107,532676608
1606740110,532676608
1606740113,532676608
1606740116,532676608
1606740119,532676608
1606740122,532676608
1606740125,532676608
1606740128,532676608
1606740131,532676608
1606740134,532676608
1606740137,532676608
1606740140,532676608
1606740143,532676608
1606740146,532676608
1606740149,532676608
1606740152,532676608
1606740155,532676608
1606740158,532676608
1606740161,532676608
1606740164,532676608
1606740167,532676608
1606740170,532676608
1606740173,532676608
1606740176,532676608
1606740179,532676608
1606740182,532676608
1606740185,532676608
1606740188,532676608
1606740191,532676608
1606740194,532676608
1606740197,532676608
1606740200,532676608
1606740203,532676608
1606740206,532676608
1606740209,532676608
1606740212,532676608
1606740215,532676608
1606740218,532676608
1606740221,532676608
1606740224,532676608
1606740227,532676608
1606740230,532676608
1606740233,532676608
1606740236,532676608
1606740239,532676608
1606740242,532676608
1606740245,532676608
1606740248,532676608
1606740251,532676608
1606740254,532676608
1606740257,532676608
1606740260,532152320
1606740263,532152320
1606740266,532152320
1606740269,532152320
1606740272,532152320
1606740275,532152320
1606740278,532152320
1606740281,532152320
1606740284,532152320
