t,value
1606739936,4194304
1606739939,4194304
1606739942,4194304
1606739945,4194304
1606739948,4194304
1606739951,4194304
1606739954,4194304
1606739957,4194304
1606739960,4194304
1606739963,4194304
1606739966,4194304
1606739969,4194304
1606739972,4194304
1606739975,4194304
1606739978,4194304
1606739981,4194304
1606739984,4194304
1606739987,4194304
1606739990,4194304
1606739993,4194304
1606739996,4194304
1606739999,4194304
1606740002,4194304
1606740005,4194304
1606740008,4194304
1606740011,4194304
1606740014,4194304
1606740017,4194304
1606740020,4194304
1606740023,4194304
1606740026,4194304
1606740029,4194304
1606740032,4194304
1606740035,4194304
1606740038,4194304
1606740041,4194304
1606740044,4194304
1606740047,4194304
1606740050,4194304
1606740053,4194304
1606740056,4194304
1606740059,4194304
1606740062,4194304
1606740065,4194304
1606740068,4194304
1606740071,4194304
1606740074,4194304
1606740077,4194304
1606740080,4194304
1606740083,4194304
1606740086,4194304
1606740089,4194304
1606740092,4194304
1606740095,4194304
1606740098,4194304
1606740101,4194304
1606740104,4194304
1606740107,4194304
1606740110,4194304
1606740113,4194304
1606740116,4194304
1606740119,4194304
1606740122,4194304
1606740125,4194304
1606740128,4194304
1606740131,4194304
1606740134,4194304
1606740137,4194304
1606740140,4194304
1606740143,4194304
1606740146,4194304
1606740149,4194304
1606740152,4194304
1606740155,4194304
1606740158,4194304
1606740161,4194304
1606740164,4194304
1606740167,4194304
1606740170,4194304
1606740173,4194304
1606740176,4194304
1606740179,4194304
1606740182,4194304
1606740185,4194304
1606740188,4194304
1606740191,4194304
1606740194,4194304
1606740197,4194304
1606740200,4194304
1606740203,4194304
1606740206,4194304
1606740209,4194304
1606740212,4194304
1606740215,4194304
1606740218,4194304
1606740221,4194304
1606740224,4194304
1606740227,4194304
1606740230,4194304
1606740233,4194304
1606740236,4194304
1606740239,4194304
1606740242,4194304
1606740245,4194304
1606740248,4194304
1606740251,4194304
1606740254,4194304
1606740257,4194304
1606740260,4718592
1606740263,4718592
1606740266,4718592
1606740269,4718592
1606740272,4718592
1606740275,4718592
1606740278,4718592
1606740281,4718592
1606740284,4718592
1606740287,4718592
1606740290,4718592
1606740293,4718592
1606740296,4718592
1606740299,4718592
1606740302,4718592
1606740305,4718592
1606740308,4718592
1606740311,4718592
1606740314,4718592
1606740317,4718592
1606740320,4718592
1606740323,4718592
1606740326,4718592
1606740329,4718592
1606740332,4718592
1606740335,4718592
1606740338,4718592
1606740341,4718592
1606740344,4718592
1606740347,4718592
1606740350,4718592
1606740353,4718592
1606740356,4718592
1606740359,4718592
1606740362,4718592
1606740365,4718592
1606740368,4718592
1606740371,4718592
1606740374,4718592
1606740377,4718592
1606740380,4718592
1606740383,4718592
1606740386,4718592
1606740389,4718592
1606740392,4718592
1606740395,4718592
1606740398,4718592
1606740401,4718592
1606740404,4718592
1606740407,4718592
1606740410,4718592
1606740413,4718592
1606740416,4718592
1606740419,4718592
1606740422,4718592
1606740425,4718592
1606740428,4718592
1606740431,4718592
1606740434,4718592
1606740437,4718592
1606740440,4718592
1606740443,4718592
1606740446,4718592
1606740449,4718592
1606740452,4718592
1606740455,4718592
1606740458,4718592
1606740461,4718592
1606740464,4718592
1606740467,4718592
1606740470,4718592
1606740473,4718592
1606740476,4718592
1606740479,4718592
1606740482,4718592
1606740485,4718592
1606740488,4718592
1606740491,4718592
1606740494,4718592
1606740497,4718592
1606740500,4718592
1606740503,4718592
1606740506,4718592
1606740509,4718592
1606740512,4718592
1606740515,4718592
1606740518,4718592
1606740521,4718592
1606740524,4718592
1606740527,4718592
1606740530,4718592
1606740533,4718592
1606740536,4718592
1606740539,4718592
1606740542,4718592
1606740545,4718592
1606740548,4718592
1606740551,4718592
1606740554,4718592
1606740557,4718592
1606740560,4718592
1606740563,4718592
1606740566,4718592
1606740569,4718592
1606740572,4718592
1606740575,4718592
1606740578,4718592
1606740581,4718592
1606740584,4718592
1606740587,4718592
1606740590,4718592
1606740593,4718592
1606740596,4718592
1606740599,4718592
1606740602,4718592
1606740605,4718592
1606740608,4718592
1606740611,4718592
1606740614,4718592
1606740617,4718592
1606740620,4718592
1606740623,4718592
1606740626,4718592
1606740629,4718592
1606740632,4718592
1606740635,4718592
1606740638,4718592
1606740641,4718592
1606740644,4718592
1606740647,4718592
1606740650,4718592
1606740653,4718592
1606740656,4718592
1606740659,4718592
1606740662,4718592
1606740665,4718592
1606740668,4718592
1606740671,4718592
1606740674,4718592
1606740677,4718592
1606740680,4718592
1606740683,4718592
1606740686,4718592
1606740689,4718592
1606740692,4718592
1606740695,4718592
1606740698,4718592
1606740701,4718592
1606740704,4718592
1606740707,4718592
1606740710,4718592
1606740713,4718592
1606740716,4718592
1606740719,4718592
1606740722,4718592
1606740725,4718592
1606740728,4718592
1606740731,4718592
1606740734,4718592
1606740737,4718592
1606740740,4718592
1606740743,4718592
1606740746,4718592
1606740749,4718592
1606740752,4718592
1606740755,4718592
1606740758,4718592
1606740761,4718592
1606740764,4718592
1606740767,4718592
1606740770,4718592
1606740773,4718592
1606740776,4718592
1606740779,4718592
1606740782,4718592
1606740785,4718592
1606740788,4718592
1606740791,4718592
1606740794,4718592
1606740797,4718592
1606740800,4718592
1606740803,4718592
1606740806,4718592
1606740809,4718592
1606740812,4718592
1606740815,4718592
1606740818,4718592
1606740821,4718592
1606740824,4718592
1606740827,4718592
1606740830,4718592
1606740833,4718592
1606740836,4718592
1606740839,4718592
1606740842,4718592
1606740845,4718592
1606740848,4718592
1606740851,4718592
1606740854,4718592
1606740857,4718592
1606740860,4718592
1606740863,4718592
1606740866,19398656
1606740869,19398656
1606740872,19398656
1606740875,19398656
1606740878,19398656
1606740881,19398656
1606740884,19398656
1606740887,19398656
1606740890,19398656
1606740893,19398656
1606740896,19398656
1606740899,19398656
1606740902,19398656
