t,value
1606739936,229520
1606739939,229520
1606739942,229520
1606739945,229520
1606739948,229520
1606739951,229520
1606739954,230592
1606739957,230592
1606739960,230592
1606739963,230592
1606739966,230592
1606739969,230592
1606739972,230592
1606739975,230592
1606739978,230592
1606739981,230592
1606739984,230592
1606739987,230592
1606739990,230592
1606739993,230592
1606739996,230592
1606739999,230592
1606740002,230592
1606740005,230592
1606740008,230592
1606740011,230592
1606740014,230592
1606740017,230592
1606740020,230592
1606740023,230592
1606740026,230592
1606740029,230592
1606740032,230736
1606740035,231936
1606740038,233512
1606740041,233512
1606740044,233512
1606740047,233512
1606740050,233512
1606740053,234944
1606740056,234944
1606740059,234944
1606740062,234944
1606740065,234944
1606740068,234944
1606740071,235944
1606740074,236376
1606740077,236376
1606740080,236376
1606740083,236376
1606740086,236376
1606740089,236376
1606740092,237808
1606740095,237808
1606740098,237808
1606740101,237808
1606740104,237808
1606740107,237808
1606740110,237808
1606740113,239240
1606740116,239240
1606740119,239240
1606740122,239240
1606740125,239240
1606740128,239240
1606740131,240240
1606740134,240672
1606740137,240672
1606740140,240672
1606740143,240672
1606740146,240672
1606740149,240672
1606740152,242104
1606740155,242104
1606740158,242104
1606740161,242104
1606740164,242104
1606740167,242104
1606740170,242104
1606740173,243536
1606740176,243536
1606740179,243536
1606740182,243536
1606740185,243536
1606740188,243536
1606740191,244536
1606740194,244968
1606740197,244968
1606740200,244968
1606740203,244968
1606740206,244968
1606740209,244968
1606740212,246400
1606740215,246400
1606740218,246400
1606740221,246400
1606740224,246400
1606740227,246400
1606740230,246400
1606740233,247832
1606740236,247832
1606740239,247832
1606740242,247832
1606740245,247832
1606740248,247832
1606740251,248832
1606740254,249264
1606740257,249440
1606740260,252784
1606740263,252784
1606740266,252784
1606740269,252784
1606740272,254216
1606740275,254216
1606740278,254216
1606740281,254216
1606740284,254216
1606740287,254216
1606740290,254216
1606740293,255648
1606740296,255648
1606740299,255648
1606740302,256240
1606740305,256240
1606740308,256536
1606740311,257536
1606740314,257968
1606740317,257968
1606740320,257968
1606740323,257968
1606740326,257968
1606740329,258264
1606740332,259696
1606740335,259696
1606740338,259696
1606740341,259696
1606740344,259696
1606740347,259696
1606740350,259696
1606740353,261128
1606740356,261128
1606740359,261128
1606740362,261128
1606740365,261128
1606740368,261128
1606740371,262128
1606740374,262560
1606740377,262560
1606740380,262560
1606740383,262560
1606740386,262560
1606740389,262560
1606740392,263992
1606740395,263992
1606740398,263992
1606740401,263992
1606740404,264288
1606740407,264288
1606740410,264288
1606740413,266024
1606740416,266024
1606740419,266024
1606740422,266024
1606740425,266024
1606740428,266024
1606740431,267656
1606740434,268408
1606740437,268408
1606740440,268408
1606740443,268744
1606740446,269080
1606740449,269080
1606740452,270512
1606740455,270512
1606740458,270512
1606740461,270512
1606740464,270512
1606740467,270512
1606740470,271216
1606740473,272648
1606740476,272648
1606740479,272648
1606740482,272648
1606740485,272648
1606740488,273016
1606740491,273752
1606740494,275184
1606740497,275184
1606740500,275184
1606740503,275184
1606740506,275184
1606740509,275184
1606740512,276616
1606740515,276616
1606740518,276616
1606740521,276984
1606740524,276984
1606740527,277720
1606740530,278824
1606740533,280624
1606740536,280992
1606740539,282832
1606740542,283936
1606740545,284304
1606740548,285040
1606740551,285408
1606740554,286840
1606740557,286840
1606740560,286840
1606740563,286840
1606740566,286840
1606740569,287208
1606740572,289016
1606740575,289016
1606740578,289016
1606740581,289016
1606740584,289016
1606740587,289016
1606740590,289016
1606740593,290448
1606740596,290448
1606740599,290448
1606740602,290448
1606740605,290448
1606740608,290448
1606740611,290448
1606740614,291880
1606740617,291880
1606740620,291880
1606740623,291880
1606740626,291880
1606740629,291880
1606740632,293312
1606740635,293312
1606740638,293312
1606740641,293312
1606740644,293312
1606740647,293312
1606740650,293312
1606740653,294744
1606740656,294744
1606740659,294744
1606740662,296176
1606740665,296176
1606740668,296176
1606740671,296176
1606740674,297608
1606740677,297608
1606740680,297608
1606740683,297984
1606740686,297984
1606740689,297984
1606740692,299416
1606740695,299416
1606740698,299416
1606740701,299416
1606740704,299416
1606740707,299416
1606740710,299416
1606740713,300848
1606740716,300848
1606740719,300848
1606740722,300848
1606740725,300848
1606740728,300848
1606740731,300848
1606740734,302280
1606740737,302280
1606740740,302280
1606740743,302280
1606740746,302280
1606740749,302280
1606740752,303712
1606740755,303712
1606740758,303712
1606740761,303712
1606740764,303712
1606740767,303712
1606740770,303712
1606740773,305144
1606740776,305144
1606740779,305144
1606740782,305144
1606740785,305144
1606740788,305144
1606740791,305144
1606740794,306576
1606740797,306576
1606740800,306576
1606740803,306576
1606740806,306576
1606740809,306576
1606740812,308008
1606740815,308008
1606740818,308008
1606740821,308008
1606740824,308008
1606740827,308008
1606740830,308008
1606740833,309440
1606740836,309440
1606740839,309440
1606740842,309440
1606740845,309440
1606740848,309440
1606740851,309440
1606740854,311232
1606740857,311232
1606740860,311232
1606740863,311672
1606740866,313104
1606740869,313104
1606740872,314536
1606740875,314536
1606740878,314896
1606740881,314896
1606740884,314896
1606740887,314896
1606740890,314896
1606740893,316328
1606740896,316328
1606740899,316328
1606740902,316328
1606740905,316328
1606740908,318576
1606740911,318576
1606740914,320008
1606740917,320008
1606740920,320008
1606740923,320008
1606740926,320008
1606740929,320536
1606740932,321704
1606740935,321704
1606740938,322352
1606740941,322784
1606740944,322784
1606740947,322784
1606740950,322784
1606740953,324216
1606740958,324216
1606740959,324216
1606740962,324216
1606740965,324216
1606740968,324216
1606740971,324216
1606740974,325648
1606740977,325648
1606740980,325648
1606740983,325648
1606740986,325648
1606740989,325648
1606740992,326784
1606740995,327080
1606740998,327080
1606741001,327080
1606741004,327080
1606741007,327080
1606741010,327080
1606741013,328512
1606741016,328512
1606741019,328512
1606741022,328512
1606741025,328512
1606741028,328512
1606741031,328512
1606741034,329944
1606741037,329944
1606741040,329944
1606741043,329944
1606741046,329944
1606741049,329944
1606741052,331080
1606741055,331376
1606741058,331376
1606741061,331376
1606741064,331376
1606741067,331376
1606741070,331376
1606741073,332808
1606741076,332984
1606741079,333160
1606741082,333328
1606741085,333328
1606741088,333328
1606741091,333328
1606741094,333328
1606741097,333328
1606741100,333328
1606741103,333328
1606741106,333328
1606741109,333328
1606741112,333328
1606741115,333328
1606741118,333328
1606741121,333328
1606741124,333328
1606741127,333328
1606741130,333328
1606741133,333328
1606741136,333328
1606741139,333328
1606741142,333328
1606741145,333328
1606741148,333328
1606741151,333328
1606741154,333328
1606741157,333328
1606741160,333328
1606741163,333328
1606741166,333328
1606741169,333328
1606741172,333328
1606741175,333328
1606741178,333328
1606741181,333328
1606741184,333328
1606741187,333328
1606741190,333328
1606741193,333976
1606741196,335408
1606741199,335408
1606741202,335408
1606741205,335408
1606741208,335408
1606741211,335408
1606741214,335408
1606741217,336840
1606741220,336840
1606741223,336840
1606741226,336840
1606741229,336840
1606741232,336840
1606741235,338272
1606741238,338272
1606741241,338272
1606741244,338272
1606741247,338272
1606741250,338272
1606741253,338272
1606741256,339704
1606741259,339704
1606741262,339704
1606741265,339704
1606741268,339704
1606741271,339704
1606741274,339704
1606741277,341136
1606741280,341136
1606741283,341136
1606741286,341136
1606741289,341136
1606741292,341136
1606741295,342568
1606741298,342568
1606741301,342568
1606741304,342568
1606741307,342568
1606741310,342568
1606741313,342568
1606741316,344000
1606741319,344000
1606741322,344000
1606741325,344000
1606741328,344000
1606741331,344000
1606741334,344000
1606741337,345432
1606741340,345432
1606741343,345432
1606741346,345432
1606741349,345432
1606741352,345432
1606741355,346864
1606741358,346864
1606741361,346864
1606741364,346864
1606741367,346864
1606741370,346864
1606741373,346864
1606741376,348296
1606741379,348296
1606741382,348296
1606741385,348296
1606741388,348296
1606741391,348296
1606741394,348296
1606741397,349728
1606741400,349728
1606741403,349728
1606741406,349728
1606741409,349728
1606741412,349728
1606741415,351160
1606741418,351160
1606741421,351160
1606741424,351160
1606741427,351160
1606741430,351160
1606741433,351160
1606741436,352592
1606741439,352592
1606741442,352592
1606741445,352592
1606741448,352592
1606741451,352592
1606741454,352592
1606741457,354024
1606741460,354024
1606741463,354200
1606741466,354200
1606741469,354200
1606741472,354200
1606741475,355336
1606741478,355632
1606741481,355632
1606741484,355976
1606741487,355976
1606741490,355976
1606741493,355976
1606741496,357408
1606741499,357408
1606741502,357408
1606741505,357408
1606741508,357408
1606741511,357408
1606741514,357408
1606741517,358840
1606741520,358840
1606741523,358840
1606741526,358840
1606741529,358840
1606741532,358840
1606741535,359976
1606741538,360272
1606741541,360272
1606741544,360272
1606741547,360272
1606741550,360272
1606741553,360272
1606741556,361272
1606741559,361704
1606741562,362040
1606741565,363472
1606741568,363472
1606741571,363472
1606741574,363472
1606741577,365416
1606741580,367144
1606741583,367144
1606741586,367144
1606741589,367144
1606741592,367488
1606741595,367488
1606741598,368920
1606741601,368920
1606741604,368920
1606741607,368920
1606741610,368920
1606741613,368920
1606741616,370056
1606741619,370352
1606741622,371176
1606741625,372608
1606741628,372608
1606741631,372608
1606741634,372608
1606741637,374840
1606741640,374840
1606741643,374840
1606741646,375016
1606741649,377096
