t,value
1606739936,9223372036854775807
1606739939,9223372036854775807
1606739942,9223372036854775807
1606739945,9223372036854775807
1606739948,9223372036854775807
1606739951,9223372036854775807
1606739954,9223372036854775807
1606739957,9223372036854775807
1606739960,9223372036854775807
1606739963,9223372036854775807
1606739966,9223372036854775807
1606739969,9223372036854775807
1606739972,9223372036854775807
1606739975,9223372036854775807
1606739978,9223372036854775807
1606739981,9223372036854775807
1606739984,9223372036854775807
1606739987,9223372036854775807
1606739990,9223372036854775807
1606739993,9223372036854775807
1606739996,9223372036854775807
1606739999,9223372036854775807
1606740002,9223372036854775807
1606740005,9223372036854775807
1606740008,9223372036854775807
1606740011,9223372036854775807
1606740014,9223372036854775807
1606740017,9223372036854775807
1606740020,9223372036854775807
1606740023,9223372036854775807
1606740026,9223372036854775807
1606740029,9223372036854775807
1606740032,9223372036854775807
1606740035,9223372036854775807
1606740038,9223372036854775807
1606740041,9223372036854775807
1606740044,9223372036854775807
1606740047,9223372036854775807
1606740050,9223372036854775807
1606740053,9223372036854775807
1606740056,9223372036854775807
1606740059,9223372036854775807
1606740062,9223372036854775807
1606740065,9223372036854775807
1606740068,9223372036854775807
1606740071,9223372036854775807
1606740074,9223372036854775807
1606740077,9223372036854775807
1606740080,9223372036854775807
1606740083,9223372036854775807
1606740086,9223372036854775807
1606740089,9223372036854775807
1606740092,9223372036854775807
1606740095,9223372036854775807
1606740098,9223372036854775807
1606740101,9223372036854775807
1606740104,9223372036854775807
1606740107,9223372036854775807
1606740110,9223372036854775807
1606740113,9223372036854775807
1606740116,9223372036854775807
1606740119,9223372036854775807
1606740122,9223372036854775807
1606740125,9223372036854775807
1606740128,9223372036854775807
1606740131,9223372036854775807
1606740134,9223372036854775807
1606740137,9223372036854775807
1606740140,9223372036854775807
1606740143,9223372036854775807
1606740146,9223372036854775807
1606740149,9223372036854775807
1606740152,9223372036854775807
1606740155,9223372036854775807
1606740158,9223372036854775807
1606740161,9223372036854775807
1606740164,9223372036854775807
1606740167,9223372036854775807
1606740170,9223372036854775807
1606740173,9223372036854775807
1606740176,9223372036854775807
1606740179,9223372036854775807
1606740182,9223372036854775807
1606740185,9223372036854775807
1606740188,9223372036854775807
1606740191,9223372036854775807
1606740194,9223372036854775807
1606740197,9223372036854775807
1606740200,9223372036854775807
1606740203,9223372036854775807
1606740206,9223372036854775807
1606740209,9223372036854775807
1606740212,9223372036854775807
1606740215,9223372036854775807
1606740218,9223372036854775807
1606740221,9223372036854775807
1606740224,9223372036854775807
1606740227,9223372036854775807
1606740230,9223372036854775807
1606740233,9223372036854775807
