t,value
1606739936,0
1606739939,0
1606739942,0
1606739945,0
1606739948,0
1606739951,0
1606739954,0
1606739957,0
1606739960,0
1606739963,0
1606739966,0
1606739969,0
1606739972,0
1606739975,0
1606739978,0
1606739981,0
1606739984,0
1606739987,0
1606739990,0
1606739993,0
1606739996,0
1606739999,0
1606740002,0
1606740005,0
1606740008,0
1606740011,0
1606740014,0
1606740017,0
1606740020,0
1606740023,0
1606740026,0
1606740029,0
1606740032,0
1606740035,0
1606740038,0
1606740041,0
1606740044,0
1606740047,0
1606740050,0
1606740053,0
1606740056,0
1606740059,0
1606740062,0
1606740065,0
1606740068,0
1606740071,0
1606740074,0
1606740077,0
1606740080,0
1606740083,0
1606740086,0
1606740089,0
1606740092,0
1606740095,0
1606740098,0
1606740101,0
1606740104,0
1606740107,0
1606740110,0
1606740113,0
1606740116,0
1606740119,0
1606740122,0
1606740125,0
1606740128,0
1606740131,0
1606740134,0
1606740137,0
1606740140,0
1606740143,0
1606740146,0
1606740149,0
1606740152,0
1606740155,0
1606740158,0
1606740161,0
1606740164,0
1606740167,0
1606740170,0
1606740173,0
1606740176,0
1606740179,0
1606740182,0
1606740185,0
1606740188,0
1606740191,0
1606740194,0
1606740197,0
1606740200,0
1606740203,0
1606740206,0
1606740209,0
1606740212,0
1606740215,0
1606740218,0
1606740221,0
1606740224,0
1606740227,0
1606740230,0
1606740233,0
1606740236,0
1606740239,0
1606740242,0
1606740245,0
1606740248,0
1606740251,0
1606740254,0
1606740257,15
1606740260,54
1606740263,54
1606740266,54
1606740269,54
1606740272,54
1606740275,54
1606740278,54
1606740281,54
1606740284,54
1606740287,54
1606740290,54
1606740293,54
1606740296,54
1606740299,54
1606740302,54
1606740305,54
1606740308,54
1606740311,54
1606740314,54
1606740317,54
1606740320,54
1606740323,54
1606740326,54
1606740329,54
1606740332,54
1606740335,54
1606740338,54
1606740341,54
1606740344,54
1606740347,54
1606740350,54
1606740353,54
1606740356,54
1606740359,54
1606740362,54
1606740365,54
1606740368,54
1606740371,54
1606740374,54
1606740377,54
1606740380,54
1606740383,54
1606740386,54
1606740389,54
1606740392,54
1606740395,54
1606740398,54
1606740401,54
1606740404,54
1606740407,54
1606740410,54
1606740413,54
1606740416,54
1606740419,54
1606740422,54
1606740425,54
1606740428,54
1606740431,54
1606740434,54
1606740437,54
1606740440,54
1606740443,54
1606740446,54
1606740449,54
1606740452,54
1606740455,54
1606740458,54
1606740461,54
1606740464,54
1606740467,54
1606740470,54
1606740473,54
1606740476,54
1606740479,54
1606740482,54
1606740485,54
1606740488,54
1606740491,54
1606740494,54
1606740497,54
1606740500,54
1606740503,54
1606740506,54
1606740509,54
1606740512,54
1606740515,54
1606740518,54
1606740521,54
1606740524,54
1606740527,54
1606740530,54
1606740533,54
1606740536,54
1606740539,54
1606740542,54
1606740545,54
1606740548,54
1606740551,54
1606740554,54
1606740557,54
1606740560,54
1606740563,54
1606740566,54
1606740569,54
1606740572,54
1606740575,54
1606740578,54
1606740581,54
1606740584,54
1606740587,54
1606740590,54
1606740593,54
1606740596,54
1606740599,54
1606740602,54
1606740605,54
1606740608,54
1606740611,54
1606740614,54
1606740617,54
1606740620,54
1606740623,54
1606740626,54
1606740629,54
1606740632,54
1606740635,54
1606740638,54
1606740641,54
1606740644,54
1606740647,54
1606740650,54
1606740653,54
1606740656,54
1606740659,54
1606740662,54
1606740665,54
1606740668,54
1606740671,54
1606740674,54
1606740677,54
1606740680,54
1606740683,54
1606740686,54
1606740689,54
1606740692,54
1606740695,54
1606740698,54
1606740701,54
1606740704,54
1606740707,54
1606740710,54
1606740713,54
1606740716,54
1606740719,54
1606740722,54
1606740725,54
1606740728,54
1606740731,54
1606740734,54
1606740737,54
1606740740,54
1606740743,54
1606740746,54
1606740749,54
1606740752,54
1606740755,54
1606740758,54
1606740761,54
1606740764,54
1606740767,54
1606740770,54
1606740773,54
1606740776,54
1606740779,54
1606740782,54
1606740785,54
1606740788,54
1606740791,54
1606740794,54
1606740797,54
1606740800,54
1606740803,54
1606740806,54
1606740809,54
1606740812,54
1606740815,54
1606740818,54
1606740821,54
1606740824,54
1606740827,54
1606740830,54
1606740833,54
1606740836,54
1606740839,54
1606740842,54
1606740845,54
1606740848,54
1606740851,54
1606740854,54
1606740857,54
1606740860,54
1606740863,56080
1606740866,56080
1606740869,56080
1606740872,56080
1606740875,56080
1606740878,56080
1606740881,56080
1606740884,56080
1606740887,56080
1606740890,56080
1606740893,56080
1606740896,56080
1606740899,56080
1606740902,56080
1606740905,56080
1606740908,56080
1606740911,56080
1606740914,56080
1606740917,56080
1606740920,56080
1606740923,56080
1606740926,56080
1606740929,56080
1606740932,56080
1606740935,56080
1606740938,56080
1606740941,56080
1606740944,56080
1606740947,56080
1606740950,56080
1606740953,56080
1606740958,56080
1606740959,56080
1606740962,56080
1606740965,56080
1606740968,56080
1606740971,56080
1606740974,56080
1606740977,56080
1606740980,56080
1606740983,56080
1606740986,56080
1606740989,56080
1606740992,56080
1606740995,56080
1606740998,56080
1606741001,56080
1606741004,56080
1606741007,56080
1606741010,56080
1606741013,56080
1606741016,56080
1606741019,56080
1606741022,56080
1606741025,56080
1606741028,56080
1606741031,56080
1606741034,56080
1606741037,56080
1606741040,56080
1606741043,56080
1606741046,56080
1606741049,56080
1606741052,56080
1606741055,56080
1606741058,56080
1606741061,56080
1606741064,56080
1606741067,56080
1606741070,56080
1606741073,56080
1606741076,56080
1606741079,56080
1606741082,56080
1606741085,56080
1606741088,56080
1606741091,56080
1606741094,56080
1606741097,56080
1606741100,56080
1606741103,56080
1606741106,56080
1606741109,56080
1606741112,56080
1606741115,56080
1606741118,56080
1606741121,56080
1606741124,56080
1606741127,56080
1606741130,56080
1606741133,56080
1606741136,56080
1606741139,56080
1606741142,56080
1606741145,56080
1606741148,56080
1606741151,56080
1606741154,56080
1606741157,56080
1606741160,56080
1606741163,56080
1606741166,56080
1606741169,56080
1606741172,56080
1606741175,56080
1606741178,56080
1606741181,56080
1606741184,56080
1606741187,56080
1606741190,56080
1606741193,56080
1606741196,56080
1606741199,56080
1606741202,56080
1606741205,56080
1606741208,56080
1606741211,56080
1606741214,56080
1606741217,56080
1606741220,56080
1606741223,56080
1606741226,56080
1606741229,56080
1606741232,56080
1606741235,56080
1606741238,56080
1606741241,56080
1606741244,56080
1606741247,56080
1606741250,56080
1606741253,56080
1606741256,56080
1606741259,56080
1606741262,56080
1606741265,56080
1606741268,56080
1606741271,56080
1606741274,56080
1606741277,56080
1606741280,56080
1606741283,56080
1606741286,56080
1606741289,56080
1606741292,56080
1606741295,56080
1606741298,56080
1606741301,56080
1606741304,56080
1606741307,56080
1606741310,56080
1606741313,56080
1606741316,56080
1606741319,56080
1606741322,56080
1606741325,56080
1606741328,56080
1606741331,56080
1606741334,56080
1606741337,56080
1606741340,56080
1606741343,56080
1606741346,56080
1606741349,56080
1606741352,56080
1606741355,56080
1606741358,56080
1606741361,56080
1606741364,56080
1606741367,56080
1606741370,56080
1606741373,56080
1606741376,56080
1606741379,56080
1606741382,56080
1606741385,56080
1606741388,56080
1606741391,56080
1606741394,56080
1606741397,56080
1606741400,56080
1606741403,56080
1606741406,56080
1606741409,56080
1606741412,56080
1606741415,56080
1606741418,56080
1606741421,56080
1606741424,56080
1606741427,56080
1606741430,56080
1606741433,56080
1606741436,56080
1606741439,56080
1606741442,56080
1606741445,56080
1606741448,56080
1606741451,56080
1606741454,56080
1606741457,56080
1606741460,56080
1606741463,56080
1606741466,56080
1606741469,56080
1606741472,56080
1606741475,56080
1606741478,56080
1606741481,56080
1606741484,56080
1606741487,56080
1606741490,56080
1606741493,56080
1606741496,56080
1606741499,56080
1606741502,56080
1606741505,56080
1606741508,56080
1606741511,56080
1606741514,56080
1606741517,56080
1606741520,56080
1606741523,56080
1606741526,56080
1606741529,56080
1606741532,56080
1606741535,56080
1606741538,56080
1606741541,56080
1606741544,56080
1606741547,56080
1606741550,56080
1606741553,56080
1606741556,56080
1606741559,56080
1606741562,57471
1606741565,57471
1606741568,57471
1606741571,57471
1606741574,57471
1606741577,57471
1606741580,57471
1606741583,57471
1606741586,57471
1606741589,57471
1606741592,57471
1606741595,57471
1606741598,57471
1606741601,57471
1606741604,57471
1606741607,57471
1606741610,57471
1606741613,57471
1606741616,57471
1606741619,57471
1606741622,57471
1606741625,57471
1606741628,57471
1606741631,57471
1606741634,57471
1606741637,57471
1606741640,57471
1606741643,57471
1606741646,57471
1606741649,57471
1606741652,57471
1606741655,57471
1606741658,57471
1606741661,57471
1606741664,57471
1606741667,57471
1606741670,57471
1606741673,57471
1606741676,57471
1606741679,57471
1606741682,57471
1606741685,57471
1606741688,57471
1606741691,57471
1606741694,57471
1606741697,57471
1606741700,57471
1606741703,57471
1606741706,57471
1606741709,57471
1606741712,57471
1606741715,57471
1606741718,57471
1606741721,57471
1606741724,57471
1606741727,57471
1606741730,57471
1606741733,57471
1606741736,57471
1606741739,57471
1606741742,57471
1606741745,57471
1606741748,57471
1606741751,57471
1606741754,57471
1606741757,57471
1606741760,57471
1606741763,57471
1606741766,57471
1606741769,57471
1606741772,57471
1606741775,57471
1606741778,57471
1606741781,57471
1606741784,57471
1606741787,57471
1606741790,57471
1606741793,57471
1606741796,57471
1606741799,57471
1606741802,57471
1606741805,57471
1606741808,57471
1606741811,57471
1606741814,57471
1606741817,57471
1606741820,57471
1606741823,57471
1606741826,57471
1606741829,57471
1606741832,57471
1606741835,57471
1606741838,57471
1606741841,57471
1606741844,57471
1606741847,57471
1606741850,57471
1606741853,57471
1606741856,57471
1606741859,57471
1606741862,57471
1606741865,57471
1606741868,57471
1606741871,57471
1606741874,57471
1606741877,57471
1606741880,57471
1606741883,57471
1606741886,57471
1606741889,57471
1606741892,57471
1606741895,57471
1606741898,57471
1606741901,57471
1606741904,57471
1606741907,57471
1606741910,57471
1606741913,57471
1606741916,57471
1606741919,57471
1606741922,57471
1606741925,57471
1606741928,57471
1606741931,57471
1606741934,57471
1606741937,57471
1606741940,57471
1606741943,57471
1606741946,57471
1606741949,57471
1606741952,57471
1606741955,57471
1606741958,57471
1606741961,57471
1606741964,57471
1606741967,57471
1606741970,57471
1606741973,57471
1606741976,57471
1606741979,57471
1606741982,57471
1606741985,57471
1606741988,57471
1606741991,57471
1606741994,57471
1606741997,57471
1606742000,57471
1606742003,57471
1606742006,57471
1606742009,57471
1606742012,57471
1606742015,57471
1606742018,57471
1606742021,57471
1606742024,57471
1606742027,57471
1606742030,57471
1606742033,57471
1606742036,57471
1606742039,57471
1606742042,57471
1606742045,57471
1606742048,57471
1606742051,57471
1606742054,57471
1606742057,57471
1606742060,57471
1606742063,57471
1606742066,57471
1606742069,57471
1606742072,57471
1606742075,57471
1606742078,57471
1606742081,57471
1606742084,57471
1606742087,57471
1606742090,57471
1606742093,57471
1606742096,57471
1606742099,57471
1606742102,57471
1606742105,57471
1606742108,57471
1606742111,57471
1606742114,57471
1606742117,57471
1606742120,57471
1606742123,57471
1606742126,57471
1606742129,57471
1606742132,57471
1606742135,57471
1606742138,57471
1606742141,57471
1606742144,57471
1606742147,57471
1606742150,57471
1606742153,57471
1606742156,57471
1606742159,57471
1606742162,57471
1606742165,57471
1606742168,57471
1606742171,57471
1606742174,57471
1606742177,57471
1606742180,57471
1606742183,57471
1606742186,57471
1606742189,57471
1606742192,57471
1606742195,57471
1606742198,57471
1606742201,57471
1606742204,57471
1606742207,57471
1606742210,57471
1606742213,57471
1606742216,57471
1606742219,57471
1606742222,57471
1606742225,57471
1606742228,57471
1606742231,57471
1606742234,57471
1606742237,57471
1606742240,57471
1606742243,57471
1606742246,57471
1606742249,57471
1606742252,57471
1606742255,57471
1606742258,57471
1606742261,57471
1606742264,57471
1606742267,57471
1606742270,57471
1606742273,57471
1606742276,57471
1606742279,57471
1606742282,57471
1606742285,57471
1606742288,57471
1606742291,57471
1606742294,57471
1606742297,57471
1606742300,57471
1606742303,57471
1606742306,57471
1606742309,57471
1606742312,57471
1606742315,57471
1606742318,57471
1606742321,57471
1606742324,57471
1606742327,57471
1606742330,57471
1606742333,57471
1606742336,57471
1606742339,57471
1606742342,57471
1606742345,57471
1606742348,57471
1606742351,57471
1606742354,57471
1606742357,57471
1606742360,57471
1606742363,57471
1606742366,57471
1606742369,57471
1606742372,57471
1606742375,57471
1606742378,57471
1606742381,57471
1606742384,57471
1606742387,57471
1606742390,57471
1606742393,57471
1606742396,57471
1606742399,57471
1606742402,57471
1606742405,57471
1606742408,57471
1606742411,57471
1606742414,57471
1606742417,57471
1606742420,57471
1606742423,57471
1606742426,57471
1606742429,57471
1606742432,57471
1606742435,57471
1606742438,57471
1606742441,57471
1606742444,57471
1606742447,57471
1606742450,57471
1606742453,57471
1606742456,57471
1606742459,57471
1606742462,57471
1606742465,57471
1606742468,57471
1606742471,57471
1606742474,57471
1606742477,57471
1606742480,57471
1606742483,57471
1606742486,57471
1606742489,57471
1606742492,57471
1606742495,57471
1606742498,57471
1606742501,57471
1606742504,57471
1606742507,57471
1606742510,57471
1606742513,57471
1606742516,57471
1606742519,57471
1606742522,57471
1606742525,57471
1606742528,57471
1606742531,57471
1606742534,57471
1606742537,57471
1606742540,57471
1606742543,57471
1606742546,57471
1606742549,57471
1606742552,57471
1606742555,57471
1606742558,57471
1606742561,57471
1606742564,57471
1606742567,57471
1606742570,57471
1606742573,57471
1606742576,57471
1606742579,57471
1606742582,57471
1606742585,57471
1606742588,57471
1606742591,57471
1606742594,57471
1606742597,57471
1606742600,57471
1606742603,57471
1606742606,57471
1606742609,57471
1606742612,57471
1606742615,57471
1606742618,57471
1606742621,57471
1606742624,57471
1606742627,57471
1606742630,57471
1606742633,57471
1606742636,57471
1606742639,57471
1606742642,57471
1606742645,57471
1606742648,57471
1606742651,57471
1606742654,57471
1606742657,57471
1606742660,57471
1606742663,57471
1606742666,57471
1606742669,57471
1606742672,57471
1606742675,57471
1606742678,57471
1606742681,57471
1606742684,57471
1606742687,57471
1606742690,57471
1606742693,57471
1606742696,57471
1606742699,57471
1606742702,57471
1606742705,57471
1606742708,57471
1606742711,57471
1606742714,57471
1606742717,57471
1606742720,57471
1606742723,57471
1606742726,57471
1606742729,57471
1606742732,57471
1606742735,57471
1606742738,57471
1606742741,57471
1606742744,57471
1606742747,57471
1606742750,57471
1606742753,57471
1606742756,57471
1606742759,57471
1606742762,57471
1606742765,57471
1606742768,57471
1606742771,57471
1606742774,57471
1606742777,57471
1606742780,57471
1606742783,57471
1606742786,57471
1606742789,57471
1606742792,57471
1606742795,57471
1606742798,57471
1606742801,57471
1606742804,57471
1606742807,57471
1606742810,57471
1606742813,57471
1606742816,57471
1606742819,57471
1606742822,57471
1606742825,57471
1606742828,57471
1606742831,57471
1606742834,57471
1606742837,57471
1606742840,57471
1606742843,57471
1606742846,57471
1606742849,57471
1606742852,57471
1606742855,57471
1606742858,57471
1606742861,57471
1606742864,57471
1606742867,57471
t,value
1606743147,57471
1606743151,57471
1606743153,57471
1606743156,57471
1606743159,57471
1606743162,57471
1606743165,57471
1606743168,57471
1606743171,57471
1606743174,57471
1606743177,57471
1606743180,57471
1606743183,57471
1606743186,57471
1606743189,57471
1606743192,57471
1606743195,57471
1606743198,57471
1606743201,57471
1606743204,57471
1606743207,57471
1606743210,57471
1606743213,57471
1606743216,57471
1606743219,57471
1606743222,57471
1606743225,57471
1606743228,57471
1606743231,57471
1606743234,57471
1606743237,57471
1606743240,57473
1606743243,57473
1606743246,57473
1606743249,57473
1606743252,57473
1606743255,57473
1606743258,57473
1606743261,57473
1606743264,57473
1606743267,57473
1606743270,57473
1606743273,57473
1606743276,57473
1606743279,57473
1606743282,57473
1606743285,57473
1606743288,57473
1606743291,57473
1606743294,57473
1606743297,57473
1606743300,57473
1606743303,57473
1606743306,57473
1606743309,57473
1606743312,57473
1606743315,57473
1606743318,57473
1606743321,57473
1606743324,57473
1606743327,57473
1606743330,57473
1606743333,57473
1606743336,57473
1606743339,57473
1606743342,57473
1606743345,57473
1606743348,57473
1606743351,57473
1606743354,57473
1606743357,57473
1606743360,57473
1606743363,57473
1606743366,57473
1606743369,57473
1606743372,57473
1606743375,57473
1606743378,57473
1606743381,57473
1606743384,57473
1606743387,57473
1606743390,57473
1606743393,57473
1606743396,57473
1606743399,57473
1606743402,57473
1606743405,57473
1606743408,57473
1606743411,57473
1606743414,57473
1606743417,57473
1606743420,57473
1606743423,57473
1606743426,57473
1606743429,57473
1606743432,57473
1606743435,57473
1606743438,57473
1606743441,57473
1606743444,57473
1606743447,57473
1606743450,57473
1606743453,57473
1606743456,57473
1606743459,57473
1606743462,57473
1606743465,57473
1606743468,57473
1606743471,57473
1606743474,57473
1606743477,57473
1606743480,57473
1606743483,57473
1606743486,57473
1606743489,57473
1606743492,57473
1606743495,57473
1606743498,57473
1606743501,57473
1606743504,57473
1606743507,57473
1606743510,57473
1606743513,57473
1606743516,57473
1606743519,57473
1606743522,57473
1606743525,57473
1606743528,57473
1606743531,57473
1606743534,57473
1606743537,57473
1606743540,57473
1606743543,57473
1606743546,57473
1606743549,57473
1606743552,57473
1606743555,57473
1606743558,57473
1606743561,57473
1606743564,57473
1606743567,57473
1606743570,57473
1606743573,57473
1606743576,57473
1606743579,57473
1606743582,57473
1606743585,57473
1606743588,57473
1606743591,57473
1606743594,57473
1606743597,57473
1606743600,57473
1606743603,57473
1606743606,57473
1606743609,57473
1606743612,57473
1606743615,57473
1606743618,57473
1606743621,57473
1606743624,57473
1606743627,57473
1606743630,57473
1606743633,57473
1606743636,57473
1606743639,57473
1606743642,57473
1606743645,57473
1606743648,57473
1606743651,57473
1606743654,57473
1606743657,57473
