t,value
1606739936,0
1606739939,0
1606739942,0
1606739945,0
1606739948,0
1606739951,0
1606739954,0
1606739957,0
1606739960,0
1606739963,0
1606739966,0
1606739969,0
1606739972,0
1606739975,0
1606739978,0
1606739981,0
1606739984,0
1606739987,0
1606739990,0
1606739993,0
1606739996,0
1606739999,0
1606740002,0
1606740005,0
1606740008,0
1606740011,0
1606740014,0
1606740017,0
1606740020,0
1606740023,0
1606740026,0
1606740029,0
1606740032,0
1606740035,0
1606740038,0
1606740041,0
1606740044,0
1606740047,0
1606740050,0
1606740053,0
1606740056,0
1606740059,0
1606740062,0
1606740065,0
1606740068,0
1606740071,0
1606740074,0
1606740077,0
1606740080,0
1606740083,0
1606740086,0
1606740089,0
1606740092,0
1606740095,0
1606740098,0
1606740101,0
1606740104,0
1606740107,0
1606740110,0
1606740113,0
1606740116,0
1606740119,0
1606740122,0
1606740125,0
1606740128,0
1606740131,0
1606740134,0
1606740137,0
1606740140,0
1606740143,0
1606740146,0
1606740149,0
1606740152,0
1606740155,0
1606740158,0
1606740161,0
1606740164,0
1606740167,0
1606740170,0
1606740173,0
1606740176,0
1606740179,0
1606740182,0
1606740185,0
1606740188,0
1606740191,0
1606740194,0
1606740197,0
1606740200,0
1606740203,0
1606740206,0
1606740209,0
1606740212,0
1606740215,0
1606740218,0
1606740221,0
1606740224,0
1606740227,0
1606740230,0
1606740233,0
1606740236,0
1606740239,0
1606740242,0
1606740245,0
1606740248,0
1606740251,0
1606740254,0
1606740257,0
1606740260,0
1606740263,0
1606740266,0
1606740269,0
1606740272,0
1606740275,0
1606740278,0
1606740281,0
1606740284,0
1606740287,0
1606740290,0
1606740293,0
1606740296,0
1606740299,0
1606740302,0
1606740305,0
1606740308,0
1606740311,0
1606740314,0
1606740317,0
1606740320,0
1606740323,0
1606740326,0
1606740329,0
1606740332,0
1606740335,0
1606740338,0
1606740341,0
1606740344,0
1606740347,0
1606740350,0
1606740353,0
1606740356,0
1606740359,0
1606740362,0
1606740365,0
1606740368,0
1606740371,0
1606740374,0
1606740377,0
1606740380,0
1606740383,0
1606740386,0
1606740389,0
1606740392,0
1606740395,0
1606740398,0
1606740401,0
1606740404,0
1606740407,0
1606740410,0
1606740413,0
1606740416,0
1606740419,0
1606740422,0
1606740425,0
1606740428,0
1606740431,0
1606740434,0
1606740437,0
1606740440,0
1606740443,0
1606740446,0
1606740449,0
1606740452,0
1606740455,0
1606740458,0
1606740461,0
1606740464,0
1606740467,0
1606740470,0
1606740473,0
1606740476,0
1606740479,0
1606740482,0
1606740485,0
1606740488,0
1606740491,0
1606740494,0
1606740497,0
1606740500,0
1606740503,0
1606740506,0
1606740509,0
1606740512,0
1606740515,0
1606740518,0
1606740521,0
1606740524,0
1606740527,0
1606740530,0
1606740533,0
1606740536,0
1606740539,0
1606740542,0
1606740545,0
1606740548,0
1606740551,0
1606740554,0
1606740557,0
1606740560,0
1606740563,0
1606740566,0
1606740569,0
1606740572,0
1606740575,0
1606740578,0
1606740581,0
1606740584,0
1606740587,0
1606740590,0
1606740593,0
1606740596,0
1606740599,0
1606740602,0
1606740605,0
1606740608,0
1606740611,0
1606740614,0
1606740617,0
1606740620,0
1606740623,0
1606740626,0
1606740629,0
1606740632,0
1606740635,0
1606740638,0
1606740641,0
1606740644,0
1606740647,0
1606740650,0
1606740653,0
1606740656,1
1606740659,1
1606740662,1
1606740665,1
1606740668,1
1606740671,1
1606740674,1
1606740677,1
1606740680,1
1606740683,1
1606740686,1
1606740689,1
1606740692,1
1606740695,1
1606740698,1
1606740701,1
1606740704,1
1606740707,1
1606740710,1
1606740713,1
1606740716,1
1606740719,1
1606740722,1
1606740725,1
1606740728,1
1606740731,1
1606740734,1
1606740737,1
1606740740,1
1606740743,1
1606740746,1
1606740749,1
1606740752,1
1606740755,1
1606740758,1
1606740761,1
1606740764,1
1606740767,1
1606740770,1
1606740773,1
1606740776,1
1606740779,1
1606740782,1
1606740785,1
1606740788,1
1606740791,1
1606740794,1
1606740797,1
1606740800,1
1606740803,1
1606740806,1
1606740809,1
1606740812,1
1606740815,1
1606740818,1
1606740821,1
1606740824,1
1606740827,1
1606740830,1
1606740833,1
1606740836,1
1606740839,1
1606740842,1
1606740845,1
1606740848,1
1606740851,1
1606740854,1
1606740857,1
1606740860,1
1606740863,1
1606740866,1
1606740869,1
1606740872,1
1606740875,1
1606740878,1
1606740881,1
1606740884,1
1606740887,1
1606740890,1
1606740893,1
1606740896,1
1606740899,1
1606740902,1
1606740905,1
1606740908,1
1606740911,1
1606740914,1
1606740917,1
1606740920,1
1606740923,1
1606740926,1
1606740929,1
1606740932,1
1606740935,1
1606740938,1
1606740941,1
1606740944,1
1606740947,1
1606740950,1
1606740953,1
1606740958,1
1606740959,1
1606740962,1
1606740965,1
1606740968,1
1606740971,1
1606740974,1
1606740977,1
1606740980,1
1606740983,1
1606740986,1
1606740989,1
1606740992,1
1606740995,1
1606740998,1
1606741001,1
1606741004,1
1606741007,1
1606741010,1
1606741013,1
1606741016,1
1606741019,1
1606741022,1
1606741025,1
1606741028,1
1606741031,1
1606741034,1
1606741037,1
1606741040,1
1606741043,1
1606741046,1
1606741049,1
1606741052,1
1606741055,1
1606741058,1
1606741061,1
1606741064,1
1606741067,1
1606741070,1
1606741073,1
1606741076,1
1606741079,1
1606741082,1
1606741085,1
1606741088,1
1606741091,1
1606741094,1
1606741097,1
1606741100,1
1606741103,1
1606741106,1
1606741109,1
1606741112,1
1606741115,1
1606741118,1
1606741121,1
1606741124,1
1606741127,1
1606741130,1
1606741133,1
1606741136,1
1606741139,1
1606741142,1
1606741145,1
1606741148,1
1606741151,1
1606741154,1
1606741157,1
1606741160,1
1606741163,1
1606741166,1
1606741169,1
1606741172,1
1606741175,1
1606741178,1
1606741181,1
1606741184,1
1606741187,1
1606741190,1
1606741193,1
1606741196,1
1606741199,1
1606741202,1
1606741205,1
1606741208,1
1606741211,1
1606741214,1
1606741217,1
1606741220,1
1606741223,1
1606741226,1
1606741229,1
1606741232,1
1606741235,1
1606741238,1
1606741241,1
1606741244,1
1606741247,1
1606741250,1
1606741253,1
1606741256,1
1606741259,1
1606741262,1
1606741265,1
1606741268,1
1606741271,1
1606741274,1
1606741277,1
1606741280,1
1606741283,1
1606741286,1
1606741289,1
1606741292,1
1606741295,1
1606741298,1
1606741301,1
1606741304,1
1606741307,1
1606741310,1
1606741313,1
1606741316,1
1606741319,1
1606741322,1
1606741325,1
1606741328,1
1606741331,1
1606741334,1
1606741337,1
1606741340,1
1606741343,1
1606741346,1
1606741349,1
1606741352,1
1606741355,1
1606741358,1
1606741361,1
1606741364,1
1606741367,1
1606741370,1
1606741373,1
1606741376,1
1606741379,1
1606741382,1
1606741385,1
1606741388,1
1606741391,1
1606741394,1
1606741397,1
1606741400,1
1606741403,1
1606741406,1
1606741409,1
1606741412,1
1606741415,1
1606741418,1
1606741421,1
1606741424,1
1606741427,1
1606741430,1
1606741433,1
1606741436,1
1606741439,1
1606741442,1
1606741445,1
1606741448,1
1606741451,1
1606741454,1
1606741457,1
1606741460,1
1606741463,1
1606741466,1
1606741469,1
1606741472,1
1606741475,1
1606741478,1
1606741481,1
1606741484,1
1606741487,1
1606741490,1
1606741493,1
1606741496,1
1606741499,1
1606741502,1
1606741505,1
1606741508,1
1606741511,1
1606741514,1
1606741517,1
1606741520,1
1606741523,1
1606741526,1
1606741529,1
1606741532,1
1606741535,1
1606741538,1
1606741541,1
1606741544,1
1606741547,1
1606741550,1
1606741553,1
1606741556,2
1606741559,2
1606741562,2
1606741565,2
1606741568,2
1606741571,2
1606741574,2
1606741577,2
1606741580,2
1606741583,2
1606741586,2
1606741589,2
1606741592,2
1606741595,2
1606741598,2
1606741601,2
1606741604,2
1606741607,2
1606741610,2
1606741613,2
1606741616,2
1606741619,2
1606741622,2
1606741625,2
1606741628,2
1606741631,2
1606741634,2
1606741637,2
1606741640,2
1606741643,2
1606741646,2
1606741649,2
1606741652,2
1606741655,2
1606741658,2
1606741661,2
1606741664,2
1606741667,2
1606741670,2
1606741673,2
1606741676,2
1606741679,2
1606741682,2
1606741685,2
1606741688,2
1606741691,2
1606741694,2
1606741697,2
1606741700,2
1606741703,2
1606741706,2
1606741709,2
1606741712,2
1606741715,2
1606741718,2
1606741721,2
1606741724,2
1606741727,2
1606741730,2
1606741733,2
1606741736,2
1606741739,2
1606741742,2
1606741745,2
1606741748,2
1606741751,2
1606741754,2
1606741757,2
1606741760,2
1606741763,2
1606741766,2
1606741769,2
1606741772,2
1606741775,2
1606741778,2
1606741781,2
1606741784,2
1606741787,2
1606741790,2
1606741793,2
1606741796,2
1606741799,2
1606741802,2
1606741805,2
1606741808,2
1606741811,2
1606741814,2
1606741817,2
1606741820,2
1606741823,2
1606741826,2
1606741829,2
1606741832,2
1606741835,2
1606741838,2
1606741841,2
1606741844,2
1606741847,2
1606741850,2
1606741853,2
1606741856,2
1606741859,2
1606741862,2
1606741865,2
1606741868,2
1606741871,2
1606741874,2
1606741877,2
1606741880,2
1606741883,2
1606741886,2
1606741889,2
1606741892,2
1606741895,2
1606741898,2
1606741901,2
1606741904,2
1606741907,2
1606741910,2
1606741913,2
1606741916,2
1606741919,2
1606741922,2
1606741925,2
1606741928,2
1606741931,2
1606741934,2
1606741937,2
1606741940,2
1606741943,2
1606741946,2
1606741949,2
1606741952,2
1606741955,2
1606741958,2
1606741961,2
1606741964,2
1606741967,2
1606741970,2
1606741973,2
1606741976,2
1606741979,2
1606741982,2
1606741985,2
1606741988,2
1606741991,2
1606741994,2
1606741997,2
1606742000,2
1606742003,2
1606742006,2
1606742009,2
1606742012,2
1606742015,2
1606742018,2
1606742021,2
1606742024,2
1606742027,2
1606742030,2
1606742033,2
1606742036,2
1606742039,2
1606742042,2
1606742045,2
1606742048,2
1606742051,2
1606742054,2
1606742057,2
1606742060,2
1606742063,2
1606742066,2
1606742069,2
1606742072,2
1606742075,2
1606742078,2
1606742081,2
1606742084,2
1606742087,2
1606742090,2
1606742093,2
1606742096,2
1606742099,2
1606742102,2
1606742105,2
1606742108,2
1606742111,2
1606742114,2
1606742117,2
1606742120,2
1606742123,2
1606742126,2
1606742129,2
1606742132,2
1606742135,2
1606742138,2
1606742141,2
1606742144,2
1606742147,2
1606742150,2
1606742153,2
1606742156,2
1606742159,2
1606742162,2
1606742165,2
1606742168,2
1606742171,2
1606742174,2
1606742177,2
1606742180,2
1606742183,2
1606742186,2
1606742189,2
1606742192,2
1606742195,2
1606742198,2
1606742201,2
1606742204,2
1606742207,2
1606742210,2
1606742213,2
1606742216,2
1606742219,2
1606742222,2
1606742225,2
1606742228,2
1606742231,2
1606742234,2
1606742237,2
1606742240,2
1606742243,2
1606742246,2
1606742249,2
1606742252,2
1606742255,2
1606742258,2
1606742261,2
1606742264,2
1606742267,2
1606742270,2
1606742273,2
1606742276,2
1606742279,2
1606742282,2
1606742285,2
1606742288,2
1606742291,2
1606742294,2
1606742297,2
1606742300,2
1606742303,2
1606742306,2
1606742309,2
1606742312,2
1606742315,2
1606742318,2
1606742321,2
1606742324,2
1606742327,2
1606742330,2
1606742333,2
1606742336,2
1606742339,2
1606742342,2
1606742345,2
1606742348,2
1606742351,2
1606742354,2
1606742357,2
1606742360,2
1606742363,2
1606742366,2
1606742369,2
1606742372,2
1606742375,2
1606742378,2
1606742381,2
1606742384,2
1606742387,2
1606742390,2
1606742393,2
1606742396,2
1606742399,2
1606742402,2
1606742405,2
1606742408,2
1606742411,2
1606742414,2
1606742417,2
1606742420,2
1606742423,2
1606742426,2
1606742429,2
1606742432,2
1606742435,2
1606742438,2
1606742441,2
1606742444,2
1606742447,2
1606742450,2
1606742453,2
1606742456,2
1606742459,2
1606742462,2
1606742465,2
1606742468,2
1606742471,2
1606742474,2
1606742477,2
1606742480,2
1606742483,2
1606742486,2
1606742489,2
1606742492,2
1606742495,2
1606742498,2
1606742501,2
1606742504,2
1606742507,2
1606742510,2
1606742513,2
1606742516,2
1606742519,2
1606742522,2
1606742525,2
1606742528,2
1606742531,2
1606742534,2
1606742537,2
1606742540,2
1606742543,2
1606742546,2
1606742549,2
1606742552,2
1606742555,2
1606742558,2
1606742561,2
1606742564,2
1606742567,2
1606742570,2
1606742573,2
1606742576,2
1606742579,2
1606742582,2
1606742585,2
1606742588,2
1606742591,2
1606742594,2
1606742597,2
1606742600,2
1606742603,2
1606742606,2
1606742609,2
1606742612,2
1606742615,2
1606742618,2
1606742621,2
1606742624,2
1606742627,2
1606742630,2
1606742633,2
1606742636,2
1606742639,2
1606742642,2
1606742645,2
1606742648,2
1606742651,2
1606742654,2
1606742657,2
1606742660,2
1606742663,2
1606742666,2
1606742669,2
1606742672,2
1606742675,2
1606742678,2
1606742681,2
1606742684,2
1606742687,2
1606742690,2
1606742693,2
1606742696,2
1606742699,2
1606742702,2
1606742705,2
1606742708,2
1606742711,2
1606742714,2
1606742717,2
1606742720,2
1606742723,2
1606742726,2
1606742729,2
1606742732,2
1606742735,2
1606742738,2
1606742741,2
1606742744,2
1606742747,2
1606742750,2
1606742753,2
1606742756,2
1606742759,2
1606742762,2
1606742765,2
1606742768,2
1606742771,2
1606742774,2
1606742777,2
1606742780,2
1606742783,2
1606742786,2
1606742789,2
1606742792,2
1606742795,2
1606742798,2
1606742801,2
1606742804,2
1606742807,2
1606742810,2
1606742813,2
1606742816,2
1606742819,2
1606742822,2
1606742825,2
1606742828,2
1606742831,2
1606742834,2
1606742837,2
1606742840,2
1606742843,2
1606742846,2
1606742849,2
1606742852,2
1606742855,2
1606742858,2
1606742861,2
1606742864,2
1606742867,2
t,value
1606743147,2
1606743151,2
1606743153,2
1606743156,2
1606743159,2
1606743162,2
1606743165,2
1606743168,2
1606743171,2
1606743174,2
1606743177,2
1606743180,2
1606743183,2
1606743186,2
1606743189,2
1606743192,2
1606743195,2
1606743198,2
1606743201,2
1606743204,2
1606743207,2
1606743210,2
1606743213,2
1606743216,2
1606743219,2
1606743222,2
1606743225,2
1606743228,2
1606743231,2
1606743234,2
1606743237,2
1606743240,3
1606743243,3
1606743246,3
1606743249,3
1606743252,3
1606743255,3
1606743258,3
1606743261,3
1606743264,3
1606743267,3
1606743270,3
1606743273,3
1606743276,3
1606743279,3
1606743282,3
1606743285,3
1606743288,3
1606743291,3
1606743294,3
1606743297,3
1606743300,3
1606743303,3
1606743306,3
1606743309,3
1606743312,3
1606743315,3
1606743318,3
1606743321,3
1606743324,3
1606743327,3
1606743330,3
1606743333,3
1606743336,3
1606743339,3
1606743342,3
1606743345,3
1606743348,3
1606743351,3
1606743354,3
1606743357,3
1606743360,3
1606743363,3
1606743366,3
1606743369,3
1606743372,3
1606743375,3
1606743378,3
1606743381,3
1606743384,3
1606743387,3
1606743390,3
1606743393,3
1606743396,3
1606743399,3
1606743402,3
1606743405,3
1606743408,3
1606743411,3
1606743414,3
1606743417,3
1606743420,3
1606743423,3
1606743426,3
1606743429,3
1606743432,3
1606743435,3
1606743438,3
1606743441,3
1606743444,3
1606743447,3
1606743450,3
1606743453,3
1606743456,3
1606743459,3
1606743462,3
1606743465,3
1606743468,3
1606743471,3
1606743474,3
1606743477,3
1606743480,3
1606743483,3
1606743486,3
1606743489,3
1606743492,3
1606743495,3
1606743498,3
1606743501,3
1606743504,3
1606743507,3
1606743510,3
1606743513,3
1606743516,3
1606743519,3
1606743522,3
1606743525,3
1606743528,3
1606743531,3
1606743534,3
1606743537,3
1606743540,3
1606743543,3
1606743546,3
1606743549,3
1606743552,3
1606743555,3
1606743558,3
1606743561,3
1606743564,3
1606743567,3
1606743570,3
1606743573,3
1606743576,3
1606743579,3
1606743582,3
1606743585,3
1606743588,3
1606743591,3
1606743594,3
1606743597,3
1606743600,3
1606743603,3
1606743606,3
1606743609,3
1606743612,3
1606743615,3
1606743618,3
1606743621,3
1606743624,3
1606743627,3
1606743630,3
1606743633,3
1606743636,3
1606743639,3
1606743642,3
1606743645,3
1606743648,3
1606743651,3
1606743654,3
1606743657,3
