t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,64,9.443930,0.000000,0.000000,0.000000,events/second
1606739939,64,7.038969,0.000000,0.000000,0.000000,events/second
1606739942,64,5.305508,0.000000,0.000000,0.000000,events/second
1606739945,64,4.242144,0.000000,0.000000,0.000000,events/second
1606739948,64,3.545262,0.000000,0.000000,0.000000,events/second
1606739951,64,3.037092,0.000000,0.000000,0.000000,events/second
1606739954,64,2.658511,0.000000,0.000000,0.000000,events/second
1606739957,64,2.363299,0.000000,0.000000,0.000000,events/second
1606739960,64,2.128859,0.000000,0.000000,0.000000,events/second
1606739963,64,1.935764,0.000000,0.000000,0.000000,events/second
1606739966,64,1.774671,0.000000,0.000000,0.000000,events/second
1606739969,64,1.638595,0.000000,0.000000,0.000000,events/second
1606739972,64,1.521617,0.000000,0.000000,0.000000,events/second
1606739975,64,1.420313,0.000000,0.000000,0.000000,events/second
1606739978,64,1.331973,0.000000,0.000000,0.000000,events/second
1606739981,64,1.254021,0.000000,0.000000,0.000000,events/second
1606739984,64,1.183600,0.000000,0.000000,0.000000,events/second
1606739987,64,1.121212,0.000000,0.000000,0.000000,events/second
1606739990,64,1.065698,0.000000,0.000000,0.000000,events/second
1606739993,64,1.014502,0.000000,0.000000,0.000000,events/second
1606739996,64,0.968791,0.000000,0.000000,0.000000,events/second
1606739999,64,0.926737,0.000000,0.000000,0.000000,events/second
1606740002,64,0.887936,0.000000,0.000000,0.000000,events/second
1606740005,64,0.852419,0.000000,0.000000,0.000000,events/second
1606740008,64,0.819674,0.000000,0.000000,0.000000,events/second
1606740011,64,0.788515,0.000000,0.000000,0.000000,events/second
1606740014,64,0.760358,0.000000,0.000000,0.000000,events/second
1606740017,64,0.734806,0.000000,0.000000,0.000000,events/second
1606740020,64,0.710640,0.000000,0.000000,0.000000,events/second
1606740023,64,0.687799,0.000000,0.000000,0.000000,events/second
1606740026,64,0.666316,0.000000,0.000000,0.000000,events/second
1606740029,64,0.644657,0.000000,0.000000,0.000000,events/second
1606740032,64,0.626894,0.000000,0.000000,0.000000,events/second
1606740035,64,0.609029,0.000000,0.000000,0.000000,events/second
1606740038,64,0.592289,0.000000,0.000000,0.000000,events/second
1606740041,64,0.576367,0.000000,0.000000,0.000000,events/second
1606740044,64,0.561094,0.000000,0.000000,0.000000,events/second
1606740047,64,0.545652,0.000000,0.000000,0.000000,events/second
1606740050,64,0.531710,0.000000,0.000000,0.000000,events/second
1606740053,64,0.519996,0.000000,0.000000,0.000000,events/second
1606740056,64,0.507762,0.000000,0.000000,0.000000,events/second
1606740059,64,0.495878,0.000000,0.000000,0.000000,events/second
1606740062,64,0.484585,0.000000,0.000000,0.000000,events/second
1606740065,64,0.473323,0.000000,0.000000,0.000000,events/second
1606740068,64,0.463648,0.000000,0.000000,0.000000,events/second
1606740071,64,0.453641,0.000000,0.000000,0.000000,events/second
1606740074,64,0.444263,0.000000,0.000000,0.000000,events/second
1606740077,64,0.435184,0.000000,0.000000,0.000000,events/second
1606740080,64,0.426471,0.000000,0.000000,0.000000,events/second
1606740083,64,0.417913,0.000000,0.000000,0.000000,events/second
1606740086,64,0.410111,0.000000,0.000000,0.000000,events/second
1606740089,64,0.402357,0.000000,0.000000,0.000000,events/second
1606740092,64,0.394876,0.000000,0.000000,0.000000,events/second
1606740095,64,0.387722,0.000000,0.000000,0.000000,events/second
1606740098,64,0.380772,0.000000,0.000000,0.000000,events/second
1606740101,64,0.374116,0.000000,0.000000,0.000000,events/second
1606740104,64,0.367746,0.000000,0.000000,0.000000,events/second
1606740107,64,0.361450,0.000000,0.000000,0.000000,events/second
1606740110,64,0.355405,0.000000,0.000000,0.000000,events/second
1606740113,64,0.349637,0.000000,0.000000,0.000000,events/second
1606740116,64,0.343991,0.000000,0.000000,0.000000,events/second
1606740119,64,0.338536,0.000000,0.000000,0.000000,events/second
1606740122,64,0.333250,0.000000,0.000000,0.000000,events/second
1606740125,64,0.328146,0.000000,0.000000,0.000000,events/second
1606740128,64,0.323109,0.000000,0.000000,0.000000,events/second
1606740131,64,0.318353,0.000000,0.000000,0.000000,events/second
1606740134,64,0.313399,0.000000,0.000000,0.000000,events/second
1606740137,64,0.309093,0.000000,0.000000,0.000000,events/second
1606740140,64,0.304650,0.000000,0.000000,0.000000,events/second
1606740143,64,0.300315,0.000000,0.000000,0.000000,events/second
1606740146,64,0.296249,0.000000,0.000000,0.000000,events/second
1606740149,64,0.292156,0.000000,0.000000,0.000000,events/second
1606740152,64,0.288206,0.000000,0.000000,0.000000,events/second
1606740155,64,0.283620,0.000000,0.000000,0.000000,events/second
1606740158,64,0.280627,0.000000,0.000000,0.000000,events/second
1606740161,64,0.277020,0.000000,0.000000,0.000000,events/second
1606740164,64,0.273454,0.000000,0.000000,0.000000,events/second
1606740167,64,0.269997,0.000000,0.000000,0.000000,events/second
1606740170,64,0.266414,0.000000,0.000000,0.000000,events/second
1606740173,64,0.263271,0.000000,0.000000,0.000000,events/second
1606740176,64,0.260124,0.000000,0.000000,0.000000,events/second
1606740179,64,0.256988,0.000000,0.000000,0.000000,events/second
1606740182,64,0.253919,0.000000,0.000000,0.000000,events/second
1606740185,64,0.250937,0.000000,0.000000,0.000000,events/second
1606740188,64,0.248007,0.000000,0.000000,0.000000,events/second
1606740191,64,0.245183,0.000000,0.000000,0.000000,events/second
1606740194,64,0.242240,0.000000,0.000000,0.000000,events/second
1606740197,64,0.239656,0.000000,0.000000,0.000000,events/second
1606740200,64,0.236967,0.000000,0.000000,0.000000,events/second
1606740203,64,0.234379,0.000000,0.000000,0.000000,events/second
1606740206,64,0.231835,0.000000,0.000000,0.000000,events/second
1606740209,64,0.229331,0.000000,0.000000,0.000000,events/second
1606740212,64,0.226932,0.000000,0.000000,0.000000,events/second
1606740215,64,0.224511,0.000000,0.000000,0.000000,events/second
1606740218,64,0.222190,0.000000,0.000000,0.000000,events/second
1606740221,64,0.219886,0.000000,0.000000,0.000000,events/second
1606740224,64,0.217646,0.000000,0.000000,0.000000,events/second
1606740227,64,0.215436,0.000000,0.000000,0.000000,events/second
1606740230,64,0.213300,0.000000,0.000000,0.000000,events/second
1606740233,64,0.211175,0.000000,0.000000,0.000000,events/second
1606740236,64,0.209112,0.000000,0.000000,0.000000,events/second
1606740239,64,0.207089,0.000000,0.000000,0.000000,events/second
1606740242,64,0.205096,0.000000,0.000000,0.000000,events/second
1606740245,64,0.203135,0.000000,0.000000,0.000000,events/second
1606740248,64,0.201145,0.000000,0.000000,0.000000,events/second
1606740251,64,0.199341,0.000000,0.000000,0.000000,events/second
1606740254,64,0.197500,0.000000,0.000000,0.000000,events/second
1606740257,8129,24.855735,0.000000,0.000000,0.000000,events/second
1606740260,18567,56.257980,0.000000,0.000000,0.000000,events/second
1606740263,18567,55.752397,0.000000,0.000000,0.000000,events/second
1606740266,18567,55.251481,0.000000,0.000000,0.000000,events/second
1606740269,18567,54.757963,0.000000,0.000000,0.000000,events/second
1606740272,18567,54.285027,0.000000,0.000000,0.000000,events/second
1606740275,18567,53.807490,0.000000,0.000000,0.000000,events/second
1606740278,18567,53.346553,0.000000,0.000000,0.000000,events/second
1606740281,18567,52.887264,0.000000,0.000000,0.000000,events/second
1606740284,18567,52.446774,0.000000,0.000000,0.000000,events/second
1606740287,18567,52.002050,0.000000,0.000000,0.000000,events/second
1606740290,18567,51.570454,0.000000,0.000000,0.000000,events/second
1606740293,18567,51.138977,0.000000,0.000000,0.000000,events/second
1606740296,18567,50.723212,0.000000,0.000000,0.000000,events/second
1606740299,18567,50.308490,0.000000,0.000000,0.000000,events/second
1606740302,18567,49.903284,0.000000,0.000000,0.000000,events/second
1606740305,18567,49.501528,0.000000,0.000000,0.000000,events/second
1606740308,18567,49.115224,0.000000,0.000000,0.000000,events/second
1606740311,18567,48.720704,0.000000,0.000000,0.000000,events/second
1606740314,18567,48.345348,0.000000,0.000000,0.000000,events/second
1606740317,18567,47.966125,0.000000,0.000000,0.000000,events/second
1606740320,18567,47.601810,0.000000,0.000000,0.000000,events/second
1606740323,18567,47.237727,0.000000,0.000000,0.000000,events/second
1606740326,18567,46.880329,0.000000,0.000000,0.000000,events/second
1606740329,18567,46.526953,0.000000,0.000000,0.000000,events/second
1606740332,18567,46.181040,0.000000,0.000000,0.000000,events/second
1606740335,18567,45.840716,0.000000,0.000000,0.000000,events/second
1606740338,18567,45.501141,0.000000,0.000000,0.000000,events/second
1606740341,18567,45.169899,0.000000,0.000000,0.000000,events/second
1606740344,18567,44.842720,0.000000,0.000000,0.000000,events/second
1606740347,18567,44.518256,0.000000,0.000000,0.000000,events/second
1606740350,18567,44.201344,0.000000,0.000000,0.000000,events/second
1606740353,18567,43.887047,0.000000,0.000000,0.000000,events/second
1606740356,18567,43.577704,0.000000,0.000000,0.000000,events/second
1606740359,18567,43.275234,0.000000,0.000000,0.000000,events/second
1606740362,18567,42.974087,0.000000,0.000000,0.000000,events/second
1606740365,18567,42.678253,0.000000,0.000000,0.000000,events/second
1606740368,18567,42.383602,0.000000,0.000000,0.000000,events/second
1606740371,18567,42.099165,0.000000,0.000000,0.000000,events/second
1606740374,18567,41.813545,0.000000,0.000000,0.000000,events/second
1606740377,18567,41.533269,0.000000,0.000000,0.000000,events/second
1606740380,18567,41.256606,0.000000,0.000000,0.000000,events/second
1606740383,18567,40.984238,0.000000,0.000000,0.000000,events/second
1606740386,18567,40.711067,0.000000,0.000000,0.000000,events/second
1606740389,18567,40.445202,0.000000,0.000000,0.000000,events/second
1606740392,18567,40.183380,0.000000,0.000000,0.000000,events/second
1606740395,18567,39.923217,0.000000,0.000000,0.000000,events/second
1606740398,18567,39.667820,0.000000,0.000000,0.000000,events/second
1606740401,18567,39.414240,0.000000,0.000000,0.000000,events/second
1606740404,18567,39.166464,0.000000,0.000000,0.000000,events/second
1606740407,18567,38.921510,0.000000,0.000000,0.000000,events/second
1606740410,18567,38.674774,0.000000,0.000000,0.000000,events/second
1606740413,18567,38.436307,0.000000,0.000000,0.000000,events/second
