t,value
1606739936,810925
1606739939,810925
1606739942,810925
1606739945,810925
1606739948,810925
1606739951,810925
1606739954,810925
1606739957,810925
1606739960,810925
1606739963,810925
1606739966,810925
1606739969,810925
1606739972,810925
1606739975,810925
1606739978,810925
1606739981,810925
1606739984,810925
1606739987,810925
1606739990,810925
1606739993,810925
1606739996,810925
1606739999,810925
1606740002,810925
1606740005,810925
1606740008,810925
1606740011,810925
1606740014,810925
1606740017,810925
1606740020,810925
1606740023,810925
1606740026,810925
1606740029,810925
1606740032,810925
1606740035,810925
1606740038,810925
1606740041,810925
1606740044,810925
1606740047,810925
1606740050,810925
1606740053,810925
1606740056,810925
1606740059,810925
1606740062,810925
1606740065,810925
1606740068,810925
1606740071,810925
1606740074,810925
1606740077,810925
1606740080,810925
1606740083,810925
1606740086,810925
1606740089,810925
1606740092,810925
1606740095,810925
1606740098,810925
1606740101,810925
1606740104,810925
1606740107,810925
1606740110,810925
1606740113,810925
1606740116,810925
1606740119,810925
1606740122,810925
1606740125,810925
1606740128,810925
1606740131,810925
1606740134,810925
1606740137,810925
1606740140,810925
1606740143,810925
1606740146,810925
1606740149,810925
1606740152,810925
1606740155,810925
1606740158,810925
1606740161,810925
1606740164,810925
1606740167,810925
1606740170,810925
1606740173,810925
1606740176,810925
1606740179,810925
1606740182,810925
1606740185,810925
1606740188,810925
1606740191,810925
1606740194,810925
1606740197,810925
1606740200,810925
1606740203,810925
1606740206,810925
1606740209,810925
1606740212,810925
1606740215,810925
1606740218,810925
1606740221,810925
1606740224,810925
1606740227,810925
1606740230,810925
1606740233,810925
1606740236,810925
1606740239,810925
1606740242,810925
1606740245,810925
1606740248,810925
1606740251,810925
1606740254,810925
1606740257,810925
1606740260,810925
1606740263,810925
1606740266,810925
1606740269,810925
1606740272,810925
1606740275,810925
1606740278,810925
1606740281,810925
1606740284,810925
1606740287,810925
1606740290,810925
1606740293,810925
1606740296,810925
1606740299,810925
1606740302,810925
1606740305,810925
1606740308,810925
1606740311,810925
1606740314,810925
1606740317,810925
1606740320,810925
1606740323,810925
1606740326,810925
1606740329,810925
1606740332,810925
1606740335,810925
1606740338,810925
1606740341,810925
1606740344,810925
1606740347,810925
1606740350,810925
1606740353,810925
1606740356,810925
1606740359,810925
1606740362,810925
1606740365,810925
1606740368,810925
1606740371,810925
1606740374,810925
1606740377,810925
1606740380,810925
1606740383,810925
1606740386,810925
1606740389,810925
1606740392,810925
1606740395,810925
1606740398,810925
1606740401,810925
1606740404,810925
1606740407,810925
1606740410,810925
1606740413,810925
1606740416,810925
1606740419,810925
1606740422,810925
1606740425,810925
1606740428,810925
1606740431,810925
1606740434,810925
1606740437,810925
1606740440,810925
1606740443,810925
1606740446,810925
1606740449,810925
1606740452,810925
1606740455,810925
1606740458,810925
1606740461,810925
1606740464,810925
1606740467,810925
1606740470,810925
1606740473,810925
1606740476,810925
1606740479,810925
1606740482,810925
1606740485,810925
1606740488,810925
1606740491,810925
1606740494,810925
1606740497,810925
1606740500,810925
1606740503,810925
1606740506,810925
1606740509,810925
1606740512,810925
1606740515,810925
1606740518,810925
1606740521,810925
1606740524,810925
1606740527,810925
1606740530,810925
1606740533,1002301
1606740536,1002301
1606740539,1002301
1606740542,1002301
1606740545,1002301
1606740548,1002301
1606740551,1002301
1606740554,1002301
1606740557,1002301
1606740560,1002301
1606740563,1002301
1606740566,1002301
1606740569,1002301
1606740572,1002301
1606740575,1002301
1606740578,1002301
1606740581,1002301
1606740584,1002301
1606740587,1002301
1606740590,1002301
1606740593,1002301
1606740596,1002301
1606740599,1002301
1606740602,1002301
1606740605,1002301
1606740608,1002301
1606740611,1002301
1606740614,1002301
1606740617,1002301
1606740620,1002301
1606740623,1002301
1606740626,1002301
1606740629,1002301
1606740632,1002301
1606740635,1002301
1606740638,1002301
1606740641,1002301
1606740644,1002301
1606740647,1002301
1606740650,1002301
1606740653,1002301
1606740656,1002301
1606740659,1002301
1606740662,1002301
1606740665,1002301
1606740668,1002301
1606740671,1002301
1606740674,1002301
1606740677,1002301
1606740680,1002301
1606740683,1002301
1606740686,1002301
1606740689,1002301
1606740692,1002301
1606740695,1002301
1606740698,1002301
1606740701,1002301
1606740704,1002301
1606740707,1002301
1606740710,1002301
1606740713,1002301
1606740716,1002301
1606740719,1002301
1606740722,1002301
1606740725,1002301
1606740728,1002301
1606740731,1002301
1606740734,1002301
1606740737,1002301
1606740740,1002301
1606740743,1002301
1606740746,1002301
1606740749,1002301
1606740752,1002301
1606740755,1002301
1606740758,1002301
1606740761,1002301
1606740764,1002301
1606740767,1002301
1606740770,1002301
1606740773,1002301
1606740776,1002301
1606740779,1002301
1606740782,1002301
1606740785,1002301
1606740788,1002301
1606740791,1002301
1606740794,1002301
1606740797,1002301
1606740800,1002301
1606740803,1002301
1606740806,1002301
1606740809,1002301
1606740812,1002301
1606740815,1002301
1606740818,1002301
1606740821,1002301
1606740824,1002301
1606740827,1002301
1606740830,1002301
1606740833,1002301
1606740836,1002301
1606740839,1002301
1606740842,1002301
1606740845,1002301
1606740848,1002301
1606740851,1002301
1606740854,1002301
1606740857,1002301
1606740860,1002301
1606740863,1002301
1606740866,1002301
1606740869,1002301
1606740872,1002301
1606740875,1002301
1606740878,1002301
1606740881,1002301
1606740884,1002301
1606740887,1002301
1606740890,1002301
1606740893,1002301
1606740896,1002301
1606740899,1002301
1606740902,1002301
1606740905,1002301
1606740908,1002301
1606740911,1002301
1606740914,1002301
1606740917,1002301
1606740920,1002301
1606740923,1002301
1606740926,1002301
1606740929,1002301
1606740932,1002301
1606740935,1002301
1606740938,1002301
1606740941,1002301
1606740944,1002301
1606740947,1002301
1606740950,1002301
1606740953,1002301
1606740958,1002301
1606740959,1002301
1606740962,1002301
1606740965,1002301
1606740968,1002301
1606740971,1002301
1606740974,1002301
1606740977,1002301
1606740980,1002301
1606740983,1002301
1606740986,1002301
1606740989,1002301
1606740992,1002301
1606740995,1002301
1606740998,1002301
1606741001,1002301
1606741004,1002301
1606741007,1002301
1606741010,1002301
1606741013,1002301
1606741016,1002301
1606741019,1002301
1606741022,1002301
1606741025,1002301
1606741028,1002301
1606741031,1002301
1606741034,1002301
1606741037,1002301
1606741040,1002301
1606741043,1002301
1606741046,1002301
1606741049,1002301
1606741052,1002301
1606741055,1002301
1606741058,1002301
1606741061,1002301
1606741064,1002301
1606741067,1002301
1606741070,1002301
1606741073,1002301
1606741076,1002301
1606741079,1002301
1606741082,1002301
1606741085,1002301
1606741088,1002301
1606741091,1002301
1606741094,1002301
1606741097,1002301
1606741100,1002301
1606741103,1002301
1606741106,1002301
1606741109,1002301
1606741112,1002301
1606741115,1002301
1606741118,1002301
1606741121,1002301
1606741124,1002301
1606741127,1002301
1606741130,1002301
1606741133,14964953
1606741136,14964953
1606741139,14964953
1606741142,14964953
1606741145,14964953
1606741148,14964953
1606741151,14964953
1606741154,14964953
1606741157,14964953
1606741160,14964953
1606741163,14964953
1606741166,14964953
1606741169,14964953
1606741172,14964953
1606741175,14964953
1606741178,14964953
1606741181,14964953
1606741184,14964953
1606741187,14964953
1606741190,14964953
1606741193,14964953
1606741196,14964953
1606741199,14964953
1606741202,14964953
1606741205,14964953
1606741208,14964953
1606741211,14964953
1606741214,14964953
1606741217,14964953
1606741220,14964953
1606741223,14964953
1606741226,14964953
1606741229,14964953
1606741232,14964953
1606741235,14964953
1606741238,14964953
1606741241,14964953
1606741244,14964953
1606741247,14964953
1606741250,14964953
1606741253,14964953
1606741256,14964953
1606741259,14964953
1606741262,14964953
1606741265,14964953
1606741268,14964953
1606741271,14964953
1606741274,14964953
1606741277,14964953
1606741280,14964953
1606741283,14964953
1606741286,14964953
1606741289,14964953
1606741292,14964953
1606741295,14964953
1606741298,14964953
1606741301,14964953
1606741304,14964953
1606741307,14964953
1606741310,14964953
1606741313,14964953
1606741316,14964953
1606741319,14964953
1606741322,14964953
1606741325,14964953
1606741328,14964953
1606741331,14964953
1606741334,14964953
1606741337,14964953
1606741340,14964953
1606741343,14964953
1606741346,14964953
1606741349,14964953
1606741352,14964953
1606741355,14964953
1606741358,14964953
1606741361,14964953
1606741364,14964953
1606741367,14964953
1606741370,14964953
1606741373,14964953
1606741376,14964953
1606741379,14964953
1606741382,14964953
1606741385,14964953
1606741388,14964953
1606741391,14964953
1606741394,14964953
1606741397,14964953
1606741400,14964953
1606741403,14964953
1606741406,14964953
1606741409,14964953
1606741412,14964953
1606741415,14964953
1606741418,14964953
1606741421,14964953
1606741424,14964953
1606741427,14964953
1606741430,14964953
1606741433,14964953
1606741436,14964953
1606741439,14964953
1606741442,14964953
1606741445,14964953
1606741448,14964953
1606741451,14964953
1606741454,14964953
1606741457,14964953
1606741460,14964953
1606741463,14964953
1606741466,14964953
1606741469,14964953
1606741472,14964953
1606741475,14964953
1606741478,14964953
1606741481,14964953
1606741484,14964953
1606741487,14964953
1606741490,14964953
1606741493,14964953
1606741496,14964953
1606741499,14964953
1606741502,14964953
1606741505,14964953
1606741508,14964953
1606741511,14964953
1606741514,14964953
1606741517,14964953
1606741520,14964953
1606741523,14964953
1606741526,14964953
1606741529,14964953
1606741532,14964953
1606741535,14964953
1606741538,14964953
1606741541,14964953
1606741544,14964953
1606741547,14964953
1606741550,14964953
1606741553,14964953
1606741556,14964953
1606741559,14964953
1606741562,14964953
1606741565,14964953
1606741568,14964953
1606741571,14964953
1606741574,14964953
1606741577,14964953
1606741580,14964953
1606741583,14964953
1606741586,14964953
1606741589,14964953
1606741592,14964953
1606741595,14964953
1606741598,14964953
1606741601,14964953
1606741604,14964953
1606741607,14964953
1606741610,14964953
1606741613,14964953
1606741616,14964953
1606741619,14964953
1606741622,14964953
1606741625,14964953
1606741628,14964953
1606741631,14964953
1606741634,14964953
1606741637,14964953
1606741640,14964953
1606741643,14964953
1606741646,14964953
1606741649,14964953
1606741652,14964953
1606741655,14964953
1606741658,14964953
1606741661,14964953
1606741664,14964953
1606741667,14964953
1606741670,14964953
1606741673,14964953
1606741676,14964953
1606741679,14964953
1606741682,14964953
1606741685,14964953
1606741688,14964953
1606741691,14964953
1606741694,14964953
1606741697,14964953
1606741700,14964953
1606741703,14964953
1606741706,14964953
1606741709,14964953
1606741712,14964953
1606741715,14964953
1606741718,14964953
1606741721,14964953
1606741724,14964953
1606741727,14964953
1606741730,14964953
1606741733,32233135
1606741736,32233135
1606741739,32233135
1606741742,32233135
1606741745,32233135
1606741748,32233135
1606741751,32233135
1606741754,32233135
1606741757,32233135
1606741760,32233135
1606741763,32233135
1606741766,32233135
1606741769,32233135
1606741772,32233135
1606741775,32233135
1606741778,32233135
1606741781,32233135
1606741784,32233135
1606741787,32233135
1606741790,32233135
1606741793,32233135
1606741796,32233135
1606741799,32233135
1606741802,32233135
1606741805,32233135
1606741808,32233135
1606741811,32233135
1606741814,32233135
1606741817,32233135
1606741820,32233135
1606741823,32233135
1606741826,32233135
1606741829,32233135
1606741832,32233135
1606741835,32233135
1606741838,32233135
1606741841,32233135
1606741844,32233135
1606741847,32233135
1606741850,32233135
1606741853,32233135
1606741856,32233135
1606741859,32233135
1606741862,32233135
1606741865,32233135
1606741868,32233135
1606741871,32233135
1606741874,32233135
1606741877,32233135
1606741880,32233135
1606741883,32233135
1606741886,32233135
1606741889,32233135
1606741892,32233135
1606741895,32233135
1606741898,32233135
1606741901,32233135
1606741904,32233135
1606741907,32233135
1606741910,32233135
1606741913,32233135
1606741916,32233135
1606741919,32233135
1606741922,32233135
1606741925,32233135
1606741928,32233135
1606741931,32233135
1606741934,32233135
1606741937,32233135
1606741940,32233135
1606741943,32233135
1606741946,32233135
1606741949,32233135
1606741952,32233135
1606741955,32233135
1606741958,32233135
1606741961,32233135
1606741964,32233135
1606741967,32233135
1606741970,32233135
1606741973,32233135
1606741976,32233135
1606741979,32233135
1606741982,32233135
1606741985,32233135
1606741988,32233135
1606741991,32233135
1606741994,32233135
1606741997,32233135
1606742000,32233135
1606742003,32233135
1606742006,32233135
1606742009,32233135
1606742012,32233135
1606742015,32233135
1606742018,32233135
1606742021,32233135
1606742024,32233135
1606742027,32233135
1606742030,32233135
1606742033,32233135
1606742036,32233135
1606742039,32233135
1606742042,32233135
1606742045,32233135
1606742048,32233135
1606742051,32233135
1606742054,32233135
1606742057,32233135
1606742060,32233135
1606742063,32233135
1606742066,32233135
1606742069,32233135
1606742072,32233135
1606742075,32233135
1606742078,32233135
1606742081,32233135
1606742084,32233135
1606742087,32233135
1606742090,32233135
1606742093,32233135
1606742096,32233135
