t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739939,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739942,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739945,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739948,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739951,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739954,6,0.249200,0.000000,0.000000,0.000000,events/second
1606739957,6,0.221529,0.000000,0.000000,0.000000,events/second
1606739960,6,0.199570,0.000000,0.000000,0.000000,events/second
1606739963,6,0.181467,0.000000,0.000000,0.000000,events/second
1606739966,6,0.166366,0.000000,0.000000,0.000000,events/second
1606739969,6,0.153612,0.000000,0.000000,0.000000,events/second
1606739972,6,0.142644,0.000000,0.000000,0.000000,events/second
1606739975,6,0.133150,0.000000,0.000000,0.000000,events/second
1606739978,6,0.124869,0.000000,0.000000,0.000000,events/second
1606739981,6,0.117561,0.000000,0.000000,0.000000,events/second
1606739984,6,0.110959,0.000000,0.000000,0.000000,events/second
1606739987,6,0.105111,0.000000,0.000000,0.000000,events/second
1606739990,6,0.099906,0.000000,0.000000,0.000000,events/second
1606739993,6,0.095107,0.000000,0.000000,0.000000,events/second
1606739996,6,0.090820,0.000000,0.000000,0.000000,events/second
1606739999,6,0.086880,0.000000,0.000000,0.000000,events/second
1606740002,6,0.083239,0.000000,0.000000,0.000000,events/second
1606740005,6,0.079912,0.000000,0.000000,0.000000,events/second
1606740008,6,0.076842,0.000000,0.000000,0.000000,events/second
1606740011,6,0.073921,0.000000,0.000000,0.000000,events/second
1606740014,6,0.071282,0.000000,0.000000,0.000000,events/second
1606740017,6,0.068887,0.000000,0.000000,0.000000,events/second
1606740020,6,0.066621,0.000000,0.000000,0.000000,events/second
1606740023,6,0.064480,0.000000,0.000000,0.000000,events/second
1606740026,6,0.062466,0.000000,0.000000,0.000000,events/second
1606740029,6,0.060433,0.000000,0.000000,0.000000,events/second
1606740032,6,0.058770,0.000000,0.000000,0.000000,events/second
1606740035,7,0.066611,0.000000,0.000000,0.000000,events/second
1606740038,8,0.074035,0.000000,0.000000,0.000000,events/second
1606740041,8,0.072045,0.000000,0.000000,0.000000,events/second
1606740044,8,0.070136,0.000000,0.000000,0.000000,events/second
1606740047,8,0.068205,0.000000,0.000000,0.000000,events/second
1606740050,8,0.066463,0.000000,0.000000,0.000000,events/second
1606740053,9,0.073123,0.000000,0.000000,0.000000,events/second
1606740056,9,0.071403,0.000000,0.000000,0.000000,events/second
1606740059,9,0.069732,0.000000,0.000000,0.000000,events/second
1606740062,9,0.068144,0.000000,0.000000,0.000000,events/second
1606740065,9,0.066529,0.000000,0.000000,0.000000,events/second
1606740068,9,0.065199,0.000000,0.000000,0.000000,events/second
1606740071,10,0.070880,0.000000,0.000000,0.000000,events/second
1606740074,10,0.069415,0.000000,0.000000,0.000000,events/second
1606740077,10,0.067997,0.000000,0.000000,0.000000,events/second
1606740080,10,0.066635,0.000000,0.000000,0.000000,events/second
1606740083,10,0.065298,0.000000,0.000000,0.000000,events/second
1606740086,10,0.064079,0.000000,0.000000,0.000000,events/second
1606740089,10,0.062868,0.000000,0.000000,0.000000,events/second
1606740092,11,0.067868,0.000000,0.000000,0.000000,events/second
1606740095,11,0.066639,0.000000,0.000000,0.000000,events/second
1606740098,11,0.065444,0.000000,0.000000,0.000000,events/second
1606740101,11,0.064301,0.000000,0.000000,0.000000,events/second
1606740104,11,0.063206,0.000000,0.000000,0.000000,events/second
1606740107,11,0.062123,0.000000,0.000000,0.000000,events/second
1606740110,11,0.061085,0.000000,0.000000,0.000000,events/second
1606740113,12,0.065556,0.000000,0.000000,0.000000,events/second
1606740116,12,0.064498,0.000000,0.000000,0.000000,events/second
1606740119,12,0.063475,0.000000,0.000000,0.000000,events/second
