t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739939,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739942,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739945,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739948,1,0.055376,0.000000,0.000000,0.000000,events/second
1606739951,1,0.047444,0.000000,0.000000,0.000000,events/second
1606739954,1,0.041525,0.000000,0.000000,0.000000,events/second
1606739957,1,0.036917,0.000000,0.000000,0.000000,events/second
1606739960,1,0.033260,0.000000,0.000000,0.000000,events/second
1606739963,1,0.030243,0.000000,0.000000,0.000000,events/second
1606739966,1,0.027726,0.000000,0.000000,0.000000,events/second
1606739969,1,0.025601,0.000000,0.000000,0.000000,events/second
1606739972,1,0.023773,0.000000,0.000000,0.000000,events/second
1606739975,1,0.022191,0.000000,0.000000,0.000000,events/second
1606739978,1,0.020811,0.000000,0.000000,0.000000,events/second
1606739981,1,0.019593,0.000000,0.000000,0.000000,events/second
1606739984,1,0.018493,0.000000,0.000000,0.000000,events/second
1606739987,1,0.017518,0.000000,0.000000,0.000000,events/second
1606739990,1,0.016650,0.000000,0.000000,0.000000,events/second
1606739993,1,0.015850,0.000000,0.000000,0.000000,events/second
1606739996,1,0.015136,0.000000,0.000000,0.000000,events/second
1606739999,1,0.014480,0.000000,0.000000,0.000000,events/second
1606740002,1,0.013857,0.000000,0.000000,0.000000,events/second
1606740005,1,0.013318,0.000000,0.000000,0.000000,events/second
1606740008,1,0.012807,0.000000,0.000000,0.000000,events/second
1606740011,1,0.012320,0.000000,0.000000,0.000000,events/second
1606740014,1,0.011880,0.000000,0.000000,0.000000,events/second
1606740017,1,0.011481,0.000000,0.000000,0.000000,events/second
1606740020,1,0.011103,0.000000,0.000000,0.000000,events/second
1606740023,1,0.010746,0.000000,0.000000,0.000000,events/second
1606740026,1,0.010411,0.000000,0.000000,0.000000,events/second
1606740029,1,0.010072,0.000000,0.000000,0.000000,events/second
1606740032,1,0.009795,0.000000,0.000000,0.000000,events/second
1606740035,1,0.009514,0.000000,0.000000,0.000000,events/second
1606740038,1,0.009254,0.000000,0.000000,0.000000,events/second
1606740041,1,0.009006,0.000000,0.000000,0.000000,events/second
1606740044,1,0.008767,0.000000,0.000000,0.000000,events/second
1606740047,1,0.008525,0.000000,0.000000,0.000000,events/second
1606740050,1,0.008308,0.000000,0.000000,0.000000,events/second
1606740053,1,0.008125,0.000000,0.000000,0.000000,events/second
1606740056,1,0.007934,0.000000,0.000000,0.000000,events/second
1606740059,1,0.007748,0.000000,0.000000,0.000000,events/second
1606740062,1,0.007571,0.000000,0.000000,0.000000,events/second
1606740065,1,0.007391,0.000000,0.000000,0.000000,events/second
1606740068,1,0.007244,0.000000,0.000000,0.000000,events/second
1606740071,1,0.007088,0.000000,0.000000,0.000000,events/second
1606740074,1,0.006941,0.000000,0.000000,0.000000,events/second
1606740077,1,0.006800,0.000000,0.000000,0.000000,events/second
1606740080,1,0.006663,0.000000,0.000000,0.000000,events/second
1606740083,1,0.006530,0.000000,0.000000,0.000000,events/second
1606740086,1,0.006408,0.000000,0.000000,0.000000,events/second
1606740089,1,0.006287,0.000000,0.000000,0.000000,events/second
1606740092,1,0.006170,0.000000,0.000000,0.000000,events/second
1606740095,1,0.006058,0.000000,0.000000,0.000000,events/second
1606740098,1,0.005949,0.000000,0.000000,0.000000,events/second
1606740101,1,0.005845,0.000000,0.000000,0.000000,events/second
1606740104,1,0.005746,0.000000,0.000000,0.000000,events/second
1606740107,1,0.005647,0.000000,0.000000,0.000000,events/second
1606740110,1,0.005553,0.000000,0.000000,0.000000,events/second
1606740113,1,0.005463,0.000000,0.000000,0.000000,events/second
1606740116,1,0.005375,0.000000,0.000000,0.000000,events/second
1606740119,1,0.005290,0.000000,0.000000,0.000000,events/second
