t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739939,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739942,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739945,0,0.000000,0.000000,0.000000,0.000000,events/second
1606739948,1,0.055368,0.000000,0.000000,0.000000,events/second
1606739951,1,0.047439,0.000000,0.000000,0.000000,events/second
1606739954,6,0.249110,0.000000,0.000000,0.000000,events/second
1606739957,6,0.221479,0.000000,0.000000,0.000000,events/second
1606739960,6,0.199551,0.000000,0.000000,0.000000,events/second
1606739963,6,0.181446,0.000000,0.000000,0.000000,events/second
1606739966,6,0.166349,0.000000,0.000000,0.000000,events/second
1606739969,6,0.153600,0.000000,0.000000,0.000000,events/second
1606739972,6,0.142630,0.000000,0.000000,0.000000,events/second
1606739975,6,0.133141,0.000000,0.000000,0.000000,events/second
1606739978,6,0.124861,0.000000,0.000000,0.000000,events/second
1606739981,6,0.117554,0.000000,0.000000,0.000000,events/second
1606739984,6,0.110953,0.000000,0.000000,0.000000,events/second
1606739987,6,0.105105,0.000000,0.000000,0.000000,events/second
1606739990,6,0.099900,0.000000,0.000000,0.000000,events/second
1606739993,6,0.095100,0.000000,0.000000,0.000000,events/second
1606739996,6,0.090811,0.000000,0.000000,0.000000,events/second
1606739999,6,0.086876,0.000000,0.000000,0.000000,events/second
1606740002,6,0.083042,0.000000,0.000000,0.000000,events/second
1606740005,6,0.079909,0.000000,0.000000,0.000000,events/second
1606740008,6,0.076840,0.000000,0.000000,0.000000,events/second
1606740011,6,0.073918,0.000000,0.000000,0.000000,events/second
1606740014,6,0.071279,0.000000,0.000000,0.000000,events/second
1606740017,6,0.068885,0.000000,0.000000,0.000000,events/second
1606740020,6,0.066619,0.000000,0.000000,0.000000,events/second
1606740023,6,0.064478,0.000000,0.000000,0.000000,events/second
1606740026,6,0.062463,0.000000,0.000000,0.000000,events/second
1606740029,6,0.060426,0.000000,0.000000,0.000000,events/second
1606740032,6,0.058769,0.000000,0.000000,0.000000,events/second
1606740035,8,0.076113,0.000000,0.000000,0.000000,events/second
1606740038,8,0.074033,0.000000,0.000000,0.000000,events/second
1606740041,8,0.072043,0.000000,0.000000,0.000000,events/second
1606740044,8,0.070134,0.000000,0.000000,0.000000,events/second
1606740047,8,0.068202,0.000000,0.000000,0.000000,events/second
1606740050,8,0.066461,0.000000,0.000000,0.000000,events/second
1606740053,9,0.073121,0.000000,0.000000,0.000000,events/second
1606740056,9,0.071402,0.000000,0.000000,0.000000,events/second
1606740059,9,0.069730,0.000000,0.000000,0.000000,events/second
1606740062,9,0.068142,0.000000,0.000000,0.000000,events/second
1606740065,9,0.066518,0.000000,0.000000,0.000000,events/second
1606740068,9,0.065198,0.000000,0.000000,0.000000,events/second
1606740071,10,0.070878,0.000000,0.000000,0.000000,events/second
1606740074,10,0.069414,0.000000,0.000000,0.000000,events/second
1606740077,10,0.067996,0.000000,0.000000,0.000000,events/second
1606740080,10,0.066634,0.000000,0.000000,0.000000,events/second
1606740083,10,0.065295,0.000000,0.000000,0.000000,events/second
1606740086,10,0.064078,0.000000,0.000000,0.000000,events/second
1606740089,10,0.062866,0.000000,0.000000,0.000000,events/second
1606740092,11,0.067865,0.000000,0.000000,0.000000,events/second
1606740095,11,0.066636,0.000000,0.000000,0.000000,events/second
1606740098,11,0.065443,0.000000,0.000000,0.000000,events/second
1606740101,11,0.064300,0.000000,0.000000,0.000000,events/second
1606740104,11,0.063204,0.000000,0.000000,0.000000,events/second
1606740107,11,0.062122,0.000000,0.000000,0.000000,events/second
1606740110,11,0.061084,0.000000,0.000000,0.000000,events/second
1606740113,12,0.065555,0.000000,0.000000,0.000000,events/second
1606740116,12,0.064497,0.000000,0.000000,0.000000,events/second
1606740119,12,0.063474,0.000000,0.000000,0.000000,events/second
