t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,49152,12635.405418,0.000000,0.000000,0.000000,events/second
1606739939,49152,8096.865741,0.000000,0.000000,0.000000,events/second
1606739942,49152,5436.846802,0.000000,0.000000,0.000000,events/second
1606739945,49152,4074.372619,0.000000,0.000000,0.000000,events/second
1606739948,49152,3270.899015,0.000000,0.000000,0.000000,events/second
1606739951,49152,2723.713299,0.000000,0.000000,0.000000,events/second
1606739954,49152,2334.294089,0.000000,0.000000,0.000000,events/second
1606739957,49152,2042.909835,0.000000,0.000000,0.000000,events/second
1606739960,49152,1818.203468,0.000000,0.000000,0.000000,events/second
1606739963,49152,1636.577333,0.000000,0.000000,0.000000,events/second
1606739966,49152,1487.877900,0.000000,0.000000,0.000000,events/second
1606739969,49152,1364.265046,0.000000,0.000000,0.000000,events/second
1606739972,49152,1259.238541,0.000000,0.000000,0.000000,events/second
1606739975,49152,1169.430838,0.000000,0.000000,0.000000,events/second
1606739978,49152,1091.806521,0.000000,0.000000,0.000000,events/second
1606739981,49152,1023.870687,0.000000,0.000000,0.000000,events/second
1606739984,49152,962.964065,0.000000,0.000000,0.000000,events/second
1606739987,49152,909.341014,0.000000,0.000000,0.000000,events/second
1606739990,49152,861.918938,0.000000,0.000000,0.000000,events/second
1606739993,49152,818.406484,0.000000,0.000000,0.000000,events/second
1606739996,49152,779.706472,0.000000,0.000000,0.000000,events/second
1606739999,49152,744.391718,0.000000,0.000000,0.000000,events/second
1606740002,49152,709.775226,0.000000,0.000000,0.000000,events/second
1606740005,49152,682.183842,0.000000,0.000000,0.000000,events/second
1606740008,49152,654.919486,0.000000,0.000000,0.000000,events/second
1606740011,49152,629.040850,0.000000,0.000000,0.000000,events/second
1606740014,49152,605.755609,0.000000,0.000000,0.000000,events/second
1606740017,49152,584.652006,0.000000,0.000000,0.000000,events/second
1606740020,49152,564.762645,0.000000,0.000000,0.000000,events/second
1606740023,49152,546.004678,0.000000,0.000000,0.000000,events/second
1606740026,49152,528.390298,0.000000,0.000000,0.000000,events/second
1606740029,49152,510.595737,0.000000,0.000000,0.000000,events/second
1606740032,49152,496.181590,0.000000,0.000000,0.000000,events/second
1606740035,49152,481.529433,0.000000,0.000000,0.000000,events/second
1606740038,49152,468.001621,0.000000,0.000000,0.000000,events/second
1606740041,49152,455.067714,0.000000,0.000000,0.000000,events/second
