t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,3325786,845728.572116,0.000000,0.000000,0.000000,events/second
1606739939,3325786,547833.405957,0.000000,0.000000,0.000000,events/second
1606739942,3325786,367876.798163,0.000000,0.000000,0.000000,events/second
1606739945,3325786,275679.596626,0.000000,0.000000,0.000000,events/second
1606739948,3325786,221322.062103,0.000000,0.000000,0.000000,events/second
1606739951,3325786,184296.323358,0.000000,0.000000,0.000000,events/second
1606739954,3325786,157945.117113,0.000000,0.000000,0.000000,events/second
1606739957,3325786,138229.295553,0.000000,0.000000,0.000000,events/second
1606739960,3325786,123026.849822,0.000000,0.000000,0.000000,events/second
1606739963,3325786,110737.205265,0.000000,0.000000,0.000000,events/second
1606739966,3325786,100675.192594,0.000000,0.000000,0.000000,events/second
1606739969,3325786,92311.348019,0.000000,0.000000,0.000000,events/second
1606739972,3325786,85204.488533,0.000000,0.000000,0.000000,events/second
1606739975,3325786,79128.023309,0.000000,0.000000,0.000000,events/second
1606739978,3325786,73875.682700,0.000000,0.000000,0.000000,events/second
1606739981,3325786,69278.727895,0.000000,0.000000,0.000000,events/second
1606739984,3325786,65157.638813,0.000000,0.000000,0.000000,events/second
1606739987,3325786,61529.134261,0.000000,0.000000,0.000000,events/second
1606739990,3325786,58320.448057,0.000000,0.000000,0.000000,events/second
1606739993,3325786,55376.173145,0.000000,0.000000,0.000000,events/second
1606739996,3325786,52757.325023,0.000000,0.000000,0.000000,events/second
1606739999,3325786,50368.192156,0.000000,0.000000,0.000000,events/second
1606740002,3325786,48024.333864,0.000000,0.000000,0.000000,events/second
1606740005,3325786,46158.974253,0.000000,0.000000,0.000000,events/second
1606740008,3325786,44314.151036,0.000000,0.000000,0.000000,events/second
1606740011,3325786,42563.017921,0.000000,0.000000,0.000000,events/second
1606740014,3325786,40987.551554,0.000000,0.000000,0.000000,events/second
1606740017,3325786,39559.534265,0.000000,0.000000,0.000000,events/second
1606740020,3325786,38213.804745,0.000000,0.000000,0.000000,events/second
1606740023,3325786,36944.597682,0.000000,0.000000,0.000000,events/second
1606740026,3325786,35752.724708,0.000000,0.000000,0.000000,events/second
1606740029,3325786,34548.320726,0.000000,0.000000,0.000000,events/second
1606740032,3325786,33573.371771,0.000000,0.000000,0.000000,events/second
1606740035,3325786,32581.855539,0.000000,0.000000,0.000000,events/second
1606740038,3325786,31666.579002,0.000000,0.000000,0.000000,events/second
1606740041,3325786,30791.442886,0.000000,0.000000,0.000000,events/second
1606740044,3325786,29952.914348,0.000000,0.000000,0.000000,events/second
1606740047,3325786,29106.031402,0.000000,0.000000,0.000000,events/second
