t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,406,102.879509,0.000000,0.000000,0.000000,events/second
1606739939,406,66.768979,0.000000,0.000000,0.000000,events/second
1606739942,406,44.858611,0.000000,0.000000,0.000000,events/second
1606739945,406,33.628409,0.000000,0.000000,0.000000,events/second
1606739948,406,27.003245,0.000000,0.000000,0.000000,events/second
1606739951,406,22.487630,0.000000,0.000000,0.000000,events/second
1606739954,406,19.272115,0.000000,0.000000,0.000000,events/second
1606739957,406,16.868508,0.000000,0.000000,0.000000,events/second
1606739960,406,15.013977,0.000000,0.000000,0.000000,events/second
1606739963,406,13.514806,0.000000,0.000000,0.000000,events/second
1606739966,406,12.286989,0.000000,0.000000,0.000000,events/second
1606739969,406,11.266545,0.000000,0.000000,0.000000,events/second
1606739972,406,10.399211,0.000000,0.000000,0.000000,events/second
1606739975,406,9.657836,0.000000,0.000000,0.000000,events/second
1606739978,406,9.016784,0.000000,0.000000,0.000000,events/second
1606739981,406,8.455888,0.000000,0.000000,0.000000,events/second
1606739984,406,7.952970,0.000000,0.000000,0.000000,events/second
1606739987,406,7.510074,0.000000,0.000000,0.000000,events/second
1606739990,406,7.118518,0.000000,0.000000,0.000000,events/second
1606739993,406,6.759170,0.000000,0.000000,0.000000,events/second
1606739996,406,6.439463,0.000000,0.000000,0.000000,events/second
1606739999,406,6.148024,0.000000,0.000000,0.000000,events/second
1606740002,406,5.861329,0.000000,0.000000,0.000000,events/second
1606740005,406,5.634275,0.000000,0.000000,0.000000,events/second
1606740008,406,5.409134,0.000000,0.000000,0.000000,events/second
1606740011,406,5.195371,0.000000,0.000000,0.000000,events/second
1606740014,406,5.003072,0.000000,0.000000,0.000000,events/second
1606740017,406,4.828804,0.000000,0.000000,0.000000,events/second
1606740020,406,4.664533,0.000000,0.000000,0.000000,events/second
1606740023,406,4.509669,0.000000,0.000000,0.000000,events/second
1606740026,406,4.364188,0.000000,0.000000,0.000000,events/second
1606740029,406,4.217030,0.000000,0.000000,0.000000,events/second
1606740032,406,4.098189,0.000000,0.000000,0.000000,events/second
1606740035,406,3.977121,0.000000,0.000000,0.000000,events/second
1606740038,406,3.865405,0.000000,0.000000,0.000000,events/second
1606740041,406,3.758634,0.000000,0.000000,0.000000,events/second
1606740044,406,3.656273,0.000000,0.000000,0.000000,events/second
1606740047,406,3.552903,0.000000,0.000000,0.000000,events/second
1606740050,406,3.459882,0.000000,0.000000,0.000000,events/second
1606740053,406,3.381744,0.000000,0.000000,0.000000,events/second
1606740056,406,3.300253,0.000000,0.000000,0.000000,events/second
1606740059,406,3.221088,0.000000,0.000000,0.000000,events/second
1606740062,406,3.146045,0.000000,0.000000,0.000000,events/second
1606740065,406,3.069113,0.000000,0.000000,0.000000,events/second
1606740068,406,3.007065,0.000000,0.000000,0.000000,events/second
1606740071,406,2.940711,0.000000,0.000000,0.000000,events/second
1606740074,406,2.878693,0.000000,0.000000,0.000000,events/second
1606740077,406,2.818628,0.000000,0.000000,0.000000,events/second
1606740080,406,2.761032,0.000000,0.000000,0.000000,events/second
1606740083,406,2.704364,0.000000,0.000000,0.000000,events/second
1606740086,406,2.652993,0.000000,0.000000,0.000000,events/second
1606740089,406,2.601848,0.000000,0.000000,0.000000,events/second
1606740092,406,2.552457,0.000000,0.000000,0.000000,events/second
1606740095,406,2.505358,0.000000,0.000000,0.000000,events/second
1606740098,406,2.459719,0.000000,0.000000,0.000000,events/second
1606740101,406,2.415990,0.000000,0.000000,0.000000,events/second
1606740104,406,2.374094,0.000000,0.000000,0.000000,events/second
1606740107,406,2.332705,0.000000,0.000000,0.000000,events/second
1606740110,406,2.293093,0.000000,0.000000,0.000000,events/second
