t,value
1606739936,0.0
1606739939,1.0
1606739942,1.0
1606739945,1.0
1606739948,1.0
1606739951,1.0
1606739954,1.0
1606739957,1.0
1606739960,1.0
1606739963,1.0
1606739966,1.0
1606739969,1.0
1606739972,1.0
1606739975,1.0
1606739978,1.0
1606739981,1.0
1606739984,1.0
1606739987,1.0
1606739990,1.0
1606739993,1.0
1606739996,1.0
1606739999,1.0
1606740002,1.0
1606740005,1.0
1606740008,1.0
1606740011,1.0
1606740014,1.0
1606740017,1.0
1606740020,1.0
1606740023,1.0
1606740026,1.0
1606740029,1.0
1606740032,1.0
1606740035,1.0
1606740038,1.0
1606740041,1.0
1606740044,1.0
1606740047,1.0
1606740050,1.0
1606740053,1.0
1606740056,1.0
1606740059,1.0
1606740062,1.0
1606740065,1.0
1606740068,1.0
1606740071,1.0
1606740074,1.0
1606740077,1.0
1606740080,1.0
1606740083,1.0
1606740086,1.0
1606740089,1.0
1606740092,1.0
1606740095,1.0
1606740098,1.0
1606740101,1.0
1606740104,1.0
1606740107,1.0
1606740110,1.0
1606740113,1.0
1606740116,1.0
1606740119,1.0
1606740122,1.0
1606740125,1.0
1606740128,1.0
1606740131,1.0
1606740134,1.0
1606740137,1.0
1606740140,1.0
1606740143,1.0
1606740146,1.0
1606740149,1.0
1606740152,1.0
1606740155,1.0
1606740158,1.0
1606740161,1.0
1606740164,1.0
1606740167,1.0
1606740170,1.0
1606740173,1.0
1606740176,1.0
1606740179,1.0
1606740182,1.0
1606740185,1.0
1606740188,1.0
1606740191,1.0
1606740194,1.0
1606740197,1.0
1606740200,1.0
1606740203,1.0
1606740206,1.0
1606740209,1.0
1606740212,1.0
1606740215,1.0
1606740218,1.0
1606740221,1.0
1606740224,1.0
1606740227,1.0
1606740230,1.0
1606740233,1.0
1606740236,1.0
1606740239,1.0
1606740242,1.0
1606740245,1.0
1606740248,1.0
1606740251,1.0
1606740254,1.0
1606740257,0.9932584269662922
1606740260,0.9955423476968797
1606740263,0.9955423476968797
1606740266,0.9955423476968797
1606740269,0.9953775038520801
1606740272,0.9955423476968797
1606740275,0.9955555555555555
1606740278,0.9955423476968797
1606740281,0.9945255474452555
1606740284,0.9955555555555555
1606740287,0.9955555555555555
1606740290,0.9955555555555555
1606740293,0.9956395348837209
1606740296,0.9956521739130435
1606740299,0.9956395348837209
1606740302,0.9957446808510638
1606740305,0.9957446808510638
1606740308,0.9958904109589041
1606740311,0.9958904109589041
1606740314,1.0
1606740317,1.0
1606740320,1.0
1606740323,1.0
1606740326,1.0
1606740329,1.0
1606740332,1.0
1606740335,1.0
1606740338,1.0
1606740341,1.0
1606740344,1.0
1606740347,1.0
1606740350,1.0
1606740353,1.0
1606740356,1.0
1606740359,1.0
1606740362,1.0
1606740365,1.0
1606740368,1.0
1606740371,1.0
1606740374,1.0
1606740377,1.0
1606740380,1.0
1606740383,1.0
1606740386,1.0
1606740389,1.0
1606740392,1.0
1606740395,1.0
1606740398,1.0
1606740401,1.0
1606740404,1.0
1606740407,1.0
1606740410,1.0
1606740413,1.0
1606740416,1.0
1606740419,1.0
1606740422,1.0
1606740425,1.0
1606740428,1.0
1606740431,1.0
1606740434,1.0
1606740437,1.0
1606740440,1.0
1606740443,1.0
1606740446,1.0
1606740449,1.0
1606740452,1.0
1606740455,1.0
1606740458,1.0
1606740461,1.0
1606740464,1.0
1606740467,1.0
1606740470,1.0
1606740473,1.0
1606740476,1.0
1606740479,1.0
1606740482,1.0
1606740485,1.0
1606740488,1.0
1606740491,1.0
1606740494,1.0
1606740497,1.0
1606740500,1.0
1606740503,1.0
1606740506,1.0
1606740509,1.0
1606740512,1.0
1606740515,1.0
1606740518,1.0
1606740521,1.0
1606740524,1.0
1606740527,1.0
1606740530,1.0
1606740533,1.0
1606740536,1.0
1606740539,1.0
1606740542,1.0
1606740545,1.0
1606740548,1.0
1606740551,1.0
1606740554,1.0
1606740557,1.0
1606740560,1.0
1606740563,1.0
1606740566,1.0
1606740569,1.0
1606740572,1.0
1606740575,1.0
1606740578,1.0
1606740581,1.0
1606740584,1.0
1606740587,1.0
1606740590,1.0
1606740593,1.0
1606740596,1.0
1606740599,1.0
1606740602,1.0
1606740605,1.0
1606740608,1.0
1606740611,1.0
1606740614,1.0
1606740617,1.0
1606740620,1.0
1606740623,1.0
1606740626,1.0
1606740629,1.0
1606740632,1.0
1606740635,1.0
1606740638,1.0
1606740641,1.0
1606740644,1.0
1606740647,1.0
1606740650,1.0
1606740653,1.0
1606740656,0.9973684210526316
1606740659,0.9973821989528796
1606740662,0.9999533625594628
1606740665,0.9999533625594628
1606740668,0.9999533625594628
1606740671,0.9999533466036328
1606740674,0.9999533661842658
1606740677,0.9999533661842658
1606740680,0.9999533661842658
1606740683,0.9999533690837025
1606740686,0.9999533690837025
1606740689,0.9999533705332857
1606740692,0.9999533698085054
1606740695,0.9999533698085054
1606740698,0.9999533698085054
1606740701,0.9999533712580435
1606740704,0.9999533698085054
1606740707,0.9999533712580435
1606740710,0.9999532703001605
1606740713,0.9999688977357551
1606740716,0.9999688987030759
1606740719,0.9999688987030759
1606740722,1.0
1606740725,1.0
1606740728,1.0
1606740731,1.0
1606740734,1.0
1606740737,1.0
1606740740,1.0
1606740743,1.0
1606740746,1.0
1606740749,1.0
1606740752,1.0
1606740755,1.0
1606740758,1.0
1606740761,1.0
1606740764,1.0
1606740767,1.0
1606740770,1.0
1606740773,1.0
1606740776,1.0
1606740779,1.0
1606740782,1.0
1606740785,1.0
1606740788,1.0
1606740791,1.0
1606740794,1.0
1606740797,1.0
1606740800,1.0
1606740803,1.0
1606740806,1.0
1606740809,1.0
1606740812,1.0
1606740815,1.0
1606740818,1.0
1606740821,1.0
1606740824,1.0
1606740827,1.0
1606740830,1.0
1606740833,1.0
1606740836,1.0
1606740839,1.0
1606740842,1.0
1606740845,1.0
1606740848,1.0
1606740851,1.0
1606740854,1.0
1606740857,1.0
1606740860,1.0
1606740863,1.0
1606740866,0.9938936903733825
1606740869,0.9938936903733825
1606740872,0.9939087051928628
1606740875,0.993908663874239
1606740878,0.9939086225550547
1606740881,0.9939059562830405
1606740884,0.9939084985941384
1606740887,0.9939084572727118
1606740890,0.9939084572727118
1606740893,0.9939451966125465
1606740896,0.9939451966125465
1606740899,0.9939451557875006
1606740902,0.9939451149619041
1606740905,0.9939450741357571
1606740908,0.9937743817149297
1606740911,0.9937728777960819
1606740914,0.9937732538439086
1606740917,0.9937732120630597
1606740920,0.99377317028165
1606740923,0.99377317028165
1606740926,0.9861623616236163
1606740929,0.9861623616236163
1606740932,0.9903799903799904
1606740935,0.9903799903799904
1606740938,0.9925149700598802
1606740941,0.9925335988053758
1606740944,0.9925335988053758
1606740947,0.9925335988053758
1606740950,0.9925335988053758
1606740953,0.9925889328063241
1606740958,0.9925889328063241
1606740959,0.9925889328063241
1606740962,0.9925889328063241
1606740965,1.0
1606740968,1.0
1606740971,1.0
1606740974,1.0
1606740977,1.0
1606740980,1.0
1606740983,1.0
1606740986,1.0
1606740989,1.0
1606740992,1.0
1606740995,1.0
1606740998,1.0
1606741001,1.0
1606741004,1.0
1606741007,1.0
1606741010,1.0
1606741013,1.0
1606741016,1.0
1606741019,1.0
1606741022,1.0
1606741025,1.0
1606741028,1.0
1606741031,1.0
1606741034,1.0
1606741037,1.0
1606741040,1.0
1606741043,1.0
1606741046,1.0
1606741049,1.0
1606741052,1.0
1606741055,1.0
1606741058,1.0
1606741061,1.0
1606741064,1.0
1606741067,1.0
1606741070,1.0
1606741073,1.0
1606741076,1.0
1606741079,1.0
1606741082,1.0
1606741085,1.0
1606741088,1.0
1606741091,1.0
1606741094,1.0
1606741097,1.0
1606741100,1.0
1606741103,1.0
1606741106,1.0
1606741109,1.0
1606741112,1.0
1606741115,1.0
1606741118,1.0
1606741121,1.0
1606741124,1.0
1606741127,1.0
1606741130,1.0
1606741133,1.0
1606741136,1.0
1606741139,1.0
1606741142,1.0
1606741145,1.0
1606741148,1.0
1606741151,1.0
1606741154,1.0
1606741157,1.0
1606741160,1.0
1606741163,1.0
1606741166,0.999092970521542
1606741169,0.9990937924784775
1606741172,0.9990946129470348
1606741175,0.9990954319312528
1606741178,0.9990962494351558
1606741181,0.999043062200957
1606741184,0.9990978800180425
1606741187,0.9990986931050022
1606741190,0.9919028340080972
1606741193,0.9995009980039921
1606741196,0.9995040912472105
1606741199,0.9995043370508054
1606741202,0.9995045826108496
1606741205,0.9995048279277049
1606741208,0.9995050730017322
1606741211,0.9990340497464381
1606741214,0.9990349819059108
1606741217,0.9990412272291467
1606741220,0.9990416866315285
1606741223,0.9990426041168023
1606741226,0.9995095635115253
1606741229,0.9995095635115253
1606741232,0.9995098039215686
1606741235,0.9995130265400536
1606741238,0.9995130265400536
1606741241,0.9994979919678715
1606741244,0.99951373693168
1606741247,0.9995139732685298
1606741250,0.994413407821229
1606741253,0.9991445680068435
1606741256,0.9991445680068435
1606741259,0.9991452991452991
1606741262,0.9991460290350128
1606741265,0.9991467576791809
1606741268,1.0
1606741271,1.0
1606741274,1.0
1606741277,1.0
1606741280,1.0
1606741283,1.0
1606741286,1.0
1606741289,1.0
1606741292,1.0
1606741295,1.0
1606741298,1.0
1606741301,1.0
1606741304,1.0
1606741307,1.0
1606741310,1.0
1606741313,1.0
1606741316,1.0
1606741319,1.0
1606741322,1.0
1606741325,1.0
1606741328,1.0
1606741331,1.0
1606741334,1.0
1606741337,1.0
1606741340,1.0
1606741343,1.0
1606741346,1.0
1606741349,1.0
1606741352,1.0
1606741355,1.0
1606741358,1.0
1606741361,1.0
1606741364,1.0
1606741367,1.0
1606741370,1.0
1606741373,1.0
1606741376,1.0
1606741379,1.0
1606741382,1.0
1606741385,1.0
1606741388,1.0
1606741391,1.0
1606741394,1.0
1606741397,1.0
1606741400,1.0
1606741403,1.0
1606741406,1.0
1606741409,1.0
1606741412,1.0
1606741415,1.0
1606741418,1.0
1606741421,1.0
1606741424,1.0
1606741427,1.0
1606741430,1.0
1606741433,1.0
1606741436,1.0
1606741439,1.0
1606741442,1.0
1606741445,1.0
1606741448,1.0
1606741451,1.0
1606741454,1.0
1606741457,1.0
1606741460,1.0
1606741463,1.0
1606741466,1.0
1606741469,1.0
1606741472,1.0
1606741475,1.0
1606741478,1.0
1606741481,1.0
1606741484,1.0
1606741487,1.0
