t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,1568,397.054594,0.000000,0.000000,0.000000,events/second
1606739939,1570,258.144326,0.000000,0.000000,0.000000,events/second
1606739942,1576,174.111960,0.000000,0.000000,0.000000,events/second
1606739945,1630,134.999306,0.000000,0.000000,0.000000,events/second
1606739948,1632,108.539731,0.000000,0.000000,0.000000,events/second
1606739951,1634,90.500347,0.000000,0.000000,0.000000,events/second
1606739954,1645,78.081669,0.000000,0.000000,0.000000,events/second
1606739957,1647,68.426841,0.000000,0.000000,0.000000,events/second
1606739960,1649,60.978790,0.000000,0.000000,0.000000,events/second
1606739963,1651,54.956863,0.000000,0.000000,0.000000,events/second
1606739966,1653,50.024525,0.000000,0.000000,0.000000,events/second
1606739969,1655,45.925579,0.000000,0.000000,0.000000,events/second
1606739972,1657,42.441240,0.000000,0.000000,0.000000,events/second
1606739975,1659,39.463280,0.000000,0.000000,0.000000,events/second
1606739978,1661,36.888359,0.000000,0.000000,0.000000,events/second
1606739981,1663,34.635375,0.000000,0.000000,0.000000,events/second
1606739984,1790,35.063165,0.000000,0.000000,0.000000,events/second
1606739987,1792,33.147433,0.000000,0.000000,0.000000,events/second
1606739990,1794,31.454329,0.000000,0.000000,0.000000,events/second
1606739993,1896,31.564580,0.000000,0.000000,0.000000,events/second
1606739996,1898,30.103167,0.000000,0.000000,0.000000,events/second
1606739999,1900,28.771271,0.000000,0.000000,0.000000,events/second
1606740002,1902,27.457737,0.000000,0.000000,0.000000,events/second
1606740005,1904,26.422519,0.000000,0.000000,0.000000,events/second
1606740008,1906,25.393404,0.000000,0.000000,0.000000,events/second
1606740011,1908,24.415430,0.000000,0.000000,0.000000,events/second
1606740014,1910,23.536422,0.000000,0.000000,0.000000,events/second
1606740017,1912,22.740372,0.000000,0.000000,0.000000,events/second
1606740020,1914,21.989477,0.000000,0.000000,0.000000,events/second
1606740023,1916,21.281943,0.000000,0.000000,0.000000,events/second
1606740026,1918,20.616889,0.000000,0.000000,0.000000,events/second
1606740029,1920,19.942318,0.000000,0.000000,0.000000,events/second
1606740032,1922,19.400671,0.000000,0.000000,0.000000,events/second
1606740035,1925,18.856847,0.000000,0.000000,0.000000,events/second
1606740038,1951,18.574775,0.000000,0.000000,0.000000,events/second
