t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,66,16.695622,0.000000,0.000000,0.000000,events/second
1606739939,66,10.847671,0.000000,0.000000,0.000000,events/second
1606739942,66,7.289735,0.000000,0.000000,0.000000,events/second
1606739945,66,5.465203,0.000000,0.000000,0.000000,events/second
1606739948,66,4.388895,0.000000,0.000000,0.000000,events/second
1606739951,66,3.655038,0.000000,0.000000,0.000000,events/second
1606739954,66,3.132387,0.000000,0.000000,0.000000,events/second
1606739957,66,2.741803,0.000000,0.000000,0.000000,events/second
1606739960,66,2.440458,0.000000,0.000000,0.000000,events/second
1606739963,66,2.196806,0.000000,0.000000,0.000000,events/second
1606739966,66,1.997230,0.000000,0.000000,0.000000,events/second
1606739969,66,1.831375,0.000000,0.000000,0.000000,events/second
1606739972,66,1.690391,0.000000,0.000000,0.000000,events/second
1606739975,66,1.569896,0.000000,0.000000,0.000000,events/second
1606739978,66,1.465702,0.000000,0.000000,0.000000,events/second
1606739981,66,1.374531,0.000000,0.000000,0.000000,events/second
1606739984,66,1.292784,0.000000,0.000000,0.000000,events/second
1606739987,66,1.220785,0.000000,0.000000,0.000000,events/second
1606739990,66,1.157143,0.000000,0.000000,0.000000,events/second
1606739993,66,1.098729,0.000000,0.000000,0.000000,events/second
1606739996,66,1.046752,0.000000,0.000000,0.000000,events/second
1606739999,66,0.999395,0.000000,0.000000,0.000000,events/second
1606740002,66,0.952733,0.000000,0.000000,0.000000,events/second
1606740005,66,0.915881,0.000000,0.000000,0.000000,events/second
1606740008,66,0.879288,0.000000,0.000000,0.000000,events/second
1606740011,66,0.844537,0.000000,0.000000,0.000000,events/second
1606740014,66,0.813281,0.000000,0.000000,0.000000,events/second
1606740017,66,0.784952,0.000000,0.000000,0.000000,events/second
1606740020,66,0.758241,0.000000,0.000000,0.000000,events/second
1606740023,66,0.733079,0.000000,0.000000,0.000000,events/second
1606740026,66,0.709430,0.000000,0.000000,0.000000,events/second
1606740029,66,0.685498,0.000000,0.000000,0.000000,events/second
1606740032,66,0.666192,0.000000,0.000000,0.000000,events/second
1606740035,66,0.646507,0.000000,0.000000,0.000000,events/second
1606740038,66,0.628351,0.000000,0.000000,0.000000,events/second
1606740041,66,0.610996,0.000000,0.000000,0.000000,events/second
1606740044,66,0.594355,0.000000,0.000000,0.000000,events/second
1606740047,66,0.577552,0.000000,0.000000,0.000000,events/second
1606740050,66,0.562432,0.000000,0.000000,0.000000,events/second
1606740053,66,0.549731,0.000000,0.000000,0.000000,events/second
1606740056,66,0.536484,0.000000,0.000000,0.000000,events/second
1606740059,66,0.523614,0.000000,0.000000,0.000000,events/second
1606740062,66,0.511416,0.000000,0.000000,0.000000,events/second
1606740065,66,0.498903,0.000000,0.000000,0.000000,events/second
1606740068,66,0.488824,0.000000,0.000000,0.000000,events/second
1606740071,66,0.478038,0.000000,0.000000,0.000000,events/second
1606740074,66,0.467957,0.000000,0.000000,0.000000,events/second
1606740077,66,0.458193,0.000000,0.000000,0.000000,events/second
1606740080,66,0.448830,0.000000,0.000000,0.000000,events/second
1606740083,66,0.439616,0.000000,0.000000,0.000000,events/second
1606740086,66,0.431267,0.000000,0.000000,0.000000,events/second
1606740089,66,0.422953,0.000000,0.000000,0.000000,events/second
1606740092,66,0.414924,0.000000,0.000000,0.000000,events/second
1606740095,66,0.407267,0.000000,0.000000,0.000000,events/second
1606740098,66,0.399850,0.000000,0.000000,0.000000,events/second
1606740101,66,0.392741,0.000000,0.000000,0.000000,events/second
1606740104,66,0.385930,0.000000,0.000000,0.000000,events/second
1606740107,66,0.379202,0.000000,0.000000,0.000000,events/second
1606740110,66,0.372763,0.000000,0.000000,0.000000,events/second
1606740113,66,0.366608,0.000000,0.000000,0.000000,events/second
1606740116,66,0.360591,0.000000,0.000000,0.000000,events/second
1606740119,66,0.354779,0.000000,0.000000,0.000000,events/second
1606740122,66,0.349151,0.000000,0.000000,0.000000,events/second
1606740125,66,0.343718,0.000000,0.000000,0.000000,events/second
1606740128,66,0.338364,0.000000,0.000000,0.000000,events/second
1606740131,66,0.333309,0.000000,0.000000,0.000000,events/second
1606740134,66,0.328042,0.000000,0.000000,0.000000,events/second
1606740137,66,0.323470,0.000000,0.000000,0.000000,events/second
1606740140,66,0.318751,0.000000,0.000000,0.000000,events/second
1606740143,66,0.313979,0.000000,0.000000,0.000000,events/second
1606740146,66,0.309837,0.000000,0.000000,0.000000,events/second
1606740149,66,0.305497,0.000000,0.000000,0.000000,events/second
1606740152,66,0.301305,0.000000,0.000000,0.000000,events/second
1606740155,66,0.296425,0.000000,0.000000,0.000000,events/second
