t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,1634,413.137708,0.000000,0.000000,0.000000,events/second
1606739939,1636,268.885288,0.000000,0.000000,0.000000,events/second
1606739942,1642,181.358893,0.000000,0.000000,0.000000,events/second
1606739945,1696,140.438516,0.000000,0.000000,0.000000,events/second
1606739948,1698,112.916065,0.000000,0.000000,0.000000,events/second
1606739951,1700,94.145367,0.000000,0.000000,0.000000,events/second
1606739954,1711,81.203411,0.000000,0.000000,0.000000,events/second
1606739957,1713,71.162055,0.000000,0.000000,0.000000,events/second
1606739960,1715,63.415682,0.000000,0.000000,0.000000,events/second
1606739963,1717,57.150912,0.000000,0.000000,0.000000,events/second
1606739966,1719,52.019056,0.000000,0.000000,0.000000,events/second
1606739969,1721,47.754957,0.000000,0.000000,0.000000,events/second
1606739972,1723,44.129619,0.000000,0.000000,0.000000,events/second
1606739975,1725,41.031712,0.000000,0.000000,0.000000,events/second
1606739978,1727,38.352837,0.000000,0.000000,0.000000,events/second
1606739981,1729,36.008804,0.000000,0.000000,0.000000,events/second
1606739984,1856,36.354815,0.000000,0.000000,0.000000,events/second
1606739987,1858,34.367070,0.000000,0.000000,0.000000,events/second
1606739990,1860,32.610527,0.000000,0.000000,0.000000,events/second
1606739993,1962,32.662320,0.000000,0.000000,0.000000,events/second
1606739996,1964,31.148732,0.000000,0.000000,0.000000,events/second
1606739999,1966,29.769948,0.000000,0.000000,0.000000,events/second
1606740002,1968,28.408077,0.000000,0.000000,0.000000,events/second
1606740005,1970,27.337753,0.000000,0.000000,0.000000,events/second
1606740008,1972,26.272162,0.000000,0.000000,0.000000,events/second
1606740011,1974,25.259367,0.000000,0.000000,0.000000,events/second
1606740014,1976,24.349255,0.000000,0.000000,0.000000,events/second
1606740017,1978,23.524826,0.000000,0.000000,0.000000,events/second
1606740020,1980,22.747284,0.000000,0.000000,0.000000,events/second
1606740023,1982,22.014681,0.000000,0.000000,0.000000,events/second
1606740026,1984,21.325982,0.000000,0.000000,0.000000,events/second
1606740029,1986,20.627176,0.000000,0.000000,0.000000,events/second
1606740032,1988,20.066575,0.000000,0.000000,0.000000,events/second
1606740035,1991,19.502965,0.000000,0.000000,0.000000,events/second
1606740038,2017,19.202842,0.000000,0.000000,0.000000,events/second
1606740041,2019,18.690946,0.000000,0.000000,0.000000,events/second
1606740044,2146,19.325597,0.000000,0.000000,0.000000,events/second
1606740047,2148,18.796746,0.000000,0.000000,0.000000,events/second
1606740050,2150,18.321707,0.000000,0.000000,0.000000,events/second
1606740053,2274,18.940775,0.000000,0.000000,0.000000,events/second
1606740056,2276,18.500609,0.000000,0.000000,0.000000,events/second
1606740059,2278,18.072647,0.000000,0.000000,0.000000,events/second
1606740062,2280,17.667149,0.000000,0.000000,0.000000,events/second
1606740065,2282,17.249878,0.000000,0.000000,0.000000,events/second
1606740068,2284,16.916296,0.000000,0.000000,0.000000,events/second
1606740071,2308,16.716882,0.000000,0.000000,0.000000,events/second
1606740074,2310,16.378529,0.000000,0.000000,0.000000,events/second
1606740077,2312,16.050677,0.000000,0.000000,0.000000,events/second
1606740080,2314,15.736296,0.000000,0.000000,0.000000,events/second
1606740083,2316,15.426539,0.000000,0.000000,0.000000,events/second
1606740086,2318,15.146662,0.000000,0.000000,0.000000,events/second
1606740089,2320,14.867430,0.000000,0.000000,0.000000,events/second
1606740092,2344,14.736130,0.000000,0.000000,0.000000,events/second
1606740095,2346,14.476511,0.000000,0.000000,0.000000,events/second
1606740098,2348,14.224993,0.000000,0.000000,0.000000,events/second
1606740101,2350,13.984008,0.000000,0.000000,0.000000,events/second
1606740104,2477,14.484107,0.000000,0.000000,0.000000,events/second
1606740107,2479,14.243074,0.000000,0.000000,0.000000,events/second
1606740110,2481,14.012545,0.000000,0.000000,0.000000,events/second
1606740113,2605,14.469949,0.000000,0.000000,0.000000,events/second
1606740116,2607,14.243347,0.000000,0.000000,0.000000,events/second
1606740119,2609,14.024522,0.000000,0.000000,0.000000,events/second
1606740122,2611,13.812640,0.000000,0.000000,0.000000,events/second
1606740125,2613,13.608109,0.000000,0.000000,0.000000,events/second
1606740128,2615,13.406401,0.000000,0.000000,0.000000,events/second
1606740131,2619,13.226333,0.000000,0.000000,0.000000,events/second
1606740134,2641,13.126666,0.000000,0.000000,0.000000,events/second
1606740137,2643,12.953521,0.000000,0.000000,0.000000,events/second
1606740140,2645,12.774223,0.000000,0.000000,0.000000,events/second
1606740143,2647,12.592462,0.000000,0.000000,0.000000,events/second
1606740146,2649,12.435754,0.000000,0.000000,0.000000,events/second
1606740149,2651,12.270824,0.000000,0.000000,0.000000,events/second
1606740152,2675,12.211978,0.000000,0.000000,0.000000,events/second
1606740155,2677,12.023169,0.000000,0.000000,0.000000,events/second
1606740158,2679,11.904446,0.000000,0.000000,0.000000,events/second
1606740161,2681,11.758160,0.000000,0.000000,0.000000,events/second
1606740164,2808,12.154510,0.000000,0.000000,0.000000,events/second
1606740167,2810,12.007415,0.000000,0.000000,0.000000,events/second
1606740170,2812,11.852689,0.000000,0.000000,0.000000,events/second
1606740173,2936,12.229358,0.000000,0.000000,0.000000,events/second
1606740176,2938,12.089685,0.000000,0.000000,0.000000,events/second
1606740179,2940,11.950300,0.000000,0.000000,0.000000,events/second
1606740182,2942,11.813803,0.000000,0.000000,0.000000,events/second
1606740185,2944,11.681008,0.000000,0.000000,0.000000,events/second
1606740188,2946,11.550769,0.000000,0.000000,0.000000,events/second
1606740191,2950,11.433584,0.000000,0.000000,0.000000,events/second
1606740194,2972,11.378696,0.000000,0.000000,0.000000,events/second
1606740197,2974,11.263896,0.000000,0.000000,0.000000,events/second
1606740200,2976,11.143582,0.000000,0.000000,0.000000,events/second
1606740203,2978,11.027888,0.000000,0.000000,0.000000,events/second
1606740206,2980,10.914188,0.000000,0.000000,0.000000,events/second
1606740209,2982,10.802290,0.000000,0.000000,0.000000,events/second
1606740212,3006,10.774107,0.000000,0.000000,0.000000,events/second
1606740215,3008,10.665011,0.000000,0.000000,0.000000,events/second
1606740218,3010,10.560608,0.000000,0.000000,0.000000,events/second
1606740221,3012,10.456845,0.000000,0.000000,0.000000,events/second
1606740224,3139,10.785637,0.000000,0.000000,0.000000,events/second
1606740227,3141,10.681789,0.000000,0.000000,0.000000,events/second
1606740230,3143,10.581507,0.000000,0.000000,0.000000,events/second
1606740233,3267,10.888222,0.000000,0.000000,0.000000,events/second
1606740236,3269,10.787416,0.000000,0.000000,0.000000,events/second
1606740239,3271,10.688641,0.000000,0.000000,0.000000,events/second
1606740242,3273,10.591227,0.000000,0.000000,0.000000,events/second
1606740245,3275,10.495427,0.000000,0.000000,0.000000,events/second
1606740248,3277,10.394978,0.000000,0.000000,0.000000,events/second
1606740251,3281,10.316413,0.000000,0.000000,0.000000,events/second
1606740254,3303,10.288744,0.000000,0.000000,0.000000,events/second
1606740257,3457,10.668725,0.000000,0.000000,0.000000,events/second
1606740260,3649,11.158536,0.000000,0.000000,0.000000,events/second
1606740263,3651,11.063404,0.000000,0.000000,0.000000,events/second
1606740266,3653,10.969158,0.000000,0.000000,0.000000,events/second
1606740269,3655,10.876234,0.000000,0.000000,0.000000,events/second
1606740272,3681,10.858159,0.000000,0.000000,0.000000,events/second
1606740275,3683,10.767613,0.000000,0.000000,0.000000,events/second
1606740278,3685,10.680106,0.000000,0.000000,0.000000,events/second
1606740281,3687,10.593252,0.000000,0.000000,0.000000,events/second
1606740284,3814,10.866218,0.000000,0.000000,0.000000,events/second
1606740287,3816,10.778943,0.000000,0.000000,0.000000,events/second
1606740290,3818,10.694344,0.000000,0.000000,0.000000,events/second
1606740293,3965,11.012379,0.000000,0.000000,0.000000,events/second
1606740296,3967,10.927597,0.000000,0.000000,0.000000,events/second
1606740299,3969,10.843001,0.000000,0.000000,0.000000,events/second
1606740302,3988,10.806358,0.000000,0.000000,0.000000,events/second
1606740305,3990,10.724071,0.000000,0.000000,0.000000,events/second
1606740308,4015,10.706362,0.000000,0.000000,0.000000,events/second
1606740311,4019,10.630285,0.000000,0.000000,0.000000,events/second
1606740314,4041,10.605493,0.000000,0.000000,0.000000,events/second
1606740317,4043,10.526792,0.000000,0.000000,0.000000,events/second
1606740320,4045,10.451402,0.000000,0.000000,0.000000,events/second
1606740323,4047,10.375938,0.000000,0.000000,0.000000,events/second
1606740326,4049,10.302005,0.000000,0.000000,0.000000,events/second
1606740329,4051,10.228807,0.000000,0.000000,0.000000,events/second
1606740332,4075,10.212329,0.000000,0.000000,0.000000,events/second
1606740335,4077,10.141467,0.000000,0.000000,0.000000,events/second
1606740338,4079,10.070735,0.000000,0.000000,0.000000,events/second
1606740341,4081,10.001766,0.000000,0.000000,0.000000,events/second
1606740344,4208,10.237778,0.000000,0.000000,0.000000,events/second
1606740347,4210,10.167937,0.000000,0.000000,0.000000,events/second
1606740350,4212,10.099878,0.000000,0.000000,0.000000,events/second
1606740353,4359,10.377517,0.000000,0.000000,0.000000,events/second
1606740356,4361,10.308570,0.000000,0.000000,0.000000,events/second
1606740359,4363,10.241203,0.000000,0.000000,0.000000,events/second
1606740362,4365,10.174078,0.000000,0.000000,0.000000,events/second
1606740365,4367,10.108155,0.000000,0.000000,0.000000,events/second
1606740368,4369,10.042513,0.000000,0.000000,0.000000,events/second
