t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,1633,412.634301,0.000000,0.000000,0.000000,events/second
1606739939,1635,268.697929,0.000000,0.000000,0.000000,events/second
1606739942,1641,181.241290,0.000000,0.000000,0.000000,events/second
1606739945,1695,140.351280,0.000000,0.000000,0.000000,events/second
1606739948,1697,112.848793,0.000000,0.000000,0.000000,events/second
1606739951,1699,94.088787,0.000000,0.000000,0.000000,events/second
1606739954,1710,81.152657,0.000000,0.000000,0.000000,events/second
1606739957,1712,71.119393,0.000000,0.000000,0.000000,events/second
1606739960,1714,63.378538,0.000000,0.000000,0.000000,events/second
1606739963,1716,57.117654,0.000000,0.000000,0.000000,events/second
1606739966,1718,51.988623,0.000000,0.000000,0.000000,events/second
1606739969,1720,47.727220,0.000000,0.000000,0.000000,events/second
1606739972,1722,44.103627,0.000000,0.000000,0.000000,events/second
1606739975,1724,41.007941,0.000000,0.000000,0.000000,events/second
1606739978,1726,38.330636,0.000000,0.000000,0.000000,events/second
1606739981,1728,35.987989,0.000000,0.000000,0.000000,events/second
1606739984,1855,36.335182,0.000000,0.000000,0.000000,events/second
1606739987,1857,34.348482,0.000000,0.000000,0.000000,events/second
1606739990,1859,32.592946,0.000000,0.000000,0.000000,events/second
1606739993,1961,32.645584,0.000000,0.000000,0.000000,events/second
1606739996,1963,31.132653,0.000000,0.000000,0.000000,events/second
1606739999,1965,29.754685,0.000000,0.000000,0.000000,events/second
1606740002,1967,28.392816,0.000000,0.000000,0.000000,events/second
1606740005,1969,27.323829,0.000000,0.000000,0.000000,events/second
1606740008,1971,26.258831,0.000000,0.000000,0.000000,events/second
1606740011,1973,25.246505,0.000000,0.000000,0.000000,events/second
1606740014,1975,24.336936,0.000000,0.000000,0.000000,events/second
1606740017,1977,23.512898,0.000000,0.000000,0.000000,events/second
1606740020,1979,22.735786,0.000000,0.000000,0.000000,events/second
1606740023,1981,22.003585,0.000000,0.000000,0.000000,events/second
1606740026,1983,21.315233,0.000000,0.000000,0.000000,events/second
1606740029,1985,20.616632,0.000000,0.000000,0.000000,events/second
1606740032,1987,20.056489,0.000000,0.000000,0.000000,events/second
1606740035,1990,19.493014,0.000000,0.000000,0.000000,events/second
1606740038,2016,19.193323,0.000000,0.000000,0.000000,events/second
1606740041,2018,18.681693,0.000000,0.000000,0.000000,events/second
1606740044,2145,19.316581,0.000000,0.000000,0.000000,events/second
1606740047,2147,18.787985,0.000000,0.000000,0.000000,events/second
1606740050,2149,18.313179,0.000000,0.000000,0.000000,events/second
1606740053,2273,18.932452,0.000000,0.000000,0.000000,events/second
1606740056,2275,18.492484,0.000000,0.000000,0.000000,events/second
1606740059,2277,18.064699,0.000000,0.000000,0.000000,events/second
1606740062,2279,17.659403,0.000000,0.000000,0.000000,events/second
1606740065,2281,17.242200,0.000000,0.000000,0.000000,events/second
1606740068,2283,16.908882,0.000000,0.000000,0.000000,events/second
1606740071,2307,16.709639,0.000000,0.000000,0.000000,events/second
1606740074,2309,16.371443,0.000000,0.000000,0.000000,events/second
1606740077,2311,16.043738,0.000000,0.000000,0.000000,events/second
1606740080,2313,15.729498,0.000000,0.000000,0.000000,events/second
1606740083,2315,15.419845,0.000000,0.000000,0.000000,events/second
1606740086,2317,15.140124,0.000000,0.000000,0.000000,events/second
1606740089,2319,14.861017,0.000000,0.000000,0.000000,events/second
1606740092,2343,14.729838,0.000000,0.000000,0.000000,events/second
1606740095,2345,14.470319,0.000000,0.000000,0.000000,events/second
1606740098,2347,14.218937,0.000000,0.000000,0.000000,events/second
1606740101,2349,13.978059,0.000000,0.000000,0.000000,events/second
1606740104,2476,14.478254,0.000000,0.000000,0.000000,events/second
1606740107,2478,14.237304,0.000000,0.000000,0.000000,events/second
1606740110,2480,14.006900,0.000000,0.000000,0.000000,events/second
1606740113,2604,14.464385,0.000000,0.000000,0.000000,events/second
1606740116,2606,14.237878,0.000000,0.000000,0.000000,events/second
1606740119,2608,14.019140,0.000000,0.000000,0.000000,events/second
1606740122,2610,13.807351,0.000000,0.000000,0.000000,events/second
1606740125,2612,13.602896,0.000000,0.000000,0.000000,events/second
