t,value
1606739936,8
1606739939,8
1606739942,8
1606739945,8
1606739948,8
1606739951,8
1606739954,8
1606739957,8
1606739960,8
1606739963,8
1606739966,8
1606739969,8
1606739972,8
1606739975,8
1606739978,8
1606739981,8
1606739984,8
1606739987,8
1606739990,8
1606739993,8
1606739996,8
1606739999,8
1606740002,8
1606740005,8
1606740008,8
1606740011,8
1606740014,8
1606740017,8
1606740020,8
1606740023,8
1606740026,8
1606740029,8
1606740032,8
1606740035,8
1606740038,8
1606740041,8
1606740044,8
1606740047,8
1606740050,8
1606740053,8
1606740056,8
1606740059,8
1606740062,8
1606740065,8
1606740068,8
1606740071,8
1606740074,8
1606740077,8
1606740080,8
1606740083,8
1606740086,8
1606740089,8
1606740092,8
1606740095,8
1606740098,8
1606740101,8
1606740104,8
1606740107,8
1606740110,8
1606740113,8
1606740116,8
1606740119,8
1606740122,8
1606740125,8
1606740128,8
1606740131,8
1606740134,8
1606740137,8
1606740140,8
1606740143,8
1606740146,8
1606740149,8
1606740152,8
1606740155,8
1606740158,8
1606740161,8
1606740164,8
1606740167,8
1606740170,8
1606740173,8
1606740176,8
1606740179,8
1606740182,8
1606740185,8
1606740188,8
1606740191,8
1606740194,8
1606740197,8
1606740200,8
1606740203,8
1606740206,8
1606740209,8
1606740212,8
1606740215,8
1606740218,8
1606740221,8
1606740224,8
1606740227,8
1606740230,8
1606740233,8
1606740236,8
1606740239,8
1606740242,8
1606740245,8
1606740248,8
1606740251,8
1606740254,8
1606740257,8
1606740260,8
1606740263,8
1606740266,8
1606740269,8
1606740272,8
1606740275,8
1606740278,8
1606740281,8
1606740284,8
1606740287,8
1606740290,8
1606740293,8
1606740296,8
1606740299,8
1606740302,8
1606740305,8
1606740308,8
1606740311,8
1606740314,8
1606740317,8
1606740320,8
1606740323,8
1606740326,8
1606740329,8
1606740332,8
1606740335,8
1606740338,8
1606740341,8
1606740344,8
1606740347,8
1606740350,8
1606740353,8
1606740356,8
1606740359,8
1606740362,8
1606740365,8
1606740368,8
1606740371,8
1606740374,8
1606740377,8
1606740380,8
1606740383,8
1606740386,8
1606740389,8
1606740392,8
1606740395,8
1606740398,8
1606740401,8
1606740404,8
1606740407,8
1606740410,8
1606740413,8
1606740416,8
1606740419,8
1606740422,8
1606740425,8
1606740428,8
1606740431,8
1606740434,8
1606740437,8
1606740440,8
1606740443,8
1606740446,8
1606740449,8
1606740452,8
1606740455,8
1606740458,8
1606740461,8
1606740464,8
1606740467,8
1606740470,8
1606740473,8
1606740476,8
1606740479,8
1606740482,8
1606740485,8
1606740488,8
1606740491,8
1606740494,8
1606740497,8
1606740500,8
1606740503,8
1606740506,8
1606740509,8
1606740512,8
1606740515,8
1606740518,8
1606740521,8
1606740524,8
1606740527,8
1606740530,8
1606740533,8
1606740536,8
1606740539,8
1606740542,8
1606740545,8
1606740548,8
1606740551,8
1606740554,8
1606740557,8
1606740560,8
1606740563,8
1606740566,8
1606740569,8
1606740572,8
1606740575,8
1606740578,8
1606740581,8
1606740584,8
1606740587,8
1606740590,8
1606740593,8
1606740596,8
1606740599,8
1606740602,8
1606740605,8
1606740608,8
1606740611,8
1606740614,8
1606740617,8
1606740620,8
1606740623,8
1606740626,8
1606740629,8
1606740632,8
1606740635,8
1606740638,8
1606740641,8
1606740644,8
1606740647,8
1606740650,8
1606740653,8
1606740656,8
1606740659,8
1606740662,8
1606740665,8
1606740668,8
1606740671,8
1606740674,8
1606740677,8
1606740680,8
1606740683,8
1606740686,8
1606740689,8
1606740692,8
1606740695,8
1606740698,8
1606740701,8
1606740704,8
1606740707,8
1606740710,8
1606740713,8
1606740716,8
1606740719,8
1606740722,8
1606740725,8
1606740728,8
1606740731,8
1606740734,8
1606740737,8
1606740740,8
1606740743,8
1606740746,8
1606740749,8
1606740752,8
1606740755,8
1606740758,8
1606740761,8
1606740764,8
1606740767,8
1606740770,8
1606740773,8
1606740776,8
1606740779,8
1606740782,8
1606740785,8
1606740788,8
1606740791,8
1606740794,8
1606740797,8
1606740800,8
1606740803,8
1606740806,8
1606740809,8
1606740812,8
1606740815,8
1606740818,8
1606740821,8
1606740824,8
1606740827,8
1606740830,8
1606740833,8
1606740836,8
1606740839,8
1606740842,8
1606740845,8
1606740848,8
1606740851,8
1606740854,8
1606740857,8
1606740860,8
1606740863,8
1606740866,8
1606740869,8
1606740872,8
1606740875,8
1606740878,8
1606740881,8
1606740884,8
1606740887,8
1606740890,8
1606740893,8
1606740896,8
1606740899,8
1606740902,8
1606740905,8
1606740908,8
1606740911,8
1606740914,8
1606740917,8
1606740920,8
1606740923,8
1606740926,8
1606740929,8
1606740932,8
1606740935,8
1606740938,8
1606740941,8
1606740944,8
1606740947,8
1606740950,8
1606740953,8
1606740958,8
1606740959,8
1606740962,8
1606740965,8
1606740968,8
1606740971,8
1606740974,8
1606740977,8
1606740980,8
1606740983,8
1606740986,8
1606740989,8
