t,value
1606739936,8
1606739939,8
1606739942,4
1606739945,4
1606739948,4
1606739951,4
1606739954,4
1606739957,4
1606739960,4
1606739963,4
1606739966,4
1606739969,4
1606739972,4
1606739975,4
1606739978,4
1606739981,4
1606739984,4
1606739987,4
1606739990,4
1606739993,4
1606739996,4
1606739999,4
1606740002,5
1606740005,5
1606740008,5
1606740011,5
1606740014,5
1606740017,5
1606740020,5
1606740023,5
1606740026,5
1606740029,5
1606740032,5
1606740035,5
1606740038,5
1606740041,5
1606740044,5
1606740047,5
1606740050,5
1606740053,5
1606740056,5
1606740059,5
1606740062,5
1606740065,5
1606740068,5
1606740071,5
1606740074,5
1606740077,5
1606740080,5
1606740083,5
1606740086,5
1606740089,5
1606740092,5
1606740095,5
1606740098,5
1606740101,5
1606740104,5
1606740107,5
1606740110,5
1606740113,5
1606740116,5
1606740119,5
1606740122,5
1606740125,5
1606740128,5
1606740131,5
1606740134,5
1606740137,5
1606740140,5
1606740143,5
1606740146,5
1606740149,5
1606740152,5
1606740155,5
1606740158,5
1606740161,5
1606740164,5
1606740167,5
1606740170,5
1606740173,5
1606740176,5
1606740179,5
1606740182,5
1606740185,5
1606740188,5
1606740191,5
1606740194,5
1606740197,5
1606740200,5
1606740203,5
1606740206,5
1606740209,5
1606740212,5
1606740215,5
1606740218,5
1606740221,5
1606740224,5
1606740227,5
1606740230,5
1606740233,5
1606740236,5
1606740239,5
1606740242,5
1606740245,5
1606740248,5
1606740251,5
1606740254,5
1606740257,5
1606740260,5
1606740263,5
1606740266,5
1606740269,5
1606740272,5
1606740275,5
1606740278,5
1606740281,5
1606740284,5
1606740287,5
1606740290,5
1606740293,5
1606740296,5
1606740299,5
1606740302,5
1606740305,5
1606740308,5
1606740311,5
1606740314,5
1606740317,5
1606740320,5
1606740323,5
1606740326,5
1606740329,5
1606740332,5
1606740335,5
1606740338,5
1606740341,5
1606740344,5
1606740347,5
1606740350,5
1606740353,5
1606740356,5
1606740359,5
1606740362,5
1606740365,5
1606740368,5
1606740371,5
1606740374,5
1606740377,5
1606740380,5
1606740383,5
1606740386,5
1606740389,5
1606740392,5
1606740395,5
1606740398,5
1606740401,5
1606740404,5
1606740407,5
1606740410,5
1606740413,5
1606740416,5
1606740419,5
1606740422,5
1606740425,5
1606740428,5
1606740431,5
1606740434,5
1606740437,5
1606740440,5
1606740443,5
1606740446,5
1606740449,5
1606740452,5
1606740455,5
1606740458,5
1606740461,5
1606740464,5
1606740467,5
1606740470,5
1606740473,5
1606740476,5
1606740479,5
1606740482,5
1606740485,5
1606740488,5
1606740491,5
1606740494,5
1606740497,5
1606740500,5
1606740503,5
1606740506,5
1606740509,5
1606740512,5
1606740515,5
1606740518,5
1606740521,5
1606740524,5
1606740527,5
1606740530,5
1606740533,5
1606740536,5
1606740539,5
1606740542,5
1606740545,5
1606740548,5
1606740551,5
1606740554,5
1606740557,5
1606740560,5
1606740563,5
1606740566,5
1606740569,5
1606740572,5
1606740575,5
1606740578,5
1606740581,5
1606740584,5
1606740587,5
1606740590,5
1606740593,5
1606740596,5
1606740599,5
1606740602,5
1606740605,5
1606740608,5
1606740611,5
1606740614,5
1606740617,5
1606740620,5
1606740623,5
1606740626,5
1606740629,5
1606740632,5
1606740635,5
1606740638,5
1606740641,5
1606740644,5
1606740647,5
1606740650,5
1606740653,5
1606740656,5
1606740659,5
1606740662,5
1606740665,5
1606740668,5
1606740671,5
1606740674,5
1606740677,5
1606740680,5
1606740683,5
1606740686,5
1606740689,5
1606740692,5
1606740695,5
1606740698,5
1606740701,5
1606740704,5
1606740707,5
1606740710,5
1606740713,5
1606740716,5
1606740719,5
1606740722,5
1606740725,5
1606740728,5
1606740731,5
1606740734,5
1606740737,5
1606740740,5
1606740743,5
1606740746,5
1606740749,5
1606740752,5
1606740755,5
1606740758,5
1606740761,5
1606740764,5
1606740767,5
1606740770,5
1606740773,5
1606740776,5
1606740779,5
1606740782,5
1606740785,5
1606740788,5
1606740791,5
1606740794,5
1606740797,5
1606740800,5
1606740803,5
1606740806,5
1606740809,5
1606740812,5
1606740815,5
1606740818,5
1606740821,5
1606740824,5
1606740827,5
1606740830,5
1606740833,5
1606740836,5
1606740839,5
1606740842,5
1606740845,5
1606740848,5
1606740851,5
1606740854,5
1606740857,5
1606740860,5
1606740863,5
1606740866,5
1606740869,5
1606740872,5
1606740875,5
1606740878,5
1606740881,5
1606740884,5
1606740887,5
1606740890,5
1606740893,5
1606740896,5
1606740899,5
1606740902,5
1606740905,5
1606740908,5
1606740911,5
1606740914,5
1606740917,5
1606740920,5
1606740923,5
1606740926,5
1606740929,5
1606740932,5
1606740935,5
1606740938,5
1606740941,5
1606740944,5
1606740947,5
1606740950,5
1606740953,5
1606740958,5
1606740959,5
1606740962,5
1606740965,5
1606740968,5
1606740971,5
1606740974,5
1606740977,5
1606740980,5
1606740983,5
1606740986,5
1606740989,5
