t,value
1606739936,80
1606739939,80
1606739942,80
1606739945,80
1606739948,80
1606739951,80
1606739954,80
1606739957,80
1606739960,80
1606739963,80
1606739966,80
1606739969,80
1606739972,80
1606739975,80
1606739978,80
1606739981,80
1606739984,80
1606739987,80
1606739990,80
1606739993,80
1606739996,80
1606739999,80
1606740002,80
1606740005,80
1606740008,80
1606740011,80
1606740014,80
1606740017,80
1606740020,80
1606740023,80
1606740026,80
1606740029,80
1606740032,80
1606740035,80
1606740038,80
1606740041,80
1606740044,80
1606740047,80
1606740050,80
1606740053,80
1606740056,80
1606740059,80
1606740062,80
1606740065,80
1606740068,80
1606740071,80
1606740074,80
1606740077,80
1606740080,80
1606740083,80
1606740086,80
1606740089,80
1606740092,80
1606740095,80
1606740098,80
1606740101,80
1606740104,80
1606740107,80
1606740110,80
1606740113,80
1606740116,80
1606740119,80
1606740122,80
1606740125,80
1606740128,80
1606740131,80
1606740134,80
1606740137,80
1606740140,80
1606740143,80
1606740146,80
1606740149,80
1606740152,80
1606740155,80
1606740158,80
1606740161,80
1606740164,80
1606740167,80
1606740170,80
1606740173,80
1606740176,80
1606740179,80
1606740182,80
1606740185,80
1606740188,80
1606740191,80
1606740194,80
1606740197,80
1606740200,80
1606740203,80
1606740206,80
1606740209,80
1606740212,80
1606740215,80
1606740218,80
1606740221,80
1606740224,80
1606740227,80
1606740230,80
1606740233,80
1606740236,80
1606740239,80
1606740242,80
1606740245,80
1606740248,80
1606740251,80
1606740254,80
1606740257,80
1606740260,80
1606740263,80
1606740266,80
1606740269,80
1606740272,80
1606740275,80
1606740278,80
1606740281,80
1606740284,80
1606740287,80
1606740290,80
1606740293,80
1606740296,80
1606740299,80
1606740302,80
1606740305,80
1606740308,80
1606740311,80
1606740314,80
1606740317,80
1606740320,80
1606740323,80
1606740326,80
1606740329,80
1606740332,80
1606740335,80
1606740338,80
1606740341,80
1606740344,80
1606740347,80
1606740350,80
1606740353,80
1606740356,80
1606740359,80
1606740362,80
1606740365,80
1606740368,80
1606740371,80
1606740374,80
1606740377,80
1606740380,80
1606740383,80
1606740386,80
1606740389,80
1606740392,80
1606740395,80
1606740398,80
1606740401,80
1606740404,80
1606740407,80
1606740410,80
1606740413,80
1606740416,80
1606740419,80
1606740422,80
1606740425,80
1606740428,80
1606740431,80
1606740434,80
1606740437,80
1606740440,80
1606740443,80
1606740446,80
1606740449,80
1606740452,80
1606740455,80
1606740458,80
1606740461,80
1606740464,80
1606740467,80
1606740470,80
1606740473,80
1606740476,80
1606740479,80
1606740482,80
1606740485,80
1606740488,80
1606740491,80
1606740494,80
1606740497,80
1606740500,80
1606740503,80
1606740506,80
1606740509,80
1606740512,80
1606740515,80
1606740518,80
1606740521,80
1606740524,80
1606740527,80
1606740530,80
1606740533,80
1606740536,80
1606740539,80
1606740542,80
1606740545,80
1606740548,80
1606740551,80
1606740554,80
1606740557,80
1606740560,80
1606740563,80
1606740566,80
1606740569,80
1606740572,80
1606740575,80
1606740578,80
1606740581,80
1606740584,80
1606740587,80
1606740590,80
1606740593,80
1606740596,80
1606740599,80
1606740602,80
1606740605,80
1606740608,80
1606740611,80
1606740614,80
1606740617,80
1606740620,80
1606740623,80
1606740626,80
1606740629,80
1606740632,80
1606740635,80
1606740638,80
1606740641,80
1606740644,80
1606740647,80
1606740650,80
1606740653,80
1606740656,80
1606740659,80
1606740662,80
1606740665,80
1606740668,80
1606740671,80
1606740674,80
1606740677,80
1606740680,80
1606740683,80
1606740686,80
1606740689,80
1606740692,80
1606740695,80
1606740698,80
1606740701,80
1606740704,80
1606740707,80
1606740710,80
1606740713,80
1606740716,80
1606740719,80
1606740722,80
1606740725,80
1606740728,80
1606740731,80
1606740734,80
1606740737,80
1606740740,80
1606740743,80
1606740746,80
1606740749,80
1606740752,80
1606740755,80
1606740758,80
1606740761,80
1606740764,80
1606740767,80
1606740770,80
1606740773,80
1606740776,80
1606740779,80
1606740782,80
1606740785,80
1606740788,80
1606740791,80
1606740794,80
1606740797,80
1606740800,80
1606740803,80
1606740806,80
1606740809,80
1606740812,80
1606740815,80
1606740818,80
1606740821,80
1606740824,80
1606740827,80
1606740830,80
1606740833,80
1606740836,80
1606740839,80
1606740842,80
1606740845,80
1606740848,80
1606740851,80
1606740854,80
1606740857,80
1606740860,80
1606740863,80
1606740866,80
1606740869,80
1606740872,80
1606740875,80
1606740878,80
1606740881,80
1606740884,80
1606740887,80
1606740890,80
1606740893,80
1606740896,80
1606740899,80
1606740902,80
1606740905,80
1606740908,80
1606740911,80
1606740914,80
1606740917,80
1606740920,80
1606740923,80
1606740926,80
1606740929,80
1606740932,80
1606740935,80
1606740938,80
1606740941,80
1606740944,80
1606740947,80
1606740950,80
1606740953,80
1606740958,80
1606740959,80
1606740962,80
1606740965,80
1606740968,80
1606740971,80
1606740974,80
1606740977,80
1606740980,80
1606740983,80
1606740986,80
1606740989,80
1606740992,80
1606740995,80
1606740998,80
1606741001,80
1606741004,80
1606741007,80
1606741010,80
1606741013,80
1606741016,80
1606741019,80
1606741022,80
1606741025,80
1606741028,80
1606741031,80
1606741034,80
1606741037,80
1606741040,80
1606741043,80
1606741046,80
1606741049,80
1606741052,80
1606741055,80
1606741058,80
1606741061,80
1606741064,80
1606741067,80
1606741070,80
1606741073,80
1606741076,80
1606741079,80
1606741082,80
1606741085,80
1606741088,80
1606741091,80
1606741094,80
1606741097,80
1606741100,80
1606741103,80
1606741106,80
1606741109,80
1606741112,80
1606741115,80
1606741118,80
1606741121,80
1606741124,80
1606741127,80
1606741130,80
1606741133,80
1606741136,80
1606741139,80
1606741142,80
1606741145,80
1606741148,80
1606741151,80
1606741154,80
1606741157,80
1606741160,80
1606741163,80
1606741166,80
1606741169,80
1606741172,80
1606741175,80
1606741178,80
1606741181,80
1606741184,80
1606741187,80
1606741190,80
1606741193,80
1606741196,80
1606741199,80
1606741202,80
1606741205,80
1606741208,80
1606741211,80
1606741214,80
1606741217,80
1606741220,80
1606741223,80
1606741226,80
1606741229,80
1606741232,80
1606741235,80
1606741238,80
1606741241,80
1606741244,80
1606741247,80
1606741250,80
1606741253,80
1606741256,80
1606741259,80
1606741262,80
1606741265,80
1606741268,80
1606741271,80
1606741274,80
1606741277,80
1606741280,80
1606741283,80
1606741286,80
1606741289,80
1606741292,80
1606741295,80
1606741298,80
1606741301,80
1606741304,80
1606741307,80
1606741310,80
1606741313,80
1606741316,80
1606741319,80
1606741322,80
1606741325,80
1606741328,80
1606741331,80
1606741334,80
1606741337,80
1606741340,80
1606741343,80
1606741346,80
1606741349,80
1606741352,80
1606741355,80
1606741358,80
1606741361,80
1606741364,80
1606741367,80
1606741370,80
1606741373,80
1606741376,80
1606741379,80
1606741382,80
1606741385,80
1606741388,80
1606741391,80
1606741394,80
1606741397,80
1606741400,80
1606741403,80
1606741406,80
1606741409,80
1606741412,80
1606741415,80
1606741418,80
1606741421,80
1606741424,80
1606741427,80
1606741430,80
1606741433,80
1606741436,80
1606741439,80
1606741442,80
1606741445,80
1606741448,80
1606741451,80
1606741454,80
1606741457,80
1606741460,80
1606741463,80
1606741466,80
1606741469,80
1606741472,80
1606741475,80
1606741478,80
1606741481,80
1606741484,80
1606741487,80
1606741490,80
1606741493,80
1606741496,80
1606741499,80
