t,value
1606739936,61
1606739939,61
1606739942,61
1606739945,61
1606739948,61
1606739951,61
1606739954,61
1606739957,61
1606739960,61
1606739963,61
1606739966,61
1606739969,61
1606739972,61
1606739975,61
1606739978,61
1606739981,61
1606739984,61
1606739987,61
1606739990,61
1606739993,61
1606739996,61
1606739999,61
1606740002,61
1606740005,61
1606740008,61
1606740011,61
1606740014,61
1606740017,61
1606740020,61
1606740023,61
1606740026,61
1606740029,61
1606740032,61
1606740035,61
1606740038,61
1606740041,61
1606740044,61
1606740047,61
1606740050,61
1606740053,61
1606740056,61
1606740059,61
1606740062,61
1606740065,61
1606740068,61
1606740071,61
1606740074,61
1606740077,61
1606740080,61
1606740083,61
1606740086,61
1606740089,61
1606740092,61
1606740095,61
1606740098,61
1606740101,61
1606740104,61
1606740107,61
1606740110,61
1606740113,61
1606740116,61
1606740119,61
1606740122,61
1606740125,61
1606740128,61
1606740131,61
1606740134,61
1606740137,61
1606740140,61
1606740143,61
1606740146,61
1606740149,61
1606740152,61
1606740155,61
1606740158,61
1606740161,61
1606740164,61
1606740167,61
1606740170,61
1606740173,61
1606740176,61
1606740179,61
1606740182,61
1606740185,61
1606740188,61
1606740191,61
1606740194,61
1606740197,61
1606740200,61
1606740203,61
1606740206,61
1606740209,61
1606740212,61
1606740215,61
1606740218,61
1606740221,61
1606740224,61
1606740227,61
1606740230,61
1606740233,61
1606740236,61
1606740239,61
1606740242,61
1606740245,61
1606740248,61
1606740251,61
1606740254,61
1606740257,61
1606740260,61
1606740263,61
1606740266,61
1606740269,61
1606740272,61
1606740275,61
1606740278,61
1606740281,61
1606740284,61
1606740287,61
1606740290,61
1606740293,61
1606740296,61
1606740299,61
1606740302,61
1606740305,61
1606740308,61
1606740311,61
1606740314,61
1606740317,61
1606740320,61
1606740323,61
1606740326,61
1606740329,61
1606740332,61
1606740335,61
1606740338,61
1606740341,61
1606740344,61
1606740347,61
1606740350,61
1606740353,61
1606740356,61
1606740359,61
1606740362,61
1606740365,61
1606740368,61
1606740371,61
1606740374,61
1606740377,61
1606740380,61
1606740383,61
1606740386,61
1606740389,61
1606740392,61
1606740395,61
1606740398,61
1606740401,61
1606740404,61
1606740407,61
1606740410,61
1606740413,61
1606740416,61
1606740419,61
1606740422,61
1606740425,61
1606740428,61
1606740431,61
1606740434,61
1606740437,61
1606740440,61
1606740443,61
1606740446,61
1606740449,61
1606740452,61
1606740455,61
1606740458,61
1606740461,61
1606740464,61
1606740467,61
1606740470,61
1606740473,61
1606740476,61
1606740479,61
1606740482,61
1606740485,61
1606740488,61
1606740491,61
1606740494,61
1606740497,61
1606740500,61
1606740503,61
1606740506,61
1606740509,61
1606740512,61
1606740515,61
1606740518,61
1606740521,61
1606740524,61
1606740527,61
1606740530,61
1606740533,61
1606740536,61
1606740539,61
1606740542,61
1606740545,61
1606740548,61
1606740551,61
1606740554,61
1606740557,61
1606740560,61
1606740563,61
1606740566,61
1606740569,61
1606740572,61
1606740575,61
1606740578,61
1606740581,61
1606740584,61
1606740587,61
1606740590,61
1606740593,61
1606740596,61
1606740599,61
1606740602,61
1606740605,61
1606740608,61
1606740611,61
1606740614,61
1606740617,61
1606740620,61
1606740623,61
1606740626,61
1606740629,61
1606740632,61
1606740635,61
1606740638,61
1606740641,61
1606740644,61
1606740647,61
1606740650,61
1606740653,61
1606740656,61
1606740659,61
1606740662,61
1606740665,61
1606740668,61
1606740671,61
1606740674,61
1606740677,61
1606740680,61
1606740683,61
1606740686,61
1606740689,61
1606740692,61
1606740695,61
1606740698,61
1606740701,61
1606740704,61
1606740707,61
1606740710,61
1606740713,61
