t,value
1606739936,6
1606739939,6
1606739942,6
1606739945,6
1606739948,6
1606739951,6
1606739954,6
1606739957,6
1606739960,6
1606739963,6
1606739966,6
1606739969,6
1606739972,6
1606739975,6
1606739978,6
1606739981,6
1606739984,6
1606739987,6
1606739990,6
1606739993,6
1606739996,6
1606739999,6
1606740002,6
1606740005,6
1606740008,6
1606740011,6
1606740014,6
1606740017,6
1606740020,6
1606740023,6
1606740026,6
1606740029,6
1606740032,6
1606740035,6
1606740038,6
1606740041,6
1606740044,6
1606740047,6
1606740050,6
1606740053,6
1606740056,6
1606740059,6
1606740062,6
1606740065,6
1606740068,6
1606740071,6
1606740074,6
1606740077,6
1606740080,6
1606740083,6
1606740086,6
1606740089,6
1606740092,6
1606740095,6
1606740098,6
1606740101,6
1606740104,6
1606740107,6
1606740110,6
1606740113,6
1606740116,6
1606740119,6
1606740122,6
1606740125,6
1606740128,6
1606740131,6
1606740134,6
1606740137,6
1606740140,6
1606740143,6
1606740146,6
1606740149,6
1606740152,6
1606740155,6
1606740158,6
1606740161,6
1606740164,6
1606740167,6
1606740170,6
1606740173,6
1606740176,6
1606740179,6
1606740182,6
1606740185,6
1606740188,6
1606740191,6
1606740194,6
1606740197,6
1606740200,6
1606740203,6
1606740206,6
1606740209,6
1606740212,6
1606740215,6
1606740218,6
1606740221,6
1606740224,6
1606740227,6
1606740230,6
1606740233,6
1606740236,6
1606740239,6
1606740242,6
1606740245,6
1606740248,6
1606740251,6
1606740254,6
1606740257,6
1606740260,6
1606740263,6
1606740266,6
1606740269,6
1606740272,6
1606740275,6
1606740278,6
1606740281,6
1606740284,6
1606740287,6
1606740290,6
1606740293,6
1606740296,6
1606740299,6
1606740302,6
1606740305,6
1606740308,6
1606740311,6
1606740314,6
1606740317,6
1606740320,6
1606740323,6
1606740326,6
1606740329,6
1606740332,6
1606740335,6
1606740338,6
1606740341,6
1606740344,6
1606740347,6
1606740350,6
1606740353,6
1606740356,6
1606740359,6
1606740362,6
1606740365,6
1606740368,6
1606740371,6
1606740374,6
1606740377,6
1606740380,6
1606740383,6
1606740386,6
1606740389,6
1606740392,6
1606740395,6
1606740398,6
1606740401,6
1606740404,6
1606740407,6
1606740410,6
1606740413,6
1606740416,6
1606740419,6
1606740422,6
1606740425,6
1606740428,6
1606740431,6
1606740434,6
1606740437,6
1606740440,6
1606740443,6
1606740446,6
1606740449,6
1606740452,6
1606740455,6
1606740458,6
1606740461,6
1606740464,6
1606740467,6
1606740470,6
1606740473,6
1606740476,6
1606740479,6
1606740482,6
1606740485,6
1606740488,6
1606740491,6
1606740494,6
1606740497,6
1606740500,6
1606740503,6
1606740506,6
1606740509,6
1606740512,6
1606740515,6
1606740518,6
1606740521,6
1606740524,6
1606740527,6
1606740530,6
1606740533,6
1606740536,6
1606740539,6
1606740542,6
1606740545,6
1606740548,6
1606740551,6
1606740554,6
1606740557,6
1606740560,6
1606740563,6
1606740566,6
1606740569,6
1606740572,6
1606740575,6
1606740578,6
1606740581,6
1606740584,6
1606740587,6
1606740590,6
1606740593,6
1606740596,6
1606740599,6
1606740602,6
1606740605,6
1606740608,6
