t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,32466,2183.914675,0.000000,0.000000,0.000000,events/second
1606739939,32466,1911.342058,0.000000,0.000000,0.000000,events/second
1606739942,32466,1627.009737,0.000000,0.000000,0.000000,events/second
1606739945,32466,1412.939061,0.000000,0.000000,0.000000,events/second
1606739948,32466,1251.671758,0.000000,0.000000,0.000000,events/second
1606739951,32466,1121.164580,0.000000,0.000000,0.000000,events/second
1606739954,32466,1015.392637,0.000000,0.000000,0.000000,events/second
1606739957,32466,928.316934,0.000000,0.000000,0.000000,events/second
1606739960,32466,855.659350,0.000000,0.000000,0.000000,events/second
1606739963,32466,792.975192,0.000000,0.000000,0.000000,events/second
1606739966,32466,738.787914,0.000000,0.000000,0.000000,events/second
1606739969,32466,691.694251,0.000000,0.000000,0.000000,events/second
1606739972,32466,650.038812,0.000000,0.000000,0.000000,events/second
1606739975,32466,613.267478,0.000000,0.000000,0.000000,events/second
1606739978,32466,580.496594,0.000000,0.000000,0.000000,events/second
1606739981,32466,551.067224,0.000000,0.000000,0.000000,events/second
1606739984,32466,524.057391,0.000000,0.000000,0.000000,events/second
1606739987,32466,499.760596,0.000000,0.000000,0.000000,events/second
1606739990,32466,477.887784,0.000000,0.000000,0.000000,events/second
1606739993,32466,457.466795,0.000000,0.000000,0.000000,events/second
1606739996,32466,439.008696,0.000000,0.000000,0.000000,events/second
1606739999,32466,421.962261,0.000000,0.000000,0.000000,events/second
1606740002,32466,404.735124,0.000000,0.000000,0.000000,events/second
1606740005,32466,391.341441,0.000000,0.000000,0.000000,events/second
1606740008,32466,377.690296,0.000000,0.000000,0.000000,events/second
1606740011,32466,364.584567,0.000000,0.000000,0.000000,events/second
1606740014,32466,352.695147,0.000000,0.000000,0.000000,events/second
1606740017,32466,341.811719,0.000000,0.000000,0.000000,events/second
1606740020,32466,331.480713,0.000000,0.000000,0.000000,events/second
1606740023,32466,321.670403,0.000000,0.000000,0.000000,events/second
1606740026,32466,312.380745,0.000000,0.000000,0.000000,events/second
1606740029,32466,302.897255,0.000000,0.000000,0.000000,events/second
1606740032,32466,295.229109,0.000000,0.000000,0.000000,events/second
1606740035,32466,287.339608,0.000000,0.000000,0.000000,events/second
1606740038,32466,280.035698,0.000000,0.000000,0.000000,events/second
1606740041,32466,273.009679,0.000000,0.000000,0.000000,events/second
1606740044,32466,266.237725,0.000000,0.000000,0.000000,events/second
1606740047,32466,259.366379,0.000000,0.000000,0.000000,events/second
1606740050,32466,253.154262,0.000000,0.000000,0.000000,events/second
1606740053,32466,247.913356,0.000000,0.000000,0.000000,events/second
1606740056,32466,242.425274,0.000000,0.000000,0.000000,events/second
1606740059,32466,237.071191,0.000000,0.000000,0.000000,events/second
1606740062,32466,231.979897,0.000000,0.000000,0.000000,events/second
1606740065,32466,226.727279,0.000000,0.000000,0.000000,events/second
1606740068,32466,222.496417,0.000000,0.000000,0.000000,events/second
1606740071,32466,217.947060,0.000000,0.000000,0.000000,events/second
1606740074,32466,213.680770,0.000000,0.000000,0.000000,events/second
1606740077,32466,209.535941,0.000000,0.000000,0.000000,events/second
1606740080,32466,205.549542,0.000000,0.000000,0.000000,events/second
1606740083,32466,201.612567,0.000000,0.000000,0.000000,events/second
1606740086,32466,198.040726,0.000000,0.000000,0.000000,events/second
1606740089,32466,194.471710,0.000000,0.000000,0.000000,events/second
1606740092,32466,191.017076,0.000000,0.000000,0.000000,events/second
1606740095,32466,187.712460,0.000000,0.000000,0.000000,events/second
1606740098,32466,184.507502,0.000000,0.000000,0.000000,events/second
1606740101,32466,181.427217,0.000000,0.000000,0.000000,events/second
1606740104,32466,178.468622,0.000000,0.000000,0.000000,events/second
1606740107,32466,175.539936,0.000000,0.000000,0.000000,events/second
1606740110,32466,172.733448,0.000000,0.000000,0.000000,events/second
1606740113,32466,170.043524,0.000000,0.000000,0.000000,events/second
1606740116,32466,167.409036,0.000000,0.000000,0.000000,events/second
1606740119,32466,164.860086,0.000000,0.000000,0.000000,events/second
1606740122,32466,162.388093,0.000000,0.000000,0.000000,events/second
1606740125,32466,159.995565,0.000000,0.000000,0.000000,events/second
1606740128,32466,157.636479,0.000000,0.000000,0.000000,events/second
1606740131,32466,155.404592,0.000000,0.000000,0.000000,events/second
1606740134,32466,153.074887,0.000000,0.000000,0.000000,events/second
1606740137,32466,151.049797,0.000000,0.000000,0.000000,events/second
1606740140,32466,148.956128,0.000000,0.000000,0.000000,events/second
1606740143,32466,146.835557,0.000000,0.000000,0.000000,events/second
1606740146,32466,144.993517,0.000000,0.000000,0.000000,events/second
1606740149,32466,143.060063,0.000000,0.000000,0.000000,events/second
1606740152,32466,141.187973,0.000000,0.000000,0.000000,events/second
1606740155,32466,139.009655,0.000000,0.000000,0.000000,events/second
1606740158,32466,137.602407,0.000000,0.000000,0.000000,events/second
1606740161,32466,135.891724,0.000000,0.000000,0.000000,events/second
1606740164,32466,134.198957,0.000000,0.000000,0.000000,events/second
1606740167,32466,132.556872,0.000000,0.000000,0.000000,events/second
1606740170,32466,130.833959,0.000000,0.000000,0.000000,events/second
1606740173,32466,129.358272,0.000000,0.000000,0.000000,events/second
1606740176,32466,127.860986,0.000000,0.000000,0.000000,events/second
1606740179,32466,126.367377,0.000000,0.000000,0.000000,events/second
1606740182,32466,124.902956,0.000000,0.000000,0.000000,events/second
1606740185,32466,123.476877,0.000000,0.000000,0.000000,events/second
1606740188,32466,122.077126,0.000000,0.000000,0.000000,events/second
1606740191,32466,120.731207,0.000000,0.000000,0.000000,events/second
1606740194,32466,119.321293,0.000000,0.000000,0.000000,events/second
1606740197,32466,118.089067,0.000000,0.000000,0.000000,events/second
1606740200,32466,116.801738,0.000000,0.000000,0.000000,events/second
1606740203,32466,115.561513,0.000000,0.000000,0.000000,events/second
1606740206,32466,114.341886,0.000000,0.000000,0.000000,events/second
1606740209,32466,113.141146,0.000000,0.000000,0.000000,events/second
1606740212,32466,111.989974,0.000000,0.000000,0.000000,events/second
1606740215,32466,110.827204,0.000000,0.000000,0.000000,events/second
1606740218,32466,109.711940,0.000000,0.000000,0.000000,events/second
1606740221,32466,108.603745,0.000000,0.000000,0.000000,events/second
1606740224,32466,107.526790,0.000000,0.000000,0.000000,events/second
1606740227,32466,106.462734,0.000000,0.000000,0.000000,events/second
1606740230,32466,105.434225,0.000000,0.000000,0.000000,events/second
1606740233,32466,104.409687,0.000000,0.000000,0.000000,events/second
1606740236,32466,103.415430,0.000000,0.000000,0.000000,events/second
1606740239,32466,102.440814,0.000000,0.000000,0.000000,events/second
1606740242,32466,101.478709,0.000000,0.000000,0.000000,events/second
1606740245,32466,100.531565,0.000000,0.000000,0.000000,events/second
1606740248,32466,99.541820,0.000000,0.000000,0.000000,events/second
1606740251,32466,98.700134,0.000000,0.000000,0.000000,events/second
1606740254,32466,97.810054,0.000000,0.000000,0.000000,events/second
1606740257,32466,96.932791,0.000000,0.000000,0.000000,events/second
1606740260,32466,96.078023,0.000000,0.000000,0.000000,events/second
1606740263,32466,95.234458,0.000000,0.000000,0.000000,events/second
1606740266,32466,94.398976,0.000000,0.000000,0.000000,events/second
1606740269,32466,93.574510,0.000000,0.000000,0.000000,events/second
1606740272,32466,92.784675,0.000000,0.000000,0.000000,events/second
1606740275,32466,91.986508,0.000000,0.000000,0.000000,events/second
1606740278,32466,91.213651,0.000000,0.000000,0.000000,events/second
1606740281,32466,90.446843,0.000000,0.000000,0.000000,events/second
1606740284,32466,89.711013,0.000000,0.000000,0.000000,events/second
1606740287,32466,88.966895,0.000000,0.000000,0.000000,events/second
1606740290,32466,88.244461,0.000000,0.000000,0.000000,events/second
1606740293,32466,87.521659,0.000000,0.000000,0.000000,events/second
1606740296,32466,86.824988,0.000000,0.000000,0.000000,events/second
1606740299,32466,86.130145,0.000000,0.000000,0.000000,events/second
1606740302,32466,85.450071,0.000000,0.000000,0.000000,events/second
1606740305,32466,84.776604,0.000000,0.000000,0.000000,events/second
1606740308,32466,84.128541,0.000000,0.000000,0.000000,events/second
1606740311,32466,83.466676,0.000000,0.000000,0.000000,events/second
1606740314,32466,82.836730,0.000000,0.000000,0.000000,events/second
1606740317,32466,82.199296,0.000000,0.000000,0.000000,events/second
1606740320,32466,81.587608,0.000000,0.000000,0.000000,events/second
1606740323,32466,80.975522,0.000000,0.000000,0.000000,events/second
1606740326,32466,80.375527,0.000000,0.000000,0.000000,events/second
1606740329,32466,79.781352,0.000000,0.000000,0.000000,events/second
1606740332,32466,79.199644,0.000000,0.000000,0.000000,events/second
1606740335,32466,78.627023,0.000000,0.000000,0.000000,events/second
1606740338,32466,78.055731,0.000000,0.000000,0.000000,events/second
1606740341,32466,77.498071,0.000000,0.000000,0.000000,events/second
1606740344,32466,76.947268,0.000000,0.000000,0.000000,events/second
1606740347,32466,76.400428,0.000000,0.000000,0.000000,events/second
1606740350,32466,75.866933,0.000000,0.000000,0.000000,events/second
1606740353,32466,75.337401,0.000000,0.000000,0.000000,events/second
1606740356,32466,74.815984,0.000000,0.000000,0.000000,events/second
1606740359,32466,74.305927,0.000000,0.000000,0.000000,events/second
1606740362,32466,73.797957,0.000000,0.000000,0.000000,events/second
1606740365,32466,73.298805,0.000000,0.000000,0.000000,events/second
1606740368,32466,72.802037,0.000000,0.000000,0.000000,events/second
1606740371,32466,72.322001,0.000000,0.000000,0.000000,events/second
1606740374,32466,71.840116,0.000000,0.000000,0.000000,events/second
1606740377,32466,71.366911,0.000000,0.000000,0.000000,events/second
1606740380,32466,70.899678,0.000000,0.000000,0.000000,events/second
1606740383,32466,70.439558,0.000000,0.000000,0.000000,events/second
1606740386,32466,69.978007,0.000000,0.000000,0.000000,events/second
1606740389,32466,69.528563,0.000000,0.000000,0.000000,events/second
1606740392,32466,69.086067,0.000000,0.000000,0.000000,events/second
1606740395,32466,68.646034,0.000000,0.000000,0.000000,events/second
1606740398,32466,68.213743,0.000000,0.000000,0.000000,events/second
1606740401,32466,67.785203,0.000000,0.000000,0.000000,events/second
1606740404,32466,67.366299,0.000000,0.000000,0.000000,events/second
1606740407,32466,66.951546,0.000000,0.000000,0.000000,events/second
1606740410,32466,66.533348,0.000000,0.000000,0.000000,events/second
1606740413,32466,66.130633,0.000000,0.000000,0.000000,events/second
1606740416,32466,65.728933,0.000000,0.000000,0.000000,events/second
1606740419,32466,65.332832,0.000000,0.000000,0.000000,events/second
1606740422,32466,64.939180,0.000000,0.000000,0.000000,events/second
1606740425,32466,64.553585,0.000000,0.000000,0.000000,events/second
1606740428,32466,64.168495,0.000000,0.000000,0.000000,events/second
1606740431,32466,63.794362,0.000000,0.000000,0.000000,events/second
1606740434,32466,63.417805,0.000000,0.000000,0.000000,events/second
1606740437,32466,63.048568,0.000000,0.000000,0.000000,events/second
1606740440,32466,62.686867,0.000000,0.000000,0.000000,events/second
1606740443,32466,62.322225,0.000000,0.000000,0.000000,events/second
1606740446,32466,61.965034,0.000000,0.000000,0.000000,events/second
1606740449,32466,61.612854,0.000000,0.000000,0.000000,events/second
1606740452,32466,61.263806,0.000000,0.000000,0.000000,events/second
1606740455,32466,60.920070,0.000000,0.000000,0.000000,events/second
1606740458,32466,60.578139,0.000000,0.000000,0.000000,events/second
1606740461,32466,60.240762,0.000000,0.000000,0.000000,events/second
1606740464,32466,59.907448,0.000000,0.000000,0.000000,events/second
1606740467,32466,59.575562,0.000000,0.000000,0.000000,events/second
1606740470,32466,59.250922,0.000000,0.000000,0.000000,events/second
1606740473,32466,58.928889,0.000000,0.000000,0.000000,events/second
1606740476,32466,58.603005,0.000000,0.000000,0.000000,events/second
1606740479,32466,58.295281,0.000000,0.000000,0.000000,events/second
1606740482,32466,57.982341,0.000000,0.000000,0.000000,events/second
1606740485,32466,57.666909,0.000000,0.000000,0.000000,events/second
1606740488,32466,57.367898,0.000000,0.000000,0.000000,events/second
1606740491,32466,57.059938,0.000000,0.000000,0.000000,events/second
1606740494,32466,56.766432,0.000000,0.000000,0.000000,events/second
1606740497,32466,56.469220,0.000000,0.000000,0.000000,events/second
1606740500,32466,56.171280,0.000000,0.000000,0.000000,events/second
1606740503,32466,55.886379,0.000000,0.000000,0.000000,events/second
1606740506,32466,55.597696,0.000000,0.000000,0.000000,events/second
1606740509,32466,55.314400,0.000000,0.000000,0.000000,events/second
1606740512,32466,55.033784,0.000000,0.000000,0.000000,events/second
1606740515,32466,54.754861,0.000000,0.000000,0.000000,events/second
1606740518,32466,54.479968,0.000000,0.000000,0.000000,events/second
1606740521,32466,54.206474,0.000000,0.000000,0.000000,events/second
1606740524,32466,53.937307,0.000000,0.000000,0.000000,events/second
