t,value
1606739936,1048576
1606739939,1048576
1606739942,1048576
1606739945,1048576
1606739948,1048576
1606739951,1048576
1606739954,1048576
1606739957,1048576
1606739960,1048576
1606739963,1048576
1606739966,1048576
1606739969,1048576
1606739972,1048576
1606739975,1048576
1606739978,1048576
1606739981,1048576
1606739984,1048576
1606739987,1048576
1606739990,1048576
1606739993,1048576
1606739996,1048576
1606739999,1048576
1606740002,1048576
1606740005,1048576
1606740008,1048576
1606740011,1048576
1606740014,1048576
1606740017,1048576
1606740020,1048576
1606740023,1048576
1606740026,1048576
1606740029,1048576
1606740032,1048576
1606740035,1048576
1606740038,1048576
1606740041,1048576
1606740044,1048576
1606740047,1048576
1606740050,1048576
1606740053,1048576
1606740056,1048576
1606740059,1048576
1606740062,1048576
1606740065,1048576
1606740068,1048576
1606740071,1048576
1606740074,1048576
1606740077,1048576
1606740080,1048576
1606740083,1048576
1606740086,1048576
1606740089,1048576
1606740092,1048576
1606740095,1048576
1606740098,1048576
1606740101,1048576
1606740104,1048576
1606740107,1048576
1606740110,1048576
1606740113,1048576
1606740116,1048576
1606740119,1048576
1606740122,1048576
1606740125,1048576
1606740128,1048576
1606740131,1048576
1606740134,1048576
1606740137,1048576
1606740140,1048576
1606740143,1048576
1606740146,1048576
1606740149,1048576
1606740152,1048576
1606740155,1048576
1606740158,1048576
1606740161,1048576
1606740164,1048576
1606740167,1048576
1606740170,1048576
1606740173,1048576
1606740176,1048576
1606740179,1048576
1606740182,1048576
1606740185,1048576
1606740188,1048576
1606740191,1048576
1606740194,1048576
1606740197,1048576
1606740200,1048576
1606740203,1048576
1606740206,1048576
1606740209,1048576
1606740212,1048576
1606740215,1048576
1606740218,1048576
1606740221,1048576
1606740224,1048576
1606740227,1048576
1606740230,1048576
1606740233,1048576
1606740236,1048576
1606740239,1048576
1606740242,1048576
1606740245,1048576
1606740248,1048576
1606740251,1048576
1606740254,1048576
1606740257,1048576
1606740260,1048576
1606740263,1048576
1606740266,1048576
1606740269,1048576
1606740272,1048576
1606740275,1048576
1606740278,1048576
1606740281,1048576
1606740284,1048576
1606740287,1048576
1606740290,1048576
1606740293,1048576
1606740296,1048576
1606740299,1048576
1606740302,1048576
1606740305,1048576
1606740308,1048576
1606740311,1048576
1606740314,1048576
1606740317,1048576
1606740320,1048576
1606740323,1048576
1606740326,1048576
1606740329,1048576
1606740332,1048576
1606740335,1048576
1606740338,1048576
1606740341,1048576
1606740344,1048576
1606740347,1048576
1606740350,1048576
1606740353,1048576
1606740356,1048576
1606740359,1048576
1606740362,1048576
1606740365,1048576
1606740368,1048576
1606740371,1048576
1606740374,1048576
1606740377,1048576
1606740380,1048576
1606740383,1048576
1606740386,1048576
1606740389,1048576
1606740392,1048576
1606740395,1048576
1606740398,1048576
1606740401,1048576
1606740404,1048576
1606740407,1048576
1606740410,1048576
1606740413,1048576
1606740416,1048576
1606740419,1048576
1606740422,1048576
1606740425,1048576
1606740428,1048576
1606740431,1048576
1606740434,1048576
1606740437,1048576
1606740440,1048576
1606740443,1048576
1606740446,1048576
1606740449,1048576
1606740452,1048576
1606740455,1048576
1606740458,1048576
1606740461,1048576
1606740464,1048576
1606740467,1048576
1606740470,1048576
1606740473,1048576
1606740476,1048576
1606740479,1048576
1606740482,1048576
1606740485,1048576
1606740488,1048576
1606740491,1048576
1606740494,1048576
1606740497,1048576
1606740500,1048576
1606740503,1048576
1606740506,1048576
1606740509,1048576
1606740512,1048576
1606740515,1048576
1606740518,1048576
1606740521,1048576
1606740524,1048576
1606740527,1048576
1606740530,1048576
1606740533,1048576
1606740536,1048576
1606740539,1048576
1606740542,1048576
1606740545,1048576
1606740548,1048576
1606740551,1048576
1606740554,1048576
1606740557,1048576
1606740560,1048576
1606740563,1048576
1606740566,1048576
1606740569,1048576
1606740572,1048576
1606740575,1048576
1606740578,1048576
1606740581,1048576
1606740584,1048576
1606740587,1048576
1606740590,1048576
