t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,140,9.409521,0.000000,0.000000,0.000000,events/second
1606739939,140,8.238854,0.000000,0.000000,0.000000,events/second
1606739942,141,7.064374,0.000000,0.000000,0.000000,events/second
1606739945,143,6.221774,0.000000,0.000000,0.000000,events/second
1606739948,143,5.512056,0.000000,0.000000,0.000000,events/second
1606739951,143,4.937488,0.000000,0.000000,0.000000,events/second
1606739954,143,4.471720,0.000000,0.000000,0.000000,events/second
1606739957,143,4.088243,0.000000,0.000000,0.000000,events/second
1606739960,143,3.768403,0.000000,0.000000,0.000000,events/second
1606739963,143,3.492285,0.000000,0.000000,0.000000,events/second
1606739966,143,3.253748,0.000000,0.000000,0.000000,events/second
1606739969,143,3.046376,0.000000,0.000000,0.000000,events/second
1606739972,143,2.862875,0.000000,0.000000,0.000000,events/second
1606739975,143,2.700959,0.000000,0.000000,0.000000,events/second
1606739978,143,2.556674,0.000000,0.000000,0.000000,events/second
1606739981,143,2.427066,0.000000,0.000000,0.000000,events/second
1606739984,143,2.308115,0.000000,0.000000,0.000000,events/second
1606739987,143,2.201093,0.000000,0.000000,0.000000,events/second
1606739990,143,2.104772,0.000000,0.000000,0.000000,events/second
1606739993,143,2.014831,0.000000,0.000000,0.000000,events/second
1606739996,143,1.933540,0.000000,0.000000,0.000000,events/second
1606739999,143,1.858454,0.000000,0.000000,0.000000,events/second
1606740002,143,1.782569,0.000000,0.000000,0.000000,events/second
1606740005,143,1.723618,0.000000,0.000000,0.000000,events/second
1606740008,143,1.663498,0.000000,0.000000,0.000000,events/second
1606740011,143,1.605767,0.000000,0.000000,0.000000,events/second
1606740014,143,1.553414,0.000000,0.000000,0.000000,events/second
1606740017,143,1.505470,0.000000,0.000000,0.000000,events/second
1606740020,143,1.459980,0.000000,0.000000,0.000000,events/second
1606740023,143,1.416776,0.000000,0.000000,0.000000,events/second
1606740026,143,1.375859,0.000000,0.000000,0.000000,events/second
1606740029,143,1.334069,0.000000,0.000000,0.000000,events/second
1606740032,144,1.309414,0.000000,0.000000,0.000000,events/second
1606740035,152,1.345192,0.000000,0.000000,0.000000,events/second
1606740038,155,1.336906,0.000000,0.000000,0.000000,events/second
1606740041,155,1.303366,0.000000,0.000000,0.000000,events/second
1606740044,155,1.271034,0.000000,0.000000,0.000000,events/second
1606740047,155,1.238231,0.000000,0.000000,0.000000,events/second
1606740050,155,1.208577,0.000000,0.000000,0.000000,events/second
1606740053,158,1.206465,0.000000,0.000000,0.000000,events/second
1606740056,158,1.179758,0.000000,0.000000,0.000000,events/second
1606740059,158,1.153699,0.000000,0.000000,0.000000,events/second
1606740062,158,1.128923,0.000000,0.000000,0.000000,events/second
1606740065,158,1.103359,0.000000,0.000000,0.000000,events/second
1606740068,158,1.082775,0.000000,0.000000,0.000000,events/second
1606740071,159,1.067351,0.000000,0.000000,0.000000,events/second
1606740074,161,1.059622,0.000000,0.000000,0.000000,events/second
1606740077,161,1.039069,0.000000,0.000000,0.000000,events/second
1606740080,161,1.019301,0.000000,0.000000,0.000000,events/second
1606740083,161,0.999774,0.000000,0.000000,0.000000,events/second
1606740086,161,0.982060,0.000000,0.000000,0.000000,events/second
1606740089,161,0.964369,0.000000,0.000000,0.000000,events/second
1606740092,164,0.964886,0.000000,0.000000,0.000000,events/second
1606740095,164,0.948189,0.000000,0.000000,0.000000,events/second
1606740098,164,0.932007,0.000000,0.000000,0.000000,events/second
1606740101,164,0.916448,0.000000,0.000000,0.000000,events/second
1606740104,164,0.901502,0.000000,0.000000,0.000000,events/second
