t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,95,6.373076,0.000000,0.000000,0.000000,events/second
1606739939,95,5.590460,0.000000,0.000000,0.000000,events/second
1606739942,96,4.809655,0.000000,0.000000,0.000000,events/second
1606739945,98,4.263449,0.000000,0.000000,0.000000,events/second
1606739948,98,3.777418,0.000000,0.000000,0.000000,events/second
1606739951,98,3.383690,0.000000,0.000000,0.000000,events/second
1606739954,98,3.064495,0.000000,0.000000,0.000000,events/second
1606739957,98,2.801658,0.000000,0.000000,0.000000,events/second
1606739960,98,2.582527,0.000000,0.000000,0.000000,events/second
1606739963,98,2.393276,0.000000,0.000000,0.000000,events/second
1606739966,98,2.229828,0.000000,0.000000,0.000000,events/second
1606739969,98,2.087718,0.000000,0.000000,0.000000,events/second
1606739972,98,1.961949,0.000000,0.000000,0.000000,events/second
1606739975,98,1.850995,0.000000,0.000000,0.000000,events/second
1606739978,98,1.752122,0.000000,0.000000,0.000000,events/second
1606739981,98,1.663300,0.000000,0.000000,0.000000,events/second
1606739984,98,1.581781,0.000000,0.000000,0.000000,events/second
1606739987,98,1.508433,0.000000,0.000000,0.000000,events/second
1606739990,98,1.442425,0.000000,0.000000,0.000000,events/second
1606739993,98,1.380787,0.000000,0.000000,0.000000,events/second
1606739996,98,1.325075,0.000000,0.000000,0.000000,events/second
1606739999,98,1.273618,0.000000,0.000000,0.000000,events/second
1606740002,98,1.221612,0.000000,0.000000,0.000000,events/second
1606740005,98,1.181217,0.000000,0.000000,0.000000,events/second
1606740008,98,1.140017,0.000000,0.000000,0.000000,events/second
1606740011,98,1.100451,0.000000,0.000000,0.000000,events/second
1606740014,98,1.064576,0.000000,0.000000,0.000000,events/second
1606740017,98,1.031716,0.000000,0.000000,0.000000,events/second
1606740020,98,1.000543,0.000000,0.000000,0.000000,events/second
1606740023,98,0.970936,0.000000,0.000000,0.000000,events/second
1606740026,98,0.942894,0.000000,0.000000,0.000000,events/second
1606740029,98,0.914248,0.000000,0.000000,0.000000,events/second
1606740032,99,0.900221,0.000000,0.000000,0.000000,events/second
1606740035,107,0.946941,0.000000,0.000000,0.000000,events/second
1606740038,110,0.948771,0.000000,0.000000,0.000000,events/second
1606740041,110,0.924968,0.000000,0.000000,0.000000,events/second
1606740044,110,0.902022,0.000000,0.000000,0.000000,events/second
1606740047,110,0.878741,0.000000,0.000000,0.000000,events/second
1606740050,110,0.857699,0.000000,0.000000,0.000000,events/second
1606740053,113,0.862851,0.000000,0.000000,0.000000,events/second
1606740056,113,0.843750,0.000000,0.000000,0.000000,events/second
1606740059,113,0.825110,0.000000,0.000000,0.000000,events/second
1606740062,113,0.807392,0.000000,0.000000,0.000000,events/second
1606740065,113,0.789106,0.000000,0.000000,0.000000,events/second
1606740068,113,0.774389,0.000000,0.000000,0.000000,events/second
1606740071,114,0.765269,0.000000,0.000000,0.000000,events/second
1606740074,116,0.763454,0.000000,0.000000,0.000000,events/second
1606740077,116,0.748645,0.000000,0.000000,0.000000,events/second
1606740080,116,0.734402,0.000000,0.000000,0.000000,events/second
1606740083,116,0.720333,0.000000,0.000000,0.000000,events/second
1606740086,116,0.707569,0.000000,0.000000,0.000000,events/second
1606740089,116,0.694824,0.000000,0.000000,0.000000,events/second
1606740092,119,0.700129,0.000000,0.000000,0.000000,events/second
1606740095,119,0.688014,0.000000,0.000000,0.000000,events/second
1606740098,119,0.676273,0.000000,0.000000,0.000000,events/second
1606740101,119,0.664983,0.000000,0.000000,0.000000,events/second
1606740104,119,0.654137,0.000000,0.000000,0.000000,events/second
1606740107,119,0.643402,0.000000,0.000000,0.000000,events/second
1606740110,119,0.633117,0.000000,0.000000,0.000000,events/second
1606740113,122,0.638970,0.000000,0.000000,0.000000,events/second
1606740116,122,0.629071,0.000000,0.000000,0.000000,events/second
1606740119,122,0.619493,0.000000,0.000000,0.000000,events/second
1606740122,122,0.610205,0.000000,0.000000,0.000000,events/second
1606740125,122,0.601211,0.000000,0.000000,0.000000,events/second
1606740128,122,0.592350,0.000000,0.000000,0.000000,events/second
1606740131,122,0.583964,0.000000,0.000000,0.000000,events/second
1606740134,125,0.589354,0.000000,0.000000,0.000000,events/second
1606740137,125,0.581558,0.000000,0.000000,0.000000,events/second
1606740140,125,0.573497,0.000000,0.000000,0.000000,events/second
1606740143,125,0.565331,0.000000,0.000000,0.000000,events/second
1606740146,125,0.558239,0.000000,0.000000,0.000000,events/second
1606740149,125,0.550797,0.000000,0.000000,0.000000,events/second
1606740152,128,0.556629,0.000000,0.000000,0.000000,events/second
1606740155,128,0.548048,0.000000,0.000000,0.000000,events/second
1606740158,128,0.542500,0.000000,0.000000,0.000000,events/second
1606740161,128,0.535755,0.000000,0.000000,0.000000,events/second
1606740164,128,0.529081,0.000000,0.000000,0.000000,events/second
1606740167,128,0.522607,0.000000,0.000000,0.000000,events/second
1606740170,128,0.515794,0.000000,0.000000,0.000000,events/second
1606740173,131,0.521949,0.000000,0.000000,0.000000,events/second
1606740176,131,0.515908,0.000000,0.000000,0.000000,events/second
1606740179,131,0.509883,0.000000,0.000000,0.000000,events/second
1606740182,131,0.503974,0.000000,0.000000,0.000000,events/second
1606740185,131,0.498220,0.000000,0.000000,0.000000,events/second
1606740188,131,0.492572,0.000000,0.000000,0.000000,events/second
1606740191,131,0.487141,0.000000,0.000000,0.000000,events/second
1606740194,134,0.492478,0.000000,0.000000,0.000000,events/second
1606740197,134,0.487393,0.000000,0.000000,0.000000,events/second
1606740200,134,0.482080,0.000000,0.000000,0.000000,events/second
1606740203,134,0.476961,0.000000,0.000000,0.000000,events/second
1606740206,134,0.471927,0.000000,0.000000,0.000000,events/second
1606740209,134,0.466971,0.000000,0.000000,0.000000,events/second
1606740212,137,0.472568,0.000000,0.000000,0.000000,events/second
1606740215,137,0.467662,0.000000,0.000000,0.000000,events/second
1606740218,137,0.462955,0.000000,0.000000,0.000000,events/second
1606740221,137,0.458279,0.000000,0.000000,0.000000,events/second
1606740224,137,0.453734,0.000000,0.000000,0.000000,events/second
1606740227,137,0.449245,0.000000,0.000000,0.000000,events/second
1606740230,137,0.444904,0.000000,0.000000,0.000000,events/second
1606740233,140,0.450229,0.000000,0.000000,0.000000,events/second
1606740236,140,0.445942,0.000000,0.000000,0.000000,events/second
1606740239,140,0.441740,0.000000,0.000000,0.000000,events/second
1606740242,140,0.437590,0.000000,0.000000,0.000000,events/second
