t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,45,3.018284,0.000000,0.000000,0.000000,events/second
1606739939,45,2.648020,0.000000,0.000000,0.000000,events/second
1606739942,45,2.254471,0.000000,0.000000,0.000000,events/second
1606739945,45,1.957653,0.000000,0.000000,0.000000,events/second
1606739948,45,1.734497,0.000000,0.000000,0.000000,events/second
1606739951,45,1.553715,0.000000,0.000000,0.000000,events/second
1606739954,45,1.407148,0.000000,0.000000,0.000000,events/second
1606739957,45,1.286448,0.000000,0.000000,0.000000,events/second
1606739960,45,1.185849,0.000000,0.000000,0.000000,events/second
1606739963,45,1.098947,0.000000,0.000000,0.000000,events/second
1606739966,45,1.023894,0.000000,0.000000,0.000000,events/second
1606739969,45,0.958643,0.000000,0.000000,0.000000,events/second
1606739972,45,0.900887,0.000000,0.000000,0.000000,events/second
1606739975,45,0.849942,0.000000,0.000000,0.000000,events/second
1606739978,45,0.804543,0.000000,0.000000,0.000000,events/second
1606739981,45,0.763758,0.000000,0.000000,0.000000,events/second
1606739984,45,0.726326,0.000000,0.000000,0.000000,events/second
1606739987,45,0.692644,0.000000,0.000000,0.000000,events/second
1606739990,45,0.662334,0.000000,0.000000,0.000000,events/second
1606739993,45,0.634032,0.000000,0.000000,0.000000,events/second
1606739996,45,0.608450,0.000000,0.000000,0.000000,events/second
1606739999,45,0.584821,0.000000,0.000000,0.000000,events/second
1606740002,45,0.560940,0.000000,0.000000,0.000000,events/second
1606740005,45,0.542394,0.000000,0.000000,0.000000,events/second
1606740008,45,0.523476,0.000000,0.000000,0.000000,events/second
1606740011,45,0.505307,0.000000,0.000000,0.000000,events/second
1606740014,45,0.488835,0.000000,0.000000,0.000000,events/second
1606740017,45,0.473745,0.000000,0.000000,0.000000,events/second
1606740020,45,0.459432,0.000000,0.000000,0.000000,events/second
1606740023,45,0.445837,0.000000,0.000000,0.000000,events/second
1606740026,45,0.432961,0.000000,0.000000,0.000000,events/second
1606740029,45,0.419803,0.000000,0.000000,0.000000,events/second
1606740032,45,0.409190,0.000000,0.000000,0.000000,events/second
1606740035,45,0.398244,0.000000,0.000000,0.000000,events/second
1606740038,45,0.388133,0.000000,0.000000,0.000000,events/second
1606740041,45,0.378396,0.000000,0.000000,0.000000,events/second
1606740044,45,0.369008,0.000000,0.000000,0.000000,events/second
