t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,46,3.084544,0.000000,0.000000,0.000000,events/second
1606739939,46,2.706802,0.000000,0.000000,0.000000,events/second
1606739942,46,2.304577,0.000000,0.000000,0.000000,events/second
1606739945,46,2.001153,0.000000,0.000000,0.000000,events/second
1606739948,46,1.773022,0.000000,0.000000,0.000000,events/second
1606739951,46,1.588256,0.000000,0.000000,0.000000,events/second
1606739954,46,1.438427,0.000000,0.000000,0.000000,events/second
1606739957,46,1.314641,0.000000,0.000000,0.000000,events/second
1606739960,46,1.212220,0.000000,0.000000,0.000000,events/second
1606739963,46,1.123386,0.000000,0.000000,0.000000,events/second
1606739966,46,1.046659,0.000000,0.000000,0.000000,events/second
1606739969,46,0.979960,0.000000,0.000000,0.000000,events/second
1606739972,46,0.920907,0.000000,0.000000,0.000000,events/second
1606739975,46,0.868836,0.000000,0.000000,0.000000,events/second
1606739978,46,0.822433,0.000000,0.000000,0.000000,events/second
1606739981,46,0.780740,0.000000,0.000000,0.000000,events/second
1606739984,46,0.742475,0.000000,0.000000,0.000000,events/second
1606739987,46,0.708039,0.000000,0.000000,0.000000,events/second
1606739990,46,0.677057,0.000000,0.000000,0.000000,events/second
1606739993,46,0.648125,0.000000,0.000000,0.000000,events/second
1606739996,46,0.621963,0.000000,0.000000,0.000000,events/second
1606739999,46,0.597811,0.000000,0.000000,0.000000,events/second
1606740002,46,0.573404,0.000000,0.000000,0.000000,events/second
1606740005,46,0.554450,0.000000,0.000000,0.000000,events/second
1606740008,46,0.535113,0.000000,0.000000,0.000000,events/second
1606740011,46,0.516538,0.000000,0.000000,0.000000,events/second
1606740014,46,0.499702,0.000000,0.000000,0.000000,events/second
1606740017,46,0.484273,0.000000,0.000000,0.000000,events/second
1606740020,46,0.469644,0.000000,0.000000,0.000000,events/second
1606740023,46,0.455748,0.000000,0.000000,0.000000,events/second
1606740026,46,0.442583,0.000000,0.000000,0.000000,events/second
1606740029,46,0.429055,0.000000,0.000000,0.000000,events/second
1606740032,46,0.418286,0.000000,0.000000,0.000000,events/second
1606740035,46,0.407095,0.000000,0.000000,0.000000,events/second
1606740038,46,0.396760,0.000000,0.000000,0.000000,events/second
1606740041,46,0.386807,0.000000,0.000000,0.000000,events/second
1606740044,46,0.377211,0.000000,0.000000,0.000000,events/second
1606740047,46,0.367475,0.000000,0.000000,0.000000,events/second
1606740050,46,0.358676,0.000000,0.000000,0.000000,events/second
1606740053,46,0.351251,0.000000,0.000000,0.000000,events/second
1606740056,46,0.343475,0.000000,0.000000,0.000000,events/second
1606740059,46,0.335886,0.000000,0.000000,0.000000,events/second
1606740062,46,0.328673,0.000000,0.000000,0.000000,events/second
1606740065,46,0.321227,0.000000,0.000000,0.000000,events/second
1606740068,46,0.315239,0.000000,0.000000,0.000000,events/second
1606740071,46,0.308793,0.000000,0.000000,0.000000,events/second
1606740074,46,0.302750,0.000000,0.000000,0.000000,events/second
1606740077,46,0.296878,0.000000,0.000000,0.000000,events/second
1606740080,46,0.291229,0.000000,0.000000,0.000000,events/second
1606740083,46,0.285650,0.000000,0.000000,0.000000,events/second
1606740086,46,0.280587,0.000000,0.000000,0.000000,events/second
1606740089,46,0.275535,0.000000,0.000000,0.000000,events/second
1606740092,46,0.270638,0.000000,0.000000,0.000000,events/second
1606740095,46,0.265956,0.000000,0.000000,0.000000,events/second
1606740098,46,0.261417,0.000000,0.000000,0.000000,events/second
1606740101,46,0.257053,0.000000,0.000000,0.000000,events/second
1606740104,46,0.252860,0.000000,0.000000,0.000000,events/second
1606740107,46,0.248710,0.000000,0.000000,0.000000,events/second
1606740110,46,0.244735,0.000000,0.000000,0.000000,events/second
1606740113,46,0.240924,0.000000,0.000000,0.000000,events/second
1606740116,46,0.237192,0.000000,0.000000,0.000000,events/second
1606740119,46,0.233577,0.000000,0.000000,0.000000,events/second
1606740122,46,0.230078,0.000000,0.000000,0.000000,events/second
1606740125,46,0.226686,0.000000,0.000000,0.000000,events/second
1606740128,46,0.223346,0.000000,0.000000,0.000000,events/second
1606740131,46,0.220184,0.000000,0.000000,0.000000,events/second
1606740134,46,0.216883,0.000000,0.000000,0.000000,events/second
1606740137,46,0.214014,0.000000,0.000000,0.000000,events/second
1606740140,46,0.211048,0.000000,0.000000,0.000000,events/second
1606740143,46,0.208042,0.000000,0.000000,0.000000,events/second
1606740146,46,0.205432,0.000000,0.000000,0.000000,events/second
1606740149,46,0.202694,0.000000,0.000000,0.000000,events/second
1606740152,46,0.200039,0.000000,0.000000,0.000000,events/second
1606740155,46,0.196955,0.000000,0.000000,0.000000,events/second
1606740158,46,0.194961,0.000000,0.000000,0.000000,events/second
1606740161,46,0.192538,0.000000,0.000000,0.000000,events/second
1606740164,46,0.190138,0.000000,0.000000,0.000000,events/second
1606740167,46,0.187812,0.000000,0.000000,0.000000,events/second
1606740170,46,0.185363,0.000000,0.000000,0.000000,events/second
1606740173,46,0.183280,0.000000,0.000000,0.000000,events/second
1606740176,46,0.181159,0.000000,0.000000,0.000000,events/second
1606740179,46,0.179043,0.000000,0.000000,0.000000,events/second
1606740182,46,0.176968,0.000000,0.000000,0.000000,events/second
1606740185,46,0.174948,0.000000,0.000000,0.000000,events/second
1606740188,46,0.172965,0.000000,0.000000,0.000000,events/second
1606740191,46,0.171058,0.000000,0.000000,0.000000,events/second
1606740194,46,0.169060,0.000000,0.000000,0.000000,events/second
1606740197,46,0.167314,0.000000,0.000000,0.000000,events/second
1606740200,46,0.165490,0.000000,0.000000,0.000000,events/second
1606740203,46,0.163733,0.000000,0.000000,0.000000,events/second
1606740206,46,0.162005,0.000000,0.000000,0.000000,events/second
1606740209,46,0.160304,0.000000,0.000000,0.000000,events/second
1606740212,46,0.158673,0.000000,0.000000,0.000000,events/second
1606740215,46,0.157025,0.000000,0.000000,0.000000,events/second
1606740218,46,0.155445,0.000000,0.000000,0.000000,events/second
1606740221,46,0.153875,0.000000,0.000000,0.000000,events/second
1606740224,46,0.152347,0.000000,0.000000,0.000000,events/second
1606740227,46,0.150842,0.000000,0.000000,0.000000,events/second
1606740230,46,0.149384,0.000000,0.000000,0.000000,events/second
1606740233,46,0.147932,0.000000,0.000000,0.000000,events/second
1606740236,46,0.146524,0.000000,0.000000,0.000000,events/second
1606740239,46,0.145143,0.000000,0.000000,0.000000,events/second
1606740242,46,0.143779,0.000000,0.000000,0.000000,events/second
1606740245,46,0.142438,0.000000,0.000000,0.000000,events/second
1606740248,46,0.141034,0.000000,0.000000,0.000000,events/second
1606740251,46,0.139843,0.000000,0.000000,0.000000,events/second
1606740254,46,0.138582,0.000000,0.000000,0.000000,events/second
1606740257,46,0.137339,0.000000,0.000000,0.000000,events/second
1606740260,46,0.136128,0.000000,0.000000,0.000000,events/second
1606740263,46,0.134933,0.000000,0.000000,0.000000,events/second
1606740266,46,0.133749,0.000000,0.000000,0.000000,events/second
1606740269,46,0.132581,0.000000,0.000000,0.000000,events/second
1606740272,46,0.131462,0.000000,0.000000,0.000000,events/second
1606740275,46,0.130331,0.000000,0.000000,0.000000,events/second
1606740278,46,0.129236,0.000000,0.000000,0.000000,events/second
1606740281,46,0.128150,0.000000,0.000000,0.000000,events/second
1606740284,46,0.127107,0.000000,0.000000,0.000000,events/second
1606740287,46,0.126053,0.000000,0.000000,0.000000,events/second
1606740290,46,0.125029,0.000000,0.000000,0.000000,events/second
1606740293,46,0.124005,0.000000,0.000000,0.000000,events/second
1606740296,46,0.123018,0.000000,0.000000,0.000000,events/second
1606740299,46,0.122034,0.000000,0.000000,0.000000,events/second
1606740302,46,0.121070,0.000000,0.000000,0.000000,events/second
1606740305,46,0.120116,0.000000,0.000000,0.000000,events/second
1606740308,46,0.119198,0.000000,0.000000,0.000000,events/second
1606740311,46,0.118260,0.000000,0.000000,0.000000,events/second
1606740314,46,0.117367,0.000000,0.000000,0.000000,events/second
1606740317,46,0.116464,0.000000,0.000000,0.000000,events/second
1606740320,46,0.115598,0.000000,0.000000,0.000000,events/second
1606740323,46,0.114730,0.000000,0.000000,0.000000,events/second
1606740326,46,0.113880,0.000000,0.000000,0.000000,events/second
1606740329,46,0.113039,0.000000,0.000000,0.000000,events/second
1606740332,46,0.112214,0.000000,0.000000,0.000000,events/second
1606740335,46,0.111403,0.000000,0.000000,0.000000,events/second
1606740338,46,0.110594,0.000000,0.000000,0.000000,events/second
1606740341,46,0.109804,0.000000,0.000000,0.000000,events/second
1606740344,46,0.109023,0.000000,0.000000,0.000000,events/second
1606740347,46,0.108248,0.000000,0.000000,0.000000,events/second
1606740350,46,0.107492,0.000000,0.000000,0.000000,events/second
1606740353,46,0.106742,0.000000,0.000000,0.000000,events/second
1606740356,46,0.106003,0.000000,0.000000,0.000000,events/second
1606740359,46,0.105281,0.000000,0.000000,0.000000,events/second
1606740362,46,0.104561,0.000000,0.000000,0.000000,events/second
1606740365,46,0.103854,0.000000,0.000000,0.000000,events/second
1606740368,46,0.103150,0.000000,0.000000,0.000000,events/second
1606740371,46,0.102470,0.000000,0.000000,0.000000,events/second
1606740374,46,0.101787,0.000000,0.000000,0.000000,events/second
1606740377,46,0.101117,0.000000,0.000000,0.000000,events/second
1606740380,46,0.100455,0.000000,0.000000,0.000000,events/second
1606740383,46,0.099803,0.000000,0.000000,0.000000,events/second
1606740386,46,0.099149,0.000000,0.000000,0.000000,events/second
1606740389,46,0.098512,0.000000,0.000000,0.000000,events/second
1606740392,46,0.097885,0.000000,0.000000,0.000000,events/second
1606740395,46,0.097262,0.000000,0.000000,0.000000,events/second
1606740398,46,0.096649,0.000000,0.000000,0.000000,events/second
1606740401,46,0.096042,0.000000,0.000000,0.000000,events/second
1606740404,46,0.095448,0.000000,0.000000,0.000000,events/second
1606740407,46,0.094861,0.000000,0.000000,0.000000,events/second
1606740410,46,0.094268,0.000000,0.000000,0.000000,events/second
1606740413,46,0.093698,0.000000,0.000000,0.000000,events/second
1606740416,46,0.093128,0.000000,0.000000,0.000000,events/second
1606740419,46,0.092567,0.000000,0.000000,0.000000,events/second
1606740422,46,0.092009,0.000000,0.000000,0.000000,events/second
1606740425,46,0.091463,0.000000,0.000000,0.000000,events/second
1606740428,46,0.090918,0.000000,0.000000,0.000000,events/second
1606740431,46,0.090387,0.000000,0.000000,0.000000,events/second
1606740434,46,0.089854,0.000000,0.000000,0.000000,events/second
1606740437,46,0.089331,0.000000,0.000000,0.000000,events/second
1606740440,46,0.088818,0.000000,0.000000,0.000000,events/second
1606740443,46,0.088302,0.000000,0.000000,0.000000,events/second
1606740446,46,0.087796,0.000000,0.000000,0.000000,events/second
1606740449,46,0.087297,0.000000,0.000000,0.000000,events/second
1606740452,46,0.086802,0.000000,0.000000,0.000000,events/second
1606740455,46,0.086315,0.000000,0.000000,0.000000,events/second
1606740458,46,0.085831,0.000000,0.000000,0.000000,events/second
1606740461,46,0.085344,0.000000,0.000000,0.000000,events/second
1606740464,46,0.084880,0.000000,0.000000,0.000000,events/second
1606740467,46,0.084410,0.000000,0.000000,0.000000,events/second
1606740470,46,0.083950,0.000000,0.000000,0.000000,events/second
1606740473,46,0.083494,0.000000,0.000000,0.000000,events/second
1606740476,46,0.083031,0.000000,0.000000,0.000000,events/second
1606740479,46,0.082596,0.000000,0.000000,0.000000,events/second
1606740482,46,0.082153,0.000000,0.000000,0.000000,events/second
1606740485,46,0.081706,0.000000,0.000000,0.000000,events/second
1606740488,46,0.081282,0.000000,0.000000,0.000000,events/second
1606740491,46,0.080845,0.000000,0.000000,0.000000,events/second
1606740494,46,0.080430,0.000000,0.000000,0.000000,events/second
1606740497,46,0.080009,0.000000,0.000000,0.000000,events/second
1606740500,46,0.079587,0.000000,0.000000,0.000000,events/second
1606740503,46,0.079183,0.000000,0.000000,0.000000,events/second
1606740506,46,0.078774,0.000000,0.000000,0.000000,events/second
1606740509,46,0.078373,0.000000,0.000000,0.000000,events/second
1606740512,46,0.077975,0.000000,0.000000,0.000000,events/second
1606740515,46,0.077580,0.000000,0.000000,0.000000,events/second
1606740518,46,0.077190,0.000000,0.000000,0.000000,events/second
1606740521,46,0.076803,0.000000,0.000000,0.000000,events/second
1606740524,46,0.076421,0.000000,0.000000,0.000000,events/second
1606740527,46,0.076041,0.000000,0.000000,0.000000,events/second
1606740530,46,0.075665,0.000000,0.000000,0.000000,events/second
1606740533,46,0.075295,0.000000,0.000000,0.000000,events/second
1606740536,46,0.074926,0.000000,0.000000,0.000000,events/second
1606740539,46,0.074561,0.000000,0.000000,0.000000,events/second
1606740542,46,0.074201,0.000000,0.000000,0.000000,events/second
1606740545,46,0.073845,0.000000,0.000000,0.000000,events/second
1606740548,46,0.073491,0.000000,0.000000,0.000000,events/second
1606740551,46,0.073138,0.000000,0.000000,0.000000,events/second
1606740554,46,0.072791,0.000000,0.000000,0.000000,events/second
1606740557,46,0.072450,0.000000,0.000000,0.000000,events/second
1606740560,46,0.072108,0.000000,0.000000,0.000000,events/second
1606740563,46,0.071773,0.000000,0.000000,0.000000,events/second
1606740566,46,0.071433,0.000000,0.000000,0.000000,events/second
1606740569,46,0.071108,0.000000,0.000000,0.000000,events/second
1606740572,46,0.070776,0.000000,0.000000,0.000000,events/second
1606740575,46,0.070451,0.000000,0.000000,0.000000,events/second
1606740578,46,0.070128,0.000000,0.000000,0.000000,events/second
1606740581,46,0.069803,0.000000,0.000000,0.000000,events/second
1606740584,46,0.069493,0.000000,0.000000,0.000000,events/second
1606740587,46,0.069179,0.000000,0.000000,0.000000,events/second
1606740590,46,0.068868,0.000000,0.000000,0.000000,events/second
1606740593,46,0.068564,0.000000,0.000000,0.000000,events/second
1606740596,46,0.068258,0.000000,0.000000,0.000000,events/second
1606740599,46,0.067953,0.000000,0.000000,0.000000,events/second
1606740602,46,0.067653,0.000000,0.000000,0.000000,events/second
1606740605,46,0.067358,0.000000,0.000000,0.000000,events/second
1606740608,46,0.067057,0.000000,0.000000,0.000000,events/second
1606740611,46,0.066771,0.000000,0.000000,0.000000,events/second
1606740614,46,0.066479,0.000000,0.000000,0.000000,events/second
1606740617,46,0.066187,0.000000,0.000000,0.000000,events/second
1606740620,46,0.065905,0.000000,0.000000,0.000000,events/second
1606740623,46,0.065627,0.000000,0.000000,0.000000,events/second
1606740626,46,0.065346,0.000000,0.000000,0.000000,events/second
1606740629,46,0.065069,0.000000,0.000000,0.000000,events/second
1606740632,46,0.064798,0.000000,0.000000,0.000000,events/second
1606740635,46,0.064523,0.000000,0.000000,0.000000,events/second
1606740638,46,0.064251,0.000000,0.000000,0.000000,events/second
1606740641,46,0.063984,0.000000,0.000000,0.000000,events/second
1606740644,46,0.063719,0.000000,0.000000,0.000000,events/second
1606740647,46,0.063454,0.000000,0.000000,0.000000,events/second
1606740650,46,0.063193,0.000000,0.000000,0.000000,events/second
1606740653,46,0.062935,0.000000,0.000000,0.000000,events/second
1606740656,46,0.062671,0.000000,0.000000,0.000000,events/second
