t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,2,0.134063,0.000000,0.000000,0.000000,events/second
1606739939,2,0.117661,0.000000,0.000000,0.000000,events/second
1606739942,2,0.100181,0.000000,0.000000,0.000000,events/second
1606739945,2,0.086993,0.000000,0.000000,0.000000,events/second
1606739948,2,0.077077,0.000000,0.000000,0.000000,events/second
1606739951,2,0.069045,0.000000,0.000000,0.000000,events/second
1606739954,2,0.062533,0.000000,0.000000,0.000000,events/second
1606739957,2,0.057152,0.000000,0.000000,0.000000,events/second
1606739960,2,0.052701,0.000000,0.000000,0.000000,events/second
1606739963,2,0.048839,0.000000,0.000000,0.000000,events/second
1606739966,2,0.045503,0.000000,0.000000,0.000000,events/second
1606739969,2,0.042604,0.000000,0.000000,0.000000,events/second
1606739972,2,0.040037,0.000000,0.000000,0.000000,events/second
1606739975,2,0.037773,0.000000,0.000000,0.000000,events/second
1606739978,2,0.035756,0.000000,0.000000,0.000000,events/second
1606739981,2,0.033943,0.000000,0.000000,0.000000,events/second
1606739984,2,0.032280,0.000000,0.000000,0.000000,events/second
1606739987,2,0.030783,0.000000,0.000000,0.000000,events/second
1606739990,2,0.029436,0.000000,0.000000,0.000000,events/second
1606739993,2,0.028178,0.000000,0.000000,0.000000,events/second
1606739996,2,0.027041,0.000000,0.000000,0.000000,events/second
1606739999,2,0.025991,0.000000,0.000000,0.000000,events/second
1606740002,2,0.024929,0.000000,0.000000,0.000000,events/second
1606740005,2,0.024106,0.000000,0.000000,0.000000,events/second
1606740008,2,0.023265,0.000000,0.000000,0.000000,events/second
1606740011,2,0.022457,0.000000,0.000000,0.000000,events/second
1606740014,2,0.021725,0.000000,0.000000,0.000000,events/second
1606740017,2,0.021055,0.000000,0.000000,0.000000,events/second
1606740020,2,0.020419,0.000000,0.000000,0.000000,events/second
1606740023,2,0.019815,0.000000,0.000000,0.000000,events/second
1606740026,2,0.019242,0.000000,0.000000,0.000000,events/second
1606740029,2,0.018654,0.000000,0.000000,0.000000,events/second
1606740032,2,0.018186,0.000000,0.000000,0.000000,events/second
1606740035,3,0.026549,0.000000,0.000000,0.000000,events/second
1606740038,3,0.025875,0.000000,0.000000,0.000000,events/second
1606740041,3,0.025226,0.000000,0.000000,0.000000,events/second
1606740044,3,0.024600,0.000000,0.000000,0.000000,events/second
1606740047,3,0.023965,0.000000,0.000000,0.000000,events/second
1606740050,3,0.023391,0.000000,0.000000,0.000000,events/second
1606740053,3,0.022907,0.000000,0.000000,0.000000,events/second
1606740056,3,0.022400,0.000000,0.000000,0.000000,events/second
1606740059,3,0.021905,0.000000,0.000000,0.000000,events/second
1606740062,3,0.021435,0.000000,0.000000,0.000000,events/second
1606740065,3,0.020949,0.000000,0.000000,0.000000,events/second
1606740068,3,0.020559,0.000000,0.000000,0.000000,events/second
1606740071,3,0.020138,0.000000,0.000000,0.000000,events/second
1606740074,3,0.019744,0.000000,0.000000,0.000000,events/second
1606740077,3,0.019361,0.000000,0.000000,0.000000,events/second
1606740080,3,0.018993,0.000000,0.000000,0.000000,events/second
1606740083,3,0.018629,0.000000,0.000000,0.000000,events/second
1606740086,3,0.018299,0.000000,0.000000,0.000000,events/second
1606740089,3,0.017969,0.000000,0.000000,0.000000,events/second
1606740092,3,0.017650,0.000000,0.000000,0.000000,events/second
1606740095,3,0.017345,0.000000,0.000000,0.000000,events/second
1606740098,3,0.017049,0.000000,0.000000,0.000000,events/second
1606740101,3,0.016764,0.000000,0.000000,0.000000,events/second
1606740104,3,0.016491,0.000000,0.000000,0.000000,events/second
1606740107,3,0.016220,0.000000,0.000000,0.000000,events/second
