t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,1,0.067020,0.000000,0.000000,0.000000,events/second
1606739939,1,0.058831,0.000000,0.000000,0.000000,events/second
1606739942,1,0.050091,0.000000,0.000000,0.000000,events/second
1606739945,1,0.043497,0.000000,0.000000,0.000000,events/second
1606739948,1,0.038539,0.000000,0.000000,0.000000,events/second
1606739951,1,0.034524,0.000000,0.000000,0.000000,events/second
1606739954,1,0.031267,0.000000,0.000000,0.000000,events/second
1606739957,1,0.028576,0.000000,0.000000,0.000000,events/second
1606739960,1,0.026351,0.000000,0.000000,0.000000,events/second
1606739963,1,0.024420,0.000000,0.000000,0.000000,events/second
1606739966,1,0.022752,0.000000,0.000000,0.000000,events/second
1606739969,1,0.021303,0.000000,0.000000,0.000000,events/second
1606739972,1,0.020019,0.000000,0.000000,0.000000,events/second
1606739975,1,0.018887,0.000000,0.000000,0.000000,events/second
1606739978,1,0.017878,0.000000,0.000000,0.000000,events/second
1606739981,1,0.016972,0.000000,0.000000,0.000000,events/second
1606739984,1,0.016140,0.000000,0.000000,0.000000,events/second
1606739987,1,0.015392,0.000000,0.000000,0.000000,events/second
1606739990,1,0.014718,0.000000,0.000000,0.000000,events/second
1606739993,1,0.014089,0.000000,0.000000,0.000000,events/second
1606739996,1,0.013520,0.000000,0.000000,0.000000,events/second
1606739999,1,0.012995,0.000000,0.000000,0.000000,events/second
1606740002,1,0.012465,0.000000,0.000000,0.000000,events/second
1606740005,1,0.012053,0.000000,0.000000,0.000000,events/second
1606740008,1,0.011633,0.000000,0.000000,0.000000,events/second
1606740011,1,0.011229,0.000000,0.000000,0.000000,events/second
1606740014,1,0.010863,0.000000,0.000000,0.000000,events/second
1606740017,1,0.010527,0.000000,0.000000,0.000000,events/second
1606740020,1,0.010209,0.000000,0.000000,0.000000,events/second
1606740023,1,0.009907,0.000000,0.000000,0.000000,events/second
1606740026,1,0.009621,0.000000,0.000000,0.000000,events/second
1606740029,1,0.009327,0.000000,0.000000,0.000000,events/second
1606740032,1,0.009093,0.000000,0.000000,0.000000,events/second
1606740035,1,0.008850,0.000000,0.000000,0.000000,events/second
1606740038,1,0.008625,0.000000,0.000000,0.000000,events/second
1606740041,1,0.008409,0.000000,0.000000,0.000000,events/second
1606740044,1,0.008200,0.000000,0.000000,0.000000,events/second
1606740047,1,0.007988,0.000000,0.000000,0.000000,events/second
1606740050,1,0.007797,0.000000,0.000000,0.000000,events/second
1606740053,1,0.007636,0.000000,0.000000,0.000000,events/second
1606740056,1,0.007467,0.000000,0.000000,0.000000,events/second
1606740059,1,0.007302,0.000000,0.000000,0.000000,events/second
1606740062,1,0.007145,0.000000,0.000000,0.000000,events/second
1606740065,1,0.006983,0.000000,0.000000,0.000000,events/second
1606740068,1,0.006853,0.000000,0.000000,0.000000,events/second
1606740071,1,0.006713,0.000000,0.000000,0.000000,events/second
1606740074,1,0.006581,0.000000,0.000000,0.000000,events/second
1606740077,1,0.006454,0.000000,0.000000,0.000000,events/second
1606740080,1,0.006331,0.000000,0.000000,0.000000,events/second
1606740083,1,0.006210,0.000000,0.000000,0.000000,events/second
1606740086,1,0.006100,0.000000,0.000000,0.000000,events/second
1606740089,1,0.005990,0.000000,0.000000,0.000000,events/second
1606740092,1,0.005883,0.000000,0.000000,0.000000,events/second
1606740095,1,0.005782,0.000000,0.000000,0.000000,events/second
1606740098,1,0.005683,0.000000,0.000000,0.000000,events/second
1606740101,1,0.005588,0.000000,0.000000,0.000000,events/second
1606740104,1,0.005497,0.000000,0.000000,0.000000,events/second
1606740107,1,0.005407,0.000000,0.000000,0.000000,events/second
1606740110,1,0.005320,0.000000,0.000000,0.000000,events/second
1606740113,1,0.005237,0.000000,0.000000,0.000000,events/second
1606740116,1,0.005156,0.000000,0.000000,0.000000,events/second
1606740119,1,0.005078,0.000000,0.000000,0.000000,events/second
1606740122,1,0.005002,0.000000,0.000000,0.000000,events/second
1606740125,1,0.004928,0.000000,0.000000,0.000000,events/second
1606740128,1,0.004855,0.000000,0.000000,0.000000,events/second
1606740131,1,0.004787,0.000000,0.000000,0.000000,events/second
1606740134,1,0.004715,0.000000,0.000000,0.000000,events/second
1606740137,1,0.004652,0.000000,0.000000,0.000000,events/second
1606740140,1,0.004588,0.000000,0.000000,0.000000,events/second
1606740143,1,0.004523,0.000000,0.000000,0.000000,events/second
1606740146,1,0.004466,0.000000,0.000000,0.000000,events/second
1606740149,1,0.004406,0.000000,0.000000,0.000000,events/second
1606740152,1,0.004349,0.000000,0.000000,0.000000,events/second
1606740155,1,0.004282,0.000000,0.000000,0.000000,events/second
1606740158,1,0.004238,0.000000,0.000000,0.000000,events/second
1606740161,1,0.004186,0.000000,0.000000,0.000000,events/second
1606740164,1,0.004133,0.000000,0.000000,0.000000,events/second
1606740167,1,0.004083,0.000000,0.000000,0.000000,events/second
1606740170,1,0.004030,0.000000,0.000000,0.000000,events/second
1606740173,1,0.003984,0.000000,0.000000,0.000000,events/second
1606740176,1,0.003938,0.000000,0.000000,0.000000,events/second
1606740179,1,0.003892,0.000000,0.000000,0.000000,events/second
1606740182,1,0.003847,0.000000,0.000000,0.000000,events/second
1606740185,1,0.003803,0.000000,0.000000,0.000000,events/second
1606740188,1,0.003760,0.000000,0.000000,0.000000,events/second
1606740191,1,0.003719,0.000000,0.000000,0.000000,events/second
1606740194,1,0.003675,0.000000,0.000000,0.000000,events/second
1606740197,1,0.003637,0.000000,0.000000,0.000000,events/second
1606740200,1,0.003598,0.000000,0.000000,0.000000,events/second
1606740203,1,0.003559,0.000000,0.000000,0.000000,events/second
1606740206,1,0.003522,0.000000,0.000000,0.000000,events/second
1606740209,1,0.003485,0.000000,0.000000,0.000000,events/second
1606740212,1,0.003449,0.000000,0.000000,0.000000,events/second
1606740215,1,0.003414,0.000000,0.000000,0.000000,events/second
1606740218,1,0.003379,0.000000,0.000000,0.000000,events/second
1606740221,1,0.003345,0.000000,0.000000,0.000000,events/second
1606740224,1,0.003312,0.000000,0.000000,0.000000,events/second
1606740227,1,0.003279,0.000000,0.000000,0.000000,events/second
1606740230,1,0.003247,0.000000,0.000000,0.000000,events/second
1606740233,1,0.003216,0.000000,0.000000,0.000000,events/second
1606740236,1,0.003185,0.000000,0.000000,0.000000,events/second
1606740239,1,0.003155,0.000000,0.000000,0.000000,events/second
1606740242,1,0.003126,0.000000,0.000000,0.000000,events/second
1606740245,1,0.003096,0.000000,0.000000,0.000000,events/second
1606740248,1,0.003066,0.000000,0.000000,0.000000,events/second
1606740251,1,0.003040,0.000000,0.000000,0.000000,events/second
1606740254,1,0.003013,0.000000,0.000000,0.000000,events/second
1606740257,1,0.002986,0.000000,0.000000,0.000000,events/second
1606740260,1,0.002959,0.000000,0.000000,0.000000,events/second
1606740263,1,0.002933,0.000000,0.000000,0.000000,events/second
1606740266,1,0.002908,0.000000,0.000000,0.000000,events/second
1606740269,1,0.002882,0.000000,0.000000,0.000000,events/second
1606740272,1,0.002858,0.000000,0.000000,0.000000,events/second
1606740275,1,0.002833,0.000000,0.000000,0.000000,events/second
1606740278,1,0.002809,0.000000,0.000000,0.000000,events/second
1606740281,1,0.002786,0.000000,0.000000,0.000000,events/second
1606740284,1,0.002763,0.000000,0.000000,0.000000,events/second
1606740287,1,0.002740,0.000000,0.000000,0.000000,events/second
1606740290,1,0.002718,0.000000,0.000000,0.000000,events/second
1606740293,1,0.002696,0.000000,0.000000,0.000000,events/second
1606740296,1,0.002674,0.000000,0.000000,0.000000,events/second
1606740299,1,0.002653,0.000000,0.000000,0.000000,events/second
1606740302,1,0.002632,0.000000,0.000000,0.000000,events/second
1606740305,1,0.002611,0.000000,0.000000,0.000000,events/second
1606740308,1,0.002591,0.000000,0.000000,0.000000,events/second
1606740311,1,0.002571,0.000000,0.000000,0.000000,events/second
1606740314,1,0.002551,0.000000,0.000000,0.000000,events/second
1606740317,1,0.002532,0.000000,0.000000,0.000000,events/second
1606740320,1,0.002513,0.000000,0.000000,0.000000,events/second
1606740323,1,0.002494,0.000000,0.000000,0.000000,events/second
1606740326,1,0.002476,0.000000,0.000000,0.000000,events/second
1606740329,1,0.002457,0.000000,0.000000,0.000000,events/second
1606740332,1,0.002439,0.000000,0.000000,0.000000,events/second
1606740335,1,0.002422,0.000000,0.000000,0.000000,events/second
1606740338,1,0.002404,0.000000,0.000000,0.000000,events/second
1606740341,1,0.002387,0.000000,0.000000,0.000000,events/second
1606740344,1,0.002370,0.000000,0.000000,0.000000,events/second
1606740347,1,0.002353,0.000000,0.000000,0.000000,events/second
1606740350,1,0.002337,0.000000,0.000000,0.000000,events/second
1606740353,1,0.002320,0.000000,0.000000,0.000000,events/second
1606740356,1,0.002304,0.000000,0.000000,0.000000,events/second
1606740359,1,0.002289,0.000000,0.000000,0.000000,events/second
1606740362,1,0.002273,0.000000,0.000000,0.000000,events/second
1606740365,1,0.002258,0.000000,0.000000,0.000000,events/second
1606740368,1,0.002242,0.000000,0.000000,0.000000,events/second
1606740371,1,0.002228,0.000000,0.000000,0.000000,events/second
1606740374,1,0.002213,0.000000,0.000000,0.000000,events/second
1606740377,1,0.002198,0.000000,0.000000,0.000000,events/second
1606740380,1,0.002184,0.000000,0.000000,0.000000,events/second
1606740383,1,0.002170,0.000000,0.000000,0.000000,events/second
1606740386,1,0.002155,0.000000,0.000000,0.000000,events/second
1606740389,1,0.002142,0.000000,0.000000,0.000000,events/second
1606740392,1,0.002128,0.000000,0.000000,0.000000,events/second
1606740395,1,0.002114,0.000000,0.000000,0.000000,events/second
1606740398,1,0.002101,0.000000,0.000000,0.000000,events/second
1606740401,1,0.002088,0.000000,0.000000,0.000000,events/second
1606740404,1,0.002075,0.000000,0.000000,0.000000,events/second
1606740407,1,0.002062,0.000000,0.000000,0.000000,events/second
1606740410,1,0.002049,0.000000,0.000000,0.000000,events/second
1606740413,1,0.002037,0.000000,0.000000,0.000000,events/second
1606740416,1,0.002025,0.000000,0.000000,0.000000,events/second
1606740419,1,0.002012,0.000000,0.000000,0.000000,events/second
1606740422,1,0.002000,0.000000,0.000000,0.000000,events/second
1606740425,1,0.001988,0.000000,0.000000,0.000000,events/second
1606740428,1,0.001976,0.000000,0.000000,0.000000,events/second
1606740431,1,0.001965,0.000000,0.000000,0.000000,events/second
1606740434,1,0.001953,0.000000,0.000000,0.000000,events/second
1606740437,1,0.001942,0.000000,0.000000,0.000000,events/second
1606740440,1,0.001931,0.000000,0.000000,0.000000,events/second
1606740443,1,0.001920,0.000000,0.000000,0.000000,events/second
1606740446,1,0.001909,0.000000,0.000000,0.000000,events/second
1606740449,1,0.001898,0.000000,0.000000,0.000000,events/second
1606740452,1,0.001887,0.000000,0.000000,0.000000,events/second
1606740455,1,0.001876,0.000000,0.000000,0.000000,events/second
1606740458,1,0.001866,0.000000,0.000000,0.000000,events/second
1606740461,1,0.001855,0.000000,0.000000,0.000000,events/second
1606740464,1,0.001845,0.000000,0.000000,0.000000,events/second
1606740467,1,0.001835,0.000000,0.000000,0.000000,events/second
1606740470,1,0.001825,0.000000,0.000000,0.000000,events/second
1606740473,1,0.001815,0.000000,0.000000,0.000000,events/second
1606740476,1,0.001805,0.000000,0.000000,0.000000,events/second
1606740479,1,0.001796,0.000000,0.000000,0.000000,events/second
1606740482,1,0.001786,0.000000,0.000000,0.000000,events/second
1606740485,1,0.001776,0.000000,0.000000,0.000000,events/second
1606740488,1,0.001767,0.000000,0.000000,0.000000,events/second
1606740491,1,0.001758,0.000000,0.000000,0.000000,events/second
1606740494,1,0.001748,0.000000,0.000000,0.000000,events/second
1606740497,1,0.001739,0.000000,0.000000,0.000000,events/second
1606740500,1,0.001730,0.000000,0.000000,0.000000,events/second
1606740503,1,0.001721,0.000000,0.000000,0.000000,events/second
1606740506,1,0.001712,0.000000,0.000000,0.000000,events/second
1606740509,1,0.001704,0.000000,0.000000,0.000000,events/second
1606740512,1,0.001695,0.000000,0.000000,0.000000,events/second
1606740515,1,0.001687,0.000000,0.000000,0.000000,events/second
1606740518,1,0.001678,0.000000,0.000000,0.000000,events/second
1606740521,1,0.001670,0.000000,0.000000,0.000000,events/second
1606740524,1,0.001661,0.000000,0.000000,0.000000,events/second
1606740527,1,0.001653,0.000000,0.000000,0.000000,events/second
1606740530,1,0.001645,0.000000,0.000000,0.000000,events/second
1606740533,1,0.001637,0.000000,0.000000,0.000000,events/second
1606740536,1,0.001629,0.000000,0.000000,0.000000,events/second
1606740539,1,0.001621,0.000000,0.000000,0.000000,events/second
1606740542,1,0.001613,0.000000,0.000000,0.000000,events/second
1606740545,1,0.001605,0.000000,0.000000,0.000000,events/second
1606740548,1,0.001598,0.000000,0.000000,0.000000,events/second
1606740551,1,0.001590,0.000000,0.000000,0.000000,events/second
1606740554,1,0.001582,0.000000,0.000000,0.000000,events/second
1606740557,1,0.001575,0.000000,0.000000,0.000000,events/second
1606740560,1,0.001568,0.000000,0.000000,0.000000,events/second
1606740563,1,0.001560,0.000000,0.000000,0.000000,events/second
1606740566,1,0.001553,0.000000,0.000000,0.000000,events/second
1606740569,1,0.001546,0.000000,0.000000,0.000000,events/second
1606740572,1,0.001539,0.000000,0.000000,0.000000,events/second
1606740575,1,0.001532,0.000000,0.000000,0.000000,events/second
1606740578,1,0.001525,0.000000,0.000000,0.000000,events/second
1606740581,1,0.001517,0.000000,0.000000,0.000000,events/second
1606740584,1,0.001511,0.000000,0.000000,0.000000,events/second
1606740587,1,0.001504,0.000000,0.000000,0.000000,events/second
1606740590,1,0.001497,0.000000,0.000000,0.000000,events/second
1606740593,1,0.001491,0.000000,0.000000,0.000000,events/second
1606740596,1,0.001484,0.000000,0.000000,0.000000,events/second
1606740599,1,0.001477,0.000000,0.000000,0.000000,events/second
1606740602,1,0.001471,0.000000,0.000000,0.000000,events/second
1606740605,1,0.001464,0.000000,0.000000,0.000000,events/second
1606740608,1,0.001458,0.000000,0.000000,0.000000,events/second
1606740611,1,0.001452,0.000000,0.000000,0.000000,events/second
1606740614,1,0.001445,0.000000,0.000000,0.000000,events/second
1606740617,1,0.001439,0.000000,0.000000,0.000000,events/second
1606740620,1,0.001433,0.000000,0.000000,0.000000,events/second
1606740623,1,0.001427,0.000000,0.000000,0.000000,events/second
1606740626,1,0.001421,0.000000,0.000000,0.000000,events/second
1606740629,1,0.001415,0.000000,0.000000,0.000000,events/second
1606740632,1,0.001409,0.000000,0.000000,0.000000,events/second
1606740635,1,0.001403,0.000000,0.000000,0.000000,events/second
1606740638,1,0.001397,0.000000,0.000000,0.000000,events/second
1606740641,1,0.001391,0.000000,0.000000,0.000000,events/second
1606740644,1,0.001385,0.000000,0.000000,0.000000,events/second
1606740647,1,0.001379,0.000000,0.000000,0.000000,events/second
1606740650,1,0.001374,0.000000,0.000000,0.000000,events/second
1606740653,1,0.001368,0.000000,0.000000,0.000000,events/second
1606740656,1,0.001362,0.000000,0.000000,0.000000,events/second
1606740659,1,0.001357,0.000000,0.000000,0.000000,events/second
1606740662,1,0.001349,0.000000,0.000000,0.000000,events/second
1606740665,1,0.001345,0.000000,0.000000,0.000000,events/second
1606740668,1,0.001341,0.000000,0.000000,0.000000,events/second
1606740671,1,0.001335,0.000000,0.000000,0.000000,events/second
1606740674,1,0.001330,0.000000,0.000000,0.000000,events/second
1606740677,1,0.001324,0.000000,0.000000,0.000000,events/second
1606740680,1,0.001319,0.000000,0.000000,0.000000,events/second
1606740683,1,0.001314,0.000000,0.000000,0.000000,events/second
1606740686,1,0.001309,0.000000,0.000000,0.000000,events/second
1606740689,1,0.001304,0.000000,0.000000,0.000000,events/second
1606740692,1,0.001299,0.000000,0.000000,0.000000,events/second
1606740695,1,0.001294,0.000000,0.000000,0.000000,events/second
1606740698,1,0.001289,0.000000,0.000000,0.000000,events/second
1606740701,1,0.001284,0.000000,0.000000,0.000000,events/second
1606740704,1,0.001279,0.000000,0.000000,0.000000,events/second
1606740707,1,0.001274,0.000000,0.000000,0.000000,events/second
1606740710,1,0.001269,0.000000,0.000000,0.000000,events/second
1606740713,1,0.001264,0.000000,0.000000,0.000000,events/second
1606740716,1,0.001260,0.000000,0.000000,0.000000,events/second
1606740719,1,0.001255,0.000000,0.000000,0.000000,events/second
1606740722,1,0.001250,0.000000,0.000000,0.000000,events/second
1606740725,1,0.001245,0.000000,0.000000,0.000000,events/second
1606740728,1,0.001241,0.000000,0.000000,0.000000,events/second
1606740731,1,0.001236,0.000000,0.000000,0.000000,events/second
1606740734,1,0.001232,0.000000,0.000000,0.000000,events/second
1606740737,1,0.001227,0.000000,0.000000,0.000000,events/second
1606740740,1,0.001223,0.000000,0.000000,0.000000,events/second
1606740743,1,0.001218,0.000000,0.000000,0.000000,events/second
1606740746,1,0.001214,0.000000,0.000000,0.000000,events/second
1606740749,1,0.001209,0.000000,0.000000,0.000000,events/second
1606740752,1,0.001205,0.000000,0.000000,0.000000,events/second
