t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,141,9.445214,0.000000,0.000000,0.000000,events/second
1606739939,141,8.293266,0.000000,0.000000,0.000000,events/second
1606739942,142,7.111632,0.000000,0.000000,0.000000,events/second
1606739945,144,6.262418,0.000000,0.000000,0.000000,events/second
1606739948,144,5.548864,0.000000,0.000000,0.000000,events/second
1606739951,144,4.970822,0.000000,0.000000,0.000000,events/second
1606739954,144,4.502035,0.000000,0.000000,0.000000,events/second
1606739957,144,4.114399,0.000000,0.000000,0.000000,events/second
1606739960,144,3.794283,0.000000,0.000000,0.000000,events/second
1606739963,144,3.516255,0.000000,0.000000,0.000000,events/second
1606739966,144,3.276093,0.000000,0.000000,0.000000,events/second
1606739969,144,3.067376,0.000000,0.000000,0.000000,events/second
1606739972,144,2.882481,0.000000,0.000000,0.000000,events/second
1606739975,144,2.719551,0.000000,0.000000,0.000000,events/second
1606739978,144,2.574346,0.000000,0.000000,0.000000,events/second
1606739981,144,2.443850,0.000000,0.000000,0.000000,events/second
1606739984,144,2.324057,0.000000,0.000000,0.000000,events/second
1606739987,144,2.216266,0.000000,0.000000,0.000000,events/second
1606739990,144,2.119309,0.000000,0.000000,0.000000,events/second
1606739993,144,2.028743,0.000000,0.000000,0.000000,events/second
1606739996,144,1.946872,0.000000,0.000000,0.000000,events/second
1606739999,144,1.871227,0.000000,0.000000,0.000000,events/second
1606740002,144,1.794844,0.000000,0.000000,0.000000,events/second
1606740005,144,1.735557,0.000000,0.000000,0.000000,events/second
1606740008,144,1.675040,0.000000,0.000000,0.000000,events/second
1606740011,144,1.616849,0.000000,0.000000,0.000000,events/second
1606740014,144,1.564197,0.000000,0.000000,0.000000,events/second
1606740017,144,1.515870,0.000000,0.000000,0.000000,events/second
1606740020,144,1.470113,0.000000,0.000000,0.000000,events/second
1606740023,144,1.426619,0.000000,0.000000,0.000000,events/second
1606740026,144,1.385410,0.000000,0.000000,0.000000,events/second
1606740029,144,1.343058,0.000000,0.000000,0.000000,events/second
1606740032,145,1.318452,0.000000,0.000000,0.000000,events/second
1606740035,154,1.362804,0.000000,0.000000,0.000000,events/second
1606740038,156,1.345458,0.000000,0.000000,0.000000,events/second
1606740041,156,1.311726,0.000000,0.000000,0.000000,events/second
1606740044,156,1.279182,0.000000,0.000000,0.000000,events/second
1606740047,156,1.246172,0.000000,0.000000,0.000000,events/second
1606740050,156,1.216327,0.000000,0.000000,0.000000,events/second
1606740053,159,1.214061,0.000000,0.000000,0.000000,events/second
1606740056,159,1.187181,0.000000,0.000000,0.000000,events/second
1606740059,159,1.160951,0.000000,0.000000,0.000000,events/second
1606740062,159,1.136004,0.000000,0.000000,0.000000,events/second
1606740065,159,1.110277,0.000000,0.000000,0.000000,events/second
1606740068,159,1.089588,0.000000,0.000000,0.000000,events/second
1606740071,160,1.074022,0.000000,0.000000,0.000000,events/second
1606740074,162,1.066172,0.000000,0.000000,0.000000,events/second
1606740077,162,1.045493,0.000000,0.000000,0.000000,events/second
1606740080,162,1.025595,0.000000,0.000000,0.000000,events/second
1606740083,162,1.005953,0.000000,0.000000,0.000000,events/second
1606740086,162,0.988116,0.000000,0.000000,0.000000,events/second
1606740089,162,0.970333,0.000000,0.000000,0.000000,events/second
1606740092,165,0.970740,0.000000,0.000000,0.000000,events/second
1606740095,165,0.953946,0.000000,0.000000,0.000000,events/second
1606740098,165,0.937666,0.000000,0.000000,0.000000,events/second
1606740101,165,0.922013,0.000000,0.000000,0.000000,events/second
1606740104,165,0.906971,0.000000,0.000000,0.000000,events/second
1606740107,165,0.892084,0.000000,0.000000,0.000000,events/second
1606740110,165,0.877831,0.000000,0.000000,0.000000,events/second
1606740113,168,0.879870,0.000000,0.000000,0.000000,events/second
1606740116,168,0.866243,0.000000,0.000000,0.000000,events/second
1606740119,168,0.853034,0.000000,0.000000,0.000000,events/second
1606740122,168,0.840264,0.000000,0.000000,0.000000,events/second
1606740125,168,0.827875,0.000000,0.000000,0.000000,events/second
1606740128,168,0.815677,0.000000,0.000000,0.000000,events/second
1606740131,168,0.804131,0.000000,0.000000,0.000000,events/second
1606740134,171,0.806220,0.000000,0.000000,0.000000,events/second
1606740137,171,0.795556,0.000000,0.000000,0.000000,events/second
1606740140,171,0.784529,0.000000,0.000000,0.000000,events/second
1606740143,171,0.773357,0.000000,0.000000,0.000000,events/second
1606740146,171,0.763654,0.000000,0.000000,0.000000,events/second
1606740149,171,0.753477,0.000000,0.000000,0.000000,events/second
1606740152,174,0.756640,0.000000,0.000000,0.000000,events/second
1606740155,174,0.744989,0.000000,0.000000,0.000000,events/second
1606740158,174,0.737447,0.000000,0.000000,0.000000,events/second
1606740161,174,0.728280,0.000000,0.000000,0.000000,events/second
1606740164,174,0.719203,0.000000,0.000000,0.000000,events/second
1606740167,174,0.710404,0.000000,0.000000,0.000000,events/second
1606740170,174,0.701113,0.000000,0.000000,0.000000,events/second
1606740173,177,0.705213,0.000000,0.000000,0.000000,events/second
1606740176,177,0.697053,0.000000,0.000000,0.000000,events/second
1606740179,177,0.688914,0.000000,0.000000,0.000000,events/second
1606740182,177,0.680929,0.000000,0.000000,0.000000,events/second
1606740185,177,0.673156,0.000000,0.000000,0.000000,events/second
1606740188,177,0.665526,0.000000,0.000000,0.000000,events/second
1606740191,177,0.658187,0.000000,0.000000,0.000000,events/second
1606740194,180,0.661526,0.000000,0.000000,0.000000,events/second
1606740197,180,0.654697,0.000000,0.000000,0.000000,events/second
