t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,13,3.226476,0.000000,0.000000,0.000000,events/second
1606739939,13,2.132500,0.000000,0.000000,0.000000,events/second
1606739942,13,1.434776,0.000000,0.000000,0.000000,events/second
1606739945,14,1.158301,0.000000,0.000000,0.000000,events/second
1606739948,14,0.930660,0.000000,0.000000,0.000000,events/second
1606739951,15,0.830543,0.000000,0.000000,0.000000,events/second
1606739954,15,0.711675,0.000000,0.000000,0.000000,events/second
1606739957,15,0.613226,0.000000,0.000000,0.000000,events/second
1606739960,15,0.554687,0.000000,0.000000,0.000000,events/second
1606739963,15,0.499282,0.000000,0.000000,0.000000,events/second
1606739966,15,0.453917,0.000000,0.000000,0.000000,events/second
1606739969,15,0.416248,0.000000,0.000000,0.000000,events/second
1606739972,15,0.384138,0.000000,0.000000,0.000000,events/second
1606739975,15,0.356800,0.000000,0.000000,0.000000,events/second
1606739978,15,0.333134,0.000000,0.000000,0.000000,events/second
1606739981,15,0.312410,0.000000,0.000000,0.000000,events/second
1606739984,15,0.293822,0.000000,0.000000,0.000000,events/second
1606739987,15,0.277440,0.000000,0.000000,0.000000,events/second
1606739990,15,0.262984,0.000000,0.000000,0.000000,events/second
1606739993,15,0.249703,0.000000,0.000000,0.000000,events/second
1606739996,15,0.237887,0.000000,0.000000,0.000000,events/second
1606739999,15,0.227109,0.000000,0.000000,0.000000,events/second
1606740002,15,0.216380,0.000000,0.000000,0.000000,events/second
1606740005,15,0.208157,0.000000,0.000000,0.000000,events/second
1606740008,15,0.199843,0.000000,0.000000,0.000000,events/second
1606740011,15,0.191930,0.000000,0.000000,0.000000,events/second
1606740014,15,0.184839,0.000000,0.000000,0.000000,events/second
1606740017,15,0.178388,0.000000,0.000000,0.000000,events/second
1606740020,15,0.172330,0.000000,0.000000,0.000000,events/second
1606740023,15,0.166614,0.000000,0.000000,0.000000,events/second
1606740026,15,0.161236,0.000000,0.000000,0.000000,events/second
1606740029,15,0.155747,0.000000,0.000000,0.000000,events/second
1606740032,15,0.151411,0.000000,0.000000,0.000000,events/second
1606740035,16,0.156718,0.000000,0.000000,0.000000,events/second
1606740038,16,0.152327,0.000000,0.000000,0.000000,events/second
1606740041,16,0.148124,0.000000,0.000000,0.000000,events/second
1606740044,16,0.144088,0.000000,0.000000,0.000000,events/second
1606740047,16,0.140015,0.000000,0.000000,0.000000,events/second
1606740050,16,0.136349,0.000000,0.000000,0.000000,events/second
1606740053,16,0.133271,0.000000,0.000000,0.000000,events/second
1606740056,16,0.130059,0.000000,0.000000,0.000000,events/second
1606740059,16,0.126936,0.000000,0.000000,0.000000,events/second
1606740062,16,0.123978,0.000000,0.000000,0.000000,events/second
1606740065,16,0.120938,0.000000,0.000000,0.000000,events/second
1606740068,16,0.118503,0.000000,0.000000,0.000000,events/second
1606740071,16,0.115885,0.000000,0.000000,0.000000,events/second
1606740074,16,0.113445,0.000000,0.000000,0.000000,events/second
1606740077,16,0.111079,0.000000,0.000000,0.000000,events/second
1606740080,16,0.108808,0.000000,0.000000,0.000000,events/second
1606740083,16,0.106573,0.000000,0.000000,0.000000,events/second
1606740086,16,0.104548,0.000000,0.000000,0.000000,events/second
1606740089,16,0.102535,0.000000,0.000000,0.000000,events/second
1606740092,16,0.100589,0.000000,0.000000,0.000000,events/second
1606740095,16,0.098731,0.000000,0.000000,0.000000,events/second
1606740098,16,0.096935,0.000000,0.000000,0.000000,events/second
1606740101,16,0.095212,0.000000,0.000000,0.000000,events/second
1606740104,16,0.093559,0.000000,0.000000,0.000000,events/second
1606740107,16,0.091927,0.000000,0.000000,0.000000,events/second
1606740110,16,0.090368,0.000000,0.000000,0.000000,events/second
1606740113,16,0.088875,0.000000,0.000000,0.000000,events/second
1606740116,16,0.087417,0.000000,0.000000,0.000000,events/second
