t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606739936,224,55.507006,0.000000,0.000000,0.000000,events/second
1606739939,224,36.727152,0.000000,0.000000,0.000000,events/second
1606739942,224,24.714971,0.000000,0.000000,0.000000,events/second
1606739945,254,21.010376,0.000000,0.000000,0.000000,events/second
1606739948,254,16.882322,0.000000,0.000000,0.000000,events/second
1606739951,291,16.110761,0.000000,0.000000,0.000000,events/second
1606739954,291,13.805215,0.000000,0.000000,0.000000,events/second
1606739957,291,11.893479,0.000000,0.000000,0.000000,events/second
1606739960,291,10.760301,0.000000,0.000000,0.000000,events/second
1606739963,291,9.685546,0.000000,0.000000,0.000000,events/second
1606739966,291,8.805497,0.000000,0.000000,0.000000,events/second
1606739969,291,8.074857,0.000000,0.000000,0.000000,events/second
1606739972,291,7.451907,0.000000,0.000000,0.000000,events/second
1606739975,291,6.921651,0.000000,0.000000,0.000000,events/second
1606739978,291,6.462571,0.000000,0.000000,0.000000,events/second
1606739981,291,6.060553,0.000000,0.000000,0.000000,events/second
1606739984,291,5.699963,0.000000,0.000000,0.000000,events/second
1606739987,291,5.382133,0.000000,0.000000,0.000000,events/second
1606739990,291,5.101740,0.000000,0.000000,0.000000,events/second
1606739993,291,4.844088,0.000000,0.000000,0.000000,events/second
1606739996,291,4.614881,0.000000,0.000000,0.000000,events/second
1606739999,291,4.405665,0.000000,0.000000,0.000000,events/second
1606740002,291,4.197597,0.000000,0.000000,0.000000,events/second
1606740005,291,4.038160,0.000000,0.000000,0.000000,events/second
1606740008,291,3.876874,0.000000,0.000000,0.000000,events/second
1606740011,291,3.723347,0.000000,0.000000,0.000000,events/second
1606740014,291,3.585804,0.000000,0.000000,0.000000,events/second
1606740017,291,3.460657,0.000000,0.000000,0.000000,events/second
1606740020,291,3.343114,0.000000,0.000000,0.000000,events/second
1606740023,291,3.232249,0.000000,0.000000,0.000000,events/second
1606740026,291,3.127895,0.000000,0.000000,0.000000,events/second
1606740029,291,3.021435,0.000000,0.000000,0.000000,events/second
1606740032,291,2.937335,0.000000,0.000000,0.000000,events/second
1606740035,318,3.114694,0.000000,0.000000,0.000000,events/second
1606740038,318,3.027456,0.000000,0.000000,0.000000,events/second
1606740041,318,2.943921,0.000000,0.000000,0.000000,events/second
1606740044,318,2.863697,0.000000,0.000000,0.000000,events/second
1606740047,318,2.782754,0.000000,0.000000,0.000000,events/second
1606740050,318,2.709910,0.000000,0.000000,0.000000,events/second
1606740053,318,2.648729,0.000000,0.000000,0.000000,events/second
1606740056,318,2.584882,0.000000,0.000000,0.000000,events/second
1606740059,318,2.522830,0.000000,0.000000,0.000000,events/second
1606740062,318,2.464034,0.000000,0.000000,0.000000,events/second
1606740065,318,2.403597,0.000000,0.000000,0.000000,events/second
1606740068,318,2.355207,0.000000,0.000000,0.000000,events/second
1606740071,318,2.303187,0.000000,0.000000,0.000000,events/second
1606740074,318,2.254693,0.000000,0.000000,0.000000,events/second
1606740077,318,2.207679,0.000000,0.000000,0.000000,events/second
1606740080,318,2.162543,0.000000,0.000000,0.000000,events/second
1606740083,318,2.118110,0.000000,0.000000,0.000000,events/second
1606740086,318,2.077485,0.000000,0.000000,0.000000,events/second
1606740089,318,2.037868,0.000000,0.000000,0.000000,events/second
1606740092,318,1.999177,0.000000,0.000000,0.000000,events/second
1606740095,318,1.962263,0.000000,0.000000,0.000000,events/second
1606740098,318,1.926565,0.000000,0.000000,0.000000,events/second
1606740101,318,1.892316,0.000000,0.000000,0.000000,events/second
1606740104,318,1.859465,0.000000,0.000000,0.000000,events/second
1606740107,318,1.827026,0.000000,0.000000,0.000000,events/second
1606740110,318,1.796041,0.000000,0.000000,0.000000,events/second
1606740113,318,1.766371,0.000000,0.000000,0.000000,events/second
1606740116,318,1.737393,0.000000,0.000000,0.000000,events/second
1606740119,318,1.709327,0.000000,0.000000,0.000000,events/second
1606740122,318,1.682280,0.000000,0.000000,0.000000,events/second
1606740125,318,1.656053,0.000000,0.000000,0.000000,events/second
1606740128,318,1.630301,0.000000,0.000000,0.000000,events/second
1606740131,318,1.605954,0.000000,0.000000,0.000000,events/second
1606740134,318,1.580571,0.000000,0.000000,0.000000,events/second
1606740137,318,1.558549,0.000000,0.000000,0.000000,events/second
1606740140,318,1.535806,0.000000,0.000000,0.000000,events/second
1606740143,318,1.512804,0.000000,0.000000,0.000000,events/second
1606740146,318,1.492851,0.000000,0.000000,0.000000,events/second
1606740149,318,1.471952,0.000000,0.000000,0.000000,events/second
1606740152,318,1.451659,0.000000,0.000000,0.000000,events/second
1606740155,318,1.428235,0.000000,0.000000,0.000000,events/second
1606740158,318,1.413076,0.000000,0.000000,0.000000,events/second
1606740161,318,1.394668,0.000000,0.000000,0.000000,events/second
1606740164,318,1.376460,0.000000,0.000000,0.000000,events/second
1606740167,318,1.358837,0.000000,0.000000,0.000000,events/second
1606740170,318,1.340247,0.000000,0.000000,0.000000,events/second
1606740173,318,1.324551,0.000000,0.000000,0.000000,events/second
1606740176,318,1.308542,0.000000,0.000000,0.000000,events/second
1606740179,318,1.292587,0.000000,0.000000,0.000000,events/second
1606740182,318,1.276946,0.000000,0.000000,0.000000,events/second
1606740185,318,1.261741,0.000000,0.000000,0.000000,events/second
1606740188,318,1.246828,0.000000,0.000000,0.000000,events/second
1606740191,318,1.232499,0.000000,0.000000,0.000000,events/second
1606740194,318,1.217502,0.000000,0.000000,0.000000,events/second
1606740197,318,1.204416,0.000000,0.000000,0.000000,events/second
1606740200,318,1.190750,0.000000,0.000000,0.000000,events/second
1606740203,318,1.177595,0.000000,0.000000,0.000000,events/second
1606740206,318,1.164668,0.000000,0.000000,0.000000,events/second
1606740209,318,1.151958,0.000000,0.000000,0.000000,events/second
1606740212,318,1.139778,0.000000,0.000000,0.000000,events/second
1606740215,318,1.127483,0.000000,0.000000,0.000000,events/second
1606740218,318,1.115701,0.000000,0.000000,0.000000,events/second
1606740221,318,1.104007,0.000000,0.000000,0.000000,events/second
1606740224,318,1.092637,0.000000,0.000000,0.000000,events/second
1606740227,318,1.081435,0.000000,0.000000,0.000000,events/second
1606740230,318,1.070602,0.000000,0.000000,0.000000,events/second
1606740233,318,1.059817,0.000000,0.000000,0.000000,events/second
1606740236,318,1.049362,0.000000,0.000000,0.000000,events/second
1606740239,318,1.039131,0.000000,0.000000,0.000000,events/second
1606740242,318,1.029013,0.000000,0.000000,0.000000,events/second
1606740245,318,1.019081,0.000000,0.000000,0.000000,events/second
1606740248,318,1.008677,0.000000,0.000000,0.000000,events/second
1606740251,318,0.999887,0.000000,0.000000,0.000000,events/second
1606740254,318,0.990563,0.000000,0.000000,0.000000,events/second
1606740257,318,0.981364,0.000000,0.000000,0.000000,events/second
1606740260,342,1.045821,0.000000,0.000000,0.000000,events/second
1606740263,342,1.036343,0.000000,0.000000,0.000000,events/second
1606740266,342,1.026955,0.000000,0.000000,0.000000,events/second
1606740269,342,1.017689,0.000000,0.000000,0.000000,events/second
1606740272,342,1.008828,0.000000,0.000000,0.000000,events/second
1606740275,342,0.999873,0.000000,0.000000,0.000000,events/second
1606740278,342,0.991200,0.000000,0.000000,0.000000,events/second
1606740281,342,0.982605,0.000000,0.000000,0.000000,events/second
1606740284,342,0.974366,0.000000,0.000000,0.000000,events/second
1606740287,342,0.966040,0.000000,0.000000,0.000000,events/second
1606740290,342,0.957957,0.000000,0.000000,0.000000,events/second
1606740293,342,0.949870,0.000000,0.000000,0.000000,events/second
1606740296,342,0.942081,0.000000,0.000000,0.000000,events/second
