t,value
1606739936,536870912
1606739939,536870912
1606739942,536870912
1606739945,536870912
1606739948,536870912
1606739951,536870912
1606739954,536870912
1606739957,536870912
1606739960,536870912
1606739963,536870912
1606739966,536870912
1606739969,536870912
1606739972,536870912
1606739975,536870912
1606739978,536870912
1606739981,536870912
1606739984,536870912
1606739987,536870912
1606739990,536870912
1606739993,536870912
1606739996,536870912
1606739999,536870912
1606740002,536870912
1606740005,536870912
1606740008,536870912
1606740011,536870912
1606740014,536870912
1606740017,536870912
1606740020,536870912
1606740023,536870912
1606740026,536870912
1606740029,536870912
1606740032,536870912
1606740035,536870912
1606740038,536870912
1606740041,536870912
1606740044,536870912
1606740047,536870912
1606740050,536870912
1606740053,536870912
1606740056,536870912
1606740059,536870912
1606740062,536870912
1606740065,536870912
1606740068,536870912
1606740071,536870912
1606740074,536870912
1606740077,536870912
1606740080,536870912
1606740083,536870912
1606740086,536870912
1606740089,536870912
1606740092,536870912
1606740095,536870912
1606740098,536870912
1606740101,536870912
1606740104,536870912
1606740107,536870912
1606740110,536870912
1606740113,536870912
1606740116,536870912
1606740119,536870912
1606740122,536870912
1606740125,536870912
1606740128,536870912
1606740131,536870912
1606740134,536870912
1606740137,536870912
1606740140,536870912
1606740143,536870912
1606740146,536870912
1606740149,536870912
1606740152,536870912
1606740155,536870912
1606740158,536870912
1606740161,536870912
1606740164,536870912
1606740167,536870912
1606740170,536870912
1606740173,536870912
1606740176,536870912
1606740179,536870912
1606740182,536870912
1606740185,536870912
1606740188,536870912
1606740191,536870912
1606740194,536870912
1606740197,536870912
1606740200,536870912
1606740203,536870912
1606740206,536870912
1606740209,536870912
1606740212,536870912
1606740215,536870912
1606740218,536870912
1606740221,536870912
1606740224,536870912
1606740227,536870912
1606740230,536870912
1606740233,536870912
1606740236,536870912
1606740239,536870912
1606740242,536870912
1606740245,536870912
1606740248,536870912
1606740251,536870912
1606740254,536870912
1606740257,536870912
1606740260,536870912
1606740263,536870912
1606740266,536870912
1606740269,536870912
1606740272,536870912
1606740275,536870912
1606740278,536870912
1606740281,536870912
1606740284,536870912
1606740287,536870912
1606740290,536870912
1606740293,536870912
1606740296,536870912
1606740299,536870912
1606740302,536870912
1606740305,536870912
1606740308,536870912
1606740311,536870912
1606740314,536870912
1606740317,536870912
1606740320,536870912
1606740323,536870912
1606740326,536870912
1606740329,536870912
1606740332,536870912
1606740335,536870912
1606740338,536870912
1606740341,536870912
1606740344,536870912
1606740347,536870912
1606740350,536870912
1606740353,536870912
1606740356,536870912
1606740359,536870912
1606740362,536870912
1606740365,536870912
1606740368,536870912
1606740371,536870912
1606740374,536870912
1606740377,536870912
1606740380,536870912
1606740383,536870912
1606740386,536870912
1606740389,536870912
1606740392,536870912
1606740395,536870912
1606740398,536870912
1606740401,536870912
1606740404,536870912
1606740407,536870912
1606740410,536870912
1606740413,536870912
1606740416,536870912
1606740419,536870912
1606740422,536870912
1606740425,536870912
1606740428,536870912
1606740431,536870912
1606740434,536870912
1606740437,536870912
1606740440,536870912
1606740443,536870912
1606740446,536870912
1606740449,536870912
1606740452,536870912
1606740455,536870912
1606740458,536870912
1606740461,536870912
1606740464,536870912
1606740467,536870912
1606740470,536870912
1606740473,536870912
1606740476,536870912
1606740479,536870912
1606740482,536870912
1606740485,536870912
1606740488,536870912
1606740491,536870912
1606740494,536870912
1606740497,536870912
1606740500,536870912
1606740503,536870912
1606740506,536870912
1606740509,536870912
1606740512,536870912
1606740515,536870912
1606740518,536870912
1606740521,536870912
1606740524,536870912
1606740527,536870912
1606740530,536870912
1606740533,536870912
1606740536,536870912
1606740539,536870912
1606740542,536870912
1606740545,536870912
1606740548,536870912
1606740551,536870912
1606740554,536870912
1606740557,536870912
1606740560,536870912
1606740563,536870912
1606740566,536870912
1606740569,536870912
1606740572,536870912
1606740575,536870912
1606740578,536870912
1606740581,536870912
1606740584,536870912
1606740587,536870912
1606740590,536870912
1606740593,536870912
1606740596,536870912
1606740599,536870912
1606740602,536870912
1606740605,536870912
1606740608,536870912
1606740611,536870912
1606740614,536870912
1606740617,536870912
1606740620,536870912
1606740623,536870912
1606740626,536870912
1606740629,536870912
1606740632,536870912
1606740635,536870912
1606740638,536870912
1606740641,536870912
1606740644,536870912
1606740647,536870912
1606740650,536870912
1606740653,536870912
1606740656,536870912
1606740659,536870912
1606740662,536870912
1606740665,536870912
1606740668,536870912
1606740671,536870912
1606740674,536870912
1606740677,536870912
1606740680,536870912
1606740683,536870912
1606740686,536870912
1606740689,536870912
1606740692,536870912
1606740695,536870912
1606740698,536870912
1606740701,536870912
1606740704,536870912
1606740707,536870912
1606740710,536870912
1606740713,536870912
1606740716,536870912
1606740719,536870912
1606740722,536870912
1606740725,536870912
1606740728,536870912
1606740731,536870912
1606740734,536870912
1606740737,536870912
1606740740,536870912
1606740743,536870912
1606740746,536870912
1606740749,536870912
1606740752,536870912
1606740755,536870912
1606740758,536870912
1606740761,536870912
1606740764,536870912
1606740767,536870912
1606740770,536870912
1606740773,536870912
1606740776,536870912
1606740779,536870912
1606740782,536870912
1606740785,536870912
1606740788,536870912
1606740791,536870912
1606740794,536870912
1606740797,536870912
1606740800,536870912
1606740803,536870912
1606740806,536870912
1606740809,536870912
1606740812,536870912
1606740815,536870912
1606740818,536870912
1606740821,536870912
1606740824,536870912
1606740827,536870912
1606740830,536870912
1606740833,536870912
1606740836,536870912
1606740839,536870912
1606740842,536870912
1606740845,536870912
1606740848,536870912
1606740851,536870912
1606740854,536870912
1606740857,536870912
1606740860,536870912
1606740863,536870912
1606740866,536870912
1606740869,536870912
1606740872,536870912
1606740875,536870912
1606740878,536870912
1606740881,536870912
1606740884,536870912
1606740887,536870912
1606740890,536870912
1606740893,536870912
1606740896,536870912
1606740899,536870912
1606740902,536870912
1606740905,536870912
1606740908,536870912
1606740911,536870912
1606740914,536870912
1606740917,536870912
1606740920,536870912
1606740923,536870912
1606740926,536870912
1606740929,536870912
1606740932,536870912
1606740935,536870912
1606740938,536870912
1606740941,536870912
1606740944,536870912
1606740947,536870912
1606740950,536870912
1606740953,536870912
1606740958,536870912
1606740959,536870912
1606740962,536870912
1606740965,536870912
1606740968,536870912
1606740971,536870912
1606740974,536870912
1606740977,536870912
1606740980,536870912
1606740983,536870912
1606740986,536870912
1606740989,536870912
1606740992,536870912
1606740995,536870912
1606740998,536870912
1606741001,536870912
1606741004,536870912
1606741007,536870912
1606741010,536870912
1606741013,536870912
1606741016,536870912
1606741019,536870912
1606741022,536870912
1606741025,536870912
1606741028,536870912
1606741031,536870912
1606741034,536870912
1606741037,536870912
1606741040,536870912
1606741043,536870912
1606741046,536870912
1606741049,536870912
1606741052,536870912
1606741055,536870912
1606741058,536870912
1606741061,536870912
1606741064,536870912
1606741067,536870912
1606741070,536870912
1606741073,536870912
1606741076,536870912
1606741079,536870912
1606741082,536870912
1606741085,536870912
1606741088,536870912
1606741091,536870912
1606741094,536870912
1606741097,536870912
1606741100,536870912
1606741103,536870912
1606741106,536870912
1606741109,536870912
1606741112,536870912
1606741115,536870912
1606741118,536870912
1606741121,536870912
1606741124,536870912
1606741127,536870912
1606741130,536870912
1606741133,536870912
1606741136,536870912
1606741139,536870912
1606741142,536870912
1606741145,536870912
1606741148,536870912
1606741151,536870912
1606741154,536870912
1606741157,536870912
1606741160,536870912
1606741163,536870912
1606741166,536870912
1606741169,536870912
1606741172,536870912
1606741175,536870912
1606741178,536870912
1606741181,536870912
1606741184,536870912
1606741187,536870912
1606741190,536870912
1606741193,536870912
1606741196,536870912
1606741199,536870912
1606741202,536870912
1606741205,536870912
1606741208,536870912
1606741211,536870912
1606741214,536870912
1606741217,536870912
1606741220,536870912
1606741223,536870912
1606741226,536870912
1606741229,536870912
1606741232,536870912
1606741235,536870912
1606741238,536870912
1606741241,536870912
1606741244,536870912
1606741247,536870912
1606741250,536870912
1606741253,536870912
1606741256,536870912
1606741259,536870912
1606741262,536870912
1606741265,536870912
1606741268,536870912
1606741271,536870912
1606741274,536870912
1606741277,536870912
1606741280,536870912
1606741283,536870912
1606741286,536870912
1606741289,536870912
1606741292,536870912
1606741295,536870912
1606741298,536870912
1606741301,536870912
1606741304,536870912
1606741307,536870912
1606741310,536870912
1606741313,536870912
1606741316,536870912
1606741319,536870912
1606741322,536870912
1606741325,536870912
1606741328,536870912
1606741331,536870912
1606741334,536870912
1606741337,536870912
1606741340,536870912
1606741343,536870912
