t,value
1606739936,1073741824
1606739939,1073741824
1606739942,1073741824
1606739945,1073741824
1606739948,1073741824
1606739951,1073741824
1606739954,1073741824
1606739957,1073741824
1606739960,1073741824
1606739963,1073741824
1606739966,1073741824
1606739969,1073741824
1606739972,1073741824
1606739975,1073741824
1606739978,1073741824
1606739981,1073741824
1606739984,1073741824
1606739987,1073741824
1606739990,1073741824
1606739993,1073741824
1606739996,1073741824
1606739999,1073741824
1606740002,1073741824
1606740005,1073741824
1606740008,1073741824
1606740011,1073741824
1606740014,1073741824
1606740017,1073741824
1606740020,1073741824
1606740023,1073741824
1606740026,1073741824
1606740029,1073741824
1606740032,1073741824
1606740035,1073741824
1606740038,1073741824
1606740041,1073741824
1606740044,1073741824
1606740047,1073741824
1606740050,1073741824
1606740053,1073741824
1606740056,1073741824
1606740059,1073741824
1606740062,1073741824
1606740065,1073741824
1606740068,1073741824
1606740071,1073741824
1606740074,1073741824
1606740077,1073741824
1606740080,1073741824
1606740083,1073741824
1606740086,1073741824
1606740089,1073741824
1606740092,1073741824
1606740095,1073741824
1606740098,1073741824
1606740101,1073741824
1606740104,1073741824
1606740107,1073741824
1606740110,1073741824
1606740113,1073741824
1606740116,1073741824
1606740119,1073741824
1606740122,1073741824
1606740125,1073741824
1606740128,1073741824
1606740131,1073741824
1606740134,1073741824
1606740137,1073741824
1606740140,1073741824
1606740143,1073741824
1606740146,1073741824
1606740149,1073741824
1606740152,1073741824
1606740155,1073741824
1606740158,1073741824
1606740161,1073741824
1606740164,1073741824
1606740167,1073741824
1606740170,1073741824
1606740173,1073741824
1606740176,1073741824
1606740179,1073741824
1606740182,1073741824
1606740185,1073741824
1606740188,1073741824
1606740191,1073741824
1606740194,1073741824
1606740197,1073741824
1606740200,1073741824
1606740203,1073741824
1606740206,1073741824
1606740209,1073741824
1606740212,1073741824
1606740215,1073741824
1606740218,1073741824
1606740221,1073741824
1606740224,1073741824
1606740227,1073741824
1606740230,1073741824
1606740233,1073741824
1606740236,1073741824
1606740239,1073741824
1606740242,1073741824
1606740245,1073741824
1606740248,1073741824
1606740251,1073741824
1606740254,1073741824
1606740257,1073741824
1606740260,1073741824
1606740263,1073741824
1606740266,1073741824
1606740269,1073741824
1606740272,1073741824
1606740275,1073741824
1606740278,1073741824
1606740281,1073741824
1606740284,1073741824
1606740287,1073741824
1606740290,1073741824
1606740293,1073741824
1606740296,1073741824
1606740299,1073741824
1606740302,1073741824
1606740305,1073741824
1606740308,1073741824
1606740311,1073741824
1606740314,1073741824
1606740317,1073741824
1606740320,1073741824
1606740323,1073741824
1606740326,1073741824
1606740329,1073741824
1606740332,1073741824
1606740335,1073741824
1606740338,1073741824
1606740341,1073741824
1606740344,1073741824
1606740347,1073741824
1606740350,1073741824
1606740353,1073741824
1606740356,1073741824
1606740359,1073741824
1606740362,1073741824
1606740365,1073741824
1606740368,1073741824
1606740371,1073741824
1606740374,1073741824
1606740377,1073741824
1606740380,1073741824
1606740383,1073741824
1606740386,1073741824
