t,value
1606739936,71693312
1606739939,126219264
1606739942,150336512
1606739945,88240128
1606739948,148008960
1606739951,96551424
1606739954,142688768
1606739957,142688768
1606739960,143737344
1606739963,144785920
1606739966,145834496
1606739969,145834496
1606739972,147931648
1606739975,147931648
1606739978,148980224
1606739981,150028800
1606739984,162611712
1606739987,163660288
1606739990,164708864
1606739993,176243200
1606739996,177291776
1606739999,177291776
1606740002,179388928
1606740005,180437504
1606740008,180437504
1606740011,181486080
1606740014,182534656
1606740017,183583232
1606740020,183583232
1606740023,184631808
1606740026,185680384
1606740029,186728960
1606740032,203506176
1606740035,100410368
1606740038,116139008
1606740041,117187584
1606740044,130819072
1606740047,130819072
1606740050,131867648
1606740053,146547712
1606740056,146547712
1606740059,147596288
1606740062,149693440
1606740065,150742016
1606740068,150742016
1606740071,153887744
1606740074,154936320
1606740077,155984896
1606740080,155984896
1606740083,157033472
1606740086,158082048
1606740089,159130624
1606740092,162276352
1606740095,163324928
1606740098,164373504
1606740101,166470656
1606740104,181150720
1606740107,181150720
1606740110,182199296
1606740113,196879360
1606740116,197927936
1606740119,198976512
1606740122,200025088
1606740125,201073664
1606740128,203170816
1606740131,207365120
1606740134,208413696
1606740137,210510848
1606740140,211559424
1606740143,212608000
1606740146,213656576
1606740149,214705152
1606740152,218899456
1606740155,220996608
1606740158,222045184
1606740161,223093760
1606740164,236725248
1606740167,237773824
1606740170,239870976
1606740173,253502464
1606740176,254551040
1606740179,256648192
1606740182,256648192
1606740185,258745344
1606740188,258745344
1606740191,262939648
1606740194,263988224
1606740197,265036800
1606740200,266085376
1606740203,267133952
1606740206,268182528
1606740209,268182528
1606740212,272376832
1606740215,273425408
1606740218,274473984
1606740221,275522560
1606740224,288105472
1606740227,289154048
1606740230,290202624
1606740233,315368448
1606740236,316417024
1606740239,317465600
1606740242,318514176
1606740245,319562752
1606740248,320611328
1606740251,322708480
1606740254,324805632
1606740257,328999936
1606740260,87223424
1606740263,88272000
1606740266,88272000
1606740269,89320576
1606740272,119729280
1606740275,119729280
1606740278,120777856
1606740281,121826432
1606740284,135457920
1606740287,135457920
1606740290,136506496
1606740293,152235136
1606740296,152235136
1606740299,153283712
1606740302,178449536
1606740305,179498112
1606740308,188935296
1606740311,192081024
1606740314,194178176
1606740317,195226752
1606740320,196275328
1606740323,196275328
1606740326,197323904
1606740329,200469632
1606740332,203615360
1606740335,204663936
1606740338,205712512
1606740341,205712512
1606740344,219344000
1606740347,219344000
1606740350,220392576
1606740353,237169792
1606740356,238218368
1606740359,239266944
1606740362,239266944
1606740365,240315520
1606740368,241364096
1606740371,244509824
1606740374,245558400
1606740377,246606976
1606740380,246606976
1606740383,247655552
1606740386,248704128
1606740389,248704128
1606740392,252898432
1606740395,253947008
1606740398,254995584
1606740401,254995584
1606740404,278064256
1606740407,280161408
1606740410,284355712
1606740413,308472960
1606740416,309521536
1606740419,310570112
1606740422,312667264
1606740425,315812992
1606740428,316861568
1606740431,342027392
1606740434,354610304
1606740437,355658880
1606740440,358804608
1606740443,371387520
1606740446,75244544
1606740449,76293120
1606740452,80487424
1606740455,81536000
1606740458,81536000
1606740461,82584576
1606740464,96216064
1606740467,97264640
1606740470,125576192
1606740473,150742016
1606740476,151790592
1606740479,152839168
1606740482,154936320
1606740485,155984896
1606740488,170664960
1606740491,201073664
1606740494,202122240
1606740497,203170816
1606740500,204219392
1606740503,204219392
1606740506,205267968
1606740509,206316544
1606740512,209462272
1606740515,210510848
1606740518,211559424
1606740521,212608000
1606740524,226239488
1606740527,229385216
1606740530,232530944
1606740533,250356736
1606740536,253502464
