t,value
1606739936,9955
1606739939,9997
1606739942,10220
1606739945,10374
1606739948,10449
1606739951,10449
1606739954,10531
1606739957,10531
1606739960,10531
1606739963,10531
1606739966,10531
1606739969,10531
1606739972,10531
1606739975,10531
1606739978,10531
1606739981,10531
1606739984,10531
1606739987,10531
1606739990,10531
1606739993,9939
1606739996,9939
1606739999,9939
1606740002,9939
1606740005,9939
1606740008,9939
1606740011,9939
1606740014,9939
1606740017,9939
1606740020,9939
1606740023,9939
1606740026,9939
1606740029,9939
1606740032,9939
1606740035,11463
1606740038,11550
1606740041,11550
1606740044,11550
1606740047,11550
1606740050,11550
1606740053,12400
1606740056,12400
1606740059,12400
1606740062,12400
1606740065,12400
1606740068,12400
1606740071,12441
1606740074,12441
1606740077,12441
1606740080,12441
1606740083,12441
1606740086,12441
1606740089,12441
1606740092,12441
1606740095,12441
1606740098,12441
1606740101,12441
1606740104,12441
1606740107,12441
1606740110,12441
1606740113,12441
1606740116,12441
1606740119,12441
1606740122,12441
1606740125,12441
1606740128,12441
1606740131,12441
1606740134,12441
1606740137,12441
1606740140,12441
1606740143,12441
1606740146,12441
1606740149,12441
1606740152,12441
1606740155,12441
1606740158,12441
1606740161,12441
1606740164,12441
1606740167,12441
1606740170,12441
1606740173,12441
1606740176,12441
1606740179,12441
1606740182,12441
1606740185,12441
1606740188,12441
1606740191,12441
1606740194,12441
1606740197,12441
1606740200,12441
1606740203,12441
1606740206,12441
1606740209,12441
1606740212,12441
1606740215,12441
1606740218,12441
1606740221,12441
1606740224,12441
1606740227,12441
1606740230,12441
1606740233,12441
1606740236,12441
1606740239,12441
1606740242,12441
1606740245,12441
1606740248,12441
1606740251,12441
1606740254,12441
1606740257,12678
1606740260,12680
1606740263,12680
1606740266,12680
1606740269,12680
1606740272,12680
1606740275,12680
1606740278,12680
1606740281,12680
1606740284,12680
1606740287,12680
1606740290,12680
1606740293,12680
1606740296,12680
1606740299,12680
1606740302,12680
1606740305,12680
1606740308,12680
1606740311,12680
1606740314,12680
1606740317,12680
1606740320,12680
1606740323,12680
1606740326,12680
1606740329,12680
1606740332,12680
1606740335,12680
1606740338,12680
1606740341,12680
1606740344,12680
1606740347,12680
1606740350,12680
1606740353,12680
1606740356,12680
1606740359,12680
1606740362,12680
1606740365,12680
1606740368,12680
1606740371,12680
1606740374,12680
1606740377,12680
1606740380,12680
1606740383,12680
1606740386,12680
1606740389,12680
1606740392,12680
1606740395,12680
1606740398,12680
1606740401,12680
1606740404,12680
1606740407,12680
1606740410,12680
1606740413,12680
1606740416,12680
1606740419,12680
1606740422,12680
1606740425,12680
1606740428,12680
1606740431,12680
1606740434,12680
1606740437,12680
1606740440,12680
1606740443,12680
1606740446,12680
1606740449,12680
1606740452,12680
1606740455,12680
1606740458,12680
1606740461,12680
1606740464,12680
1606740467,12680
1606740470,12680
1606740473,12680
1606740476,12680
1606740479,12680
1606740482,12680
1606740485,12680
1606740488,12680
1606740491,12680
1606740494,12680
1606740497,12680
1606740500,12680
1606740503,12680
1606740506,12680
1606740509,12680
1606740512,12680
1606740515,12680
1606740518,12680
1606740521,12680
1606740524,12680
1606740527,12680
1606740530,12680
1606740533,12680
1606740536,12680
1606740539,12680
1606740542,12680
1606740545,12680
1606740548,12680
1606740551,12680
1606740554,12680
1606740557,12680
1606740560,12680
1606740563,12680
1606740566,12680
1606740569,12680
1606740572,12680
1606740575,12680
1606740578,12680
1606740581,12680
1606740584,12680
1606740587,12680
1606740590,12680
1606740593,12680
1606740596,12680
1606740599,12680
1606740602,12680
1606740605,12680
1606740608,12680
1606740611,12680
1606740614,12680
1606740617,12680
1606740620,12680
1606740623,12680
1606740626,12680
1606740629,12680
1606740632,12680
1606740635,12680
1606740638,12680
1606740641,12680
1606740644,12680
1606740647,12680
1606740650,12680
1606740653,12680
1606740656,12680
1606740659,12680
1606740662,12680
1606740665,12680
1606740668,12680
1606740671,12680
1606740674,12680
1606740677,12680
1606740680,12680
1606740683,12680
1606740686,12680
1606740689,12680
1606740692,12680
1606740695,12680
1606740698,12680
1606740701,12680
1606740704,12680
1606740707,12680
1606740710,12680
1606740713,12680
1606740716,12680
1606740719,12680
1606740722,12680
1606740725,12680
1606740728,12680
1606740731,12680
1606740734,12680
1606740737,12680
1606740740,12680
1606740743,12680
1606740746,12680
1606740749,12680
1606740752,12680
1606740755,12680
1606740758,12680
1606740761,12680
1606740764,12680
1606740767,12680
1606740770,12680
1606740773,12680
1606740776,12680
1606740779,12680
1606740782,12680
1606740785,12680
1606740788,12680
1606740791,12680
1606740794,12680
1606740797,12680
1606740800,12680
1606740803,12680
1606740806,12680
1606740809,12680
1606740812,12680
1606740815,12680
1606740818,12680
1606740821,12680
1606740824,12680
1606740827,12680
1606740830,12680
1606740833,12680
1606740836,12680
1606740839,12680
1606740842,12680
1606740845,12680
1606740848,12680
1606740851,12680
1606740854,12680
1606740857,12680
1606740860,12680
1606740863,12680
1606740866,12801
1606740869,12801
1606740872,12801
1606740875,12801
1606740878,12801
1606740881,12801
1606740884,12801
1606740887,12801
1606740890,12801
1606740893,12801
1606740896,12801
1606740899,12801
1606740902,12801
1606740905,12801
1606740908,12801
1606740911,12801
1606740914,12801
1606740917,12801
1606740920,12801
1606740923,12801
1606740926,12801
1606740929,12801
1606740932,12801
1606740935,12801
1606740938,16248
1606740941,16248
1606740944,16248
1606740947,16248
1606740950,16248
1606740953,16392
1606740958,16392
1606740959,16392
1606740962,16392
1606740965,16392
1606740968,16392
1606740971,16392
1606740974,16392
1606740977,16392
1606740980,16392
1606740983,16392
1606740986,16392
1606740989,16392
1606740992,16392
1606740995,16392
1606740998,16392
1606741001,16392
1606741004,16392
1606741007,16392
1606741010,16392
1606741013,16392
1606741016,16392
1606741019,16392
1606741022,16392
1606741025,16392
1606741028,16392
1606741031,16392
1606741034,16392
1606741037,16392
1606741040,16392
1606741043,16392
1606741046,16392
1606741049,16392
1606741052,16392
1606741055,16392
1606741058,16392
1606741061,16392
1606741064,16392
1606741067,16392
1606741070,16392
1606741073,16392
1606741076,16392
1606741079,16392
1606741082,16392
1606741085,16392
1606741088,16392
1606741091,16392
1606741094,16392
1606741097,16392
1606741100,16392
1606741103,16392
1606741106,16392
1606741109,16392
1606741112,16392
1606741115,16392
1606741118,16392
1606741121,16392
1606741124,16392
1606741127,16392
1606741130,16392
1606741133,16392
1606741136,16392
1606741139,16392
1606741142,16392
1606741145,16392
1606741148,16392
1606741151,16392
1606741154,16392
1606741157,16392
1606741160,16392
1606741163,16579
1606741166,16590
1606741169,16590
1606741172,16590
1606741175,16590
1606741178,16590
1606741181,16590
1606741184,16590
1606741187,16590
1606741190,16590
1606741193,16590
1606741196,16590
1606741199,16590
1606741202,16590
1606741205,16590
1606741208,16590
1606741211,16591
1606741214,16591
1606741217,16591
1606741220,16591
1606741223,16591
1606741226,16591
1606741229,16591
1606741232,16591
1606741235,16591
1606741238,16591
1606741241,16591
1606741244,16591
1606741247,16591
1606741250,16591
1606741253,16591
1606741256,16591
1606741259,16591
1606741262,16591
1606741265,16591
1606741268,16591
1606741271,16591
1606741274,16591
1606741277,16591
1606741280,16591
1606741283,16591
1606741286,16591
1606741289,16591
1606741292,16591
1606741295,16591
1606741298,16591
1606741301,16591
1606741304,16591
1606741307,16591
1606741310,16591
1606741313,16591
1606741316,16591
1606741319,16591
1606741322,16591
1606741325,16591
1606741328,16591
1606741331,16591
1606741334,16591
1606741337,16591
1606741340,16591
1606741343,16591
1606741346,16591
1606741349,16591
1606741352,16591
1606741355,16591
1606741358,16591
1606741361,16591
1606741364,16591
1606741367,16591
1606741370,16591
1606741373,16591
1606741376,16591
1606741379,16591
1606741382,16591
1606741385,16591
1606741388,16591
1606741391,16591
1606741394,16591
1606741397,16591
1606741400,16591
1606741403,16591
1606741406,16591
1606741409,16591
1606741412,16591
1606741415,16591
1606741418,16591
1606741421,16591
1606741424,16591
1606741427,16591
1606741430,16591
1606741433,16591
1606741436,16594
1606741439,16594
1606741442,16594
1606741445,16594
1606741448,16594
1606741451,16594
1606741454,16594
1606741457,17441
1606741460,17441
1606741463,17441
1606741466,17441
1606741469,17441
1606741472,17441
1606741475,17441
1606741478,17441
1606741481,17441
1606741484,17441
1606741487,17441
1606741490,17441
1606741493,17441
1606741496,17441
1606741499,17441
1606741502,17441
1606741505,17441
1606741508,17441
1606741511,17441
1606741514,17441
1606741517,17441
1606741520,17441
1606741523,17441
1606741526,17441
1606741529,17441
1606741532,17441
1606741535,17441
1606741538,17441
1606741541,17441
1606741544,17441
1606741547,17441
1606741550,17441
1606741553,17441
1606741556,17441
1606741559,17441
1606741562,17441
1606741565,17441
1606741568,17441
1606741571,17441
1606741574,17441
1606741577,17441
1606741580,17441
1606741583,17441
1606741586,17441
1606741589,17441
1606741592,17441
1606741595,17441
1606741598,17441
1606741601,17441
1606741604,17441
1606741607,17441
1606741610,17441
1606741613,17441
1606741616,17441
1606741619,17441
1606741622,17441
1606741625,17441
1606741628,17441
1606741631,17441
1606741634,17441
1606741637,17441
1606741640,17441
1606741643,17441
1606741646,17441
1606741649,17441
1606741652,17441
1606741655,17441
1606741658,17441
1606741661,17441
1606741664,17441
1606741667,17441
1606741670,17441
1606741673,17441
1606741676,17441
1606741679,20767
1606741682,20767
1606741685,20767
1606741688,20767
1606741691,20767
1606741694,20767
1606741697,20767
1606741700,20767
1606741703,20767
1606741706,20767
1606741709,20767
1606741712,20767
1606741715,20767
1606741718,20767
1606741721,20767
1606741724,20767
1606741727,20767
1606741730,20767
1606741733,20767
1606741736,20767
1606741739,20767
1606741742,20767
1606741745,20767
1606741748,20767
1606741751,20767
1606741754,20767
1606741757,20767
1606741760,20767
1606741763,20767
1606741766,20767
1606741769,20767
1606741772,20767
1606741775,20767
1606741778,20767
1606741781,20767
1606741784,20767
1606741787,20767
1606741790,20767
1606741793,20767
1606741796,20767
1606741799,20767
1606741802,20767
1606741805,20767
1606741808,20767
1606741811,20767
1606741814,20767
1606741817,20767
1606741820,20767
1606741823,20767
1606741826,20767
1606741829,20767
1606741832,20767
1606741835,20767
1606741838,20767
1606741841,20767
1606741844,20767
1606741847,20767
1606741850,20767
1606741853,20767
1606741856,20767
1606741859,20767
1606741862,20767
1606741865,20767
1606741868,20767
1606741871,20767
1606741874,20767
1606741877,20767
1606741880,20767
1606741883,20767
1606741886,20767
1606741889,20767
1606741892,20767
1606741895,20767
1606741898,20767
1606741901,20767
1606741904,20767
1606741907,20767
1606741910,20767
1606741913,20767
1606741916,20767
1606741919,20767
1606741922,20767
1606741925,20767
1606741928,20767
1606741931,20767
1606741934,20767
1606741937,20767
1606741940,20767
1606741943,20767
1606741946,20767
1606741949,20767
1606741952,20767
1606741955,20767
1606741958,20767
1606741961,20767
1606741964,20767
1606741967,20767
1606741970,20767
1606741973,20767
1606741976,20767
1606741979,20767
1606741982,20767
1606741985,20767
1606741988,20767
1606741991,20767
1606741994,20767
1606741997,20767
1606742000,20767
1606742003,20767
1606742006,20767
1606742009,20767
1606742012,20767
1606742015,20767
1606742018,20767
1606742021,20767
1606742024,20767
1606742027,20767
1606742030,20767
1606742033,20767
1606742036,20767
1606742039,20767
1606742042,20767
1606742045,20767
1606742048,20767
1606742051,20767
1606742054,20767
1606742057,20767
1606742060,20767
1606742063,20767
1606742066,20767
1606742069,20767
1606742072,20767
1606742075,20767
1606742078,20767
1606742081,20767
1606742084,20767
1606742087,20767
1606742090,20767
1606742093,20767
1606742096,20767
1606742099,20767
1606742102,20767
1606742105,20767
1606742108,20767
1606742111,20767
1606742114,20767
1606742117,20767
1606742120,20767
1606742123,20767
1606742126,20767
1606742129,20767
1606742132,20767
1606742135,20767
1606742138,20767
1606742141,20767
1606742144,20767
1606742147,20767
1606742150,20767
1606742153,20767
1606742156,20767
1606742159,20767
1606742162,20767
1606742165,20767
1606742168,20767
1606742171,20767
1606742174,20767
1606742177,20767
1606742180,20767
1606742183,20767
1606742186,20767
1606742189,20767
1606742192,20767
1606742195,20767
1606742198,20767
1606742201,20767
1606742204,20767
1606742207,20767
1606742210,20767
1606742213,20767
1606742216,20767
1606742219,20767
1606742222,20767
1606742225,20767
1606742228,20767
1606742231,20767
1606742234,20767
1606742237,20767
1606742240,20767
1606742243,20767
1606742246,20767
1606742249,20767
1606742252,20767
1606742255,20767
1606742258,20767
1606742261,20767
1606742264,20767
1606742267,20767
1606742270,20767
1606742273,20767
1606742276,20767
1606742279,20767
1606742282,20767
1606742285,20767
1606742288,20767
1606742291,20767
1606742294,20767
1606742297,20767
1606742300,20767
1606742303,20767
1606742306,20767
1606742309,20767
1606742312,20767
1606742315,20767
1606742318,20767
1606742321,20767
1606742324,20767
1606742327,20767
1606742330,20767
1606742333,20767
1606742336,20767
1606742339,20767
1606742342,20767
1606742345,20767
1606742348,20767
1606742351,20767
1606742354,20767
1606742357,20767
1606742360,20767
1606742363,20767
1606742366,20767
1606742369,20767
1606742372,20767
1606742375,20767
1606742378,20767
1606742381,20767
1606742384,20767
1606742387,20767
1606742390,20767
1606742393,20767
1606742396,20767
1606742399,20767
1606742402,20767
1606742405,20767
1606742408,20767
1606742411,20767
1606742414,20767
1606742417,20767
1606742420,20767
1606742423,20767
1606742426,20767
1606742429,20767
1606742432,20767
1606742435,20767
1606742438,20767
1606742441,20767
1606742444,20767
1606742447,20767
1606742450,20767
1606742453,20767
1606742456,20767
1606742459,20767
1606742462,20767
1606742465,20767
1606742468,20767
1606742471,20767
1606742474,20767
1606742477,20767
1606742480,20767
1606742483,20767
1606742486,20767
1606742489,20767
1606742492,20767
1606742495,20767
1606742498,20767
1606742501,20767
1606742504,20767
1606742507,20767
1606742510,20767
1606742513,20767
1606742516,20767
1606742519,20767
1606742522,20767
1606742525,20767
1606742528,20767
1606742531,20767
1606742534,20767
1606742537,20767
1606742540,20767
1606742543,20767
1606742546,20767
1606742549,20767
1606742552,20767
1606742555,20767
1606742558,20767
1606742561,20767
1606742564,20767
1606742567,20767
1606742570,20767
1606742573,20767
1606742576,20767
1606742579,20767
1606742582,20767
1606742585,20767
1606742588,20767
1606742591,20767
1606742594,20767
1606742597,20767
1606742600,20767
1606742603,20767
1606742606,20767
1606742609,20767
1606742612,20767
1606742615,20767
1606742618,20767
1606742621,20767
1606742624,20767
1606742627,20767
1606742630,20767
1606742633,20767
1606742636,20767
1606742639,20767
1606742642,20767
1606742645,20767
1606742648,20767
1606742651,20767
1606742654,20767
1606742657,20767
1606742660,20767
1606742663,20767
1606742666,20767
1606742669,20767
1606742672,20767
1606742675,20767
1606742678,20767
1606742681,20767
1606742684,20767
1606742687,20767
1606742690,20767
1606742693,20767
1606742696,20767
1606742699,20767
1606742702,20767
1606742705,20767
1606742708,20767
1606742711,20767
1606742714,20767
1606742717,20767
1606742720,20767
1606742723,20767
1606742726,20767
1606742729,20767
1606742732,20767
1606742735,20767
1606742738,20767
1606742741,20767
1606742744,20767
1606742747,20767
1606742750,20767
1606742753,20767
1606742756,20767
1606742759,20767
1606742762,20767
1606742765,20767
1606742768,20767
1606742771,20767
1606742774,20767
1606742777,20767
1606742780,20767
1606742783,20767
1606742786,20767
1606742789,20767
1606742792,20767
1606742795,20767
1606742798,20767
1606742801,20767
1606742804,20767
1606742807,20767
1606742810,20767
1606742813,20767
1606742816,20767
1606742819,20767
1606742822,20767
