t,value
1606739936,10
1606739939,10
1606739942,11
1606739945,12
1606739948,12
1606739951,12
1606739954,12
1606739957,12
1606739960,12
1606739963,12
1606739966,12
1606739969,12
1606739972,12
1606739975,12
1606739978,12
1606739981,12
1606739984,12
1606739987,12
1606739990,12
1606739993,10
1606739996,10
1606739999,10
1606740002,10
1606740005,10
1606740008,10
1606740011,10
1606740014,10
1606740017,10
1606740020,10
1606740023,10
1606740026,10
1606740029,10
1606740032,10
1606740035,13
1606740038,13
1606740041,13
1606740044,13
1606740047,13
1606740050,13
1606740053,13
1606740056,13
1606740059,13
1606740062,13
1606740065,13
1606740068,13
1606740071,13
1606740074,13
1606740077,13
1606740080,13
1606740083,13
1606740086,13
1606740089,13
1606740092,13
1606740095,13
1606740098,13
1606740101,13
1606740104,13
1606740107,13
1606740110,13
1606740113,13
1606740116,13
1606740119,13
1606740122,13
1606740125,13
1606740128,13
1606740131,13
1606740134,13
1606740137,13
1606740140,13
1606740143,13
1606740146,13
1606740149,13
1606740152,13
1606740155,13
1606740158,13
1606740161,13
1606740164,13
1606740167,13
1606740170,13
1606740173,13
1606740176,13
1606740179,13
1606740182,13
1606740185,13
1606740188,13
1606740191,13
1606740194,13
1606740197,13
1606740200,13
1606740203,13
1606740206,13
1606740209,13
1606740212,13
1606740215,13
1606740218,13
1606740221,13
1606740224,13
1606740227,13
1606740230,13
1606740233,13
1606740236,13
1606740239,13
1606740242,13
1606740245,13
1606740248,13
1606740251,13
1606740254,13
1606740257,14
1606740260,14
1606740263,14
1606740266,14
1606740269,14
1606740272,14
1606740275,14
1606740278,14
1606740281,14
1606740284,14
1606740287,14
1606740290,14
1606740293,14
1606740296,14
1606740299,14
1606740302,14
1606740305,14
1606740308,14
1606740311,14
1606740314,14
1606740317,14
1606740320,14
1606740323,14
1606740326,14
1606740329,14
1606740332,14
1606740335,14
1606740338,14
1606740341,14
1606740344,14
1606740347,14
1606740350,14
1606740353,14
1606740356,14
1606740359,14
1606740362,14
1606740365,14
1606740368,14
1606740371,14
1606740374,14
1606740377,14
1606740380,14
1606740383,14
1606740386,14
1606740389,14
1606740392,14
1606740395,14
1606740398,14
1606740401,14
1606740404,14
1606740407,14
1606740410,14
1606740413,14
1606740416,14
1606740419,14
1606740422,14
1606740425,14
1606740428,14
1606740431,14
1606740434,14
1606740437,14
1606740440,14
1606740443,14
1606740446,14
1606740449,14
1606740452,14
1606740455,14
1606740458,14
1606740461,14
1606740464,14
1606740467,14
1606740470,14
1606740473,14
1606740476,14
1606740479,14
1606740482,14
1606740485,14
1606740488,14
1606740491,14
1606740494,14
1606740497,14
1606740500,14
1606740503,14
1606740506,14
1606740509,14
1606740512,14
1606740515,14
1606740518,14
1606740521,14
1606740524,14
1606740527,14
1606740530,14
1606740533,14
1606740536,14
1606740539,14
1606740542,14
1606740545,14
1606740548,14
1606740551,14
1606740554,14
1606740557,14
1606740560,14
1606740563,14
1606740566,14
1606740569,14
1606740572,14
1606740575,14
1606740578,14
1606740581,14
1606740584,14
1606740587,14
1606740590,14
1606740593,14
1606740596,14
1606740599,14
1606740602,14
1606740605,14
1606740608,14
1606740611,14
1606740614,14
1606740617,14
1606740620,14
1606740623,14
1606740626,14
1606740629,14
1606740632,14
1606740635,14
1606740638,14
1606740641,14
1606740644,14
1606740647,14
1606740650,14
1606740653,14
1606740656,14
1606740659,14
1606740662,14
1606740665,14
1606740668,14
1606740671,14
1606740674,14
1606740677,14
1606740680,14
1606740683,14
1606740686,14
1606740689,14
1606740692,14
1606740695,14
1606740698,14
1606740701,14
1606740704,14
1606740707,14
1606740710,14
1606740713,14
1606740716,14
1606740719,14
1606740722,14
1606740725,14
1606740728,14
1606740731,14
1606740734,14
1606740737,14
1606740740,14
1606740743,14
1606740746,14
1606740749,14
1606740752,14
1606740755,14
1606740758,14
1606740761,14
1606740764,14
1606740767,14
1606740770,14
1606740773,14
1606740776,14
1606740779,14
1606740782,14
1606740785,14
1606740788,14
1606740791,14
1606740794,14
1606740797,14
1606740800,14
1606740803,14
1606740806,14
1606740809,14
1606740812,14
1606740815,14
1606740818,14
1606740821,14
1606740824,14
1606740827,14
1606740830,14
1606740833,14
1606740836,14
1606740839,14
1606740842,14
1606740845,14
1606740848,14
1606740851,14
1606740854,14
1606740857,14
1606740860,14
1606740863,14
1606740866,14
1606740869,14
1606740872,14
1606740875,14
1606740878,14
1606740881,14
1606740884,14
1606740887,14
1606740890,14
1606740893,14
1606740896,14
1606740899,14
1606740902,14
1606740905,14
1606740908,14
1606740911,14
1606740914,14
1606740917,14
1606740920,14
1606740923,14
1606740926,14
