t,value
1606739936,9956
1606739939,9998
1606739942,10221
1606739945,10375
1606739948,10450
1606739951,10450
1606739954,10532
1606739957,10532
1606739960,10532
1606739963,10532
1606739966,10532
1606739969,10532
1606739972,10532
1606739975,10532
1606739978,10532
1606739981,10532
1606739984,10532
1606739987,10532
1606739990,10532
1606739993,9940
1606739996,9940
1606739999,9940
1606740002,9940
1606740005,9940
1606740008,9940
1606740011,9940
1606740014,9940
1606740017,9940
1606740020,9940
1606740023,9940
1606740026,9940
1606740029,9940
1606740032,9940
1606740035,11464
1606740038,11551
1606740041,11551
1606740044,11551
1606740047,11551
1606740050,11551
1606740053,12401
1606740056,12401
1606740059,12401
1606740062,12401
1606740065,12401
1606740068,12401
1606740071,12442
1606740074,12442
1606740077,12442
1606740080,12442
1606740083,12442
1606740086,12442
1606740089,12442
1606740092,12442
1606740095,12442
1606740098,12442
1606740101,12442
1606740104,12442
1606740107,12442
1606740110,12442
1606740113,12442
1606740116,12442
1606740119,12442
1606740122,12442
1606740125,12442
1606740128,12442
1606740131,12442
1606740134,12442
1606740137,12442
1606740140,12442
1606740143,12442
1606740146,12442
1606740149,12442
1606740152,12442
1606740155,12442
1606740158,12442
1606740161,12442
1606740164,12442
1606740167,12442
1606740170,12442
1606740173,12442
1606740176,12442
1606740179,12442
1606740182,12442
1606740185,12442
1606740188,12442
1606740191,12442
1606740194,12442
1606740197,12442
1606740200,12442
1606740203,12442
1606740206,12442
1606740209,12442
1606740212,12442
1606740215,12442
1606740218,12442
1606740221,12442
1606740224,12442
1606740227,12442
1606740230,12442
1606740233,12442
1606740236,12442
1606740239,12442
1606740242,12442
1606740245,12442
1606740248,12442
1606740251,12442
1606740254,12442
1606740257,12679
1606740260,12681
1606740263,12681
1606740266,12681
1606740269,12681
1606740272,12681
1606740275,12681
1606740278,12681
1606740281,12681
1606740284,12681
1606740287,12681
1606740290,12681
1606740293,12681
1606740296,12681
1606740299,12681
1606740302,12681
1606740305,12681
1606740308,12681
1606740311,12681
1606740314,12681
1606740317,12681
1606740320,12681
1606740323,12681
1606740326,12681
1606740329,12681
1606740332,12681
1606740335,12681
1606740338,12681
1606740341,12681
1606740344,12681
1606740347,12681
1606740350,12681
1606740353,12681
1606740356,12681
1606740359,12681
1606740362,12681
1606740365,12681
1606740368,12681
1606740371,12681
1606740374,12681
1606740377,12681
1606740380,12681
1606740383,12681
1606740386,12681
1606740389,12681
1606740392,12681
1606740395,12681
1606740398,12681
1606740401,12681
1606740404,12681
1606740407,12681
1606740410,12681
1606740413,12681
1606740416,12681
1606740419,12681
1606740422,12681
1606740425,12681
1606740428,12681
1606740431,12681
1606740434,12681
1606740437,12681
1606740440,12681
1606740443,12681
1606740446,12681
1606740449,12681
1606740452,12681
1606740455,12681
1606740458,12681
1606740461,12681
1606740464,12681
1606740467,12681
1606740470,12681
1606740473,12681
1606740476,12681
1606740479,12681
1606740482,12681
1606740485,12681
1606740488,12681
1606740491,12681
1606740494,12681
1606740497,12681
1606740500,12681
1606740503,12681
1606740506,12681
1606740509,12681
1606740512,12681
1606740515,12681
1606740518,12681
1606740521,12681
1606740524,12681
1606740527,12681
1606740530,12681
1606740533,12681
1606740536,12681
1606740539,12681
1606740542,12681
1606740545,12681
1606740548,12681
1606740551,12681
1606740554,12681
1606740557,12681
1606740560,12681
1606740563,12681
1606740566,12681
1606740569,12681
1606740572,12681
1606740575,12681
1606740578,12681
1606740581,12681
1606740584,12681
1606740587,12681
1606740590,12681
1606740593,12681
1606740596,12681
1606740599,12681
1606740602,12681
1606740605,12681
1606740608,12681
1606740611,12681
1606740614,12681
1606740617,12681
1606740620,12681
1606740623,12681
1606740626,12681
1606740629,12681
1606740632,12681
1606740635,12681
1606740638,12681
1606740641,12681
1606740644,12681
1606740647,12681
