t,value
1606739936,1429504
1606739939,1441792
1606739942,1446272
1606739945,1454336
1606739948,1457792
1606739951,1478272
1606739954,1494400
1606739957,1494400
1606739960,1494400
1606739963,1494400
1606739966,1494400
1606739969,1494400
1606739972,1494400
1606739975,1494400
1606739978,1494400
1606739981,1494400
1606739984,1494400
1606739987,1494400
1606739990,1494400
1606739993,1494400
1606739996,1494400
1606739999,1494400
1606740002,1494400
1606740005,1494400
1606740008,1494400
1606740011,1494400
1606740014,1494400
1606740017,1494400
1606740020,1494400
1606740023,1494400
1606740026,1494400
1606740029,1494400
1606740032,1498880
1606740035,1505536
1606740038,1506816
1606740041,1506816
1606740044,1506816
1606740047,1506816
1606740050,1506816
1606740053,1506816
1606740056,1506816
1606740059,1506816
1606740062,1506816
1606740065,1506816
1606740068,1506816
1606740071,1506816
1606740074,1506816
1606740077,1506816
1606740080,1506816
1606740083,1506816
1606740086,1506816
1606740089,1506816
1606740092,1506816
1606740095,1506816
1606740098,1506816
1606740101,1506816
1606740104,1506816
1606740107,1506816
1606740110,1506816
1606740113,1506816
1606740116,1506816
1606740119,1506816
1606740122,1506816
1606740125,1506816
1606740128,1506816
1606740131,1506816
1606740134,1506816
1606740137,1506816
1606740140,1506816
1606740143,1506816
1606740146,1506816
1606740149,1506816
1606740152,1506816
1606740155,1506816
1606740158,1506816
1606740161,1506816
1606740164,1506816
1606740167,1506816
1606740170,1506816
1606740173,1506816
1606740176,1506816
1606740179,1506816
1606740182,1506816
1606740185,1506816
1606740188,1506816
1606740191,1506816
1606740194,1506816
1606740197,1506816
1606740200,1506816
1606740203,1506816
1606740206,1506816
1606740209,1506816
1606740212,1506816
1606740215,1506816
1606740218,1506816
1606740221,1506816
1606740224,1506816
1606740227,1506816
1606740230,1506816
1606740233,1507456
1606740236,1507456
1606740239,1507456
1606740242,1507456
1606740245,1507456
1606740248,1507456
1606740251,1507456
1606740254,1507456
1606740257,1507456
1606740260,1508736
1606740263,1508736
1606740266,1508736
1606740269,1508736
1606740272,1508736
1606740275,1508736
1606740278,1508736
1606740281,1508736
1606740284,1508736
1606740287,1508736
1606740290,1508736
1606740293,1508736
1606740296,1508736
1606740299,1508736
1606740302,1514624
1606740305,1514624
1606740308,1514624
1606740311,1514624
1606740314,1514624
1606740317,1514624
1606740320,1514624
1606740323,1514624
1606740326,1514624
1606740329,1514624
1606740332,1514624
1606740335,1514624
1606740338,1514624
1606740341,1514624
1606740344,1514624
1606740347,1514624
1606740350,1514624
1606740353,1514624
1606740356,1514624
1606740359,1514624
1606740362,1514624
1606740365,1514624
1606740368,1514624
1606740371,1514624
1606740374,1514624
1606740377,1514624
1606740380,1514624
1606740383,1514624
1606740386,1514624
1606740389,1514624
1606740392,1514624
1606740395,1514624
1606740398,1514624
1606740401,1514624
1606740404,1514624
1606740407,1514624
1606740410,1514624
1606740413,1514624
1606740416,1514624
1606740419,1514624
1606740422,1514624
1606740425,1514624
1606740428,1514624
1606740431,1514624
1606740434,1514624
1606740437,1514624
1606740440,1514624
1606740443,1514624
1606740446,1514624
1606740449,1514624
1606740452,1514624
1606740455,1514624
1606740458,1514624
1606740461,1514624
1606740464,1514624
1606740467,1514624
1606740470,1514624
1606740473,1514624
1606740476,1514624
