t,value
1606739936,3870208
1606739939,4389888
1606739942,4618112
1606739945,5022976
1606739948,5352192
1606739951,5535872
1606739954,6060416
1606739957,6069888
1606739960,6073088
1606739963,6110720
1606739966,6126208
1606739969,6130688
1606739972,6131456
1606739975,6168576
1606739978,6174592
1606739981,6180608
1606739984,6243840
1606739987,6243840
1606739990,6254464
1606739993,6260096
1606739996,6341632
1606739999,6346624
1606740002,6357504
1606740005,6360448
1606740008,5942272
1606740011,5953408
1606740014,6018176
1606740017,6038528
1606740020,6052096
1606740023,6081408
1606740026,6085248
1606740029,6118784
1606740032,6248832
1606740035,6697728
1606740038,6964864
1606740041,6979200
1606740044,7007744
1606740047,7007744
1606740050,7014144
1606740053,7105536
1606740056,7106560
1606740059,7106560
1606740062,7107328
1606740065,7107328
1606740068,7113728
1606740071,7179648
1606740074,7199744
1606740077,7200512
1606740080,7200512
1606740083,7200512
1606740086,7200512
1606740089,7204992
1606740092,7257472
1606740095,7262336
1606740098,7263872
1606740101,7297792
1606740104,7323776
1606740107,7329664
1606740110,7344896
1606740113,7430912
1606740116,7430912
1606740119,7441792
1606740122,7441792
1606740125,7443328
1606740128,7464192
1606740131,7506176
1606740134,7519232
1606740137,7523328
1606740140,7526528
1606740143,7526528
1606740146,7560192
1606740149,7570176
1606740152,7126400
1606740155,7130752
1606740158,7136128
1606740161,7137792
1606740164,7190400
1606740167,7190400
1606740170,7199872
1606740173,7261440
1606740176,7283200
1606740179,7297408
1606740182,7297408
1606740185,7304064
1606740188,7304064
1606740191,7356416
1606740194,7377536
1606740197,7382784
1606740200,7382784
1606740203,7388928
1606740206,7403904
1606740209,7403904
1606740212,7469568
1606740215,7469568
1606740218,7471104
1606740221,7471104
1606740224,7475328
1606740227,7475328
1606740230,7487616
1606740233,7800704
1606740236,7800704
1606740239,7802112
1606740242,7802112
1606740245,7802112
1606740248,7802112
1606740251,7823360
1606740254,7852288
1606740257,7883392
1606740260,8605568
1606740263,8607232
1606740266,8607232
1606740269,8607232
1606740272,8864128
1606740275,8864896
1606740278,8871296
1606740281,8871296
1606740284,8890368
1606740287,8890368
1606740290,8890368
1606740293,8952192
1606740296,8952192
1606740299,8952192
1606740302,9258496
1606740305,9259264
1606740308,9382016
1606740311,9431168
1606740314,9462144
1606740317,9462144
1606740320,9462144
1606740323,9464576
1606740326,9464576
1606740329,9476352
1606740332,9513472
1606740335,9513472
1606740338,9537792
1606740341,9537792
1606740344,9540736
1606740347,9540736
1606740350,9540736
1606740353,9579904
1606740356,9579904
1606740359,9579904
1606740362,9579904
1606740365,9579904
1606740368,9589376
1606740371,9597824
1606740374,9614208
1606740377,9614208
1606740380,9614208
1606740383,9614208
1606740386,9614208
1606740389,9615360
1606740392,9650944
1606740395,9650944
1606740398,9661440
1606740401,9661440
1606740404,9739904
1606740407,9748352
1606740410,9779328
1606740413,9868800
1606740416,9868800
1606740419,9885056
1606740422,9906304
1606740425,9930496
1606740428,9930496
1606740431,10056192
1606740434,10065920
1606740437,10066816
1606740440,10076160
1606740443,10125824
1606740446,10182144
1606740449,10182144
1606740452,10212224
1606740455,10212224
1606740458,10222080
1606740461,10223232
1606740464,10224256
1606740467,10230272
1606740470,10416896
1606740473,10516736
1606740476,10516736
1606740479,10516736
1606740482,10538624
1606740485,10538624
1606740488,10662528
1606740491,10753792
1606740494,10769792
1606740497,10769792
1606740500,10799488
1606740503,10815104
1606740506,10815104
1606740509,10815104
1606740512,10842368
1606740515,10842368
1606740518,10842368
1606740521,10848256
1606740524,10861824
1606740527,10923648
1606740530,10952832
1606740533,10990336
1606740536,10992128
1606740539,11098368
1606740542,11104000
1606740545,11112192
1606740548,11132032
1606740551,11132800
1606740554,11144320
1606740557,11145984
1606740560,11145984
1606740563,11146752
1606740566,11146752
1606740569,11272448
1606740572,11329664
1606740575,11329664
1606740578,11329664
1606740581,11329664
1606740584,11348352
1606740587,11348352
1606740590,11352576
1606740593,11442432
1606740596,11442432
1606740599,11442432
1606740602,11443200
1606740605,11443200
1606740608,11443200
1606740611,11443200
1606740614,11556736
1606740617,11556736
1606740620,11556736
1606740623,11557376
1606740626,11557376
1606740629,11557376
1606740632,11591680
1606740635,11591680
1606740638,11591680
1606740641,11591680
1606740644,11594240
1606740647,11594240
1606740650,11594240
1606740653,11629824
1606740656,11814656
1606740659,12883840
1606740662,13702144
1606740665,13702144
1606740668,13702144
1606740671,13702144
1606740674,13728128
1606740677,13728128
1606740680,13728128
1606740683,13732992
1606740686,13732992
1606740689,13732992
1606740692,13779072
1606740695,13780352
1606740698,13780352
