t,value
1606739936,12839936
1606739939,14772096
1606739942,15528704
1606739945,16343424
1606739948,16685440
1606739951,16969600
1606739954,18879872
1606739957,18923008
1606739960,18934016
1606739963,18942208
1606739966,18948736
1606739969,18952320
1606739972,18966272
1606739975,18982528
1606739978,18983552
1606739981,19022464
1606739984,19228032
1606739987,19236352
1606739990,19263104
1606739993,19303040
1606739996,19319936
1606739999,19320960
1606740002,19322112
1606740005,19323520
1606740008,16783616
1606740011,16787328
1606740014,16791424
1606740017,16801664
1606740020,16853120
1606740023,16856832
1606740026,16859008
1606740029,16919168
1606740032,17933440
1606740035,21161216
1606740038,21600256
1606740041,21600256
1606740044,21659392
1606740047,21664000
1606740050,21664000
1606740053,22031104
1606740056,22036864
1606740059,22038144
1606740062,22044544
1606740065,22078720
1606740068,22088320
1606740071,22336640
1606740074,22455808
1606740077,22455808
1606740080,22455808
1606740083,22455808
1606740086,22455808
1606740089,22455808
1606740092,23084160
1606740095,23084160
1606740098,23092608
1606740101,23228416
1606740104,23293568
1606740107,23293568
1606740110,23345536
1606740113,23775872
1606740116,23775872
1606740119,23827328
1606740122,23846912
1606740125,23858048
1606740128,24020992
1606740131,24179200
1606740134,24348800
1606740137,24403328
1606740140,24412416
1606740143,24412416
1606740146,24414592
1606740149,24489344
1606740152,23632256
1606740155,23669888
1606740158,23673856
1606740161,23682560
1606740164,23717376
1606740167,23717376
1606740170,23796096
1606740173,24013056
1606740176,24013056
1606740179,24056448
1606740182,24070272
1606740185,24084608
1606740188,24088448
1606740191,24299264
1606740194,24479744
1606740197,24482816
1606740200,24483840
1606740203,24490368
1606740206,24505216
1606740209,24505216
1606740212,24671232
1606740215,24671232
1606740218,24671232
1606740221,24671232
1606740224,24677760
1606740227,24677760
1606740230,24682368
1606740233,25173376
1606740236,25174912
1606740239,25174912
1606740242,25174912
1606740245,25178624
1606740248,25198976
1606740251,25324160
1606740254,25429120
1606740257,25635840
1606740260,27845248
1606740263,27865472
1606740266,27865472
1606740269,27877888
1606740272,28563840
1606740275,28563840
1606740278,28563840
1606740281,28563840
1606740284,28565376
1606740287,28568320
1606740290,28568320
1606740293,28669696
1606740296,28669696
1606740299,28669696
1606740302,29297024
1606740305,29325952
1606740308,29677824
1606740311,29730816
1606740314,29848192
1606740317,29902720
1606740320,29921792
1606740323,29923584
1606740326,29923584
1606740329,30028800
1606740332,30115200
1606740335,30115200
1606740338,30115200
1606740341,30115200
1606740344,30159488
1606740347,30159488
1606740350,30159488
1606740353,30245376
1606740356,30245376
1606740359,30245376
1606740362,30250624
1606740365,30250624
1606740368,30250624
1606740371,30311424
1606740374,30433024
1606740377,30433920
1606740380,30433920
1606740383,30433920
1606740386,30433920
1606740389,30433920
1606740392,30554112
1606740395,30554112
1606740398,30555776
1606740401,30558208
1606740404,30912640
1606740407,30936576
1606740410,31028736
1606740413,31511424
