t,value
1606739936,9663208
1606739939,10438640
1606739942,10870472
1606739945,12346760
1606739948,13770016
1606739951,14957568
1606739954,16002256
1606739957,16002256
1606739960,16002256
1606739963,16002256
1606739966,16002256
1606739969,16002256
1606739972,16002256
1606739975,16002256
1606739978,16002256
1606739981,16002256
1606739984,16003464
1606739987,16003464
1606739990,16003464
1606739993,16003464
1606739996,16003464
1606739999,16003464
1606740002,16003464
1606740005,16003464
1606740008,16003464
1606740011,16003464
1606740014,16003464
1606740017,16003464
1606740020,16003464
1606740023,16003464
1606740026,16003464
1606740029,16004072
1606740032,16215784
1606740035,17046176
1606740038,17206672
1606740041,17206672
1606740044,17206672
1606740047,17206672
1606740050,17206672
1606740053,17207224
1606740056,17207224
1606740059,17207224
1606740062,17207224
1606740065,17207224
1606740068,17207224
1606740071,17207224
1606740074,17207224
1606740077,17207224
1606740080,17207224
1606740083,17207224
1606740086,17207224
1606740089,17207224
1606740092,17209240
1606740095,17209240
1606740098,17209240
1606740101,17247296
1606740104,17247296
1606740107,17247296
1606740110,17247296
1606740113,17247296
1606740116,17247296
1606740119,17247296
1606740122,17247296
1606740125,17247296
1606740128,17247296
1606740131,17247296
1606740134,17247296
1606740137,17247848
1606740140,17247848
1606740143,17247848
1606740146,17247848
1606740149,17247848
1606740152,17247848
1606740155,17247848
1606740158,17247848
1606740161,17247848
1606740164,17247848
1606740167,17247848
1606740170,17247848
1606740173,17247848
1606740176,17247848
1606740179,17247848
1606740182,17247848
1606740185,17247848
1606740188,17247848
1606740191,17247848
1606740194,17247848
1606740197,17247848
1606740200,17247848
1606740203,17247848
1606740206,17247848
1606740209,17247848
1606740212,17248872
1606740215,17248872
1606740218,17248872
1606740221,17248872
1606740224,17248872
1606740227,17248872
1606740230,17248872
1606740233,17321096
1606740236,17321096
1606740239,17321096
1606740242,17321096
1606740245,17321096
1606740248,17321096
1606740251,17321096
1606740254,17321096
1606740257,17350528
1606740260,17440416
1606740263,17440416
1606740266,17440416
1606740269,17440416
1606740272,17463152
1606740275,17463152
1606740278,17463152
1606740281,17463152
1606740284,17463152
1606740287,17463152
1606740290,17463152
1606740293,17463152
1606740296,17463152
1606740299,17463152
1606740302,18136856
1606740305,18136856
1606740308,18138512
1606740311,18138512
1606740314,18138512
1606740317,18138512
1606740320,18138512
1606740323,18138512
1606740326,18138512
1606740329,18138512
1606740332,18138512
1606740335,18138512
1606740338,18138512
1606740341,18138512
1606740344,18138512
1606740347,18138512
1606740350,18138512
1606740353,18139064
1606740356,18139064
1606740359,18139064
1606740362,18139064
1606740365,18139064
1606740368,18139064
1606740371,18139064
1606740374,18139064
1606740377,18139064
1606740380,18139064
1606740383,18139064
1606740386,18139064
1606740389,18139064
1606740392,18139064
1606740395,18139064
1606740398,18139064
1606740401,18139064
1606740404,18140168
1606740407,18156320
1606740410,18156320
1606740413,18166920
1606740416,18166920
1606740419,18166920
1606740422,18166920
1606740425,18166920
1606740428,18166920
1606740431,18168576
1606740434,18168576
1606740437,18168576
1606740440,18168576
1606740443,18169128
1606740446,18169128
1606740449,18169128
1606740452,18169128
1606740455,18169128
1606740458,18169128
1606740461,18169128
1606740464,18169128
1606740467,18169128
1606740470,18170816
1606740473,18193000
1606740476,18193000
1606740479,18193000
1606740482,18193000
1606740485,18193000
1606740488,18193000
1606740491,18193552
1606740494,18193552
1606740497,18193552
1606740500,18193552
1606740503,18193552
1606740506,18193552
1606740509,18193552
1606740512,18193552
1606740515,18193552
1606740518,18193552
1606740521,18193552
1606740524,18193552
1606740527,18193552
1606740530,18193552
1606740533,18193552
1606740536,18193552
1606740539,18229440
1606740542,18229440
1606740545,18232688
1606740548,18232688
1606740551,18232688
1606740554,18232688
1606740557,18232688
1606740560,18232688
1606740563,18232688
1606740566,18232688
1606740569,18233240
1606740572,18233240
1606740575,18233240
1606740578,18233240
1606740581,18233240
1606740584,18233240
1606740587,18233240
1606740590,18233240
1606740593,18233240
1606740596,18233240
1606740599,18233240
1606740602,18233240
1606740605,18233240
1606740608,18233240
1606740611,18233240
1606740614,18233240
1606740617,18233240
1606740620,18233240
1606740623,18233240
1606740626,18233240
1606740629,18233240
1606740632,18233240
1606740635,18233240
1606740638,18233240
1606740641,18233240
1606740644,18233240
1606740647,18233240
1606740650,18233240
1606740653,18233240
1606740656,18355144
1606740659,18368712
1606740662,18377072
1606740665,18377072
1606740668,18377072
1606740671,18377072
1606740674,18383688
1606740677,18383688
1606740680,18383688
1606740683,18383688
1606740686,18383688
1606740689,18383688
1606740692,18383688
1606740695,18383688
1606740698,18383688
1606740701,18383688
1606740704,18383688
1606740707,18383688
1606740710,18383688
1606740713,18383688
1606740716,18383688
1606740719,18383688
1606740722,18383688
1606740725,18383688
1606740728,18383688
1606740731,18383688
1606740734,18383688
1606740737,18383688
1606740740,18383688
1606740743,18383688
1606740746,18383688
1606740749,18383688
1606740752,18383688
1606740755,18383688
1606740758,18383688
1606740761,18383688
1606740764,18383688
1606740767,18383688
1606740770,18383688
1606740773,18383688
1606740776,18383688
1606740779,18383688
1606740782,18383688
1606740785,18383688
1606740788,18383688
1606740791,18383688
1606740794,18383688
1606740797,18383688
1606740800,18383688
1606740803,18383688
1606740806,18383688
1606740809,18383688
1606740812,18383688
1606740815,18383688
1606740818,18383688
1606740821,18383688
1606740824,18383688
1606740827,18383688
1606740830,18383688
1606740833,18383688
1606740836,18383688
1606740839,18383688
1606740842,18383688
1606740845,18383688
1606740848,18383688
1606740851,18383688
1606740854,18384192
1606740857,18384192
1606740860,18384192
1606740863,18393752
1606740866,18422168
1606740869,18422168
1606740872,18422168
1606740875,18422168
1606740878,18442272
1606740881,18442272
1606740884,18442272
1606740887,18442272
1606740890,18442272
1606740893,18442272
1606740896,18442272
1606740899,18442272
1606740902,18442272
1606740905,18510824
1606740908,18629968
1606740911,18629968
1606740914,18629968
1606740917,18629968
1606740920,18629968
1606740923,18629968
1606740926,18629968
1606740929,18650200
1606740932,18650200
1606740935,18650200
1606740938,18650200
1606740941,18650200
1606740944,18650200
1606740947,18650200
1606740950,18650200
1606740953,18650200
1606740958,18438664
1606740959,18438664
1606740962,18438664
1606740965,18438664
1606740968,18438664
1606740971,18438664
1606740974,18438664
1606740977,18438664
1606740980,18438664
1606740983,18438664
1606740986,18438664
1606740989,18438664
1606740992,18438664
1606740995,18438664
1606740998,18438664
1606741001,18438664
1606741004,18438664
1606741007,18438664
1606741010,18438664
1606741013,18438664
1606741016,18438664
1606741019,18438664
1606741022,18438664
1606741025,18438664
1606741028,18438664
1606741031,18438664
1606741034,18460296
1606741037,18460296
1606741040,18460296
1606741043,18460296
1606741046,18460296
1606741049,18460296
1606741052,18460296
1606741055,18460296
1606741058,18460296
1606741061,18460296
1606741064,18460296
1606741067,18460296
1606741070,18460296
1606741073,18460296
1606741076,18460296
1606741079,18463000
1606741082,18463000
1606741085,18463000
1606741088,18463000
1606741091,18463000
1606741094,18463000
1606741097,18463000
1606741100,18463000
1606741103,18463000
1606741106,18463000
1606741109,18463000
1606741112,18463000
1606741115,18463000
1606741118,18463000
1606741121,18463000
1606741124,18463000
1606741127,18463000
1606741130,18463000
1606741133,18463000
1606741136,18463000
1606741139,18463000
1606741142,18463000
1606741145,18463000
1606741148,18463000
1606741151,18463000
1606741154,18463000
1606741157,18463000
1606741160,18463000
1606741163,18479328
1606741166,18511168
1606741169,18511168
1606741172,18511168
1606741175,18511168
1606741178,18511168
