t,value
1606739936,25165824
1606739939,78643200
1606739942,102760448
1606739945,30408704
1606739948,89128960
1606739951,40894464
1606739954,87031808
1606739957,87031808
1606739960,88080384
1606739963,89128960
1606739966,90177536
1606739969,90177536
1606739972,92274688
1606739975,92274688
1606739978,93323264
1606739981,94371840
1606739984,106954752
1606739987,108003328
1606739990,109051904
1606739993,120586240
1606739996,121634816
1606739999,121634816
1606740002,123731968
1606740005,124780544
1606740008,124780544
1606740011,125829120
1606740014,126877696
1606740017,127926272
1606740020,127926272
1606740023,128974848
1606740026,130023424
1606740029,131072000
1606740032,147849216
1606740035,39845888
1606740038,54525952
1606740041,55574528
1606740044,69206016
1606740047,69206016
1606740050,70254592
1606740053,84934656
1606740056,84934656
1606740059,85983232
1606740062,88080384
1606740065,89128960
1606740068,89128960
1606740071,92274688
1606740074,93323264
1606740077,94371840
1606740080,94371840
1606740083,95420416
1606740086,96468992
1606740089,97517568
1606740092,101711872
1606740095,101711872
1606740098,102760448
1606740101,104857600
1606740104,119537664
1606740107,119537664
1606740110,120586240
1606740113,135266304
1606740116,136314880
1606740119,137363456
1606740122,138412032
1606740125,139460608
1606740128,141557760
1606740131,145752064
1606740134,146800640
1606740137,148897792
1606740140,149946368
1606740143,150994944
1606740146,152043520
1606740149,153092096
1606740152,157286400
1606740155,159383552
1606740158,160432128
1606740161,161480704
1606740164,175112192
1606740167,176160768
1606740170,178257920
1606740173,192937984
1606740176,192937984
1606740179,195035136
1606740182,195035136
1606740185,197132288
1606740188,197132288
1606740191,201326592
1606740194,203423744
1606740197,203423744
1606740200,204472320
1606740203,205520896
1606740206,206569472
1606740209,206569472
1606740212,210763776
1606740215,211812352
1606740218,212860928
1606740221,213909504
1606740224,226492416
1606740227,227540992
1606740230,228589568
1606740233,253755392
1606740236,254803968
1606740239,255852544
1606740242,256901120
1606740245,257949696
1606740248,258998272
1606740251,261095424
1606740254,263192576
1606740257,267386880
1606740260,24117248
1606740263,25165824
1606740266,25165824
1606740269,26214400
1606740272,56623104
1606740275,56623104
1606740278,57671680
1606740281,58720256
1606740284,72351744
1606740287,72351744
1606740290,73400320
1606740293,89128960
1606740296,89128960
1606740299,90177536
1606740302,115343360
1606740305,116391936
1606740308,125829120
1606740311,128974848
1606740314,131072000
1606740317,132120576
1606740320,133169152
1606740323,133169152
1606740326,134217728
1606740329,137363456
1606740332,140509184
1606740335,141557760
1606740338,142606336
1606740341,142606336
1606740344,156237824
1606740347,156237824
1606740350,157286400
1606740353,174063616
1606740356,175112192
1606740359,176160768
1606740362,176160768
1606740365,177209344
1606740368,178257920
1606740371,181403648
1606740374,182452224
1606740377,183500800
1606740380,183500800
1606740383,184549376
1606740386,185597952
1606740389,185597952
1606740392,189792256
1606740395,190840832
1606740398,191889408
1606740401,191889408
1606740404,214958080
1606740407,217055232
1606740410,221249536
1606740413,245366784
1606740416,246415360
1606740419,247463936
1606740422,249561088
1606740425,252706816
1606740428,253755392
1606740431,278921216
1606740434,291504128
1606740437,292552704
1606740440,295698432
1606740443,308281344
1606740446,10485760
1606740449,11534336
1606740452,15728640
1606740455,16777216
1606740458,16777216
1606740461,17825792
1606740464,31457280
1606740467,32505856
1606740470,60817408
1606740473,85983232
1606740476,87031808
1606740479,88080384
1606740482,90177536
1606740485,91226112
1606740488,105906176
1606740491,136314880
