t,value
1606739936,30798848
1606739939,30798848
1606739942,30798848
1606739945,38957056
1606739948,38957056
1606739951,39928320
1606739954,39928320
1606739957,39928320
1606739960,39928320
1606739963,39928320
1606739966,39928320
1606739969,39928320
1606739972,39928320
1606739975,39928320
1606739978,39928320
1606739981,39928320
1606739984,39928320
1606739987,39928320
1606739990,39928320
1606739993,39928320
1606739996,39928320
1606739999,39928320
1606740002,39928320
1606740005,39928320
1606740008,39928320
1606740011,39928320
1606740014,39928320
1606740017,39928320
1606740020,39928320
1606740023,39928320
1606740026,39928320
1606740029,39928320
1606740032,39928320
1606740035,53224448
1606740038,53224448
1606740041,53224448
1606740044,53224448
1606740047,53224448
1606740050,53224448
1606740053,53224448
1606740056,53224448
1606740059,53224448
1606740062,53224448
1606740065,53224448
1606740068,53224448
1606740071,53224448
1606740074,53224448
1606740077,53224448
1606740080,53224448
1606740083,53224448
1606740086,53224448
1606740089,53224448
1606740092,53224448
1606740095,53224448
1606740098,53224448
1606740101,53224448
1606740104,53224448
1606740107,53224448
1606740110,53224448
1606740113,53224448
1606740116,53224448
1606740119,53224448
1606740122,53224448
1606740125,53224448
1606740128,53224448
1606740131,53224448
1606740134,53224448
1606740137,53224448
1606740140,53224448
1606740143,53224448
1606740146,53224448
1606740149,53224448
1606740152,53224448
1606740155,53224448
1606740158,53224448
1606740161,53224448
1606740164,53224448
1606740167,53224448
1606740170,53224448
1606740173,53224448
1606740176,53224448
1606740179,53224448
1606740182,53224448
1606740185,53224448
1606740188,53224448
1606740191,53224448
1606740194,53224448
1606740197,53224448
1606740200,53224448
1606740203,53224448
1606740206,53224448
1606740209,53224448
1606740212,53224448
1606740215,53224448
1606740218,53224448
1606740221,53224448
1606740224,53224448
1606740227,53224448
1606740230,53224448
1606740233,53224448
1606740236,53224448
1606740239,53224448
1606740242,53224448
1606740245,53224448
1606740248,53224448
1606740251,53224448
1606740254,53224448
1606740257,53224448
1606740260,52620416
1606740263,52620416
1606740266,52620416
1606740269,52620416
1606740272,52620416
1606740275,52620416
1606740278,52620416
1606740281,52620416
1606740284,52620416
1606740287,52620416
1606740290,52620416
1606740293,52620416
1606740296,52620416
1606740299,52620416
1606740302,52620416
1606740305,52620416
1606740308,52620416
1606740311,52620416
1606740314,52620416
1606740317,52620416
1606740320,52620416
1606740323,52620416
1606740326,52620416
1606740329,52620416
1606740332,52620416
1606740335,52620416
1606740338,52620416
1606740341,52620416
1606740344,52620416
1606740347,52620416
1606740350,52620416
1606740353,52620416
1606740356,52620416
1606740359,52620416
1606740362,52620416
1606740365,52620416
1606740368,52620416
1606740371,52620416
1606740374,52620416
1606740377,52620416
1606740380,52620416
1606740383,52620416
1606740386,52620416
1606740389,52620416
1606740392,52620416
1606740395,52620416
1606740398,52620416
1606740401,52620416
1606740404,52620416
1606740407,52620416
1606740410,52620416
1606740413,52620416
1606740416,52620416
1606740419,52620416
1606740422,52620416
1606740425,52620416
1606740428,52620416
1606740431,52620416
1606740434,52620416
1606740437,52620416
1606740440,52620416
1606740443,52620416
1606740446,53224448
1606740449,53224448
1606740452,53224448
1606740455,53224448
1606740458,53224448
1606740461,53224448
1606740464,53224448
1606740467,53224448
1606740470,53224448
1606740473,53224448
1606740476,53224448
1606740479,53224448
1606740482,53224448
1606740485,53224448
1606740488,53224448
1606740491,53224448
1606740494,53224448
1606740497,53224448
1606740500,53224448
1606740503,53224448
1606740506,53224448
1606740509,53224448
1606740512,53224448
1606740515,53224448
1606740518,53224448
1606740521,53224448
1606740524,53224448
1606740527,53224448
1606740530,53224448
1606740533,53224448
1606740536,53224448
1606740539,53224448
1606740542,53224448
1606740545,53224448
1606740548,53224448
1606740551,53224448
1606740554,53224448
1606740557,53224448
1606740560,53224448
1606740563,53224448
1606740566,53224448
1606740569,53224448
1606740572,53224448
1606740575,53224448
1606740578,53224448
1606740581,53224448
1606740584,53224448
1606740587,53224448
1606740590,53224448
1606740593,53224448
1606740596,53224448
1606740599,53224448
1606740602,53224448
1606740605,53224448
1606740608,53224448
1606740611,53224448
1606740614,53224448
1606740617,53224448
1606740620,53224448
1606740623,53224448
1606740626,53224448
1606740629,53224448
1606740632,53224448
1606740635,53224448
1606740638,53224448
1606740641,53224448
1606740644,53224448
1606740647,53224448
1606740650,53224448
1606740653,53224448
1606740656,61613056
1606740659,68976640
1606740662,77365248
1606740665,77365248
1606740668,77365248
1606740671,77365248
1606740674,77365248
1606740677,77365248
1606740680,95687680
1606740683,95687680
1606740686,95687680
1606740689,95687680
1606740692,95687680
1606740695,95687680
1606740698,95687680
1606740701,95687680
1606740704,95687680
1606740707,95687680
1606740710,95687680
1606740713,95687680
1606740716,95687680
1606740719,95687680
1606740722,95687680
1606740725,95687680
1606740728,95687680
1606740731,95687680
1606740734,95687680
1606740737,95687680
1606740740,95687680
1606740743,95687680
1606740746,95687680
1606740749,95687680
1606740752,95687680
1606740755,95687680
1606740758,95687680
1606740761,95687680
1606740764,95687680
1606740767,95687680
1606740770,95687680
1606740773,95687680
1606740776,95687680
1606740779,95687680
1606740782,95687680
1606740785,95687680
1606740788,95687680
1606740791,95687680
1606740794,95687680
1606740797,95687680
1606740800,95687680
1606740803,95687680
1606740806,95687680
1606740809,95687680
1606740812,95687680
1606740815,95687680
1606740818,95687680
1606740821,95687680
1606740824,95687680
1606740827,95687680
1606740830,95687680
1606740833,95687680
1606740836,95687680
1606740839,95687680
1606740842,95687680
1606740845,95687680
1606740848,95687680
1606740851,95687680
1606740854,95687680
1606740857,95687680
1606740860,133169152
1606740863,217055232
1606740866,257425408
1606740869,257425408
1606740872,257425408
1606740875,257425408
1606740878,257425408
1606740881,257425408
1606740884,257425408
1606740887,257425408
1606740890,257425408
1606740893,257425408
1606740896,257425408
1606740899,257425408
1606740902,257425408
1606740905,257425408
1606740908,257425408
1606740911,257425408
1606740914,257425408
1606740917,257425408
1606740920,257425408
1606740923,257425408
