t,value
1606739936,16777216
1606739939,16777216
1606739942,16777216
1606739945,19922944
1606739948,19922944
1606739951,15728640
1606739954,15728640
1606739957,15728640
1606739960,15728640
1606739963,15728640
1606739966,15728640
1606739969,15728640
1606739972,15728640
1606739975,15728640
1606739978,15728640
1606739981,15728640
1606739984,15728640
1606739987,15728640
1606739990,15728640
1606739993,15728640
1606739996,15728640
1606739999,15728640
1606740002,15728640
1606740005,15728640
1606740008,15728640
1606740011,15728640
1606740014,15728640
1606740017,15728640
1606740020,15728640
1606740023,15728640
1606740026,15728640
1606740029,15728640
1606740032,15728640
1606740035,8388608
1606740038,8388608
1606740041,8388608
1606740044,8388608
1606740047,8388608
1606740050,8388608
1606740053,8388608
1606740056,8388608
1606740059,8388608
1606740062,8388608
1606740065,8388608
1606740068,8388608
1606740071,8388608
1606740074,8388608
1606740077,8388608
1606740080,8388608
1606740083,8388608
1606740086,8388608
1606740089,8388608
1606740092,8388608
1606740095,8388608
1606740098,8388608
1606740101,8388608
1606740104,8388608
1606740107,8388608
1606740110,8388608
1606740113,8388608
1606740116,8388608
1606740119,8388608
1606740122,8388608
1606740125,8388608
1606740128,8388608
1606740131,8388608
1606740134,8388608
1606740137,8388608
1606740140,8388608
1606740143,8388608
1606740146,8388608
1606740149,8388608
1606740152,8388608
1606740155,8388608
1606740158,8388608
1606740161,8388608
1606740164,8388608
1606740167,8388608
1606740170,8388608
1606740173,8388608
1606740176,8388608
1606740179,8388608
1606740182,8388608
1606740185,8388608
1606740188,8388608
1606740191,8388608
1606740194,8388608
1606740197,8388608
1606740200,8388608
1606740203,8388608
1606740206,8388608
1606740209,8388608
1606740212,8388608
1606740215,8388608
1606740218,8388608
1606740221,8388608
1606740224,8388608
1606740227,8388608
1606740230,8388608
1606740233,8388608
1606740236,8388608
1606740239,8388608
1606740242,8388608
1606740245,8388608
1606740248,8388608
1606740251,8388608
1606740254,8388608
1606740257,8388608
1606740260,10485760
1606740263,10485760
1606740266,10485760
1606740269,10485760
1606740272,10485760
1606740275,10485760
1606740278,10485760
1606740281,10485760
1606740284,10485760
1606740287,10485760
1606740290,10485760
