t,value
1606739936,71750592
1606739939,77522872
1606739942,80812264
1606739945,87578352
1606739948,96268480
1606739951,104303216
1606739954,109804248
1606739957,109813352
1606739960,109815256
1606739963,109817928
1606739966,109819936
1606739969,109820616
1606739972,109825664
1606739975,109826120
1606739978,109826560
1606739981,109839184
1606739984,109879056
1606739987,109882880
1606739990,109887280
1606739993,109895392
1606739996,109898528
1606739999,109899128
1606740002,109899744
1606740005,109900184
1606740008,109900624
1606740011,109901552
1606740014,109902832
1606740017,109903816
1606740020,109922080
1606740023,109923312
1606740026,109923776
1606740029,109942824
1606740032,111782312
1606740035,115564272
1606740038,116526680
1606740041,116526680
1606740044,116537336
1606740047,116538000
1606740050,116538000
1606740053,116660128
1606740056,116661720
1606740059,116662928
1606740062,116664120
1606740065,116667464
1606740068,116670600
1606740071,116730016
1606740074,116760056
1606740077,116760056
1606740080,116760056
1606740083,116760056
1606740086,116760056
1606740089,116760056
1606740092,116848528
1606740095,116848528
1606740098,116852352
1606740101,117053328
1606740104,117064504
1606740107,117064504
1606740110,117077608
1606740113,117208288
1606740116,117208288
1606740119,117224328
1606740122,117227592
1606740125,117231144
1606740128,117288232
1606740131,117337424
1606740134,117398672
1606740137,117412160
1606740140,117414152
1606740143,117414152
1606740146,117416032
1606740149,117435992
1606740152,117497400
1606740155,117501552
1606740158,117502816
1606740161,117504248
1606740164,117513856
1606740167,117513856
1606740170,117529488
1606740173,117603184
1606740176,117603184
1606740179,117617048
1606740182,117619368
1606740185,117623912
1606740188,117625608
1606740191,117673912
1606740194,117715496
1606740197,117716816
1606740200,117717256
1606740203,117718648
1606740206,117721744
1606740209,117721744
1606740212,117773152
1606740215,117773152
1606740218,117773152
1606740221,117773152
1606740224,117775240
1606740227,117775240
1606740230,117775664
1606740233,118221392
1606740236,118221768
1606740239,118221768
1606740242,118221768
1606740245,118222680
1606740248,118232720
1606740251,118281648
1606740254,118305936
1606740257,118505032
1606740260,119416992
1606740263,119416992
1606740266,119416992
1606740269,119419320
1606740272,119664496
1606740275,119664496
1606740278,119664496
1606740281,119664496
1606740284,119664496
1606740287,119664984
1606740290,119664984
1606740293,119686144
1606740296,119686144
1606740299,119686144
1606740302,122556680
1606740305,122557608
1606740308,122672664
1606740311,122680600
1606740314,122716088
1606740317,122742368
