t,value
1606739936,49
1606739939,49
1606739942,52
1606739945,55
1606739948,55
1606739951,55
1606739954,55
1606739957,55
1606739960,55
1606739963,55
1606739966,55
1606739969,55
1606739972,55
1606739975,55
1606739978,55
1606739981,55
1606739984,55
1606739987,55
1606739990,55
1606739993,52
1606739996,49
1606739999,49
1606740002,49
1606740005,49
1606740008,49
1606740011,49
1606740014,49
1606740017,49
1606740020,49
1606740023,49
1606740026,49
1606740029,51
1606740032,51
1606740035,54
1606740038,54
1606740041,54
1606740044,54
1606740047,54
1606740050,54
1606740053,54
1606740056,54
1606740059,54
1606740062,54
1606740065,54
1606740068,54
1606740071,54
1606740074,54
1606740077,54
1606740080,54
1606740083,54
1606740086,54
1606740089,54
1606740092,54
1606740095,54
1606740098,54
1606740101,54
1606740104,54
1606740107,54
1606740110,54
1606740113,54
1606740116,54
1606740119,54
1606740122,54
1606740125,54
1606740128,54
1606740131,54
1606740134,54
1606740137,54
1606740140,54
1606740143,54
1606740146,54
1606740149,54
1606740152,54
1606740155,54
1606740158,54
1606740161,54
1606740164,54
1606740167,54
1606740170,54
1606740173,54
1606740176,54
1606740179,54
1606740182,54
1606740185,54
1606740188,54
1606740191,54
1606740194,54
1606740197,54
1606740200,54
1606740203,54
1606740206,54
1606740209,54
1606740212,54
1606740215,54
1606740218,54
1606740221,54
1606740224,54
1606740227,54
1606740230,54
1606740233,55
1606740236,55
1606740239,55
1606740242,55
1606740245,55
1606740248,55
1606740251,55
1606740254,55
1606740257,57
1606740260,60
1606740263,60
1606740266,60
1606740269,60
1606740272,60
1606740275,60
1606740278,60
1606740281,60
1606740284,60
1606740287,60
1606740290,60
1606740293,60
1606740296,60
1606740299,60
1606740302,60
1606740305,60
1606740308,60
1606740311,60
1606740314,60
1606740317,60
1606740320,60
1606740323,60
1606740326,60
1606740329,60
1606740332,60
1606740335,60
1606740338,60
1606740341,60
1606740344,60
1606740347,60
1606740350,60
1606740353,60
1606740356,60
1606740359,60
1606740362,60
1606740365,60
1606740368,60
1606740371,60
1606740374,60
1606740377,60
1606740380,60
1606740383,60
1606740386,60
1606740389,60
1606740392,60
1606740395,60
1606740398,60
1606740401,60
1606740404,60
1606740407,60
1606740410,60
