t,value
1606739936,55
1606739939,55
1606739942,58
1606739945,61
1606739948,61
1606739951,61
1606739954,61
1606739957,61
1606739960,61
1606739963,61
1606739966,61
1606739969,61
1606739972,61
1606739975,61
1606739978,61
1606739981,61
1606739984,61
1606739987,61
1606739990,61
1606739993,58
1606739996,55
1606739999,55
1606740002,55
1606740005,55
1606740008,55
1606740011,55
1606740014,55
1606740017,55
1606740020,55
1606740023,55
1606740026,55
1606740029,57
1606740032,57
1606740035,60
1606740038,60
1606740041,60
1606740044,60
1606740047,60
1606740050,60
1606740053,60
1606740056,60
1606740059,60
1606740062,60
1606740065,60
1606740068,60
1606740071,60
1606740074,60
1606740077,60
1606740080,60
1606740083,60
1606740086,60
1606740089,60
1606740092,60
1606740095,60
1606740098,60
1606740101,60
1606740104,60
1606740107,60
1606740110,60
1606740113,60
1606740116,60
1606740119,60
1606740122,60
1606740125,60
1606740128,60
1606740131,60
1606740134,60
1606740137,60
1606740140,60
1606740143,60
1606740146,60
1606740149,60
1606740152,60
1606740155,60
1606740158,60
1606740161,60
1606740164,60
1606740167,60
1606740170,60
1606740173,60
1606740176,60
1606740179,60
1606740182,60
1606740185,60
1606740188,60
1606740191,60
1606740194,60
1606740197,60
1606740200,60
1606740203,60
1606740206,60
1606740209,60
1606740212,60
1606740215,60
1606740218,60
1606740221,60
1606740224,60
1606740227,60
1606740230,60
1606740233,61
1606740236,61
1606740239,61
1606740242,61
1606740245,61
1606740248,61
1606740251,61
1606740254,61
1606740257,63
1606740260,66
1606740263,66
1606740266,66
1606740269,66
1606740272,66
1606740275,66
1606740278,66
1606740281,66
1606740284,66
1606740287,66
1606740290,66
1606740293,66
1606740296,66
1606740299,66
1606740302,66
1606740305,66
1606740308,66
1606740311,66
1606740314,66
1606740317,66
1606740320,66
1606740323,66
1606740326,66
1606740329,66
1606740332,66
1606740335,66
1606740338,66
1606740341,66
1606740344,66
1606740347,66
1606740350,66
1606740353,66
1606740356,66
1606740359,66
1606740362,66
1606740365,66
1606740368,66
1606740371,66
1606740374,66
1606740377,66
1606740380,66
1606740383,66
1606740386,66
1606740389,66
1606740392,66
1606740395,66
1606740398,66
1606740401,66
1606740404,66
1606740407,66
1606740410,66
1606740413,66
1606740416,66
1606740419,66
1606740422,66
1606740425,66
1606740428,66
1606740431,66
1606740434,66
1606740437,66
1606740440,66
1606740443,66
1606740446,66
1606740449,66
1606740452,66
1606740455,66
1606740458,66
1606740461,66
1606740464,66
1606740467,66
1606740470,66
1606740473,66
1606740476,66
1606740479,66
1606740482,66
1606740485,66
1606740488,66
1606740491,66
1606740494,66
1606740497,66
1606740500,66
1606740503,66
1606740506,66
1606740509,66
1606740512,66
1606740515,66
1606740518,66
1606740521,66
1606740524,66
1606740527,66
1606740530,66
1606740533,66
1606740536,66
1606740539,66
1606740542,66
1606740545,66
1606740548,66
1606740551,66
1606740554,66
1606740557,66
1606740560,66
1606740563,66
1606740566,66
1606740569,66
1606740572,66
1606740575,66
1606740578,66
1606740581,66
1606740584,66
1606740587,66
1606740590,66
1606740593,66
1606740596,66
1606740599,66
1606740602,66
1606740605,66
1606740608,66
1606740611,66
1606740614,66
1606740617,66
1606740620,66
1606740623,66
1606740626,66
1606740629,66
1606740632,66
1606740635,66
1606740638,66
1606740641,66
1606740644,66
1606740647,66
1606740650,66
1606740653,66
1606740656,66
1606740659,66
1606740662,66
1606740665,66
1606740668,66
1606740671,66
1606740674,66
1606740677,66
1606740680,66
1606740683,66
1606740686,66
1606740689,66
1606740692,66
1606740695,66
1606740698,66
1606740701,66
1606740704,66
1606740707,66
1606740710,66
1606740713,66
1606740716,66
1606740719,66
1606740722,66
1606740725,66
1606740728,66
1606740731,66
1606740734,66
1606740737,66
1606740740,66
1606740743,66
1606740746,66
1606740749,66
1606740752,66
1606740755,66
1606740758,66
1606740761,66
1606740764,66
1606740767,66
1606740770,66
1606740773,66
1606740776,66
1606740779,66
1606740782,66
1606740785,66
1606740788,66
1606740791,66
1606740794,66
1606740797,66
1606740800,66
1606740803,66
1606740806,66
1606740809,66
1606740812,66
1606740815,66
1606740818,66
1606740821,66
1606740824,66
1606740827,66
1606740830,66
1606740833,66
1606740836,66
1606740839,66
1606740842,66
1606740845,66
1606740848,66
1606740851,66
1606740854,66
1606740857,66
1606740860,67
1606740863,67
1606740866,67
1606740869,67
1606740872,69
1606740875,69
1606740878,69
1606740881,69
1606740884,69
1606740887,69
1606740890,69
1606740893,69
1606740896,69
1606740899,69
1606740902,69
1606740905,69
1606740908,69
1606740911,69
1606740914,69
1606740917,69
1606740920,68
1606740923,68
1606740926,68
1606740929,68
1606740932,66
1606740935,66
1606740938,66
1606740941,66
1606740944,66
1606740947,66
1606740950,66
1606740953,66
1606740958,69
1606740959,69
1606740962,69
1606740965,69
1606740968,69
1606740971,69
1606740974,69
1606740977,69
1606740980,69
1606740983,69
1606740986,69
1606740989,69
1606740992,69
1606740995,69
1606740998,69
1606741001,69
1606741004,69
1606741007,69
1606741010,69
1606741013,69
1606741016,69
1606741019,66
1606741022,66
1606741025,66
1606741028,66
1606741031,66
1606741034,66
1606741037,66
1606741040,66
1606741043,66
1606741046,66
1606741049,66
1606741052,66
1606741055,66
1606741058,66
1606741061,66
1606741064,66
1606741067,66
1606741070,66
1606741073,66
1606741076,66
1606741079,66
1606741082,66
1606741085,66
1606741088,66
1606741091,66
1606741094,66
1606741097,66
1606741100,66
1606741103,66
1606741106,66
1606741109,66
1606741112,66
1606741115,66
1606741118,66
1606741121,66
1606741124,66
1606741127,66
1606741130,66
1606741133,66
1606741136,66
1606741139,66
1606741142,64
1606741145,64
1606741148,64
1606741151,64
1606741154,64
1606741157,64
1606741160,64
1606741163,64
1606741166,64
1606741169,64
1606741172,64
1606741175,64
1606741178,64
1606741181,64
1606741184,64
1606741187,64
1606741190,64
1606741193,64
1606741196,64
1606741199,64
1606741202,64
1606741205,64
1606741208,64
1606741211,64
1606741214,64
1606741217,64
1606741220,64
1606741223,64
1606741226,64
1606741229,64
1606741232,64
1606741235,64
1606741238,64
1606741241,64
1606741244,64
1606741247,64
1606741250,64
1606741253,64
1606741256,64
1606741259,64
1606741262,64
1606741265,64
1606741268,64
1606741271,64
1606741274,64
1606741277,64
1606741280,64
1606741283,64
1606741286,64
1606741289,64
1606741292,64
1606741295,64
1606741298,64
1606741301,64
1606741304,64
1606741307,64
1606741310,64
1606741313,64
1606741316,64
1606741319,64
1606741322,64
1606741325,64
1606741328,64
1606741331,64
1606741334,64
1606741337,64
1606741340,64
1606741343,64
1606741346,64
1606741349,64
1606741352,64
1606741355,64
1606741358,64
1606741361,64
1606741364,64
1606741367,64
1606741370,64
1606741373,64
1606741376,64
1606741379,64
1606741382,64
1606741385,64
1606741388,64
1606741391,64
1606741394,64
1606741397,64
1606741400,64
1606741403,64
1606741406,64
1606741409,64
1606741412,64
1606741415,64
1606741418,64
1606741421,64
1606741424,64
1606741427,64
1606741430,64
1606741433,64
1606741436,64
1606741439,64
1606741442,64
1606741445,64
1606741448,64
1606741451,64
1606741454,64
1606741457,64
1606741460,64
1606741463,64
1606741466,64
1606741469,64
1606741472,64
1606741475,64
1606741478,64
1606741481,64
1606741484,64
1606741487,64
1606741490,64
1606741493,64
1606741496,64
1606741499,64
1606741502,64
1606741505,64
1606741508,64
1606741511,64
1606741514,64
1606741517,64
1606741520,64
1606741523,64
1606741526,64
1606741529,64
1606741532,64
1606741535,64
1606741538,64
1606741541,64
1606741544,64
1606741547,64
1606741550,64
1606741553,64
1606741556,64
1606741559,64
1606741562,64
1606741565,64
1606741568,64
1606741571,64
1606741574,64
1606741577,64
1606741580,64
1606741583,64
1606741586,64
1606741589,64
1606741592,64
1606741595,64
1606741598,64
1606741601,64
1606741604,64
1606741607,64
1606741610,64
1606741613,64
1606741616,64
1606741619,64
1606741622,64
1606741625,64
1606741628,64
1606741631,64
1606741634,64
1606741637,64
1606741640,64
1606741643,64
1606741646,64
1606741649,64
1606741652,64
1606741655,64
1606741658,66
1606741661,66
1606741664,66
1606741667,66
1606741670,66
1606741673,66
1606741676,66
1606741679,66
1606741682,66
1606741685,66
1606741688,66
1606741691,66
1606741694,66
1606741697,66
1606741700,66
1606741703,66
1606741706,66
1606741709,66
1606741712,66
1606741715,66
1606741718,66
1606741721,66
1606741724,66
1606741727,66
1606741730,66
1606741733,66
1606741736,66
1606741739,66
1606741742,66
1606741745,66
1606741748,66
1606741751,66
1606741754,66
1606741757,66
1606741760,66
1606741763,66
1606741766,66
1606741769,66
1606741772,66
1606741775,66
1606741778,66
1606741781,66
1606741784,66
1606741787,66
1606741790,66
1606741793,66
1606741796,66
1606741799,66
1606741802,66
1606741805,66
1606741808,66
1606741811,66
1606741814,66
1606741817,66
1606741820,66
1606741823,66
1606741826,66
1606741829,66
1606741832,66
1606741835,66
1606741838,66
1606741841,66
1606741844,66
1606741847,66
1606741850,66
1606741853,66
1606741856,66
1606741859,66
1606741862,66
1606741865,66
1606741868,66
1606741871,66
1606741874,66
1606741877,66
1606741880,66
1606741883,66
1606741886,66
1606741889,66
1606741892,66
1606741895,66
1606741898,66
1606741901,66
1606741904,66
1606741907,66
1606741910,66
1606741913,66
1606741916,66
1606741919,66
1606741922,66
1606741925,66
1606741928,66
1606741931,66
1606741934,66
1606741937,66
1606741940,66
1606741943,66
1606741946,66
1606741949,66
1606741952,66
1606741955,66
1606741958,66
1606741961,66
1606741964,66
1606741967,66
1606741970,66
1606741973,66
1606741976,66
1606741979,66
1606741982,66
1606741985,66
1606741988,66
1606741991,66
1606741994,66
1606741997,66
1606742000,66
1606742003,66
1606742006,66
1606742009,66
1606742012,66
1606742015,66
1606742018,66
1606742021,66
1606742024,66
1606742027,66
1606742030,66
1606742033,66
1606742036,66
1606742039,66
1606742042,66
1606742045,66
1606742048,66
1606742051,66
1606742054,66
1606742057,66
1606742060,66
1606742063,66
1606742066,66
1606742069,66
1606742072,66
1606742075,66
1606742078,66
1606742081,66
1606742084,66
1606742087,66
1606742090,66
1606742093,66
1606742096,66
1606742099,66
1606742102,66
1606742105,66
1606742108,66
1606742111,66
1606742114,66
1606742117,66
1606742120,66
1606742123,66
1606742126,66
1606742129,66
1606742132,66
1606742135,66
1606742138,66
1606742141,66
1606742144,66
1606742147,66
1606742150,66
1606742153,66
1606742156,66
1606742159,66
1606742162,66
1606742165,66
1606742168,66
1606742171,66
1606742174,66
1606742177,66
1606742180,66
1606742183,66
1606742186,66
1606742189,66
1606742192,66
1606742195,66
1606742198,66
1606742201,66
1606742204,66
1606742207,66
1606742210,66
1606742213,66
1606742216,66
1606742219,66
1606742222,66
1606742225,66
1606742228,66
1606742231,66
1606742234,66
1606742237,66
1606742240,66
1606742243,66
1606742246,66
1606742249,66
1606742252,66
1606742255,66
1606742258,66
1606742261,66
1606742264,66
1606742267,66
