t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,2,0.167713,0.000000,0.000000,0.000000,events/second
1606559989,2,0.107601,0.000000,0.000000,0.000000,events/second
1606559990,2,0.104283,0.000000,0.000000,0.000000,events/second
1606559990,2,0.102682,0.000000,0.000000,0.000000,events/second
1606559991,2,0.101387,0.000000,0.000000,0.000000,events/second
1606559991,2,0.100230,0.000000,0.000000,0.000000,events/second
1606559992,2,0.095634,0.000000,0.000000,0.000000,events/second
1606559995,2,0.083497,0.000000,0.000000,0.000000,events/second
1606559998,2,0.074462,0.000000,0.000000,0.000000,events/second
1606560001,2,0.066998,0.000000,0.000000,0.000000,events/second
1606560004,2,0.061075,0.000000,0.000000,0.000000,events/second
1606560007,2,0.055933,0.000000,0.000000,0.000000,events/second
1606560010,2,0.051013,0.000000,0.000000,0.000000,events/second
1606560013,2,0.047835,0.000000,0.000000,0.000000,events/second
1606560016,2,0.044363,0.000000,0.000000,0.000000,events/second
1606560019,2,0.041843,0.000000,0.000000,0.000000,events/second
1606560022,2,0.038373,0.000000,0.000000,0.000000,events/second
1606560025,2,0.037057,0.000000,0.000000,0.000000,events/second
1606560028,2,0.035202,0.000000,0.000000,0.000000,events/second
1606560031,2,0.033470,0.000000,0.000000,0.000000,events/second
1606560034,2,0.031878,0.000000,0.000000,0.000000,events/second
1606560037,2,0.030428,0.000000,0.000000,0.000000,events/second
1606560040,2,0.028971,0.000000,0.000000,0.000000,events/second
1606560043,2,0.027874,0.000000,0.000000,0.000000,events/second
1606560046,2,0.026762,0.000000,0.000000,0.000000,events/second
1606560049,2,0.025706,0.000000,0.000000,0.000000,events/second
1606560052,2,0.024718,0.000000,0.000000,0.000000,events/second
1606560055,2,0.023887,0.000000,0.000000,0.000000,events/second
1606560058,2,0.023058,0.000000,0.000000,0.000000,events/second
1606560061,2,0.022283,0.000000,0.000000,0.000000,events/second
1606560064,2,0.021562,0.000000,0.000000,0.000000,events/second
1606560067,2,0.020894,0.000000,0.000000,0.000000,events/second
1606560070,2,0.020241,0.000000,0.000000,0.000000,events/second
1606560073,2,0.019604,0.000000,0.000000,0.000000,events/second
1606560076,2,0.019073,0.000000,0.000000,0.000000,events/second
1606560079,2,0.018261,0.000000,0.000000,0.000000,events/second
1606560082,2,0.018059,0.000000,0.000000,0.000000,events/second
1606560085,2,0.017548,0.000000,0.000000,0.000000,events/second
1606560088,2,0.017033,0.000000,0.000000,0.000000,events/second
1606560091,2,0.016540,0.000000,0.000000,0.000000,events/second
1606560094,2,0.016262,0.000000,0.000000,0.000000,events/second
1606560097,2,0.015905,0.000000,0.000000,0.000000,events/second
1606560100,2,0.015536,0.000000,0.000000,0.000000,events/second
1606560103,2,0.015183,0.000000,0.000000,0.000000,events/second
1606560106,2,0.014839,0.000000,0.000000,0.000000,events/second
1606560109,2,0.014521,0.000000,0.000000,0.000000,events/second
1606560112,2,0.014208,0.000000,0.000000,0.000000,events/second
1606560115,2,0.013917,0.000000,0.000000,0.000000,events/second
1606560118,2,0.013625,0.000000,0.000000,0.000000,events/second
1606560121,2,0.013359,0.000000,0.000000,0.000000,events/second
