t,value
1606559974,2097152
1606559989,2097152
1606559990,2097152
1606559990,2097152
1606559991,2097152
1606559991,2097152
1606559992,2097152
1606559995,2097152
1606559998,2097152
1606560001,2097152
1606560004,2097152
1606560007,2097152
1606560010,2097152
1606560013,2097152
1606560016,2097152
1606560019,2097152
1606560022,2097152
1606560025,2097152
1606560028,2097152
1606560031,2097152
1606560034,2097152
1606560037,2097152
1606560040,2097152
1606560043,2097152
1606560046,2097152
1606560049,2097152
1606560052,2097152
1606560055,2097152
1606560058,2097152
1606560061,2097152
1606560064,2097152
1606560067,2097152
1606560070,2097152
1606560073,2097152
1606560076,2097152
1606560079,2097152
1606560082,2097152
1606560085,2097152
1606560088,2097152
1606560091,2097152
1606560094,2097152
1606560097,2097152
1606560100,2097152
1606560103,2097152
1606560106,2097152
1606560109,2097152
1606560112,2097152
1606560115,2097152
1606560118,2097152
1606560121,2097152
1606560124,2097152
1606560127,2097152
1606560130,2097152
1606560133,2097152
1606560136,2097152
1606560139,2097152
1606560142,2097152
1606560145,2097152
1606560148,2097152
1606560151,2097152
1606560154,2097152
1606560157,2097152
1606560160,2097152
1606560163,2097152
1606560166,2097152
1606560169,2097152
1606560172,2097152
1606560175,2097152
1606560178,2097152
1606560181,2097152
1606560184,2097152
1606560187,2097152
1606560190,2097152
1606560193,2097152
1606560196,2097152
1606560199,2097152
1606560202,2097152
1606560205,2097152
1606560208,2097152
1606560211,2097152
1606560214,2097152
1606560217,2097152
1606560220,2097152
1606560223,2097152
1606560226,2097152
1606560229,2097152
1606560232,2097152
1606560235,2097152
1606560238,2097152
1606560241,2097152
1606560244,2097152
1606560247,2097152
1606560250,2097152
1606560253,2097152
1606560256,2097152
1606560259,2097152
1606560262,2097152
1606560265,2097152
1606560268,2097152
1606560271,2097152
1606560274,2097152
1606560277,2097152
1606560280,2097152
1606560283,2097152
1606560286,2097152
1606560289,2097152
1606560292,2097152
1606560295,2097152
1606560298,2097152
1606560301,2097152
1606560304,2097152
1606560307,2097152
1606560310,2097152
1606560313,2097152
1606560316,2097152
1606560319,2097152
1606560322,2097152
1606560325,2097152
1606560328,2097152
1606560331,2097152
1606560334,2097152
1606560337,2097152
1606560340,2097152
1606560343,2097152
1606560346,2097152
1606560349,2097152
1606560352,2097152
1606560355,2097152
1606560358,2097152
1606560361,2097152
1606560364,2097152
1606560367,2097152
1606560370,2097152
1606560373,2097152
1606560376,2097152
1606560379,2097152
1606560389,2097152
1606560390,2097152
1606560391,2097152
1606560391,2097152
1606560394,2097152
1606560397,2097152
1606560400,2097152
1606560403,2097152
1606560406,2097152
1606560409,2097152
1606560412,2097152
1606560415,2097152
1606560418,2097152
1606560421,2097152
1606560424,2097152
1606560427,2097152
1606560430,2097152
1606560433,2097152
1606560436,2097152
1606560439,2097152
1606560442,2097152
1606560445,2097152
1606560448,2097152
1606560451,2097152
1606560454,2097152
1606560457,2097152
1606560460,2097152
1606560463,2097152
1606560466,2097152
1606560469,2097152
1606560472,2097152
1606560475,2097152
1606560478,2097152
1606560481,2097152
1606560484,2097152
1606560487,2097152
1606560490,2097152
1606560493,2097152
1606560496,2097152
1606560499,2097152
1606560502,2097152
1606560505,2097152
1606560508,2097152
1606560511,2097152
1606560514,2097152
1606560517,2097152
1606560520,2097152
1606560523,2097152
1606560526,2097152
1606560529,2097152
1606560532,2097152
1606560535,2097152
1606560538,2097152
1606560541,2097152
1606560544,2097152
1606560547,2097152
1606560550,2097152
1606560553,2097152
1606560556,2097152
1606560559,2097152
1606560562,2097152
1606560565,2097152
1606560568,2097152
1606560571,2097152
1606560574,2097152
1606560577,2097152
1606560580,2097152
1606560583,2097152
1606560586,2097152
1606560589,2097152
1606560592,2097152
1606560595,2097152
1606560598,2097152
1606560601,2097152
1606560604,2097152
1606560607,2097152
1606560610,2097152
1606560613,2097152
1606560616,2097152
1606560619,2097152
1606560622,2097152
1606560625,2097152
1606560628,2097152
1606560631,2097152
1606560634,2097152
1606560637,2097152
1606560640,2097152
1606560643,2097152
1606560646,2097152
1606560649,2097152
1606560652,2097152
1606560655,2097152
1606560658,2097152
1606560661,2097152
1606560664,2097152
1606560667,2097152
1606560670,2097152
1606560673,2097152
1606560676,2097152
1606560679,2097152
1606560682,2097152
1606560685,2097152
1606560688,2097152
1606560691,2097152
1606560694,2097152
1606560697,2097152
1606560700,2097152
1606560703,2097152
1606560706,2097152
1606560709,2097152
1606560712,2097152
1606560715,2097152
1606560718,2097152
1606560721,2097152
1606560724,2097152
1606560727,2097152
1606560730,2097152
1606560733,2097152
1606560736,2097152
1606560739,2097152
1606560742,2097152
1606560745,2097152
1606560748,2097152
1606560751,2097152
1606560754,2097152
1606560757,2097152
1606560760,2097152
1606560763,2097152
1606560766,2097152
1606560769,2097152
1606560772,2097152
1606560775,2097152
1606560778,2097152
1606560781,2097152
1606560784,2097152
1606560787,2097152
1606560790,2097152
1606560793,2097152
1606560796,2097152
1606560799,2097152
1606560802,2097152
1606560805,2097152
1606560808,2097152
1606560811,2097152
1606560814,2097152
1606560817,2097152
1606560820,2097152
1606560823,2097152
1606560826,2097152
1606560829,2097152
1606560832,2097152
1606560835,2097152
1606560838,2097152
1606560841,2097152
1606560844,2097152
1606560847,2097152
1606560850,2097152
1606560853,2097152
1606560856,2097152
1606560859,2097152
1606560862,2097152
1606560865,2097152
1606560868,2097152
1606560871,2097152
1606560874,2097152
1606560877,2097152
1606560880,2097152
1606560883,2097152
1606560886,2097152
1606560889,2097152
1606560892,2097152
1606560895,2097152
1606560898,2097152
1606560901,2097152
1606560904,2097152
1606560907,2097152
1606560910,2097152
1606560913,2097152
1606560916,2097152
1606560919,2097152
1606560922,2097152
1606560925,2097152
1606560928,2097152
1606560931,2097152
1606560934,2097152
1606560937,2097152
1606560940,2097152
1606560943,2097152
1606560946,2097152
1606560949,2097152
1606560952,2097152
1606560955,2097152
1606560958,2097152
1606560961,2097152
1606560964,2097152
1606560967,2097152
1606560970,2097152
1606560973,2097152
1606560976,2097152
1606560979,2097152
1606560982,2097152
1606560985,2097152
1606560988,2097152
1606560991,2097152
1606560994,2097152
1606560997,2097152
1606561000,2097152
1606561003,2097152
1606561006,2097152
1606561009,2097152
1606561012,2097152
1606561015,2097152
1606561018,2097152
1606561021,2097152
1606561024,2097152
1606561027,2097152
1606561030,2097152
1606561033,2097152
1606561036,2097152
1606561039,2097152
1606561042,2097152
1606561045,2097152
1606561048,2097152
1606561051,2097152
1606561054,2097152
1606561057,2097152
1606561060,2097152
1606561063,2097152
1606561066,2097152
1606561069,2097152
1606561072,2097152
1606561075,2097152
1606561078,2097152
1606561081,2097152
1606561084,2097152
1606561087,2097152
1606561090,2097152
1606561093,2097152
1606561096,2097152
1606561099,2097152
1606561102,2097152
1606561105,2097152
1606561108,2097152
1606561111,2097152
1606561114,2097152
1606561117,2097152
1606561120,2097152
1606561123,2097152
1606561129,2097152
1606561135,2097152
1606561142,2097152
1606561144,2097152
1606561146,2097152
1606561148,2097152
1606561151,2097152
1606561154,2097152
1606561154,2097152
1606561155,2097152
1606561158,2097152
1606561159,2097152
1606561173,2097152
1606561175,2097152
1606561178,2097152
1606561180,2097152
1606561180,2097152
1606561181,2097152
1606561182,2097152
1606561183,2097152
1606561186,2097152
1606561189,2097152
1606561192,2097152
1606561195,2097152
1606561198,2097152
1606561201,2097152
1606561204,2097152
1606561207,2097152
1606561210,2097152
t,value
1606561529,2097152
1606561532,2097152
1606561535,2097152
1606561538,2097152
1606561541,2097152
1606561544,2097152
1606561547,2097152
1606561550,2097152
1606561553,2097152
1606561556,2097152
1606561559,2097152
1606561562,2097152
1606561565,2097152
1606561568,2097152
1606561571,2097152
1606561574,2097152
1606561577,2097152
1606561580,2097152
1606561583,2097152
1606561586,2097152
1606561589,2097152
1606561592,2097152
1606561595,2097152
1606561598,2097152
1606561601,2097152
1606561604,2097152
1606561607,2097152
1606561610,2097152
1606561613,2097152
