t,value
1606559974,532676608
1606559989,532676608
1606559990,532676608
1606559990,532676608
1606559991,532676608
1606559991,532676608
1606559992,532676608
1606559995,532676608
1606559998,532676608
1606560001,532676608
1606560004,532676608
1606560007,532676608
1606560010,532676608
1606560013,532676608
1606560016,532676608
1606560019,532676608
1606560022,532676608
1606560025,532676608
1606560028,532676608
1606560031,532676608
1606560034,532676608
1606560037,532676608
1606560040,532676608
1606560043,532676608
1606560046,532676608
1606560049,532676608
1606560052,532676608
1606560055,532676608
1606560058,532676608
1606560061,532676608
1606560064,532676608
1606560067,532676608
1606560070,532676608
1606560073,532676608
1606560076,532676608
1606560079,532676608
1606560082,532676608
1606560085,532676608
1606560088,532676608
1606560091,532676608
1606560094,532676608
1606560097,532676608
1606560100,532676608
1606560103,532676608
1606560106,532676608
1606560109,532676608
1606560112,532676608
1606560115,532676608
1606560118,532676608
1606560121,532676608
1606560124,532676608
1606560127,532676608
1606560130,532676608
1606560133,532676608
1606560136,532676608
1606560139,532676608
1606560142,532676608
1606560145,532676608
1606560148,532676608
1606560151,532676608
1606560154,532676608
1606560157,532676608
1606560160,532676608
1606560163,532676608
1606560166,532676608
1606560169,532676608
1606560172,532676608
1606560175,532676608
1606560178,532676608
1606560181,532676608
1606560184,532676608
1606560187,532676608
1606560190,532676608
1606560193,532676608
1606560196,532676608
1606560199,532676608
1606560202,532676608
1606560205,532676608
1606560208,532676608
1606560211,532676608
1606560214,532676608
1606560217,532676608
1606560220,532676608
1606560223,532676608
1606560226,532676608
1606560229,532676608
1606560232,532676608
1606560235,532676608
1606560238,532676608
1606560241,532676608
1606560244,532676608
1606560247,532676608
1606560250,532676608
1606560253,532676608
1606560256,532676608
1606560259,532676608
1606560262,532676608
1606560265,532676608
1606560268,532676608
1606560271,532676608
1606560274,532676608
1606560277,532676608
1606560280,532676608
1606560283,532676608
1606560286,532676608
1606560289,532676608
1606560292,532676608
1606560295,532676608
1606560298,532676608
1606560301,532676608
1606560304,532676608
1606560307,532676608
1606560310,532676608
1606560313,532676608
1606560316,532676608
1606560319,532676608
1606560322,532676608
1606560325,532676608
1606560328,532676608
1606560331,532676608
1606560334,532676608
1606560337,532676608
1606560340,532676608
1606560343,532676608
1606560346,532676608
1606560349,532676608
1606560352,532676608
1606560355,532676608
1606560358,532676608
1606560361,532676608
1606560364,532676608
1606560367,532676608
1606560370,532676608
1606560373,532676608
1606560376,532676608
1606560379,532676608
1606560389,532676608
1606560390,532676608
1606560391,532676608
